Date,Commercial and health care,Computers and peripheral equipment,"Entertainment, literary, and artistic originals",Equipment,Industrial equipment,Information processing equipment,Intellectual property products,Manufacturing,"Mining exploration, shafts, and wells",Multifamily,Nonresidential,Nonresidential structures,Other,Other equipment,Other structures,Permanent site,Power and communication,Private fixed investment,Private fixed investment in information processing equipment and software,Private fixed investment in new structures,Private fixed investment in structures,Research and development,Residential,Residential structures,Single family,Software,Structures,Transportation equipment
1947-01-01,,,993.0,7612.5,4718.0,1709.0,2002.0,,,,24818.0,,1709.0,3815.0,,,,35359.0,1709.0,,18132.0,1009.0,10541.0,,,,9066.0,4684.0
1947-04-01,,,966.0,7754.5,4585.0,1664.0,1998.0,,,,25171.0,,1664.0,4116.0,,,,35744.0,1664.0,,18237.0,1032.0,10573.0,,,,9118.5,4861.0
1947-07-01,,,977.0,7682.0,4709.0,1770.0,2037.0,,,,25361.0,,1770.0,3890.0,,,,37827.0,1770.0,,20426.0,1060.0,12466.0,,,,10213.0,4675.0
1947-10-01,,,937.0,8185.0,4383.0,1749.0,2041.0,,,,26540.0,,1749.0,4491.0,,,,41794.0,1749.0,,23383.0,1104.0,15254.0,,,,11691.5,5444.0
1948-01-01,,,921.0,8829.5,4714.0,1831.0,2064.0,,,,28231.0,,1831.0,5099.0,,,,43576.0,1831.0,,23853.0,1143.0,15345.0,,,,11926.5,5690.0
1948-04-01,,,919.0,8485.5,4504.0,1759.0,2065.0,,,,28050.0,,1759.0,5069.0,,,,44477.0,1759.0,,25441.0,1147.0,16427.0,,,,12720.5,5326.0
1948-07-01,,,941.0,8728.5,4396.0,1738.0,2097.0,,,,29081.0,,1738.0,5499.0,,,,45365.0,1738.0,,25810.0,1156.0,16283.0,,,,12905.0,5497.0
1948-10-01,,,963.0,9176.5,4825.0,1909.0,2072.0,,,,30160.0,,1909.0,5849.0,,,,45337.0,1909.0,,24912.0,1109.0,15177.0,,,,12456.0,5415.0
1949-01-01,,,1006.0,8571.5,4426.0,1809.0,2021.0,,,,28583.0,,1809.0,5059.0,,,,42752.0,1809.0,,23588.0,1015.0,14169.0,,,,11794.0,5531.0
1949-04-01,,,1045.0,8201.5,3761.0,1634.0,2008.0,,,,27476.0,,1634.0,4941.0,,,,41389.0,1634.0,,22977.0,964.0,13913.0,,,,11488.5,5754.0
1949-07-01,,,1069.0,7729.0,3469.0,1544.0,2021.0,,,,26112.0,,1544.0,4451.0,,,,40856.0,1544.0,,23377.0,952.0,14744.0,,,,11688.5,5713.0
1949-10-01,,,1132.0,7560.0,3236.0,1525.0,2108.0,,,,25628.0,,1525.0,4261.0,,,,42167.0,1525.0,,24938.0,976.0,16538.0,,,,12469.0,5814.0
1950-01-01,,,1110.0,7719.0,3544.0,1607.0,2181.0,,,,26386.0,,1607.0,4418.0,,,,44725.0,1607.0,,27106.0,1071.0,18339.0,,,,13553.0,5560.0
1950-04-01,,,1075.0,8742.0,4292.0,1822.0,2239.0,,,,28855.0,,1822.0,5082.0,,,,49458.0,1822.0,,29735.0,1164.0,20603.0,,,,14867.5,5918.0
1950-07-01,,,1051.0,9862.0,4566.0,1878.0,2298.0,,,,31910.0,,1878.0,5498.0,,,,54465.0,1878.0,,32443.0,1247.0,22555.0,,,,16221.5,7401.0
1950-10-01,,,1038.0,10025.0,5506.0,2056.0,2328.0,,,,32919.0,,2056.0,5226.0,,,,54397.0,2056.0,,32019.0,1289.0,21478.0,,,,16009.5,6821.0
1951-01-01,,,993.0,9885.0,5073.0,1979.0,2289.0,,,,33139.0,,1979.0,5396.0,,,,54196.0,1979.0,,32137.0,1296.0,21057.0,,,,16068.5,6935.0
1951-04-01,,,969.0,10015.5,5550.0,2106.0,2301.0,,,,34124.0,,2106.0,5387.0,,,,52591.0,2106.0,,30259.0,1332.0,18467.0,,,,15129.5,6629.0
1951-07-01,,,979.0,10287.5,6089.0,2251.0,2365.0,,,,34843.0,,2251.0,5341.0,,,,52241.0,2251.0,,29301.0,1385.0,17398.0,,,,14650.5,6518.0
