Date,Commercial and health care,Computers and peripheral equipment,"Entertainment, literary, and artistic originals",Equipment,Industrial equipment,Information processing equipment,Intellectual property products,Manufacturing,"Mining exploration, shafts, and wells",Multifamily,Nonresidential,Nonresidential structures,Other,Other equipment,Other structures,Permanent site,Power and communication,Private fixed investment,Private fixed investment in information processing equipment and software,Private fixed investment in new structures,Private fixed investment in structures,Research and development,Residential,Residential structures,Residual,Single family,Software,Structures,Transportation equipment
2007-01-01,205594.0,69974.0,74716.0,417738.0,211537.0,195494.0,546103.0,42234.0,133790.0,76968.0,1940435.0,569814.0,127479.0,224663.0,262724.0,475796.0,79711.0,2786977.0,365767.0,1281282.0,1478173.0,312776.0,892211.0,706312.0,-95082.0,394358.0,169739.0,735775.5,225452.0
2007-04-01,212178.0,69351.0,74360.0,423441.5,225322.0,198677.0,549788.0,44593.0,134602.0,70696.0,1983497.0,600853.0,131041.0,231422.0,261083.5,454395.0,90270.0,2800103.0,370454.0,1290714.0,1474164.0,315649.0,857055.0,685407.0,-92377.0,378894.0,171015.0,734274.5,213397.0
2007-07-01,215660.0,72779.0,74416.0,425570.0,226514.0,205350.0,551680.0,52321.0,135015.0,66349.0,2014616.0,628897.0,134571.0,229257.0,254763.0,419613.0,99397.0,2784117.0,380451.0,1277983.0,1447935.0,313631.0,802575.0,645170.0,-83814.0,349060.0,173966.0,721525.0,207974.0
2007-10-01,216089.0,76675.0,73280.0,428034.5,215090.0,218496.0,563341.0,56264.0,132717.0,63430.0,2045689.0,643949.0,143821.0,227855.0,248219.5,370241.0,107754.0,2757412.0,398926.0,1240169.0,1396927.0,322048.0,735842.0,592460.0,-68795.0,303988.0,178507.0,696116.5,204820.0
2008-01-01,214076.0,79465.0,72093.0,425698.5,215468.0,219438.0,573857.0,56780.0,132154.0,62480.0,2053812.0,646284.0,142425.0,223387.0,241377.0,327166.0,109951.0,2714675.0,406614.0,1191410.0,1341222.0,325071.0,677302.0,540998.0,-60062.0,263271.0,186051.0,668015.0,201865.0
2008-04-01,211463.0,80370.0,70808.0,420665.5,213698.0,221857.0,579454.0,61218.0,141721.0,63095.0,2057975.0,656654.0,143967.0,227285.0,238997.5,306343.0,104696.0,2692443.0,410919.0,1175043.0,1321750.0,330255.0,646624.0,513734.0,-55888.0,242558.0,187977.0,657938.5,183681.0
2008-07-01,205145.0,78271.0,68969.0,407421.0,209710.0,217889.0,572706.0,62731.0,148963.0,61627.0,2019550.0,651889.0,141917.0,226114.0,239173.5,273094.0,98809.0,2624372.0,407936.0,1137231.0,1285535.0,322521.0,613819.0,480181.0,-51151.0,211437.0,189442.0,639540.0,164252.0
2008-10-01,187826.0,73308.0,67978.0,360241.5,203139.0,203230.0,568642.0,64123.0,152679.0,56775.0,1901929.0,636200.0,132133.0,191799.0,225586.5,235288.0,101199.0,2451093.0,389234.0,1078770.0,1211668.0,323304.0,554077.0,436576.0,-43952.0,178765.0,186245.0,601943.0,117734.0
2009-01-01,163688.0,73830.0,66812.0,320410.5,175715.0,196983.0,553107.0,70137.0,132601.0,51088.0,1758633.0,588410.0,125898.0,178860.0,215904.5,188095.0,102930.0,2256202.0,382112.0,981828.0,1108742.0,307430.0,500348.0,387373.0,-30970.0,137619.0,185749.0,550556.5,76258.0
2009-04-01,149012.0,76684.0,67261.0,307806.0,165160.0,197098.0,566972.0,68608.0,100884.0,42645.0,1705141.0,542875.0,123770.0,169494.0,213233.5,159239.0,105717.0,2174421.0,386204.0,905141.0,1030341.0,317031.0,469588.0,356786.0,-20099.0,116994.0,190009.0,511839.0,68169.0
