Date,Private fixed investment in structures
1930-01-01,-24.7
1931-01-01,-28.5
1932-01-01,-40.9
1933-01-01,-20.5
1934-01-01,19.6
1935-01-01,22.3
1936-01-01,28.1
1937-01-01,17.6
1938-01-01,-10.7
1939-01-01,23.4
1940-01-01,12.7
1941-01-01,11.0
1942-01-01,-43.8
1943-01-01,-32.6
1944-01-01,10.4
1945-01-01,26.6
1946-01-01,168.5
1947-01-01,9.7
1948-01-01,13.9
1949-01-01,-5.8
1950-01-01,25.3
1951-01-01,-8.3
1952-01-01,-1.2
1953-01-01,5.8
1954-01-01,6.4
1955-01-01,12.6
1956-01-01,-1.0
1957-01-01,-3.4
1958-01-01,-2.0
1959-01-01,15.2
1960-01-01,-1.0
1961-01-01,0.8
1962-01-01,7.5
1963-01-01,7.3
1964-01-01,7.7
1965-01-01,4.8
1966-01-01,-1.6
1967-01-01,-2.6
1968-01-01,7.5
1969-01-01,4.1
1970-01-01,-2.8
1971-01-01,13.0
1972-01-01,11.2
1973-01-01,2.7
1974-01-01,-12.5
1975-01-01,-11.4
1976-01-01,12.8
1977-01-01,13.5
1978-01-01,9.7
1979-01-01,2.8
1980-01-01,-9.2
1981-01-01,0.2
1982-01-01,-8.8
1983-01-01,9.8
1984-01-01,14.4
1985-01-01,4.6
1986-01-01,0.9
1987-01-01,-0.2
1988-01-01,-0.3
1989-01-01,-1.1
1990-01-01,-4.2
1991-01-01,-10.0
1992-01-01,4.9
1993-01-01,4.8
1994-01-01,6.3
1995-01-01,0.2
1996-01-01,7.3
1997-01-01,4.4
1998-01-01,7.4
1999-01-01,3.9
2000-01-01,3.5
2001-01-01,0.0
2002-01-01,-3.3
2003-01-01,4.8
2004-01-01,6.8
2005-01-01,5.3
2006-01-01,-3.0
2007-01-01,-7.8
2008-01-01,-11.0
2009-01-01,-20.2
2010-01-01,-10.2
2011-01-01,1.4
2012-01-01,13.3
2013-01-01,6.6
2014-01-01,7.6
2015-01-01,5.3
2016-01-01,2.2
2017-01-01,3.5
2018-01-01,2.1
2019-01-01,0.5
2020-01-01,0.1
2021-01-01,5.5
2022-01-01,-4.2
2023-01-01,-0.8
