Date,Air,All other electric,Alternative electric,Amusement and recreation,Brokers' commissions and other ownership transfer costs,Brokers' commissions on sale of structures,Commercial and health care,Communication,Dormitories,Educational and vocational,Electric,Farm,Food and beverage establishments,Health care,Hospitals,Hospitals and special care,Improvements,Land,Lodging,Manufactured homes,Manufacturing,Medical buildings,Mining,"Mining exploration, shafts, and wells",Multifamily structures,Multimerchandise shopping,Net purchases of used structures,Nonresidential,Nonresidential structures,Office,Other,Other commercial,Other power,Other structures,Permanent site,Petroleum and natural gas,Power,Power and communication,Private fixed investment in new structures,Religious,Residential,Residential structures,Single-family structures,Special care,Transportation,Warehouses
1930-01-01,-0.02,,,-0.21,-0.22,-0.17,-2.31,0.13,-0.15,0.08,0.43,-0.66,-0.25,0.02,0.12,0.15,-0.38,-0.13,-0.12,,-3.64,-0.13,,-1.03,,-0.47,0.07,-8.29,-8.2,-1.07,-0.11,-0.33,-0.6,-0.98,-15.7,,-0.17,-0.04,-24.43,-0.01,-16.39,-16.23,,0.03,-0.15,-0.21
1931-01-01,-0.08,,,-0.79,-0.35,-0.24,-5.67,-2.26,-0.63,-0.05,-2.11,-0.5,-0.54,-0.67,-0.32,-0.4,-2.19,-3.66,-0.53,,-3.94,-0.27,,-2.33,,-1.0,-0.005,-23.19,-22.93,-2.31,-0.21,-0.71,-0.3,-4.875,-2.18,,-2.41,-4.67,-27.92,-0.51,-5.34,-5.0,,-0.08,-3.74,-0.45
1932-01-01,-0.13,,,-1.24,0.33,-0.19,-4.67,-1.5,-0.16,-0.82,-2.37,-0.42,-0.41,-0.88,-0.55,-0.68,-1.36,-5.21,-0.82,,-3.22,-0.21,,1.17,,-0.76,-0.02,-23.08,-22.89,-1.75,-0.26,-0.54,-2.64,-5.54,-16.54,,-5.02,-6.52,-40.96,-0.74,-17.78,-18.07,,-0.13,-5.34,-0.34
1933-01-01,-0.05,,,-0.44,-0.68,0.03,-4.58,-1.83,-0.07,-1.64,-2.23,0.27,-0.36,-1.23,-0.84,-1.04,2.53,-2.0,-0.39,,4.5,-0.18,,-1.81,,-0.67,0.12,-14.05,-14.21,-1.54,0.07,-0.47,-3.1,-1.5550000000000002,-8.31,,-5.33,-7.17,-20.05,-0.97,-6.41,-5.84,,-0.2,-2.06,-0.3
1934-01-01,-0.04,,,-0.48,5.9,-0.14,1.29,-0.02,0.11,-0.12,0.04,0.32,0.14,-0.03,-0.08,-0.1,2.74,3.08,-0.14,,-0.75,0.07,,4.13,,0.26,0.275,7.71,7.51,0.61,-0.44,0.19,0.81,5.6000000000000005,2.92,,0.85,0.83,13.29,-0.15,11.9,5.78,,-0.02,3.04,0.12
1935-01-01,0.0,,,-0.07,-2.84,0.09,1.79,0.17,0.09,0.12,0.85,1.39,0.18,0.13,0.03,0.04,3.25,0.11,0.05,,-1.65,0.09,,2.25,,0.33,-0.205,6.15,6.04,0.76,-0.19,0.23,0.91,0.9450000000000001,16.12,,1.77,1.93,25.5,0.29,16.19,19.45,,0.01,0.11,0.15
1936-01-01,0.04,,,0.31,-1.14,0.13,2.53,0.48,0.09,0.75,1.69,0.54,0.24,0.34,0.18,0.22,1.52,1.93,0.29,,3.46,0.12,,1.98,,0.44,-2.505,15.95,15.82,1.01,-0.08,0.31,1.76,-0.2450000000000001,16.65,,3.45,3.93,34.07,0.14,12.1,18.26,,0.04,1.96,0.2
1937-01-01,0.03,,,0.32,-0.4,0.1,1.79,0.86,0.12,-0.11,1.69,0.36,0.16,0.35,0.22,0.27,-0.17,0.77,0.21,,4.74,0.08,,2.76,,0.29,-0.024999999999999998,13.97,13.86,0.66,0.11,0.2,0.23,0.7,4.16,,1.92,2.78,17.97,0.11,3.66,4.11,,0.05,0.81,0.13
1938-01-01,0.04,,,0.32,-0.36,-0.18,-2.15,-0.11,-0.06,-0.04,0.98,-0.25,-0.23,-0.03,0.07,0.08,-0.98,-2.13,0.24,,-5.32,-0.12,,-1.41,,-0.42,0.165,-11.18,-10.95,-0.97,0.01,-0.3,-1.25,-1.4649999999999999,1.5,,-0.27,-0.39,-10.48,0.15,0.49,0.47,,0.02,-2.1,-0.19
1939-01-01,0.01,,,0.1,0.29,0.03,0.13,0.01,0.12,-0.02,0.89,0.25,0.02,-0.08,-0.08,-0.09,0.73,1.0,0.08,,0.73,0.01,,-0.59,,0.04,1.78,2.72,3.07,0.1,-0.01,0.03,0.57,3.035,15.55,,1.45,1.46,19.47,-0.07,20.63,16.4,,-0.02,1.01,0.02
