Date,Air,All other electric,Alternative electric,Amusement and recreation,Brokers' commissions and other ownership transfer costs,Brokers' commissions on sale of structures,Commercial and health care,Communication,Dormitories,Educational and vocational,Electric,Farm,Food and beverage establishments,Health care,Hospitals,Hospitals and special care,Improvements,Land,Lodging,Manufactured homes,Manufacturing,Medical buildings,Mining,"Mining exploration, shafts, and wells",Multifamily structures,Multimerchandise shopping,Nonresidential,Nonresidential structures,Office,Other,Other commercial,Other power,Other structures,Permanent site,Petroleum and natural gas,Power,Power and communication,Private fixed investment in new structures,Private fixed investment in structures,Religious,Residential,Residential structures,Single-family structures,Special care,Transportation,Warehouses
1929-01-01,20.83,,,41.248,5.145,4.468,19.756,18.642,49.845,19.997,14.564,42.988,43.028,11.285,9.844,10.16,5.074,157.346,12.646,,42.165,13.945,,29.16,,26.995,28.532,30.307,22.46,177.379,30.811,53.174,18.403000000000002,25.444,,23.605,21.966,21.703,19.059,126.165,13.557,16.139,,11.725,129.328,9.929
1930-01-01,19.196,,,37.879,4.793,3.489,16.298,19.303,41.715,21.288,16.276,23.293,34.308,11.413,11.194,11.554,4.674,155.19,11.714,,26.318,11.119,,22.434,,21.524,24.417,25.967,17.908,152.137,24.567,44.823,17.1425,13.641,,23.075,21.886,16.228,14.356,125.592,8.331,9.523,,13.333,127.328,7.917
1931-01-01,13.998,,,27.941,4.382,2.381,9.827,10.404,16.148,20.677,10.178,11.612,20.087,7.963,8.344,8.612,2.959,108.144,8.399,,12.63,6.51,,12.583,,12.602,15.714,16.787,10.485,116.403,14.384,41.752,12.2075,12.413,,17.536,15.049,11.512,10.26,92.655,7.058,7.999,,9.939,88.829,4.635
1932-01-01,8.0,,,16.424,4.659,1.759,5.861,6.271,11.326,13.045,5.515,4.463,12.056,4.613,4.776,4.929,2.178,62.78,4.597,,4.68,3.907,,15.799,,7.564,9.623,10.342,6.293,84.716,8.633,23.499,7.5055,5.597,,9.7,8.511,6.572,6.067,57.211,3.956,3.966,,5.689,51.549,2.782
1933-01-01,6.576,,,14.047,4.306,1.825,3.446,3.299,10.036,3.844,2.993,7.241,7.624,1.781,1.453,1.499,3.057,52.808,3.534,,10.981,2.471,,13.058,,4.783,7.465,8.012,3.98,89.797,5.46,11.197,6.336,3.521,,4.913,4.355,5.145,4.826,29.143,3.277,3.174,,1.73,43.338,1.759
1934-01-01,5.77,,,12.015,6.698,1.607,3.992,3.27,11.662,3.289,3.028,9.791,9.022,1.73,1.2,1.238,3.801,65.665,3.24,,10.192,2.922,,18.515,,5.66,8.417,9.003,4.71,65.642,6.461,13.707,7.4384999999999994,4.089,,5.508,4.733,5.898,5.772,25.562,4.259,3.784,,1.429,53.509,2.082
1935-01-01,5.757,,,11.668,5.344,1.773,4.876,3.529,13.12,3.941,3.896,21.904,11.075,2.019,1.326,1.369,4.838,66.26,3.375,,8.241,3.589,,22.508,,6.948,9.338,9.969,5.781,53.741,7.93,16.975,7.9270000000000005,7.769,,6.938,5.758,7.631,7.061,33.51,5.83,6.196,,1.58,53.983,2.556
1936-01-01,6.908,,,13.568,4.68,2.049,6.399,4.43,14.858,8.687,5.973,27.687,14.39,2.903,2.108,2.175,5.435,78.743,4.244,,13.161,4.664,,26.811,,9.028,12.258,13.058,7.511,47.561,10.304,24.582,8.7965,12.43,,10.309,8.279,10.464,9.042,38.165,7.271,8.971,,2.51,64.165,3.321
1937-01-01,8.161,,,15.99,4.383,2.32,7.75,6.588,17.998,7.869,8.654,32.901,17.122,4.037,3.301,3.406,5.35,85.212,5.031,,21.656,5.549,,34.748,,10.742,15.545,16.538,8.937,58.218,12.26,25.881,9.5295,13.916,,12.732,10.595,12.377,10.636,42.461,7.826,9.768,,3.925,69.556,3.951
1938-01-01,9.754,,,18.877,4.072,1.74,5.856,6.233,16.148,7.466,10.512,28.439,12.429,3.914,3.726,3.846,4.784,63.764,6.118,,10.349,4.028,,30.109,,7.798,12.438,13.291,6.488,58.832,8.9,17.547,8.4215,14.546,,12.321,10.207,11.064,9.498,49.191,7.912,9.874,,4.438,52.696,2.868
