Date,Air,All other electric,Alternative electric,Amusement and recreation,Brokers' commissions and other ownership transfer costs,Brokers' commissions on sale of structures,Commercial and health care,Communication,Dormitories,Educational and vocational,Electric,Farm,Food and beverage establishments,Health care,Hospitals,Hospitals and special care,Improvements,Land,Lodging,Manufactured homes,Manufacturing,Medical buildings,Mining,"Mining exploration, shafts, and wells",Multifamily structures,Multimerchandise shopping,Nonresidential,Nonresidential structures,Office,Other,Other commercial,Other power,Other structures,Permanent site,Petroleum and natural gas,Power,Power and communication,Private fixed investment in new structures,Private fixed investment in structures,Religious,Residential,Residential structures,Single-family structures,Special care,Transportation,Warehouses
1929-01-01,3.454,,,3.439,3.73,4.935,3.451,8.056,3.81,2.919,3.689,3.274,3.306,3.83,3.744,3.744,3.754,5.108,3.443,,3.217,4.079,,1.476,,3.309,3.235,3.196,3.206,3.939,3.552,2.778,4.248,3.63,,3.369,4.29,3.643,3.676,3.25,3.881,3.859,,3.745,4.865,3.36
1930-01-01,3.242,,,3.227,3.66,4.675,3.382,7.318,3.706,2.696,3.556,3.043,3.262,3.611,3.451,3.451,3.672,4.831,3.232,,2.889,4.025,,1.439,,3.266,3.062,3.025,3.164,3.832,3.505,2.68,4.076499999999999,3.551,,3.249,4.055,3.49,3.524,2.998,3.797,3.774,,3.452,4.6,3.315
1931-01-01,2.757,,,2.745,3.328,4.059,2.939,6.769,3.419,2.353,3.394,2.616,2.833,3.15,3.016,3.016,3.332,4.4,2.749,,2.501,3.495,,1.71,,2.836,2.802,2.768,2.747,3.478,3.044,2.557,3.6639999999999997,3.211,,3.1,3.834,3.181,3.212,2.619,3.439,3.416,,3.016,4.182,2.879
1932-01-01,2.364,,,2.353,2.723,3.435,2.413,5.885,2.73,1.976,3.035,2.269,2.318,2.621,2.523,2.523,2.717,4.142,2.356,,2.26,2.86,,1.362,,2.321,2.432,2.402,2.248,2.964,2.491,2.28,3.135,2.611,,2.768,3.4,2.699,2.718,2.194,2.8,2.778,,2.524,3.929,2.356
1933-01-01,2.361,,,2.35,2.655,3.31,2.235,5.787,2.641,1.898,3.026,2.097,2.137,2.495,2.44,2.44,2.677,3.978,2.353,,2.291,2.636,,1.648,,2.139,2.457,2.426,2.072,3.002,2.296,2.284,3.0575,2.575,,2.766,3.384,2.704,2.717,2.106,2.752,2.738,,2.441,3.777,2.172
1934-01-01,2.609,,,2.597,2.959,3.76,2.509,6.098,3.03,2.071,3.346,2.585,2.403,2.757,2.658,2.658,2.97,3.916,2.6,,2.678,2.965,,1.162,,2.406,2.464,2.435,2.331,3.376,2.582,2.517,3.282,2.878,,3.054,3.691,2.813,2.848,2.292,3.069,3.054,,2.659,3.726,2.442
1935-01-01,2.602,,,2.59,2.923,3.748,2.494,6.251,3.03,2.098,3.428,2.635,2.388,2.755,2.672,2.672,2.932,3.881,2.593,,2.74,2.946,,1.434,,2.39,2.579,2.549,2.316,3.343,2.566,2.582,3.2555,2.839,,3.131,3.784,2.876,2.901,2.331,3.029,3.013,,2.673,3.693,2.427
1936-01-01,2.716,,,2.703,3.057,3.981,2.639,6.416,3.121,2.24,3.573,2.633,2.526,2.931,2.858,2.858,3.081,3.958,2.707,,2.889,3.116,,1.204,,2.528,2.575,2.544,2.449,3.517,2.714,2.691,3.3815,2.98,,3.263,3.932,2.937,2.967,2.485,3.18,3.164,,2.859,3.769,2.567
1937-01-01,3.076,,,3.062,3.396,4.558,2.968,6.568,3.436,2.597,3.867,2.708,2.833,3.359,3.33,3.329,3.404,4.384,3.066,,3.247,3.495,,1.548,,2.836,2.926,2.89,2.747,3.745,3.044,2.917,3.7425,3.274,,3.534,4.214,3.289,3.322,2.89,3.498,3.48,,3.33,4.176,2.879
1938-01-01,3.05,,,3.036,3.531,4.514,3.007,6.262,3.556,2.606,3.9,2.706,2.874,3.375,3.329,3.329,3.526,4.244,3.04,,3.204,3.545,,1.447,,2.877,2.871,2.836,2.787,3.794,3.088,2.938,3.7805,3.378,,3.562,4.201,3.304,3.339,2.892,3.613,3.593,,3.33,4.045,2.921
