Date,Air,All other electric,Alternative electric,Amusement and recreation,Brokers' commissions and other ownership transfer costs,Brokers' commissions on sale of structures,Commercial and health care,Communication,Dormitories,Educational and vocational,Electric,Farm,Food and beverage establishments,Health care,Hospitals,Hospitals and special care,Improvements,Land,Lodging,Manufactured homes,Manufacturing,Medical buildings,Mining,"Mining exploration, shafts, and wells",Multifamily structures,Multimerchandise shopping,Net purchases of used structures,Nonresidential,Nonresidential structures,Office,Other,Other commercial,Other power,Other structures,Permanent site,Petroleum and natural gas,Power,Power and communication,Private fixed investment in new structures,Private fixed investment in structures,Religious,Residential,Residential structures,Single-family structures,Special care,Transportation,Warehouses
1929-01-01,25.0,,,247.0,308.0,73.0,1239.0,354.0,86.0,120.0,350.0,139.0,116.0,163.0,84.0,104.0,454.0,887.0,151.0,,949.0,59.0,,420.0,,215.0,-41.0,5491.0,5466.0,496.0,73.0,152.0,364.0,1314.5,3179.0,,714.0,1068.0,9185.0,9484.0,147.0,3993.0,3719.0,,20.0,912.0,97.0
1930-01-01,22.0,,,213.0,281.0,54.0,1002.0,333.0,70.0,118.0,377.0,70.0,91.0,155.0,88.0,109.0,409.0,828.0,132.0,,532.0,46.0,,315.0,,169.0,-33.0,4448.0,4433.0,390.0,61.0,120.0,296.0,1163.0,1667.0,,673.0,1006.0,6579.0,6848.0,135.0,2400.0,2146.0,,21.0,849.0,76.0
1931-01-01,13.0,,,134.0,234.0,32.0,525.0,166.0,25.0,100.0,225.0,30.0,46.0,95.0,57.0,71.0,235.0,525.0,80.0,,221.0,24.0,,210.0,,86.0,-29.5,2619.0,2622.0,198.0,42.0,61.0,263.0,739.5,1372.0,,488.0,654.0,4254.0,4461.0,87.0,1842.0,1632.0,,14.0,539.0,39.0
1932-01-01,7.0,,,67.0,203.0,20.0,257.0,87.0,14.0,53.0,109.0,10.0,23.0,46.0,27.0,34.0,141.0,287.0,38.0,,74.0,12.0,,210.0,,42.0,-25.5,1392.0,1402.0,97.0,26.0,30.0,132.0,430.0,503.0,,241.0,328.0,2060.0,2232.0,45.0,840.0,658.0,,7.0,294.0,19.0
1933-01-01,5.0,,,58.0,183.0,20.0,140.0,45.0,12.0,15.0,59.0,15.0,13.0,17.0,8.0,10.0,195.0,232.0,29.0,,176.0,7.0,,210.0,,25.0,-22.0,1091.0,1097.0,57.0,28.0,17.0,63.0,385.0,312.0,,122.0,167.0,1616.0,1775.0,22.0,684.0,519.0,,2.0,237.0,11.0
1934-01-01,5.0,,,54.0,318.0,20.0,182.0,47.0,16.0,14.0,66.0,25.0,18.0,18.0,7.0,9.0,269.0,284.0,29.0,,191.0,9.0,,210.0,,33.0,-19.5,1234.0,1237.0,76.0,23.0,23.0,85.0,520.0,405.0,,151.0,198.0,1927.0,2226.0,21.0,992.0,690.0,,2.0,289.0,15.0
1935-01-01,5.0,,,53.0,250.0,22.0,221.0,52.0,18.0,17.0,87.0,57.0,22.0,21.0,8.0,10.0,338.0,284.0,30.0,,158.0,11.0,,315.0,,40.0,-24.0,1433.0,1434.0,92.0,19.0,28.0,108.0,536.5,759.0,,195.0,247.0,2549.0,2773.0,28.0,1340.0,1115.0,,2.0,289.0,18.0
1936-01-01,6.0,,,64.0,229.0,27.0,307.0,67.0,21.0,40.0,139.0,72.0,30.0,32.0,14.0,17.0,399.0,344.0,40.0,,266.0,15.0,,315.0,,55.0,-97.0,1878.0,1875.0,127.0,18.0,39.0,163.0,550.0,1275.0,,302.0,369.0,3570.0,3632.0,34.0,1754.0,1695.0,,3.0,351.0,25.0
1937-01-01,9.0,,,85.0,239.0,35.0,418.0,102.0,28.0,42.0,218.0,88.0,40.0,51.0,25.0,31.0,434.0,413.0,54.0,,492.0,20.0,,525.0,,73.0,-109.0,2706.0,2698.0,169.0,23.0,52.0,186.0,637.5,1568.0,,404.0,506.0,4728.0,4784.0,44.0,2078.0,2030.0,,6.0,421.0,33.0
1938-01-01,10.0,,,100.0,230.0,26.0,320.0,92.0,26.0,40.0,267.0,76.0,29.0,50.0,28.0,35.0,402.0,299.0,65.0,,232.0,15.0,,425.0,,54.0,-104.5,2124.0,2127.0,125.0,23.0,38.0,127.0,569.5,1691.0,,394.0,486.0,4246.0,4293.0,51.0,2169.0,2119.0,,7.0,309.0,24.0
