Date,Private fixed investment in equipment
1930-01-01,-20.6
1931-01-01,-32.8
1932-01-01,-41.1
1933-01-01,2.6
1934-01-01,37.7
1935-01-01,36.0
1936-01-01,36.8
1937-01-01,16.1
1938-01-01,-30.1
1939-01-01,15.3
1940-01-01,29.3
1941-01-01,17.3
1942-01-01,-42.5
1943-01-01,-11.1
1944-01-01,33.0
1945-01-01,43.3
1946-01-01,26.1
1947-01-01,36.2
1948-01-01,5.2
1949-01-01,-12.3
1950-01-01,10.6
1951-01-01,2.7
1952-01-01,-2.8
1953-01-01,9.0
1954-01-01,-5.4
1955-01-01,13.6
1956-01-01,2.8
1957-01-01,2.6
1958-01-01,-14.2
1959-01-01,11.9
1960-01-01,3.6
1961-01-01,-2.0
1962-01-01,11.3
1963-01-01,7.8
1964-01-01,12.5
1965-01-01,18.1
1966-01-01,15.3
1967-01-01,-1.0
1968-01-01,6.3
1969-01-01,8.4
1970-01-01,-1.6
1971-01-01,1.0
1972-01-01,12.9
1973-01-01,18.4
1974-01-01,2.1
1975-01-01,-10.4
1976-01-01,6.1
1977-01-01,15.4
1978-01-01,15.0
1979-01-01,8.2
1980-01-01,-4.3
1981-01-01,3.7
1982-01-01,-6.3
1983-01-01,4.8
1984-01-01,19.3
1985-01-01,5.5
1986-01-01,1.3
1987-01-01,0.4
1988-01-01,6.5
1989-01-01,5.2
1990-01-01,-2.1
1991-01-01,-4.6
1992-01-01,5.9
1993-01-01,12.5
1994-01-01,12.1
1995-01-01,12.0
1996-01-01,9.4
1997-01-01,11.0
1998-01-01,13.1
1999-01-01,12.4
2000-01-01,9.7
2001-01-01,-4.2
2002-01-01,-5.2
2003-01-01,4.4
2004-01-01,8.6
2005-01-01,10.3
2006-01-01,9.5
2007-01-01,3.9
2008-01-01,-4.8
2009-01-01,-21.0
2010-01-01,20.1
2011-01-01,13.4
2012-01-01,10.9
2013-01-01,5.6
2014-01-01,8.0
2015-01-01,3.9
2016-01-01,-0.7
2017-01-01,3.9
2018-01-01,5.9
2019-01-01,1.0
2020-01-01,-9.9
2021-01-01,6.7
2022-01-01,4.3
2023-01-01,3.5
