Date,Agricultural machinery,Aircraft,Autos,Communication equipment,Computers and peripheral equipment,Construction machinery,"Electrical equipment, n.e.c.","Electrical transmission, distribution, and industrial apparatus",Engines and turbines,Fabricated metal products,Furniture and fixtures,"General industrial, including materials handling, equipment",Industrial equipment,Information processing equipment,"Less: Sale of equipment scrap, excluding autos",Light trucks (including utility vehicles),Medical equipment and instruments,Metalworking machinery,Mining and oilfield machinery,Nonmedical instruments,Nonresidential equipment,Office and accounting equipment,Other,Other equipment,"Other trucks, buses, and truck trailers",Photocopy and related equipment,Railroad equipment,Residential equipment,Service industry machinery,Ships and boats,"Special industry machinery, n.e.c.",Transportation equipment,"Trucks, buses, and truck trailers"
1930-01-01,-0.52,-0.39,-6.6,-1.09,,-0.41,,,-0.11,-0.33,-1.3,-2.13,,,,,-0.05,-1.17,-1.0,-0.13,-20.42,-0.99,-0.41,,,,0.05,-0.18,-0.67,0.43,-1.65,-8.45,-1.95
1931-01-01,-4.37,-0.18,-4.6,-1.9,,-0.98,,,-0.36,-0.47,-2.15,-2.08,,,,,-0.07,-1.16,-1.07,-0.33,-32.78,-0.86,-0.67,,,,-6.84,-0.07,-0.61,-0.45,-1.37,-14.32,-2.26
1932-01-01,-3.48,-0.33,-7.41,-4.32,,-1.69,,,-0.53,-1.07,-2.65,-3.41,,,,,-0.13,-1.71,-0.32,-0.58,-40.6,-1.01,-0.84,,,,-1.35,-0.56,-1.36,-2.25,-2.19,-15.32,-3.97
1933-01-01,-2.66,0.52,6.03,-1.56,,-0.57,,,-0.14,-0.49,-0.81,-0.2,,,,,-0.01,0.16,0.14,0.01,2.32,0.21,0.06,,,,-1.53,0.28,0.05,-0.53,1.03,7.11,2.62
1934-01-01,3.63,0.49,5.61,2.47,,1.24,,,0.34,0.62,2.66,2.29,,,,,0.05,1.64,1.15,0.08,37.28,0.97,0.53,,,,5.21,0.63,0.77,0.38,0.7,18.14,6.46
1935-01-01,5.61,-0.33,10.04,2.73,,1.43,,,0.33,0.3,0.76,3.24,,,,,0.06,2.57,1.21,0.43,35.39,1.28,0.52,,,,-0.68,0.53,0.89,-0.57,1.78,12.24,3.78
1936-01-01,3.36,-0.03,6.01,1.87,,1.46,,,0.64,0.45,1.11,3.6,,,,,0.07,2.02,1.43,0.27,36.42,0.73,0.63,,,,3.46,0.35,1.64,1.65,2.63,14.51,3.42
1937-01-01,2.26,0.27,0.37,3.62,,0.54,,,0.45,0.27,0.98,0.92,,,,,0.13,1.09,-0.2,0.51,15.96,0.64,-0.36,,,,3.62,0.2,0.5,0.07,0.58,4.04,-0.29
1938-01-01,-1.1,-0.1,-7.11,-2.64,,-0.58,,,-0.41,-0.49,-0.7,-2.67,,,,,-0.09,-2.25,-0.92,-0.33,-29.86,-0.52,-0.3,,,,-4.5,-0.27,-0.93,1.16,-1.8,-14.12,-3.57
1939-01-01,-1.2,0.23,5.78,1.54,,-0.18,,,0.29,0.36,0.54,1.62,,,,,0.09,1.6,0.38,0.32,15.08,0.13,0.37,,,,0.65,0.26,0.53,-1.85,0.49,8.2,3.39
