Date,Agricultural machinery,Aircraft,Autos,Communication equipment,Computers and peripheral equipment,Construction machinery,"Electrical equipment, n.e.c.","Electrical transmission, distribution, and industrial apparatus",Engines and turbines,Fabricated metal products,Furniture and fixtures,"General industrial, including materials handling, equipment",Industrial equipment,Information processing equipment,"Less: Sale of equipment scrap, excluding autos",Light trucks (including utility vehicles),Medical equipment and instruments,Metalworking machinery,Mining and oilfield machinery,Nonmedical instruments,Nonresidential equipment,Office and accounting equipment,Other,Other equipment,"Other trucks, buses, and truck trailers",Photocopy and related equipment,Private fixed investment in equipment,Railroad equipment,Residential equipment,Service industry machinery,Ships and boats,"Special industry machinery, n.e.c.",Transportation equipment,"Trucks, buses, and truck trailers"
1929-01-01,6.158,3.918,18.087,135.645,,3.23,,,5.171,6.628,8.673,5.076,5.936,515.74,,,26.678,6.116,3.271,12.952,25.796,48.166,11.412,,,,26.193,4.613,53.608,13.01,4.284,4.702,9.002,8.349
1930-01-01,6.255,3.593,17.221,121.042,,3.243,,,4.884,6.518,8.727,4.749,5.581,479.462,,,25.932,5.641,3.225,12.589,24.762,48.51,11.04,,,,25.154,4.577,52.893,12.822,4.135,4.418,8.597,7.752
1931-01-01,6.163,3.389,16.569,108.742,,3.094,,,4.365,5.726,8.341,4.476,5.187,446.626,,,25.196,5.286,3.135,12.232,23.471,48.349,10.182,,,,23.816,4.393,47.233,12.378,3.84,4.135,8.208,7.337
1932-01-01,6.049,3.791,15.595,103.133,,2.839,,,4.364,5.464,7.787,4.203,4.834,431.856,,,26.149,4.746,2.908,12.695,22.137,46.81,10.054,,,,22.41,4.283,40.092,10.302,3.49,3.795,7.782,7.04
1933-01-01,6.554,3.32,14.189,97.645,,3.067,,,4.36,5.248,7.568,4.202,4.83,401.043,,,22.303,4.693,2.999,10.828,21.268,44.042,9.93,,,,21.564,4.219,40.996,9.555,3.452,3.852,7.13,6.382
1934-01-01,6.287,3.194,14.944,112.135,,3.214,,,5.005,6.148,7.735,4.585,5.46,432.43,,,23.065,5.522,3.043,11.197,22.468,44.227,10.306,,,,22.766,4.214,42.261,9.751,3.94,4.418,7.364,6.382
1935-01-01,5.975,3.226,14.73,113.858,,3.176,,,5.233,6.206,7.569,4.695,5.515,430.184,,,22.084,5.461,3.044,10.721,22.269,43.115,10.06,,,,22.548,4.684,40.522,9.619,3.999,4.418,7.283,6.084
1936-01-01,5.992,3.159,14.837,113.28,,3.168,,,5.172,5.936,7.346,4.749,5.528,431.336,,,22.184,5.521,2.998,10.77,22.235,43.828,9.936,,,,22.526,4.649,41.646,9.182,4.036,4.418,7.308,6.084
1937-01-01,6.12,3.474,15.054,114.33,,3.465,,,5.46,6.625,7.898,5.24,6.095,434.596,,,21.437,6.115,3.271,10.407,23.507,44.796,11.529,,,,23.808,4.867,43.293,10.056,4.379,4.872,7.563,6.442
1938-01-01,6.184,3.645,15.595,113.251,,3.54,,,5.459,6.63,7.734,5.295,6.174,433.781,,,22.321,6.293,3.453,10.836,24.073,44.617,11.417,,,,24.372,5.012,43.504,10.37,4.381,4.928,7.971,7.216
1939-01-01,5.986,3.643,15.38,111.563,,3.514,,,5.463,6.417,7.567,5.24,6.163,430.48,,,22.302,6.352,3.362,10.827,23.819,44.834,11.229,,,,24.109,5.195,42.437,10.189,4.329,4.984,7.907,7.097
1940-01-01,5.982,3.677,15.704,112.68,,3.626,,,5.689,6.256,7.679,5.404,6.441,436.119,,,23.397,6.828,3.498,11.358,24.457,45.057,11.775,,,,24.733,5.34,41.49,10.434,4.331,5.268,8.098,7.336
1941-01-01,6.03,4.045,17.545,116.038,,3.913,,,6.037,6.521,8.174,5.623,6.788,449.906,,,25.151,7.243,3.771,12.21,26.013,46.061,12.633,,,,26.307,5.521,44.305,11.501,4.774,5.608,8.812,7.813
1942-01-01,6.253,4.318,24.795,121.098,,4.167,,,6.492,6.838,8.946,5.84,6.998,470.667,,,26.525,7.422,3.997,12.877,28.609,48.372,13.5,,,,28.943,6.065,49.641,12.82,4.922,5.721,10.656,9.129
1943-01-01,6.219,4.446,26.093,119.997,,4.238,,,6.265,6.891,8.84,5.841,6.984,464.067,,,25.898,7.421,4.089,12.573,28.758,47.284,14.044,,,,29.094,6.394,49.87,13.203,4.971,5.664,10.883,8.348
1944-01-01,6.165,4.575,31.401,119.409,,4.305,,,6.498,6.89,8.947,5.896,7.048,457.886,,,25.048,7.481,4.225,12.16,29.311,45.831,14.468,,,,29.658,6.356,51.928,13.519,5.168,5.721,11.599,8.887
