Date,Agricultural machinery,Aircraft,Autos,Communication equipment,Computers and peripheral equipment,Construction machinery,"Electrical equipment, n.e.c.","Electrical transmission, distribution, and industrial apparatus",Engines and turbines,Equals: Private fixed investment in new equipment,Fabricated metal products,Furniture and fixtures,"General industrial, including materials handling, equipment",Industrial equipment,Information processing equipment,Less: Dealers' margin on used equipment,Less: Net purchases of used equipment from government,"Less: Sale of equipment scrap, excluding autos",Light trucks (including utility vehicles),Medical equipment and instruments,Metalworking machinery,Mining and oilfield machinery,Nonmedical instruments,Nonresidential equipment,Office and accounting equipment,Other,Other equipment,"Other trucks, buses, and truck trailers",Photocopy and related equipment,Plus: Net exports of used equipment,Plus: Net sales of used equipment,Plus: Sale of equipment scrap,Private fixed investment in equipment,Railroad equipment,Residential equipment,Service industry machinery,Ships and boats,"Special industry machinery, n.e.c.",Transportation equipment,"Trucks, buses, and truck trailers"
1929-01-01,405.0,41.0,1105.0,443.0,,136.0,,,54.0,5537.0,132.0,363.0,504.0,,,,33.0,,,15.0,216.0,143.0,66.0,5492.0,185.0,161.0,,,,,,,5570.0,374.0,78.0,186.0,91.0,376.0,2107.0,496.0
1930-01-01,383.0,17.0,701.0,339.0,,114.0,,,45.0,4230.0,112.0,294.0,359.0,,,,17.0,,,12.0,138.0,87.0,57.0,4180.0,132.0,134.0,,,,,,,4247.0,374.0,67.0,147.0,111.0,266.0,1561.0,358.0
1931-01-01,198.0,9.0,488.0,230.0,,69.0,,,26.0,2685.0,80.0,194.0,255.0,,,,15.0,,,9.0,83.0,41.0,42.0,2643.0,96.0,97.0,,,,,,,2700.0,82.0,57.0,117.0,85.0,194.0,912.0,248.0
1932-01-01,104.0,1.0,271.0,108.0,,21.0,,,12.0,1480.0,49.0,114.0,153.0,,,,15.0,,,6.0,32.0,30.0,28.0,1460.0,67.0,74.0,,,,,,,1495.0,45.0,35.0,65.0,21.0,123.0,474.0,136.0
1933-01-01,72.0,8.0,331.0,80.0,,14.0,,,10.0,1465.0,40.0,99.0,150.0,,,,11.0,,,5.0,34.0,33.0,24.0,1436.0,66.0,74.0,,,,,,,1476.0,22.0,40.0,61.0,13.0,140.0,534.0,160.0
1934-01-01,123.0,15.0,436.0,132.0,,34.0,,,17.0,2140.0,57.0,142.0,200.0,,,,9.0,,,6.0,67.0,51.0,26.0,2098.0,81.0,85.0,,,,,,,2149.0,101.0,51.0,74.0,21.0,172.0,831.0,258.0
1935-01-01,234.0,8.0,643.0,193.0,,64.0,,,25.0,2884.0,64.0,155.0,275.0,,,,9.0,,,7.0,121.0,77.0,34.0,2833.0,106.0,94.0,,,,,,,2893.0,97.0,60.0,92.0,9.0,210.0,1082.0,325.0
1936-01-01,332.0,7.0,822.0,246.0,,106.0,,,43.0,3943.0,74.0,182.0,383.0,,,,10.0,,,9.0,181.0,117.0,42.0,3881.0,129.0,111.0,,,,,,,3953.0,196.0,72.0,134.0,57.0,286.0,1506.0,424.0
1937-01-01,432.0,19.0,849.0,396.0,,139.0,,,64.0,4842.0,94.0,237.0,462.0,,,,11.0,,,14.0,247.0,119.0,61.0,4770.0,158.0,113.0,,,,,,,4853.0,356.0,83.0,168.0,65.0,340.0,1726.0,437.0
1938-01-01,382.0,15.0,524.0,263.0,,113.0,,,44.0,3459.0,70.0,198.0,335.0,,,,12.0,,,10.0,142.0,79.0,47.0,3401.0,132.0,97.0,,,,,,,3471.0,142.0,70.0,127.0,122.0,255.0,1107.0,304.0
