Date,Agricultural machinery,Aircraft,Autos,Communication equipment,Computers and peripheral equipment,Construction machinery,"Electrical equipment, n.e.c.","Electrical transmission, distribution, and industrial apparatus",Engines and turbines,Fabricated metal products,Furniture and fixtures,"General industrial, including materials handling, equipment",Industrial equipment,Information processing equipment,"Less: Sale of equipment scrap, excluding autos",Light trucks (including utility vehicles),Medical equipment and instruments,Metalworking machinery,Mining and oilfield machinery,Nonmedical instruments,Nonresidential equipment,Office and accounting equipment,Other,Other equipment,"Other trucks, buses, and truck trailers",Photocopy and related equipment,Private fixed investment in equipment,Railroad equipment,Residential equipment,Residual,Service industry machinery,Ships and boats,"Special industry machinery, n.e.c.",Transportation equipment,"Trucks, buses, and truck trailers"
2007-01-01,27775.0,34441.0,50010.0,42243.0,72195.0,42588.0,5743.0,36458.0,12737.0,22818.0,49683.0,77649.0,219616.0,204504.0,12656.0,28306.0,61747.0,31392.0,20747.0,29595.0,839875.0,4725.0,65931.0,242905.0,37425.0,6708.0,847064.0,10286.0,7517.0,-19711.0,30132.0,6917.0,38355.0,212911.0,109227.0
2008-01-01,30552.0,36369.0,36920.0,44794.0,77853.0,44334.0,5825.0,33949.0,13025.0,24036.0,46534.0,73080.0,210504.0,215603.0,19324.0,17366.0,63300.0,31021.0,21311.0,29612.0,799734.0,5323.0,62750.0,239489.0,30194.0,7408.0,806730.0,10392.0,7280.0,-37555.0,28114.0,8428.0,35190.0,166883.0,73869.0
2009-01-01,30543.0,23121.0,15634.0,42226.0,79220.0,24467.0,4572.0,27540.0,10703.0,18104.0,34516.0,58442.0,164391.0,204758.0,16644.0,1139.0,59873.0,22353.0,18463.0,24337.0,630217.0,4296.0,53299.0,192219.0,22560.0,6018.0,636986.0,6988.0,6756.0,-35367.0,25942.0,7477.0,27116.0,78090.0,24870.0
2010-01-01,28195.0,33643.0,37687.0,54220.0,91876.0,44432.0,5252.0,29341.0,7765.0,16390.0,34767.0,61755.0,164205.0,239186.0,20094.0,38500.0,63821.0,22009.0,21666.0,27494.0,757758.0,4073.0,54692.0,217803.0,28694.0,6918.0,765043.0,6732.0,7420.0,-44853.0,28775.0,6648.0,27037.0,152421.0,67404.0
2011-01-01,30632.0,37248.0,42230.0,59014.0,91750.0,43870.0,5318.0,31741.0,11707.0,18243.0,37569.0,70102.0,196951.0,250849.0,16760.0,62342.0,66953.0,28073.0,27687.0,29300.0,859632.0,4006.0,58175.0,233645.0,38360.0,8063.0,867456.0,9308.0,8048.0,-42582.0,30257.0,6248.0,37035.0,195800.0,100871.0
2012-01-01,40926.0,37847.0,59377.0,64501.0,101129.0,46053.0,6343.0,33153.0,16090.0,20232.0,39015.0,76107.0,213480.0,274040.0,17562.0,69876.0,72361.0,32575.0,36820.0,33240.0,953945.0,4064.0,53613.0,254669.0,43863.0,7847.0,962039.0,13624.0,8438.0,-46310.0,31730.0,6766.0,35198.0,231821.0,113950.0
2013-01-01,47979.0,39978.0,64575.0,74316.0,100583.0,41523.0,7458.0,35917.0,13544.0,20169.0,39121.0,74600.0,212790.0,293890.0,18019.0,84510.0,80476.0,32088.0,37023.0,33360.0,1006493.0,4479.0,58928.0,262341.0,44975.0,7321.0,1015752.0,15031.0,9507.0,-44489.0,30136.0,8268.0,36357.0,257666.0,129585.0
2014-01-01,48745.0,45374.0,64478.0,85963.0,100380.0,46634.0,7297.0,36752.0,12760.0,21688.0,40770.0,78268.0,223506.0,312883.0,16272.0,99412.0,82374.0,33370.0,41310.0,36133.0,1086022.0,5163.0,63829.0,281321.0,51284.0,7133.0,1096591.0,18553.0,10763.0,-39271.0,32484.0,8075.0,40599.0,287386.0,150792.0
2015-01-01,37281.0,46205.0,66074.0,102599.0,100412.0,38976.0,7609.0,36412.0,13189.0,21737.0,43556.0,80989.0,225715.0,336678.0,8999.0,120628.0,87339.0,33930.0,29671.0,35393.0,1127210.0,5483.0,66640.0,256927.0,57942.0,7099.0,1139252.0,19314.0,12149.0,-21365.0,33145.0,8449.0,39395.0,318711.0,178648.0
2016-01-01,29349.0,41285.0,56736.0,118944.0,99667.0,37345.0,7539.0,38461.0,12007.0,20476.0,44964.0,81089.0,224929.0,356110.0,7545.0,136871.0,90198.0,31659.0,22536.0,34671.0,1117477.0,5148.0,66380.0,241869.0,45602.0,7728.0,1131079.0,15715.0,13619.0,-15841.0,33775.0,6391.0,41221.0,302563.0,182470.0
