Date,Aerospace products and parts manufacturing,All other nonmanufacturing,Books,Business,"Chemical manufacturing, excluding pharmaceutical and medicine",Computer systems design and related services,Custom,"Entertainment, literary, and artistic originals",Financial and real estate services,Long-lived television programs,Manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing",Music,Nonmanufacturing,Nonprofit institutions serving households,Other,Other computer and electronic product manufacturing,Other manufacturing,Other nonmanufacturing,Other nonprofit institutions,Own account,Pharmaceutical and medicine manufacturing,Prepackaged,Private fixed investment in intellectual property products,Research and development,Scientific research and development services,Semiconductor and other electronic component manufacturing,Software,Software publishers,Theatrical movies,Universities and colleges
1930-01-01,,,-11.4,,,,,-4.3,,,,,-22.8,,,-11.4,,,,,,,,0.8,10.9,,,,,4.7,
1931-01-01,,,-5.9,,,,,-18.0,,,,,-47.1,,,-4.1,,,,,,,,-4.0,21.1,,,,,-19.5,
1932-01-01,,,-11.3,,,,,-4.5,,,,,-49.6,,,-8.0,,,,,,,,-2.9,-0.3,,,,,7.0,
1933-01-01,,,-18.4,,,,,6.4,,,,,-10.2,,,-6.9,,,,,,,,4.3,1.2,,,,,21.0,
1934-01-01,,,19.3,,,,,15.9,,,,,26.3,,,6.1,,,,,,,,14.9,13.7,,,,,15.3,
1935-01-01,,,11.8,,,,,13.0,,,,,23.9,,,6.7,,,,,,,,10.5,7.3,,,,,13.4,
1936-01-01,,,7.7,,,,,18.9,,,,,10.1,,,5.6,,,,,,,,11.8,1.8,,,,,24.0,
1937-01-01,,,11.8,,,,,8.2,,,,,3.4,,,4.7,,,,,,,,5.3,0.5,,,,,7.7,
1938-01-01,,,0.8,,,,,4.4,,,,,20.5,,,6.0,,,,,,,,7.6,13.1,,,,,4.5,
1939-01-01,,,-4.4,,,,,-0.8,,,,,29.6,,,5.9,,,,,,,,1.6,5.6,,,,,-2.2,
1940-01-01,,,11.0,,,,,-2.6,,,,,0.6,,,6.2,,,,,,,,4.6,15.5,,,,,-7.2,
1941-01-01,,,7.9,,,,,17.7,,,,,53.0,,,7.8,,,,,,,,30.5,46.3,,,,,18.5,
1942-01-01,,,14.7,,,,,-3.0,,,,,8.5,,,9.9,,,,,,,,-4.6,-6.2,,,,,-10.1,
1943-01-01,,,1.9,,,,,11.5,,,,,20.1,,,9.0,,,,,,,,-13.6,-34.6,,,,,14.0,
