Date,Private fixed investment in intellectual property products
1930-01-01,0.8
1931-01-01,-4.0
1932-01-01,-2.9
1933-01-01,4.3
1934-01-01,14.9
1935-01-01,10.5
1936-01-01,11.8
1937-01-01,5.3
1938-01-01,7.6
1939-01-01,1.6
1940-01-01,4.6
1941-01-01,30.5
1942-01-01,-4.6
1943-01-01,-13.6
1944-01-01,-0.3
1945-01-01,12.7
1946-01-01,21.7
1947-01-01,0.1
1948-01-01,-2.3
1949-01-01,-1.9
1950-01-01,8.3
1951-01-01,-1.8
1952-01-01,24.9
1953-01-01,20.8
1954-01-01,5.3
1955-01-01,8.5
1956-01-01,16.5
1957-01-01,3.6
1958-01-01,4.6
1959-01-01,8.8
1960-01-01,6.1
1961-01-01,11.0
1962-01-01,4.7
1963-01-01,9.9
1964-01-01,4.5
1965-01-01,12.7
1966-01-01,13.2
1967-01-01,7.7
1968-01-01,7.5
1969-01-01,5.4
1970-01-01,-0.1
1971-01-01,0.4
1972-01-01,7.0
1973-01-01,5.0
1974-01-01,2.9
1975-01-01,0.9
1976-01-01,10.8
1977-01-01,6.6
1978-01-01,7.1
1979-01-01,11.7
1980-01-01,5.0
1981-01-01,10.9
1982-01-01,6.2
1983-01-01,7.9
1984-01-01,13.7
1985-01-01,9.0
1986-01-01,7.0
1987-01-01,3.9
1988-01-01,7.1
1989-01-01,11.7
1990-01-01,8.4
1991-01-01,6.4
1992-01-01,5.8
1993-01-01,4.2
1994-01-01,3.9
1995-01-01,7.1
1996-01-01,11.2
1997-01-01,13.1
1998-01-01,11.0
1999-01-01,13.0
2000-01-01,9.5
2001-01-01,1.0
2002-01-01,-0.8
2003-01-01,3.8
2004-01-01,4.9
2005-01-01,7.4
2006-01-01,5.8
2007-01-01,6.3
2008-01-01,3.8
2009-01-01,-0.5
2010-01-01,2.7
2011-01-01,6.2
2012-01-01,5.0
2013-01-01,6.3
2014-01-01,6.3
2015-01-01,4.7
2016-01-01,9.5
2017-01-01,6.9
2018-01-01,8.9
2019-01-01,8.2
2020-01-01,4.5
2021-01-01,10.2
2022-01-01,11.2
2023-01-01,5.8
