Date,Aerospace products and parts manufacturing,All other nonmanufacturing,Books,Business,"Chemical manufacturing, excluding pharmaceutical and medicine",Computer systems design and related services,Custom,"Entertainment, literary, and artistic originals",Financial and real estate services,Long-lived television programs,Manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing",Music,Nonmanufacturing,Nonprofit institutions serving households,Other,Other computer and electronic product manufacturing,Other manufacturing,Other nonmanufacturing,Other nonprofit institutions,Own account,Pharmaceutical and medicine manufacturing,Prepackaged,Research and development,Scientific research and development services,Semiconductor and other electronic component manufacturing,Software,Software publishers,Theatrical movies,Universities and colleges
1930-01-01,,,-2.09,,,,,-2.9,,,,,-1.89,,,-0.58,,,,,,,,3.6,,,,,1.66,
1931-01-01,,,-0.96,,,,,-11.57,,,,,-3.34,,,-0.18,,,,,,,,7.51,,,,,-7.09,
1932-01-01,,,-1.88,,,,,-2.55,,,,,-2.45,,,-0.36,,,,,,,,-0.11,,,,,2.14,
1933-01-01,,,-2.9,,,,,3.64,,,,,-0.27,,,-0.3,,,,,,,,0.55,,,,,7.11,
1934-01-01,,,2.37,,,,,9.16,,,,,0.55,,,0.25,,,,,,,,5.77,,,,,6.0,
1935-01-01,,,1.47,,,,,7.47,,,,,0.5,,,0.25,,,,,,,,3.14,,,,,5.25,
1936-01-01,,,0.96,,,,,10.99,,,,,0.23,,,0.2,,,,,,,,0.69,,,,,9.6,
1937-01-01,,,1.39,,,,,5.04,,,,,0.08,,,0.16,,,,,,,,0.18,,,,,3.41,
1938-01-01,,,0.1,,,,,2.83,,,,,0.49,,,0.2,,,,,,,,4.79,,,,,2.04,
1939-01-01,,,-0.52,,,,,-0.48,,,,,0.83,,,0.2,,,,,,,,2.09,,,,,-0.99,
1940-01-01,,,1.22,,,,,-1.59,,,,,0.02,,,0.21,,,,,,,,6.16,,,,,-3.04,
1941-01-01,,,0.91,,,,,9.77,,,,,1.8,,,0.27,,,,,,,,20.79,,,,,6.79,
1942-01-01,,,1.31,,,,,-1.42,,,,,0.27,,,0.27,,,,,,,,-3.28,,,,,-3.27,
1943-01-01,,,0.19,,,,,5.25,,,,,0.69,,,0.27,,,,,,,,-18.82,,,,,4.11,
1944-01-01,,,1.58,,,,,0.33,,,,,0.04,,,0.31,,,,,,,,-0.62,,,,,-1.6,
1945-01-01,,,1.07,,,,,11.96,,,,,1.88,,,0.23,,,,,,,,0.76,,,,,8.78,
1946-01-01,,,-2.66,,,,,1.96,,,,,1.5,,,0.36,,,,,,,,19.78,,,,,2.76,
1947-01-01,,,0.35,,,,,-6.63,,,,,-1.34,,,0.19,,,,,,,,6.77,,,,,-5.83,
1948-01-01,,,-0.41,,,,,-3.15,,,,,-0.41,,,0.03,,,,,,,,0.82,,,,,-2.36,
1949-01-01,,,-0.3,,,,,5.07,,,,,-0.08,,,0.1,,,,,,,,-6.96,,,,,4.33,
