Date,Aerospace products and parts manufacturing,All other nonmanufacturing,Books,Business,"Chemical manufacturing, excluding pharmaceutical and medicine",Computer systems design and related services,Custom,"Entertainment, literary, and artistic originals",Financial and real estate services,Long-lived television programs,Manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing",Music,Nonmanufacturing,Nonprofit institutions serving households,Other,Other computer and electronic product manufacturing,Other manufacturing,Other nonmanufacturing,Other nonprofit institutions,Own account,Pharmaceutical and medicine manufacturing,Prepackaged,Private fixed investment in intellectual property products,Research and development,Scientific research and development services,Semiconductor and other electronic component manufacturing,Software,Software publishers,Theatrical movies,Universities and colleges
1929-01-01,,,4.503,,,,,8.531,,,,,7.975,,,7.42,,,,,,,,16.111,9.035,,,,,9.3,
1930-01-01,,,4.346,,,,,8.152,,,,,7.454,,,7.057,,,,,,,,15.423,8.68,,,,,8.889,
1931-01-01,,,4.142,,,,,7.748,,,,,8.562,,,6.613,,,,,,,,14.451,7.959,,,,,8.193,
1932-01-01,,,3.977,,,,,7.349,,,,,9.808,,,6.206,,,,,,,,13.13,6.845,,,,,7.558,
1933-01-01,,,3.772,,,,,6.868,,,,,8.239,,,5.95,,,,,,,,12.216,6.331,,,,,7.052,
1934-01-01,,,3.735,,,,,6.905,,,,,7.625,,,6.06,,,,,,,,12.433,6.553,,,,,7.149,
1935-01-01,,,3.736,,,,,6.937,,,,,7.118,,,6.186,,,,,,,,12.635,6.766,,,,,7.211,
1936-01-01,,,3.771,,,,,7.058,,,,,7.592,,,6.265,,,,,,,,12.938,6.996,,,,,7.337,
1937-01-01,,,3.831,,,,,7.288,,,,,8.299,,,6.492,,,,,,,,13.442,7.343,,,,,7.586,
1938-01-01,,,3.892,,,,,7.385,,,,,8.542,,,6.575,,,,,,,,13.378,7.089,,,,,7.675,
1939-01-01,,,3.927,,,,,7.359,,,,,9.151,,,6.525,,,,,,,,13.451,7.231,,,,,7.583,
1940-01-01,,,3.914,,,,,7.462,,,,,10.034,,,6.554,,,,,,,,13.661,7.361,,,,,7.676,
1941-01-01,,,4.091,,,,,7.558,,,,,7.551,,,6.73,,,,,,,,14.442,8.153,,,,,7.937,
1942-01-01,,,3.977,,,,,7.924,,,,,8.175,,,7.029,,,,,,,,16.046,9.548,,,,,8.492,
1943-01-01,,,4.275,,,,,8.451,,,,,8.403,,,7.482,,,,,,,,17.723,10.956,,,,,9.075,
1944-01-01,,,4.395,,,,,9.27,,,,,8.658,,,7.997,,,,,,,,19.251,11.738,,,,,10.261,
1945-01-01,,,4.562,,,,,9.581,,,,,7.951,,,8.279,,,,,,,,19.781,11.949,,,,,10.743,
1946-01-01,,,4.73,,,,,10.2,,,,,10.024,,,8.662,,,,,,,,20.834,12.402,,,,,11.251,
1947-01-01,,,5.109,,,,,11.296,,,,,13.006,,,9.501,,,,,,,,22.877,13.495,,,,,12.183,
1948-01-01,,,5.591,,,,,11.696,,,,,12.804,,,9.925,,,,,,,,24.063,14.391,,,,,12.538,
1949-01-01,,,5.961,,,,,11.955,,15.48,,,12.26,,,10.221,,,,,,,,24.105,14.144,,,,,12.808,
1950-01-01,,,6.045,,,,,12.063,,15.773,,,11.924,,,10.499,,,,,,,,24.669,14.678,,,,,12.95,
1951-01-01,,,6.19,,,,,12.412,,16.215,,,11.971,,,11.044,,,,,,,,26.185,15.973,,,,,13.375,
1952-01-01,,,6.585,,,,,12.656,,16.358,,,11.744,,,11.642,,,,,,,,26.517,16.103,,,,,13.521,
1953-01-01,,,6.874,,,,,13.014,,16.842,,,11.569,,,12.257,,,,,,,,26.979,16.288,,,,,13.916,
1954-01-01,,,6.945,,,,,13.382,,17.513,,,11.271,,,12.744,,,,,,,,27.172,16.226,,,,,14.478,
1955-01-01,,,7.078,,,,,13.899,,18.121,,,12.422,,,13.115,,,,,,,,27.818,16.475,,,,,14.975,
1956-01-01,,,7.174,,,,,14.358,,18.551,,,13.854,,,13.524,,,,,,,,28.876,17.146,,,,,15.322,
1957-01-01,,,7.689,,,,,15.087,,19.176,,,15.428,,,14.117,,,,,,,,29.793,17.536,,,,,15.858,
1958-01-01,,,8.179,,,,,15.809,,19.793,,,17.104,,,14.755,,,,,,,,30.515,17.757,,,,,16.363,
1959-01-01,17.876,,8.308,18.088,17.894,,,16.017,,20.169,17.884,17.876,16.856,18.507,17.792,15.069,17.877,17.885,,17.729,,17.894,,31.012,18.074,,17.873,217.423,,16.631,17.612
1960-01-01,18.012,,8.353,18.225,18.029,,,16.553,,21.244,18.02,18.011,16.595,18.647,17.974,15.378,18.013,18.021,,17.896,,18.03,,31.484,18.214,,18.007,206.114,,17.561,17.902
1961-01-01,17.999,,8.383,18.213,18.017,,,16.932,,22.074,18.008,17.999,16.228,18.634,18.025,15.662,18.0,18.008,,17.93,,18.018,,31.689,18.204,,17.994,202.406,,18.252,18.114
1962-01-01,18.008,,8.324,18.221,18.025,,,17.218,,22.767,18.016,18.007,15.886,18.642,18.094,16.03,18.008,18.017,,17.981,,18.026,,31.843,18.215,,18.002,194.631,,18.814,18.359
1963-01-01,17.957,,8.378,18.17,17.975,,,17.471,,23.376,17.965,17.957,15.437,18.589,18.087,16.223,17.958,17.966,,17.961,,17.976,,31.884,18.166,,17.953,187.253,,19.333,18.492
1964-01-01,18.041,,8.268,18.255,18.059,,,18.181,,24.979,18.05,18.041,15.246,18.676,18.212,16.588,18.042,18.05,,18.074,,18.06,,32.376,18.254,,18.036,188.785,,20.654,18.76
1965-01-01,17.917,,8.555,18.13,17.935,,,19.012,,26.508,17.926,17.917,15.064,18.548,18.163,17.056,17.918,17.926,,18.0,,17.937,,32.603,18.133,,17.913,183.98,,21.892,18.968
1966-01-01,18.001,,8.907,18.215,18.019,,,19.968,,28.189,18.01,18.001,15.111,18.634,18.303,17.526,18.002,18.01,,18.118,,18.02,,33.098,18.221,,17.997,178.114,,23.28,19.296
1967-01-01,18.107,,9.178,18.322,18.125,,,20.861,,29.868,18.115,18.107,14.986,18.743,18.442,18.124,18.108,18.116,,18.243,,18.126,,33.602,18.33,,18.103,175.862,,24.773,19.542
1968-01-01,18.484,,9.652,18.703,18.502,,,22.503,,32.29,18.492,18.484,16.784,19.133,18.902,18.999,18.484,18.493,,18.669,,18.504,,34.777,18.716,,18.479,176.093,,26.695,20.271
1969-01-01,19.19,,10.228,19.418,19.209,,,24.087,,34.367,19.199,19.19,18.899,19.864,19.718,19.694,19.191,19.199,,19.44,,19.212,,36.309,19.436,,19.187,177.688,,28.317,21.446
1970-01-01,19.975,,10.707,20.212,19.995,,,26.029,,37.102,19.984,19.975,21.299,20.676,20.606,20.63,19.976,19.985,,20.287,,19.999,,38.04,20.236,,19.972,180.628,,30.641,22.668
1971-01-01,20.756,,11.386,21.002,20.776,,,27.705,,38.992,20.766,20.756,23.838,21.485,21.472,21.259,20.756,20.766,,21.118,,20.782,,39.432,21.03,,20.751,176.328,,32.237,23.807
1972-01-01,21.465,,12.039,21.72,21.486,,,28.96,,39.867,21.475,21.465,26.587,22.219,22.249,21.758,21.465,21.476,,21.867,,21.493,,40.609,21.751,,21.461,173.199,,32.951,24.802
1973-01-01,22.775,,12.413,23.045,22.798,,,30.011,,41.184,22.786,22.775,28.026,23.575,23.589,22.313,22.775,22.786,,23.19,,22.804,,42.618,23.077,,22.77,176.539,,34.028,26.241
1974-01-01,25.464,,12.748,25.766,25.489,,,31.766,,43.561,25.476,25.463,30.535,26.358,26.341,23.704,25.464,25.476,,25.906,,25.495,,46.596,25.8,,25.458,183.424,,35.968,29.185
1975-01-01,27.664,,14.321,27.992,27.692,,,34.731,,46.786,27.677,27.664,33.988,28.634,28.494,26.193,27.665,27.678,,28.063,,27.694,,50.336,28.022,,27.66,191.131,,38.696,31.106
1976-01-01,29.12,,15.755,29.466,29.15,,,36.598,,48.314,29.134,29.121,36.682,30.141,29.945,27.569,29.122,29.135,,29.508,,29.15,,52.561,29.495,,29.116,191.56,,39.938,32.491
1977-01-01,30.69,,16.99,31.054,30.721,,,38.117,,49.65,30.705,30.691,38.762,31.766,31.526,28.77,30.692,30.706,,31.078,,30.719,,54.868,31.082,,30.686,193.424,,41.007,34.066
1978-01-01,32.628,,18.439,33.015,32.661,,,40.966,,52.384,32.644,32.629,43.863,33.772,33.523,30.421,32.63,32.645,,33.044,,32.659,,57.725,33.046,,32.623,189.145,,43.353,36.251
