Date,Aerospace products and parts manufacturing,All other nonmanufacturing,Books,Business,"Chemical manufacturing, excluding pharmaceutical and medicine",Computer systems design and related services,Custom,"Entertainment, literary, and artistic originals",Financial and real estate services,Long-lived television programs,Manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing",Music,Nonmanufacturing,Nonprofit institutions serving households,Other,Other computer and electronic product manufacturing,Other manufacturing,Other nonmanufacturing,Other nonprofit institutions,Own account,Pharmaceutical and medicine manufacturing,Prepackaged,Private fixed investment in intellectual property products,Research and development,Scientific research and development services,Semiconductor and other electronic component manufacturing,Software,Software publishers,Theatrical movies,Universities and colleges
1929-01-01,,,105.0,,,,,388.0,,,,,48.0,,,29.0,,,,,,,,577.0,189.0,,,,,204.0,
1930-01-01,,,90.0,,,,,354.0,,,,,35.0,,,25.0,,,,,,,,556.0,202.0,,,,,204.0,
1931-01-01,,,81.0,,,,,276.0,,,,,21.0,,,22.0,,,,,,,,500.0,224.0,,,,,152.0,
1932-01-01,,,69.0,,,,,250.0,,,,,12.0,,,19.0,,,,,,,,442.0,192.0,,,,,150.0,
1933-01-01,,,53.0,,,,,249.0,,,,,9.0,,,17.0,,,,,,,,428.0,180.0,,,,,169.0,
1934-01-01,,,63.0,,,,,290.0,,,,,11.0,,,19.0,,,,,,,,501.0,211.0,,,,,197.0,
1935-01-01,,,70.0,,,,,329.0,,,,,12.0,,,20.0,,,,,,,,563.0,234.0,,,,,226.0,
1936-01-01,,,77.0,,,,,398.0,,,,,15.0,,,22.0,,,,,,,,644.0,246.0,,,,,285.0,
1937-01-01,,,87.0,,,,,444.0,,,,,17.0,,,23.0,,,,,,,,704.0,260.0,,,,,317.0,
1938-01-01,,,89.0,,,,,470.0,,,,,21.0,,,25.0,,,,,,,,754.0,284.0,,,,,336.0,
1939-01-01,,,86.0,,,,,465.0,,,,,29.0,,,26.0,,,,,,,,771.0,306.0,,,,,324.0,
1940-01-01,,,95.0,,,,,459.0,,,,,31.0,,,28.0,,,,,,,,819.0,359.0,,,,,304.0,
1941-01-01,,,107.0,,,,,548.0,,,,,36.0,,,31.0,,,,,,,,1130.0,582.0,,,,,373.0,
1942-01-01,,,120.0,,,,,557.0,,,,,43.0,,,36.0,,,,,,,,1196.0,640.0,,,,,359.0,
1943-01-01,,,131.0,,,,,662.0,,,,,53.0,,,42.0,,,,,,,,1142.0,480.0,,,,,437.0,
1944-01-01,,,154.0,,,,,730.0,,,,,55.0,,,48.0,,,,,,,,1237.0,507.0,,,,,474.0,
1945-01-01,,,173.0,,,,,907.0,,,,,72.0,,,53.0,,,,,,,,1433.0,525.0,,,,,609.0,
1946-01-01,,,140.0,,,,,996.0,,,,,116.0,,,61.0,,,,,,,,1837.0,841.0,,,,,679.0,
1947-01-01,,,158.0,,,,,968.0,,,,,121.0,,,70.0,,,,,,,,2020.0,1051.0,,,,,618.0,
1948-01-01,,,164.0,,,,,936.0,,,,,111.0,,,74.0,,,,,,,,2075.0,1139.0,,,,,587.0,
1949-01-01,,,168.0,,,,,1063.0,,21.0,,,105.0,,,78.0,,,,,,,,2040.0,977.0,,,,,690.0,
1950-01-01,,,175.0,,,,,1069.0,,63.0,,,115.0,,,84.0,,,,,,,,2261.0,1193.0,,,,,631.0,
1951-01-01,,,179.0,,,,,983.0,,137.0,,,126.0,,,90.0,,,,,,,,2359.0,1377.0,,,,,450.0,
1952-01-01,,,186.0,,,,,1095.0,,211.0,,,136.0,,,95.0,,,,,,,,2983.0,1887.0,,,,,467.0,
1953-01-01,,,197.0,,,,,1264.0,,276.0,,,142.0,,,105.0,,,,,,,,3667.0,2404.0,,,,,543.0,
1954-01-01,,,202.0,,,,,1351.0,,371.0,,,140.0,,,116.0,,,,,,,,3888.0,2537.0,,,,,521.0,
1955-01-01,,,225.0,,,,,1632.0,,480.0,,,171.0,,,124.0,,,,,,,,4318.0,2687.0,,,,,631.0,
1956-01-01,,,249.0,,,,,1653.0,,598.0,,,215.0,,,132.0,,,,,,,,5225.0,3572.0,,,,,459.0,
1957-01-01,,,275.0,,,,,1862.0,,665.0,,,252.0,,,141.0,,,,,,,,5586.0,3724.0,,,,,529.0,
1958-01-01,,,300.0,,,,,1994.0,,675.0,,,275.0,,,148.0,,,,,,,,5986.0,3992.0,,,,,596.0,
1959-01-01,353.0,,334.0,4197.0,675.0,,,2233.0,,763.0,4144.0,705.0,318.0,54.0,185.0,156.0,589.0,1628.0,,166.0,,159.0,,6630.0,4383.0,,34.0,14.0,,663.0,20.0
1960-01-01,384.0,,360.0,4668.0,743.0,,,2149.0,,827.0,4602.0,737.0,330.0,65.0,199.0,161.0,694.0,1836.0,,178.0,,167.0,,7142.0,4867.0,,42.0,127.0,,471.0,21.0
1961-01-01,413.0,,387.0,4921.0,804.0,,,2653.0,,875.0,4812.0,776.0,374.0,109.0,239.0,167.0,821.0,1759.0,,216.0,,187.0,,7979.0,5160.0,,52.0,167.0,,850.0,23.0
1962-01-01,479.0,,416.0,5300.0,860.0,,,2587.0,,905.0,5206.0,789.0,390.0,94.0,291.0,177.0,910.0,1910.0,,266.0,,201.0,,8399.0,5591.0,,57.0,221.0,,699.0,25.0
1963-01-01,477.0,,451.0,5650.0,918.0,,,2823.0,,969.0,5554.0,876.0,383.0,96.0,337.0,184.0,1014.0,1988.0,,311.0,,218.0,,9243.0,5987.0,,62.0,433.0,,836.0,26.0
1964-01-01,482.0,,503.0,6107.0,1028.0,,,2782.0,,980.0,6007.0,943.0,317.0,100.0,378.0,199.0,1108.0,2165.0,,346.0,,210.0,,9808.0,6485.0,,72.0,541.0,,784.0,32.0
1965-01-01,684.0,,529.0,6792.0,1094.0,,,3239.0,,1171.0,6665.0,993.0,345.0,127.0,426.0,209.0,1246.0,2308.0,,382.0,,254.0,,11135.0,7218.0,,85.0,677.0,,986.0,44.0
1966-01-01,846.0,,602.0,7606.0,1134.0,,,3707.0,,1488.0,7465.0,1105.0,467.0,141.0,478.0,226.0,1427.0,2551.0,,425.0,,305.0,,12802.0,8084.0,,97.0,1011.0,,925.0,53.0
1967-01-01,1200.0,,653.0,8458.0,1195.0,,,3844.0,,1373.0,8273.0,1103.0,563.0,185.0,529.0,244.0,1548.0,2775.0,,469.0,,343.0,,14003.0,8987.0,,111.0,1172.0,,1011.0,60.0
1968-01-01,1297.0,,678.0,9353.0,1264.0,,,4339.0,,1359.0,9163.0,1249.0,623.0,190.0,572.0,262.0,1740.0,3092.0,,507.0,,402.0,,15582.0,9925.0,,119.0,1318.0,,1417.0,65.0
1969-01-01,1428.0,,729.0,10394.0,1336.0,,,4380.0,,1485.0,10163.0,1410.0,777.0,231.0,589.0,279.0,2030.0,3380.0,,521.0,,449.0,,17152.0,10982.0,,131.0,1790.0,,1110.0,67.0
1970-01-01,1279.0,,770.0,10846.0,1437.0,,,4148.0,,1535.0,10589.0,1414.0,790.0,257.0,632.0,292.0,2212.0,3603.0,,560.0,,497.0,,17947.0,11478.0,,148.0,2321.0,,762.0,72.0
1971-01-01,1072.0,,803.0,11232.0,1441.0,,,4356.0,,1546.0,10945.0,1618.0,793.0,287.0,681.0,329.0,2365.0,3733.0,,603.0,,561.0,,18678.0,11912.0,,154.0,2410.0,,885.0,78.0
1972-01-01,1031.0,,830.0,12162.0,1516.0,,,4901.0,,1819.0,11847.0,1883.0,932.0,314.0,736.0,330.0,2546.0,4028.0,,658.0,,627.0,,20577.0,12898.0,,216.0,2778.0,,990.0,78.0
1973-01-01,1217.0,,895.0,13816.0,1663.0,,,4861.0,,1761.0,13475.0,2273.0,1015.0,341.0,785.0,352.0,2892.0,4436.0,,708.0,,721.0,,22681.0,14601.0,,274.0,3220.0,,838.0,77.0
1974-01-01,1347.0,,960.0,15464.0,1929.0,,,5214.0,,2053.0,15120.0,2362.0,1005.0,344.0,926.0,395.0,3248.0,5076.0,,844.0,,836.0,,25517.0,16390.0,,322.0,3912.0,,801.0,83.0
1975-01-01,1355.0,,1061.0,16427.0,2023.0,,,5518.0,,2127.0,15937.0,2292.0,1071.0,490.0,1086.0,436.0,3335.0,5615.0,,994.0,,1022.0,,27811.0,17513.0,,295.0,4780.0,,822.0,91.0
1976-01-01,1575.0,,1158.0,18366.0,2179.0,,,7387.0,,2870.0,17606.0,2721.0,1205.0,761.0,1232.0,480.0,3622.0,6019.0,,1131.0,,1139.0,,32189.0,19598.0,,350.0,5204.0,,1675.0,101.0
1977-01-01,1813.0,,1397.0,20355.0,2323.0,,,8584.0,,3437.0,19276.0,3240.0,1618.0,1079.0,1402.0,532.0,3896.0,6453.0,,1283.0,,1167.0,,35817.0,21757.0,,384.0,5476.0,,1600.0,119.0
1978-01-01,2148.0,,1555.0,23252.0,2548.0,,,9072.0,,3841.0,21749.0,3781.0,1728.0,1503.0,1689.0,594.0,4316.0,7075.0,,1542.0,,1375.0,,40358.0,24941.0,,506.0,6345.0,,1354.0,147.0
1979-01-01,2592.0,,1620.0,27093.0,2846.0,,,10879.0,,4477.0,25025.0,4206.0,1771.0,2067.0,1962.0,662.0,4871.0,8150.0,,1790.0,,1598.0,,48068.0,29054.0,,762.0,8135.0,,2348.0,172.0
1980-01-01,3167.0,,1780.0,31987.0,3215.0,,,10341.0,,4038.0,29173.0,4731.0,1774.0,2814.0,2191.0,751.0,5564.0,9417.0,,1998.0,,1850.0,,54354.0,34177.0,,1228.0,9836.0,,1997.0,193.0
1981-01-01,3802.0,,1961.0,37147.0,3564.0,,,13245.0,,5546.0,33445.0,4686.0,1976.0,3702.0,2535.0,844.0,6245.0,11694.0,,2311.0,,2176.0,,64773.0,39682.0,,1278.0,11845.0,,2919.0,224.0
1982-01-01,4439.0,,2171.0,42012.0,3839.0,,,13858.0,,6000.0,37333.0,4751.0,1750.0,4679.0,2764.0,894.0,6816.0,13465.0,,2509.0,,2607.0,,72674.0,44776.0,,1415.0,14040.0,,3044.0,256.0
1983-01-01,5087.0,,2335.0,46667.0,4051.0,,,15345.0,,7042.0,40922.0,5259.0,1553.0,5745.0,2947.0,991.0,7298.0,14265.0,,2679.0,,3053.0,,81343.0,49614.0,,1908.0,16384.0,,3424.0,268.0
1984-01-01,6039.0,,2608.0,53750.0,4420.0,,,17798.0,,8048.0,46502.0,5936.0,2100.0,7248.0,3138.0,1080.0,8090.0,16045.0,,2841.0,,3490.0,,95048.0,56888.0,,2482.0,20362.0,,3962.0,298.0
1985-01-01,6895.0,,2827.0,59589.0,4627.0,,7686.0,18561.0,,8768.0,50852.0,6733.0,2016.0,8737.0,3414.0,1186.0,8618.0,17330.0,,3078.0,11188.0,3670.0,4888.0,105327.0,63003.0,,2980.0,23762.0,,3764.0,337.0
1986-01-01,7447.0,,3020.0,62549.0,4569.0,,8607.0,21380.0,,9777.0,52640.0,7823.0,2435.0,9909.0,4000.0,1336.0,8677.0,16728.0,,3627.0,11743.0,3856.0,5264.0,113543.0,66549.0,,3539.0,25614.0,,4811.0,373.0
1987-01-01,7630.0,9678.0,3299.0,64739.0,4681.0,,9526.0,21880.0,,9266.0,54586.0,7802.0,2965.0,10153.0,4503.0,1418.0,8891.0,15930.0,,4084.0,13616.0,5149.0,5853.0,120116.0,69242.0,475.0,4504.0,28995.0,,4932.0,419.0
1988-01-01,7516.0,12845.0,3583.0,71061.0,5177.0,,11447.0,22993.0,,9800.0,57715.0,8390.0,3001.0,13345.0,5290.0,1491.0,9221.0,16776.0,,4825.0,14275.0,5965.0,7609.0,132674.0,76350.0,501.0,4670.0,33331.0,,5118.0,464.0
1989-01-01,7240.0,15847.0,3999.0,78491.0,5519.0,,12971.0,25410.0,,10362.0,61860.0,9332.0,3343.0,16631.0,5621.0,1478.0,9322.0,18901.0,,5106.0,17167.0,6842.0,10457.0,150117.0,84112.0,784.0,4705.0,40595.0,,6228.0,515.0
1990-01-01,6850.0,19690.0,4235.0,85642.0,6219.0,,14199.0,27543.0,,11608.0,64567.0,9112.0,3906.0,21075.0,5833.0,1739.0,9662.0,20122.0,,5250.0,17871.0,7688.0,13337.0,164426.0,91475.0,1385.0,4914.0,45407.0,,6056.0,583.0
1991-01-01,6846.0,24505.0,4412.0,94725.0,6538.0,,15677.0,29397.0,,11643.0,68153.0,9644.0,4207.0,26572.0,6299.0,1820.0,9933.0,21062.0,,5639.0,18761.0,9047.0,14270.0,179129.0,101024.0,2067.0,5083.0,48708.0,,7315.0,660.0
1992-01-01,7437.0,25676.0,4681.0,98800.0,6395.0,,16843.0,31197.0,,13248.0,70864.0,9872.0,4640.0,27936.0,6616.0,1925.0,10635.0,20916.0,,5938.0,17562.0,10132.0,16649.0,187667.0,105416.0,2260.0,5476.0,51054.0,,6703.0,677.0
