Date,Aerospace products and parts manufacturing,All other nonmanufacturing,Books,Business,"Chemical manufacturing, excluding pharmaceutical and medicine",Computer systems design and related services,Custom,"Entertainment, literary, and artistic originals",Financial and real estate services,Long-lived television programs,Manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing",Music,Nonmanufacturing,Nonprofit institutions serving households,Other,Other computer and electronic product manufacturing,Other manufacturing,Other nonmanufacturing,Other nonprofit institutions,Own account,Pharmaceutical and medicine manufacturing,Prepackaged,Private fixed investment in intellectual property products,Research and development,Residual,Scientific research and development services,Semiconductor and other electronic component manufacturing,Software,Software publishers,Theatrical movies,Universities and colleges
2007-01-01,16842.0,74752.0,11979.0,300125.0,10835.0,,77782.0,74193.0,,30066.0,217060.0,20177.0,8021.0,83590.0,15924.0,3638.0,37410.0,42641.0,,13576.0,41117.0,66304.0,55853.0,552728.0,316026.0,-13372.0,8940.0,22850.0,173307.0,,20946.0,2372.0
2008-01-01,16086.0,79213.0,11480.0,307516.0,13029.0,16227.0,84717.0,69962.0,1529.0,28968.0,217720.0,15984.0,7872.0,90177.0,17792.0,3781.0,39799.0,39276.0,32683.0,15369.0,42553.0,67207.0,61390.0,573665.0,325288.0,-11289.0,11127.0,26336.0,187429.0,28170.0,18308.0,2458.0
2009-01-01,17096.0,75936.0,10499.0,297438.0,11540.0,16460.0,84862.0,67207.0,2507.0,29398.0,210774.0,14182.0,7748.0,87038.0,19889.0,3566.0,36723.0,44812.0,29369.0,17238.0,43433.0,61437.0,65397.0,570765.0,317322.0,-8316.0,11279.0,24984.0,193055.0,26952.0,16257.0,2694.0
2010-01-01,12560.0,78158.0,11641.0,297429.0,11824.0,13715.0,95027.0,73590.0,2936.0,32745.0,210137.0,13643.0,7401.0,87645.0,21074.0,2939.0,36319.0,43681.0,31876.0,18229.0,43325.0,65375.0,63635.0,586422.0,318504.0,-8414.0,9601.0,26732.0,200353.0,29116.0,19112.0,2888.0
2011-01-01,10260.0,88255.0,10999.0,310176.0,11786.0,14088.0,103768.0,73005.0,4172.0,34439.0,212011.0,15399.0,6399.0,98291.0,21669.0,3113.0,37326.0,48890.0,37316.0,18553.0,44844.0,59375.0,74802.0,622933.0,331845.0,-5752.0,10142.0,28974.0,222326.0,32262.0,18208.0,3153.0
2012-01-01,9514.0,85465.0,10317.0,311457.0,10946.0,10716.0,111934.0,74344.0,4321.0,38221.0,216471.0,17730.0,6125.0,95234.0,23036.0,3211.0,35741.0,49904.0,37895.0,19677.0,47251.0,60630.0,88112.0,653782.0,334494.0,-2781.0,9873.0,32006.0,246721.0,32285.0,16510.0,3396.0
2013-01-01,12776.0,95827.0,9934.0,333913.0,11270.0,9536.0,117046.0,74472.0,4921.0,38935.0,230282.0,18767.0,5703.0,103842.0,23834.0,3158.0,34828.0,52748.0,41737.0,19761.0,49525.0,64580.0,98053.0,694959.0,357747.0,-2154.0,8039.0,35313.0,264312.0,39314.0,16758.0,4093.0
2014-01-01,12740.0,105315.0,9782.0,354049.0,12086.0,11579.0,124991.0,76998.0,4697.0,41160.0,241373.0,20164.0,5921.0,112835.0,22938.0,3161.0,39737.0,51807.0,48344.0,18473.0,53385.0,68847.0,107977.0,739050.0,376982.0,-1449.0,7517.0,35992.0,286123.0,40433.0,16975.0,4468.0
2015-01-01,13821.0,115584.0,9625.0,367216.0,12161.0,14863.0,126681.0,79903.0,5849.0,43422.0,242337.0,20333.0,6355.0,124938.0,23077.0,3159.0,39605.0,51453.0,57104.0,17943.0,57219.0,71404.0,120708.0,774031.0,390289.0,-841.0,9364.0,33560.0,304562.0,37634.0,17341.0,5134.0
2016-01-01,16681.0,131345.0,9669.0,400605.0,10894.0,17287.0,141399.0,83141.0,8146.0,45961.0,260644.0,23662.0,6680.0,139989.0,23857.0,3298.0,44294.0,54512.0,66921.0,18339.0,61680.0,75456.0,137398.0,847646.0,424462.0,-456.0,8637.0,35145.0,340464.0,38921.0,17532.0,5518.0
