Date,Change in book value,Change in private inventories,Durable goods,Farm,Inventory valuation adjustment,Manufacturing,Merchant wholesalers,Motor vehicle dealers,Nondurable goods,Nonfarm,Nonmerchant wholesalers,Other,Retail trade,Wholesale trade
1947-01-01,13491.0,495.0,812.0,-1144.0,-11852.0,1040.0,,,-122.66666666666667,1639.0,,-429.0,-356.0,1384.0
1947-04-01,6912.0,-1240.0,440.0,-2720.0,-5432.0,-96.0,,,-13.333333333333334,1480.0,,200.0,756.0,620.0
1947-07-01,4999.0,-2917.0,837.3333333333334,-2476.0,-5440.0,888.0,,,-1176.0,-441.0,,575.0,-1084.0,-820.0
1947-10-01,9036.0,1456.0,-166.66666666666666,-824.0,-6756.0,-32.0,,,765.3333333333334,2280.0,,484.0,3096.0,-1268.0
1948-01-01,5870.0,3626.0,378.6666666666667,1260.0,-3504.0,-32.0,,,513.3333333333334,2366.0,,-310.0,2736.0,-28.0
1948-04-01,6707.0,5859.0,242.33333333333334,2832.0,-3680.0,2248.0,,,792.6666666666666,3027.0,,-78.0,377.0,480.0
1948-07-01,7140.0,7152.0,314.0,3420.0,-3408.0,2132.0,,,924.3333333333334,3732.0,,17.0,479.0,1104.0
1948-10-01,2513.0,5997.0,417.3333333333333,3140.0,344.0,736.0,,,505.6666666666667,2857.0,,88.0,1325.0,708.0
1949-01-01,-1364.0,388.0,84.66666666666667,-204.0,1956.0,1208.0,,,26.0,592.0,,260.0,-1184.0,308.0
1949-04-01,-7616.0,-5148.0,-1299.3333333333333,-1152.0,3620.0,-2688.0,,,48.666666666666664,-3996.0,,-244.0,-416.0,-648.0
1949-07-01,-3931.0,-1307.0,151.33333333333334,-884.0,3508.0,-2592.0,,,-190.0,-423.0,,-307.0,2184.0,292.0
1949-10-01,-4719.0,-4699.0,-1340.6666666666667,-172.0,192.0,-2248.0,,,-59.333333333333336,-4527.0,,-327.0,-2016.0,64.0
1950-01-01,2904.0,2024.0,-260.0,-140.0,-740.0,536.0,,,991.0,2164.0,,-29.0,456.0,1201.0
1950-04-01,8073.0,2833.0,1121.3333333333333,-1332.0,-3908.0,916.0,,,217.33333333333334,4165.0,,149.0,1592.0,1508.0
1950-07-01,12693.0,4177.0,708.3333333333334,480.0,-8996.0,672.0,,,449.0,3697.0,,225.0,2724.0,76.0
1950-10-01,23984.0,14044.0,3271.6666666666665,652.0,-10592.0,6532.0,,,1036.0,13392.0,,469.0,3752.0,2639.0
1951-01-01,19842.0,10386.0,1539.6666666666667,1172.0,-10628.0,4700.0,,,1426.0,9214.0,,317.0,3784.0,413.0
1951-04-01,15132.0,14792.0,3247.3333333333335,944.0,-1284.0,11132.0,,,1166.0,13848.0,,608.0,452.0,1656.0
1951-07-01,4972.0,9740.0,2631.6666666666665,768.0,4000.0,11192.0,,,108.66666666666667,8972.0,,751.0,-2860.0,-111.0
1951-10-01,1803.0,4719.0,693.3333333333334,1108.0,1808.0,4464.0,,,146.0,3611.0,,1093.0,-1220.0,-726.0
1952-01-01,2376.0,4732.0,791.6666666666666,972.0,1384.0,5964.0,,,272.3333333333333,3760.0,,568.0,-2048.0,-724.0
1952-04-01,-4751.0,-1523.0,-688.3333333333334,1880.0,1348.0,-1364.0,,,-505.0,-3403.0,,177.0,-1656.0,-560.0
1952-07-01,2470.0,5574.0,195.66666666666666,2216.0,888.0,844.0,,,943.0,3358.0,,-58.0,1532.0,1040.0
1952-10-01,3710.0,5274.0,1247.6666666666667,456.0,1108.0,2008.0,,,609.6666666666666,4818.0,,-754.0,2028.0,1536.0
1953-01-01,3658.0,3890.0,1258.6666666666667,772.0,-540.0,2472.0,,,-116.0,3118.0,,-310.0,424.0,532.0
1953-04-01,5953.0,3577.0,986.6666666666666,-684.0,-1692.0,2892.0,,,634.6666666666666,4261.0,,-603.0,1632.0,340.0
1953-07-01,4183.0,2331.0,982.6666666666666,684.0,-2536.0,1496.0,,,-293.3333333333333,1647.0,,-421.0,380.0,192.0
1953-10-01,-4238.0,-2006.0,-1202.6666666666667,2124.0,108.0,-2172.0,,,-14.666666666666666,-4130.0,,-478.0,-816.0,-664.0
1954-01-01,-2806.0,-1966.0,-1224.0,848.0,-8.0,-3760.0,,,254.66666666666666,-2814.0,,94.0,336.0,516.0
1954-04-01,-3226.0,-3378.0,-1266.6666666666667,-212.0,60.0,-3948.0,,,233.33333333333334,-3166.0,,-66.0,228.0,620.0
1954-07-01,-2035.0,-2091.0,-850.6666666666666,700.0,-756.0,-3264.0,,,-81.33333333333333,-2791.0,,5.0,624.0,-156.0
1954-10-01,984.0,-316.0,-50.666666666666664,-536.0,-764.0,644.0,,,110.66666666666667,220.0,,40.0,-612.0,148.0
1955-01-01,4875.0,3804.0,786.0,-123.0,-948.0,871.0,,,632.3333333333334,3927.0,,-328.0,2876.0,508.0
1955-04-01,6975.0,4620.0,1376.6666666666667,-1119.0,-1236.0,2488.0,,,527.3333333333334,5739.0,,27.0,1608.0,1616.0
1955-07-01,8074.0,4295.0,908.6666666666666,-1323.0,-2456.0,3267.0,,,1061.6666666666667,5618.0,,-293.0,1472.0,1172.0
