Date,Change in private inventories,Durable goods industries,Farm,Food and beverage stores,General merchandise stores,Manufacturing,Merchant wholesale trade,"Mining, utilities, and construction",Motor vehicle and parts dealers,Nondurable goods industries,Nonfarm change in book value,Nonfarm industries,Nonfarm inventory valuation adjustment,Nonmerchant wholesale trade,Other industries,Other retail stores,Retail trade,Wholesale trade
1997-01-01,49745.0,16944.0,-591.0,315.0,-387.0,15539.0,19163.0,12.0,736.0,9258.25,28530.0,50336.0,21819.0,1202.0,8182.0,5576.0,6239.0,20365.0
1997-04-01,88374.0,29829.0,760.0,444.0,3173.0,22745.0,30825.0,3442.0,6955.0,14103.0,65085.0,87614.0,22543.0,2961.0,4558.0,12512.0,23084.0,33786.0
1997-07-01,67935.0,15658.25,8300.0,1361.0,-1189.0,20016.0,15399.0,3269.0,5427.0,14347.5,40521.0,59635.0,19127.0,1272.0,3345.0,10735.0,16334.0,16671.0
1997-10-01,77652.0,24182.25,4613.0,-743.0,-1029.0,25971.0,25229.0,-645.0,7454.0,15641.5,61667.0,73039.0,11384.0,5216.0,5117.0,6470.0,12151.0,30445.0
1998-01-01,105100.0,36741.75,5622.0,976.0,-185.0,31610.0,26954.0,5775.0,9873.0,11812.25,74978.0,99478.0,24500.0,3598.0,3330.0,17546.0,28210.0,30552.0
1998-04-01,37340.0,14163.0,-4906.0,1780.0,-166.0,15634.0,13084.0,5357.0,-6248.0,5697.25,22272.0,42246.0,19974.0,299.0,5503.0,7003.0,2369.0,13383.0
1998-07-01,52420.0,20635.25,528.0,-137.0,2477.0,6873.0,25464.0,3898.0,-4172.0,7339.0,24555.0,51892.0,27336.0,1677.0,5248.0,10564.0,8732.0,27140.0
1998-10-01,60017.0,15883.25,3820.0,1147.0,-690.0,7575.0,12314.0,6536.0,7876.0,7756.75,36983.0,56197.0,19214.0,2338.0,8197.0,10903.0,19236.0,14653.0
1999-01-01,83394.0,21783.0,4109.0,1837.0,3022.0,12168.0,19850.0,145.0,24716.0,12516.75,52423.0,79285.0,26862.0,1936.0,7317.0,8295.0,37869.0,21786.0
1999-04-01,35111.0,6844.5,-196.0,1524.0,2144.0,4617.0,4295.0,208.0,574.0,6094.0,36190.0,35308.0,-882.0,3434.0,8679.0,9834.0,14075.0,7729.0
1999-07-01,40516.0,14114.25,-9100.0,2054.0,1997.0,15454.0,17956.0,-2171.0,2534.0,9626.25,68493.0,49616.0,-18876.0,3082.0,6862.0,1850.0,8435.0,21038.0
1999-10-01,84241.0,27459.5,-5733.0,702.0,3613.0,23310.0,23136.0,-3268.0,21937.0,11484.75,123113.0,89974.0,-33139.0,1954.0,5483.0,13107.0,39358.0,25090.0
2000-01-01,16157.0,8830.25,-17740.0,-75.0,379.0,-3591.0,12918.0,2364.0,2028.0,1614.0,62489.0,33897.0,-28592.0,3376.0,10853.0,5646.0,7978.0,16294.0
2000-04-01,90444.0,27004.0,5943.0,-1890.0,2584.0,14056.0,19099.0,-2579.0,23531.0,9977.25,114228.0,84500.0,-29728.0,5225.0,13462.0,11012.0,35237.0,24324.0
2000-07-01,57233.0,12536.5,-1128.0,386.0,-843.0,5926.0,8839.0,-733.0,15812.0,8867.25,70123.0,58360.0,-11762.0,4777.0,18522.0,5675.0,21030.0,13616.0
2000-10-01,54344.0,17376.0,7331.0,-664.0,2040.0,11136.0,18243.0,-7839.0,6149.0,8849.75,69244.0,47012.0,-22232.0,2939.0,6949.0,8060.0,15585.0,21182.0
2001-01-01,-30631.0,-17317.75,5614.0,856.0,5165.0,-20117.0,-3127.0,9882.0,-26405.0,2388.5,-25528.0,-36244.0,-10717.0,-2715.0,1747.0,-1530.0,-21914.0,-5842.0
2001-04-01,-11560.0,-19258.75,-2995.0,593.0,726.0,-19162.0,-2494.0,10839.0,9252.0,9406.5,-18852.0,-8565.0,10287.0,-3700.0,-818.0,-3801.0,6769.0,-6194.0
2001-07-01,-30116.0,-23383.0,1806.0,14.0,-145.0,-24049.0,-15083.0,5060.0,8633.0,379.75,-59634.0,-31922.0,27713.0,-7682.0,-763.0,2094.0,10596.0,-22765.0
2001-10-01,-80829.0,-33978.5,-4278.0,171.0,-5106.0,-30696.0,-11474.0,6995.0,-28796.0,-406.75,-117476.0,-76552.0,40925.0,-3069.0,-1591.0,-2986.0,-36717.0,-14543.0
2002-01-01,293.0,-3977.0,4061.0,512.0,-1103.0,-11185.0,-4162.0,384.0,19608.0,-2373.5,-48496.0,-3768.0,44728.0,-6188.0,-3108.0,1474.0,20491.0,-10350.0
2002-04-01,21169.0,4314.25,-10343.0,666.0,101.0,4859.0,2780.0,-2966.0,18334.0,3443.25,22544.0,31511.0,8967.0,-556.0,1490.0,6803.0,25905.0,2224.0
2002-07-01,25433.0,6616.5,-2872.0,2244.0,4389.0,10239.0,3128.0,-4323.0,2857.0,4225.5,42556.0,28305.0,-14255.0,1440.0,-985.0,9315.0,18806.0,4568.0
2002-10-01,33004.0,5311.0,-836.0,-71.0,4757.0,990.0,697.0,-3202.0,28060.0,4236.75,58260.0,33840.0,-24420.0,2804.0,-1506.0,1311.0,34057.0,3501.0
2003-01-01,26081.0,9710.0,2847.0,-821.0,286.0,-1086.0,-2645.0,5727.0,16868.0,-5956.75,63352.0,23233.0,-40119.0,-4692.0,-596.0,10192.0,26526.0,-7337.0
