Date,Change in private inventories,Durable goods,Farm,Manufacturing,Merchant wholesalers,Motor vehicle dealers,Nondurable goods,Nonfarm,Nonmerchant wholesalers,Other,Residual,Retail trade,Wholesale trade
1947-01-01,6238.0,2056.3333333333335,-379.0,5579.0,,,1374.6666666666667,8025.0,,-4032.0,-8475.0,-1677.0,6837.0
1947-04-01,-4326.0,1345.3333333333333,-6621.0,-933.0,,,-81.0,5103.0,,1447.0,-2655.0,2114.0,3024.0
1947-07-01,-16874.0,2534.0,-10002.0,2860.0,,,-4520.0,-4543.0,,4360.0,-11455.0,-3953.0,-5346.0
1947-10-01,-2822.0,-906.0,-9315.0,980.0,,,3427.3333333333335,12826.0,,4532.0,4481.0,11842.0,-5724.0
1948-01-01,14095.0,1818.6666666666667,2183.0,-249.0,,,2592.3333333333335,14283.0,,-2608.0,5479.0,12596.0,522.0
1948-04-01,26813.0,1222.3333333333333,11327.0,9752.0,,,3733.3333333333335,14522.0,,-476.0,1541.0,1444.0,2962.0
1948-07-01,31333.0,1476.6666666666667,12268.0,8690.0,,,4612.666666666667,18376.0,,190.0,2868.0,2686.0,6362.0
1948-10-01,24243.0,1603.0,9709.0,2835.0,,,2573.3333333333335,13583.0,,712.0,4432.0,5334.0,4082.0
1949-01-01,-2474.0,-42.0,-1728.0,3908.0,,,257.0,-448.0,,0.0,-3976.0,-4977.0,1605.0
1949-04-01,-21832.0,-4809.0,-4490.0,-10974.0,,,-123.0,-18421.0,,-3172.0,2686.0,-2302.0,-2375.0
1949-07-01,-4783.0,639.3333333333334,-3452.0,-11029.0,,,-733.6666666666666,-742.0,,-4559.0,2256.0,10002.0,1370.0
1949-10-01,-21818.0,-4995.0,-1300.0,-9339.0,,,-341.0,-22537.0,,-4929.0,1206.0,-8464.0,487.0
1950-01-01,9151.0,-796.3333333333334,-1466.0,2484.0,,,4846.333333333333,11911.0,,1285.0,3512.0,2479.0,6017.0
1950-04-01,13359.0,4539.333333333333,-3676.0,3954.0,,,1109.6666666666667,19834.0,,1114.0,1235.0,6860.0,7366.0
1950-07-01,17541.0,2710.3333333333335,854.0,2813.0,,,2030.0,18591.0,,2090.0,7612.0,11557.0,504.0
1950-10-01,56183.0,12014.333333333334,2296.0,24872.0,,,4962.333333333333,61447.0,,9766.0,-7664.0,15487.0,11806.0
1951-01-01,34908.0,5395.0,3824.0,17211.0,,,4950.333333333333,35430.0,,1540.0,7251.0,12225.0,1757.0
1951-04-01,50756.0,11317.0,3663.0,40157.0,,,5086.666666666667,54178.0,,2973.0,-7246.0,2339.0,7015.0
1951-07-01,33468.0,9063.333333333334,2360.0,41457.0,,,1343.0,35805.0,,3570.0,-11859.0,-8890.0,-314.0
1951-10-01,14383.0,2465.6666666666665,2465.0,16846.0,,,729.6666666666666,13451.0,,5160.0,-3710.0,-4359.0,-2644.0
1952-01-01,18048.0,2540.3333333333335,3872.0,22271.0,,,1557.0,15636.0,,4360.0,-5905.0,-6942.0,-2841.0
1952-04-01,-4389.0,-2349.0,5359.0,-4828.0,,,-1942.0,-12879.0,,1443.0,-372.0,-5751.0,-1891.0
1952-07-01,19996.0,622.3333333333334,6668.0,3183.0,,,3824.0,13699.0,,-324.0,5085.0,4884.0,5139.0
