Date,Change in private inventories,Durable goods industries,Farm,Food and beverage stores,General merchandise stores,Manufacturing,Merchant wholesale trade,"Mining, utilities, and construction",Motor vehicle and parts dealers,Nondurable goods industries,Nonfarm industries,Nonmerchant wholesale trade,Other industries,Other retail stores,Residual,Retail trade,Wholesale trade
1997-01-01,35640.0,14325.75,-11855.0,505.0,-512.0,10040.0,25770.0,-197.0,773.0,12195.75,43929.0,1364.0,9322.0,6976.0,-6888.0,7625.0,27312.0
1997-04-01,140404.0,43198.75,11525.0,710.0,4156.0,52107.0,41338.0,6126.0,7298.0,25853.75,128195.0,4177.0,9063.0,15813.0,-5748.0,28225.0,45702.0
1997-07-01,93072.0,24619.25,13237.0,2178.0,-1554.0,42502.0,21093.0,5676.0,5787.0,22748.75,80554.0,1605.0,2731.0,13642.0,-12953.0,20161.0,22836.0
1997-10-01,99287.0,29701.5,8775.0,-1184.0,-1349.0,39316.0,34197.0,-1152.0,7986.0,26130.0,90030.0,7258.0,8630.0,8260.0,-10809.0,14984.0,41386.0
1998-01-01,151744.0,48032.75,8267.0,1572.0,-224.0,54146.0,37031.0,10771.0,10614.0,17869.0,141500.0,5387.0,942.0,22753.0,9343.0,35186.0,42500.0
1998-04-01,55301.0,17251.25,-3494.0,2847.0,-207.0,22398.0,18037.0,9272.0,-6682.0,10115.75,56249.0,276.0,6005.0,9136.0,403.0,3150.0,18544.0
1998-07-01,69982.0,22918.0,3912.0,-212.0,3212.0,4784.0,35853.0,6974.0,-4475.0,12438.0,64951.0,3006.0,4845.0,13896.0,2287.0,11035.0,39135.0
1998-10-01,81947.0,19995.75,1159.0,1821.0,-872.0,11737.0,17616.0,11962.0,8400.0,11283.25,78312.0,3657.0,10766.0,14326.0,4987.0,23988.0,21222.0
1999-01-01,113307.0,28915.5,-2562.0,2892.0,3905.0,22342.0,28016.0,-168.0,26562.0,17448.25,111205.0,3036.0,7635.0,10865.0,11824.0,47138.0,31234.0
1999-04-01,48463.0,7927.25,1439.0,2403.0,2779.0,5026.0,6663.0,341.0,612.0,9467.25,45824.0,5100.0,10279.0,12795.0,2645.0,17499.0,11447.0
1999-07-01,60068.0,17716.5,-15923.0,3222.0,2581.0,23461.0,25468.0,-3735.0,2703.0,16885.5,69049.0,4261.0,9401.0,2385.0,5013.0,10456.0,29759.0
1999-10-01,114340.0,31485.75,-5175.0,1100.0,4639.0,28611.0,32595.0,-5616.0,23267.0,18941.0,114144.0,3034.0,3850.0,16877.0,12029.0,48320.0,35813.0
2000-01-01,20031.0,7754.25,-27142.0,-121.0,497.0,-11193.0,18188.0,3361.0,2159.0,4096.5,39073.0,4633.0,14372.0,7172.0,8328.0,9766.0,22742.0
2000-04-01,117982.0,29966.25,9171.0,-2937.0,3310.0,15078.0,26486.0,-4085.0,24941.0,15591.5,107875.0,7234.0,17490.0,14061.0,10528.0,43022.0,33594.0
2000-07-01,84692.0,18344.25,-3088.0,594.0,-1067.0,14360.0,12615.0,-1360.0,16760.0,13439.0,84227.0,6825.0,24778.0,7263.0,8399.0,25754.0,19231.0
2000-10-01,77396.0,23779.75,10403.0,-1023.0,2609.0,21211.0,25264.0,-11308.0,6493.0,13220.0,67614.0,4191.0,8723.0,10181.0,2692.0,18918.0,29462.0
2001-01-01,-41560.0,-21867.25,8823.0,1302.0,6576.0,-28387.0,-4642.0,13168.0,-27738.0,4167.25,-47028.0,-4529.0,4993.0,-1889.0,-11759.0,-26557.0,-8966.0
2001-04-01,135.0,-18954.0,-4367.0,895.0,923.0,-14767.0,-3957.0,16387.0,9745.0,17023.5,3492.0,-5203.0,1623.0,-4855.0,-4070.0,8303.0,-8887.0
2001-07-01,-43518.0,-31311.75,2313.0,21.0,-183.0,-37472.0,-21135.0,7982.0,9129.0,1997.25,-44016.0,-11133.0,1264.0,2682.0,-3955.0,12944.0,-31784.0
2001-10-01,-111609.0,-42806.5,-6076.0,257.0,-6480.0,-44756.0,-16254.0,11437.0,-30601.0,484.0,-103866.0,-4753.0,-1300.0,-3805.0,-17224.0,-44994.0,-20839.0
2002-01-01,-6151.0,-6546.0,3575.0,757.0,-1392.0,-18823.0,-5642.0,403.0,20906.0,-3731.25,-8542.0,-7352.0,-6450.0,1810.0,2863.0,25131.0,-12444.0
2002-04-01,32416.0,4537.5,-14397.0,1010.0,144.0,5120.0,4660.0,-4721.0,19689.0,7526.0,42266.0,204.0,1475.0,9139.0,7717.0,32287.0,4918.0
2002-07-01,26563.0,4815.75,-4929.0,3387.0,5621.0,6383.0,4954.0,-6769.0,3074.0,6274.0,29566.0,2168.0,-2753.0,12555.0,2232.0,23682.0,7006.0
2002-10-01,39749.0,5333.5,-2610.0,-100.0,6073.0,-1216.0,1128.0,-4896.0,30278.0,5957.5,40845.0,4240.0,-3232.0,1345.0,6292.0,41689.0,5018.0
2003-01-01,41275.0,15057.5,4323.0,-1228.0,343.0,4649.0,-1036.0,6861.0,17818.0,-8383.75,36880.0,-6547.0,-1705.0,13232.0,7974.0,32104.0,-7106.0
2003-04-01,-9380.0,-4294.25,-1283.0,-4241.0,816.0,-16273.0,-9348.0,3466.0,12341.0,-6732.5,-8194.0,1948.0,6150.0,-6624.0,3711.0,5007.0,-7658.0
2003-07-01,3437.0,-7995.25,230.0,1845.0,2639.0,-21916.0,-1874.0,7104.0,8259.0,3114.75,3148.0,-1899.0,1579.0,4796.0,674.0,17924.0,-3643.0
2003-10-01,45183.0,17010.5,-2549.0,-3382.0,1374.0,-7629.0,18731.0,9058.0,16122.0,1220.0,46627.0,4148.0,1094.0,4892.0,5380.0,20938.0,22820.0
2004-01-01,55562.0,13489.5,7596.0,309.0,6948.0,-8421.0,17349.0,-4855.0,15846.0,5926.75,48288.0,-12.0,5485.0,13201.0,2940.0,37354.0,17587.0
2004-04-01,92005.0,27580.5,20780.0,1158.0,4129.0,8984.0,20393.0,-688.0,14473.0,6311.75,72754.0,3015.0,7548.0,12840.0,2844.0,33425.0,23455.0
2004-07-01,80645.0,27611.5,11077.0,251.0,1485.0,7674.0,30709.0,6799.0,2057.0,8989.0,70037.0,5268.0,4684.0,12027.0,2404.0,15488.0,35997.0
2004-10-01,87941.0,20956.0,7947.0,-70.0,9219.0,17575.0,28175.0,2108.0,-65.0,19480.0,79793.0,1403.0,5953.0,16896.0,-935.0,25072.0,29781.0
2005-01-01,121598.0,43716.75,-6657.0,246.0,8633.0,53795.0,37689.0,4115.0,3280.0,20784.75,124421.0,16899.0,-5416.0,7057.0,5250.0,19095.0,54212.0
2005-04-01,30068.0,21876.75,1061.0,-11.0,1614.0,6175.0,22009.0,9520.0,-20460.0,-3092.0,28555.0,3449.0,-227.0,8664.0,2477.0,-12721.0,25540.0
2005-07-01,15581.0,14120.75,4406.0,-2643.0,3104.0,15458.0,12455.0,-3284.0,-8136.0,-2371.75,11721.0,-4406.0,-552.0,1379.0,-226.0,-6966.0,8179.0
2005-10-01,101020.0,35476.0,2549.0,1372.0,1210.0,28305.0,31006.0,2307.0,12799.0,12278.5,96758.0,6941.0,5145.0,7786.0,3857.0,24047.0,38022.0
2006-01-01,94172.0,14317.25,2250.0,2347.0,-2491.0,24900.0,16490.0,15685.0,854.0,26763.5,90621.0,10318.0,2884.0,14397.0,5496.0,14604.0,26752.0
2006-04-01,95203.0,28709.5,-9665.0,1982.0,-1976.0,30929.0,26731.0,24382.0,55.0,15616.75,100514.0,3373.0,-243.0,9501.0,12317.0,9170.0,30076.0
2006-07-01,95318.0,29814.75,-8292.0,317.0,6597.0,18133.0,27535.0,17455.0,628.0,12424.5,99935.0,6174.0,11600.0,8553.0,9197.0,15711.0,33713.0
