Date,Nonfarm inventories to final sales,Nonfarm inventories to final sales of goods and structures,Private inventories to final sales
1947-01-01,2.79,3.65,5.85
1947-04-01,2.79,3.63,5.81
1947-07-01,2.72,3.54,5.92
1947-10-01,2.77,3.57,6.19
1948-01-01,2.83,3.64,5.9
1948-04-01,2.85,3.69,5.9
1948-07-01,2.93,3.78,5.76
1948-10-01,2.96,3.83,5.63
1949-01-01,2.92,3.8,5.54
1949-04-01,2.79,3.62,5.27
1949-07-01,2.78,3.61,5.28
1949-10-01,2.73,3.54,5.14
1950-01-01,2.72,3.53,5.16
1950-04-01,2.71,3.5,5.17
1950-07-01,2.69,3.44,5.12
1950-10-01,3.0,3.86,5.71
1951-01-01,3.08,3.94,5.85
1951-04-01,3.2,4.15,5.9
1951-07-01,3.16,4.08,5.81
1951-10-01,3.11,3.99,5.78
1952-01-01,3.12,4.02,5.69
1952-04-01,3.03,3.92,5.55
1952-07-01,3.1,4.03,5.54
1952-10-01,3.01,3.88,5.16
1953-01-01,2.97,3.84,4.97
1953-04-01,3.0,3.89,4.91
1953-07-01,3.04,3.94,4.91
1953-10-01,3.02,3.93,4.95
1954-01-01,2.98,3.9,4.94
1954-04-01,2.93,3.83,4.82
1954-07-01,2.88,3.78,4.75
1954-10-01,2.83,3.7,4.65
1955-01-01,2.8,3.66,4.59
1955-04-01,2.82,3.63,4.49
1955-07-01,2.83,3.65,4.38
1955-10-01,2.88,3.75,4.33
1956-01-01,2.94,3.83,4.4
1956-04-01,2.96,3.85,4.47
1956-07-01,2.96,3.85,4.4
1956-10-01,2.95,3.85,4.36
1957-01-01,2.94,3.82,4.32
1957-04-01,2.96,3.85,4.36
1957-07-01,2.94,3.83,4.33
1957-10-01,2.93,3.85,4.32
1958-01-01,2.95,3.89,4.53
1958-04-01,2.9,3.83,4.49
1958-07-01,2.84,3.76,4.44
1958-10-01,2.82,3.72,4.36
1959-01-01,2.76,3.64,4.24
1959-04-01,2.78,3.68,4.21
1959-07-01,2.76,3.66,4.11
1959-10-01,2.82,3.76,4.13
1960-01-01,2.84,3.79,4.16
1960-04-01,2.83,3.77,4.09
1960-07-01,2.86,3.81,4.13
1960-10-01,2.8,3.75,4.09
1961-01-01,2.77,3.71,4.05
1961-04-01,2.74,3.7,3.99
1961-07-01,2.75,3.7,4.02
1961-10-01,2.71,3.65,3.98
1962-01-01,2.73,3.67,4.02
1962-04-01,2.71,3.65,3.97
1962-07-01,2.73,3.68,4.03
1962-10-01,2.73,3.67,4.01
1963-01-01,2.73,3.67,3.98
1963-04-01,2.7,3.63,3.92
1963-07-01,2.69,3.61,3.86
1963-10-01,2.68,3.61,3.82
1964-01-01,2.64,3.55,3.73
1964-04-01,2.64,3.55,3.68
1964-07-01,2.63,3.54,3.66
1964-10-01,2.66,3.59,3.67
1965-01-01,2.67,3.6,3.69
1965-04-01,2.66,3.59,3.7
1965-07-01,2.66,3.58,3.66
1965-10-01,2.63,3.52,3.65
1966-01-01,2.64,3.52,3.67
1966-04-01,2.7,3.62,3.73
1966-07-01,2.74,3.67,3.77
1966-10-01,2.81,3.79,3.78
1967-01-01,2.87,3.88,3.8
1967-04-01,2.85,3.84,3.79
1967-07-01,2.86,3.87,3.77
1967-10-01,2.88,3.9,3.76
1968-01-01,2.83,3.84,3.73
1968-04-01,2.82,3.84,3.73
1968-07-01,2.79,3.8,3.67
1968-10-01,2.79,3.8,3.65
1969-01-01,2.79,3.8,3.65
1969-04-01,2.8,3.83,3.69
1969-07-01,2.83,3.87,3.69
1969-10-01,2.87,3.95,3.74
1970-01-01,2.86,3.95,3.73
1970-04-01,2.86,3.97,3.72
1970-07-01,2.86,3.99,3.71
1970-10-01,2.86,4.0,3.69
1971-01-01,2.85,3.98,3.71
1971-04-01,2.85,3.97,3.69
1971-07-01,2.83,3.95,3.67
1971-10-01,2.79,3.9,3.64
1972-01-01,2.75,3.84,3.6
1972-04-01,2.74,3.82,3.63
1972-07-01,2.74,3.83,3.65
1972-10-01,2.68,3.73,3.63
1973-01-01,2.7,3.72,3.75
1973-04-01,2.77,3.82,3.91
1973-07-01,2.78,3.84,3.99
1973-10-01,2.89,3.99,4.08
1974-01-01,3.03,4.19,4.14
1974-04-01,3.18,4.42,4.17
1974-07-01,3.29,4.58,4.33
1974-10-01,3.43,4.84,4.39
1975-01-01,3.31,4.68,4.2
1975-04-01,3.2,4.56,4.14
1975-07-01,3.14,4.44,4.06
1975-10-01,3.06,4.34,3.92
1976-01-01,3.04,4.31,3.88
1976-04-01,3.11,4.42,3.95
1976-07-01,3.13,4.48,3.91
1976-10-01,3.09,4.41,3.83
1977-01-01,3.1,4.45,3.84
1977-04-01,3.06,4.36,3.76
1977-07-01,3.06,4.37,3.73
1977-10-01,3.06,4.37,3.77
1978-01-01,3.12,4.5,3.9
1978-04-01,3.03,4.3,3.8
1978-07-01,3.03,4.29,3.81
1978-10-01,3.04,4.29,3.84
1979-01-01,3.12,4.4,4.01
1979-04-01,3.19,4.52,4.04
1979-07-01,3.18,4.48,4.02
1979-10-01,3.24,4.59,4.05
1980-01-01,3.34,4.74,4.11
1980-04-01,3.46,4.96,4.25
1980-07-01,3.38,4.85,4.19
1980-10-01,3.33,4.79,4.1
1981-01-01,3.37,4.83,4.12
1981-04-01,3.36,4.84,4.1
1981-07-01,3.36,4.84,4.05
1981-10-01,3.37,4.88,4.01
1982-01-01,3.34,4.87,4.03
1982-04-01,3.3,4.84,3.99
1982-07-01,3.3,4.91,3.96
1982-10-01,3.18,4.76,3.81
1983-01-01,3.08,4.64,3.73
1983-04-01,3.03,4.56,3.66
1983-07-01,3.0,4.53,3.59
1983-10-01,2.97,4.45,3.55
1984-01-01,3.03,4.54,3.63
1984-04-01,3.04,4.54,3.61
1984-07-01,3.06,4.59,3.6
1984-10-01,3.03,4.55,3.57
1985-01-01,2.94,4.43,3.45
1985-04-01,2.92,4.42,3.39
1985-07-01,2.85,4.33,3.31
1985-10-01,2.88,4.39,3.35
1986-01-01,2.81,4.3,3.26
1986-04-01,2.8,4.29,3.22
1986-07-01,2.74,4.18,3.15
1986-10-01,2.71,4.15,3.11
1987-01-01,2.75,4.26,3.17
1987-04-01,2.75,4.24,3.16
1987-07-01,2.71,4.18,3.13
1987-10-01,2.79,4.3,3.2
1988-01-01,2.75,4.26,3.17
1988-04-01,2.75,4.26,3.17
1988-07-01,2.75,4.29,3.18
1988-10-01,2.75,4.29,3.17
1989-01-01,2.78,4.35,3.19
1989-04-01,2.76,4.31,3.16
1989-07-01,2.71,4.22,3.09
1989-10-01,2.73,4.29,3.12
1990-01-01,2.68,4.2,3.07
1990-04-01,2.68,4.24,3.06
1990-07-01,2.72,4.32,3.09
1990-10-01,2.73,4.36,3.11
