Date,Nonfarm inventories to final sales,Nonfarm inventories to final sales of goods and structures,Private inventories to final sales
1996-10-01,2.38,3.93,2.67
1997-01-01,2.37,3.91,2.66
1997-04-01,2.36,3.9,2.64
1997-07-01,2.33,3.83,2.6
1997-10-01,2.34,3.86,2.6
1998-01-01,2.34,3.87,2.6
1998-04-01,2.3,3.81,2.55
1998-07-01,2.28,3.75,2.51
1998-10-01,2.25,3.69,2.47
1999-01-01,2.25,3.71,2.48
1999-04-01,2.24,3.68,2.46
1999-07-01,2.25,3.7,2.46
1999-10-01,2.27,3.75,2.49
2000-01-01,2.26,3.75,2.48
2000-04-01,2.27,3.76,2.48
2000-07-01,2.28,3.79,2.48
2000-10-01,2.29,3.82,2.51
2001-01-01,2.26,3.8,2.48
2001-04-01,2.23,3.72,2.44
2001-07-01,2.2,3.69,2.41
2001-10-01,2.13,3.55,2.33
2002-01-01,2.11,3.54,2.31
2002-04-01,2.12,3.6,2.32
2002-07-01,2.14,3.65,2.35
2002-10-01,2.17,3.71,2.38
2003-01-01,2.21,3.78,2.42
2003-04-01,2.15,3.7,2.37
2003-07-01,2.1,3.58,2.33
2003-10-01,2.1,3.57,2.33
2004-01-01,2.13,3.65,2.36
2004-04-01,2.15,3.69,2.39
2004-07-01,2.17,3.71,2.39
2004-10-01,2.17,3.71,2.39
2005-01-01,2.19,3.76,2.41
2005-04-01,2.16,3.7,2.37
2005-07-01,2.17,3.7,2.38
2005-10-01,2.2,3.8,2.42
2006-01-01,2.18,3.73,2.38
2006-04-01,2.22,3.81,2.42
2006-07-01,2.23,3.85,2.44
2006-10-01,2.21,3.83,2.42
2007-01-01,2.22,3.85,2.44
2007-04-01,2.24,3.89,2.46
2007-07-01,2.24,3.91,2.46
2007-10-01,2.28,4.01,2.51
2008-01-01,2.37,4.21,2.61
2008-04-01,2.46,4.39,2.71
2008-07-01,2.44,4.37,2.68
2008-10-01,2.28,4.14,2.5
2009-01-01,2.21,4.02,2.43
2009-04-01,2.19,3.98,2.4
2009-07-01,2.14,3.91,2.35
2009-10-01,2.17,4.0,2.38
2010-01-01,2.21,4.1,2.42
2010-04-01,2.19,4.07,2.4
2010-07-01,2.24,4.18,2.45
2010-10-01,2.26,4.2,2.49
2011-01-01,2.34,4.37,2.6
2011-04-01,2.37,4.41,2.62
2011-07-01,2.33,4.32,2.58
2011-10-01,2.32,4.29,2.58
2012-01-01,2.32,4.27,2.58
2012-04-01,2.3,4.22,2.55
2012-07-01,2.34,4.28,2.59
2012-10-01,2.32,4.26,2.55
2013-01-01,2.34,4.28,2.56
2013-04-01,2.34,4.29,2.56
2013-07-01,2.34,4.26,2.56
2013-10-01,2.32,4.22,2.54
2014-01-01,2.36,4.32,2.6
2014-04-01,2.34,4.26,2.58
2014-07-01,2.3,4.19,2.54
2014-10-01,2.25,4.11,2.48
2015-01-01,2.24,4.11,2.46
2015-04-01,2.25,4.1,2.46
2015-07-01,2.22,4.07,2.42
2015-10-01,2.21,4.06,2.4
2016-01-01,2.2,4.04,2.38
2016-04-01,2.21,4.07,2.39
2016-07-01,2.19,4.04,2.35
2016-10-01,2.21,4.08,2.37
2017-01-01,2.2,4.06,2.37
2017-04-01,2.19,4.03,2.35
2017-07-01,2.18,4.0,2.33
2017-10-01,2.18,3.98,2.33
2018-01-01,2.18,4.0,2.34
2018-04-01,2.17,3.97,2.32
2018-07-01,2.2,4.04,2.34
2018-10-01,2.21,4.06,2.35
2019-01-01,2.22,4.07,2.36
2019-04-01,2.19,4.01,2.33
2019-07-01,2.17,3.96,2.29
2019-10-01,2.16,3.95,2.29
2020-01-01,2.15,3.86,2.26
2020-04-01,2.32,3.96,2.44
2020-07-01,2.18,3.79,2.3
2020-10-01,2.21,3.85,2.32
2021-01-01,2.23,3.87,2.35
2021-04-01,2.21,3.86,2.32
2021-07-01,2.24,3.99,2.36
2021-10-01,2.3,4.08,2.42
2022-01-01,2.39,4.24,2.51
2022-04-01,2.43,4.31,2.54
2022-07-01,2.38,4.2,2.48
2022-10-01,2.32,4.15,2.44
2023-01-01,2.25,4.03,2.37
2023-04-01,2.2,3.94,2.32
2023-07-01,2.19,3.93,2.31
2023-10-01,2.16,3.88,2.27
2024-01-01,2.15,3.9,2.26
2024-04-01,2.13,3.87,2.24
2024-07-01,2.11,3.86,2.23
2024-10-01,2.1,3.84,2.21
