Date,Durable goods industries,Farm,Final sales of domestic business,Final sales of goods and structures of domestic business,Food and beverage stores,General merchandise stores,Manufacturing,Merchant wholesale trade,"Mining, utilities, and construction",Motor vehicle and parts dealers,Nondurable goods industries,Nonfarm industries,Nonmerchant wholesale trade,Other industries,Other retail stores,Private inventories,Retail trade,Wholesale trade
1996-10-01,298785.0,136550.0,481769.0,292320.0,27523.0,57980.0,421009.0,242395.0,31122.0,101866.0,259510.25,1148115.0,42716.0,82126.0,141377.0,1284665.0,328746.0,285111.0
1997-01-01,301538.5,138442.0,487318.0,295587.0,27676.0,57874.0,421044.0,246541.0,31876.0,101646.0,261200.0,1155482.0,42904.0,83824.0,142097.0,1293924.0,329293.0,289445.0
1997-04-01,306158.5,138103.0,493729.0,299191.0,27627.0,58684.0,423889.0,251990.0,31295.0,102387.0,262771.25,1167025.0,42722.0,84669.0,143762.0,1305128.0,332460.0,294712.0
1997-07-01,307581.5,138375.0,505461.0,307465.0,28066.0,58429.0,426335.0,254611.0,32289.0,102988.0,265791.75,1176730.0,42831.0,85644.0,145537.0,1315105.0,335020.0,297442.0
1997-10-01,311524.5,136895.0,509891.0,308880.0,27832.0,58252.0,431453.0,259338.0,32990.0,104186.0,268887.75,1191013.0,43612.0,87101.0,146249.0,1327908.0,336519.0,302950.0
1998-01-01,317087.5,134036.0,514722.0,310928.0,28121.0,58528.0,433713.0,263579.0,32821.0,106714.0,268461.0,1203948.0,43339.0,87482.0,149651.0,1337984.0,343014.0,306918.0
1998-04-01,318100.75,128048.0,524971.0,317102.0,28602.0,58686.0,435372.0,264077.0,34372.0,105353.0,267637.5,1208622.0,42757.0,88503.0,150900.0,1336670.0,343541.0,306834.0
1998-07-01,320254.0,121823.0,532737.0,323051.0,28713.0,59451.0,434046.0,266746.0,34850.0,104568.0,265896.0,1212752.0,42487.0,89767.0,152124.0,1334575.0,344856.0,309233.0
1998-10-01,321649.0,120511.0,543316.0,331316.0,29228.0,59404.0,431936.0,269436.0,36408.0,106772.0,267315.5,1221805.0,42734.0,91373.0,154514.0,1342316.0,349918.0,312170.0
1999-01-01,325796.75,123079.0,548671.0,333432.0,29611.0,60106.0,433619.0,273107.0,36179.0,112103.0,269949.25,1236998.0,43074.0,92787.0,156412.0,1360077.0,358232.0,316181.0
1999-04-01,327640.75,122427.0,558286.0,340034.0,30106.0,60726.0,436577.0,274335.0,37572.0,112817.0,273277.0,1251534.0,44463.0,95426.0,159512.0,1373961.0,363161.0,318798.0
1999-07-01,332374.0,121470.0,567259.0,344429.0,30866.0,61443.0,445698.0,280262.0,38507.0,114347.0,280063.75,1276096.0,45963.0,97940.0,161070.0,1397566.0,367726.0,326225.0
1999-10-01,341020.5,124305.0,576416.0,349054.0,30925.0,62433.0,457212.0,287571.0,38295.0,119945.0,287246.5,1309133.0,47276.0,100168.0,165308.0,1433438.0,378611.0,334847.0
2000-01-01,345076.25,126676.0,587629.0,355131.0,31016.0,62659.0,464000.0,293244.0,38816.0,120253.0,294148.5,1330776.0,48959.0,103995.0,167834.0,1457452.0,381762.0,342203.0
2000-04-01,351048.0,125238.0,597083.0,360129.0,30763.0,63352.0,468320.0,297924.0,39700.0,126691.0,297732.0,1355386.0,50328.0,107761.0,170547.0,1480624.0,391353.0,348252.0
2000-07-01,354386.5,121908.0,602491.0,362431.0,30881.0,63146.0,473148.0,299548.0,41272.0,130633.0,300809.5,1374937.0,51695.0,112861.0,171753.0,1496845.0,396413.0,351243.0
