Date,Nonfarm inventories to final sales,Nonfarm inventories to final sales of goods and structures,Private inventories to final sales
1947-01-01,2.37,4.3,4.12
1947-04-01,2.36,4.31,4.08
1947-07-01,2.32,4.23,3.99
1947-10-01,2.34,4.23,3.97
1948-01-01,2.36,4.27,3.98
1948-04-01,2.39,4.33,4.03
1948-07-01,2.43,4.41,4.11
1948-10-01,2.45,4.45,4.15
1949-01-01,2.45,4.45,4.13
1949-04-01,2.38,4.32,4.04
1949-07-01,2.38,4.3,4.03
1949-10-01,2.32,4.17,3.96
1950-01-01,2.3,4.13,3.91
1950-04-01,2.28,4.08,3.83
1950-07-01,2.2,3.91,3.68
1950-10-01,2.38,4.27,3.89
1951-01-01,2.42,4.32,3.9
1951-04-01,2.55,4.61,4.03
1951-07-01,2.56,4.62,4.01
1951-10-01,2.55,4.58,3.98
1952-01-01,2.58,4.63,4.01
1952-04-01,2.53,4.55,3.97
1952-07-01,2.6,4.69,4.07
1952-10-01,2.53,4.53,3.95
1953-01-01,2.5,4.47,3.89
1953-04-01,2.52,4.5,3.9
1953-07-01,2.53,4.53,3.92
1953-10-01,2.53,4.51,3.95
1954-01-01,2.51,4.49,3.92
1954-04-01,2.45,4.39,3.86
1954-07-01,2.4,4.31,3.78
1954-10-01,2.35,4.2,3.71
1955-01-01,2.33,4.14,3.65
1955-04-01,2.33,4.1,3.63
1955-07-01,2.33,4.1,3.6
1955-10-01,2.36,4.19,3.62
1956-01-01,2.4,4.28,3.66
1956-04-01,2.42,4.29,3.65
1956-07-01,2.43,4.32,3.65
1956-10-01,2.41,4.31,3.61
1957-01-01,2.41,4.28,3.6
1957-04-01,2.44,4.34,3.63
1957-07-01,2.43,4.33,3.62
1957-10-01,2.43,4.36,3.63
1958-01-01,2.46,4.42,3.71
1958-04-01,2.43,4.38,3.71
1958-07-01,2.38,4.3,3.64
1958-10-01,2.35,4.22,3.59
1959-01-01,2.3,4.14,3.49
1959-04-01,2.33,4.19,3.49
1959-07-01,2.31,4.17,3.45
1959-10-01,2.37,4.29,3.51
1960-01-01,2.4,4.31,3.51
1960-04-01,2.4,4.32,3.51
1960-07-01,2.42,4.36,3.55
1960-10-01,2.38,4.3,3.51
1961-01-01,2.36,4.26,3.48
1961-04-01,2.34,4.25,3.46
1961-07-01,2.36,4.27,3.47
1961-10-01,2.33,4.21,3.43
1962-01-01,2.36,4.25,3.45
1962-04-01,2.35,4.24,3.43
1962-07-01,2.37,4.27,3.44
1962-10-01,2.37,4.29,3.44
1963-01-01,2.38,4.3,3.45
1963-04-01,2.36,4.25,3.41
1963-07-01,2.36,4.24,3.39
1963-10-01,2.35,4.24,3.37
1964-01-01,2.33,4.18,3.31
1964-04-01,2.33,4.19,3.29
1964-07-01,2.32,4.17,3.26
1964-10-01,2.35,4.24,3.28
1965-01-01,2.36,4.25,3.28
1965-04-01,2.36,4.25,3.26
1965-07-01,2.36,4.23,3.25
1965-10-01,2.32,4.15,3.2
1966-01-01,2.34,4.16,3.2
1966-04-01,2.41,4.32,3.27
1966-07-01,2.45,4.38,3.3
1966-10-01,2.53,4.54,3.37
1967-01-01,2.59,4.65,3.43
1967-04-01,2.57,4.62,3.42
1967-07-01,2.6,4.67,3.45
1967-10-01,2.62,4.72,3.46
1968-01-01,2.59,4.66,3.43
1968-04-01,2.61,4.7,3.45
1968-07-01,2.59,4.67,3.42
1968-10-01,2.61,4.71,3.43
1969-01-01,2.62,4.7,3.43
1969-04-01,2.64,4.77,3.46
1969-07-01,2.68,4.83,3.48
1969-10-01,2.71,4.93,3.51
1970-01-01,2.69,4.92,3.5
1970-04-01,2.72,4.98,3.52
1970-07-01,2.71,4.97,3.5
1970-10-01,2.72,5.01,3.51
1971-01-01,2.72,4.99,3.5
1971-04-01,2.72,4.99,3.51
1971-07-01,2.72,4.98,3.5
1971-10-01,2.69,4.93,3.45
1972-01-01,2.66,4.88,3.41
1972-04-01,2.64,4.82,3.39
1972-07-01,2.64,4.84,3.38
1972-10-01,2.59,4.72,3.29
1973-01-01,2.56,4.64,3.23
1973-04-01,2.59,4.7,3.27
1973-07-01,2.6,4.74,3.28
1973-10-01,2.67,4.85,3.35
1974-01-01,2.73,4.96,3.4
1974-04-01,2.77,5.05,3.43
1974-07-01,2.79,5.13,3.47
1974-10-01,2.93,5.46,3.6
1975-01-01,2.87,5.37,3.55
1975-04-01,2.8,5.26,3.48
1975-07-01,2.76,5.15,3.43
1975-10-01,2.71,5.06,3.38
1976-01-01,2.69,5.01,3.35
1976-04-01,2.73,5.1,3.38
1976-07-01,2.75,5.14,3.4
1976-10-01,2.72,5.09,3.35
1977-01-01,2.72,5.1,3.34
1977-04-01,2.7,5.01,3.31
1977-07-01,2.71,5.05,3.34
1977-10-01,2.71,5.05,3.34
1978-01-01,2.76,5.17,3.38
1978-04-01,2.66,4.92,3.26
1978-07-01,2.67,4.92,3.26
1978-10-01,2.67,4.9,3.26
1979-01-01,2.69,4.96,3.28
1979-04-01,2.73,5.04,3.33
1979-07-01,2.68,4.91,3.27
1979-10-01,2.69,4.93,3.28
1980-01-01,2.7,4.96,3.29
1980-04-01,2.8,5.2,3.4
