Date,Durable goods,Farm,Final sales of domestic business,Final sales of goods and structures of domestic business,Manufacturing,Merchant wholesalers,Motor vehicle dealers,Nondurable goods,Nonfarm,Nonmerchant wholesalers,Other,Private inventories,Residual,Retail trade,Wholesale trade
1947-01-01,58074.25,187400.0,112396.0,61774.0,130664.0,,,66916.0,265876.0,,33302.0,462581.0,7399.0,47761.0,55144.0
1947-04-01,58611.0,185745.0,113232.0,61920.0,130431.0,,,66933.25,267152.0,,33664.0,461500.0,6663.0,48290.0,55900.0
1947-07-01,59590.5,183244.0,114707.0,62943.0,131146.0,,,65281.25,266016.0,,34754.0,457281.0,5344.0,47301.0,54563.0
1947-10-01,59293.25,180916.0,115120.0,63657.0,131391.0,,,66865.25,269222.0,,35887.0,456576.0,3944.0,50262.0,53132.0
1948-01-01,60068.5,181462.0,115466.0,63929.0,131329.0,,,67809.75,272793.0,,35235.0,460100.0,4265.0,53411.0,53263.0
1948-04-01,60507.25,184293.0,115757.0,63823.0,133767.0,,,69213.0,276423.0,,35116.0,466803.0,4539.0,53772.0,54003.0
1948-07-01,61035.0,187360.0,115525.0,63777.0,135939.0,,,70990.25,281017.0,,35164.0,474636.0,4691.0,54443.0,55593.0
1948-10-01,61640.75,189788.0,115851.0,63881.0,136648.0,,,72025.0,284413.0,,35342.0,480697.0,5014.0,55777.0,56614.0
1949-01-01,61592.25,189356.0,116266.0,63887.0,137625.0,,,72086.75,284301.0,,35342.0,480078.0,4666.0,54532.0,57015.0
1949-04-01,59731.75,188233.0,117493.0,64762.0,134881.0,,,71947.25,279696.0,,34549.0,474620.0,4823.0,53957.0,56421.0
1949-07-01,60086.75,187370.0,117370.0,64928.0,132124.0,,,71480.0,279510.0,,33409.0,473425.0,5701.0,56458.0,56764.0
1949-10-01,58067.25,187045.0,118168.0,65704.0,129789.0,,,71176.0,273876.0,,32176.0,467970.0,5806.0,54342.0,56885.0
1950-01-01,57713.25,186679.0,120236.0,67010.0,130410.0,,,73129.25,276854.0,,32498.0,470258.0,5101.0,54961.0,58390.0
1950-04-01,59455.25,185760.0,123612.0,69149.0,131399.0,,,73615.5,281812.0,,32776.0,473598.0,4844.0,56676.0,60231.0
1950-07-01,60555.0,185973.0,130063.0,73239.0,132102.0,,,74546.5,286460.0,,33299.0,477983.0,4938.0,59566.0,60357.0
1950-10-01,65220.0,186547.0,126623.0,70680.0,138320.0,,,76783.0,301822.0,,35740.0,492028.0,3236.0,63437.0,63309.0
1951-01-01,67327.75,187503.0,128415.0,71914.0,142623.0,,,78801.75,310679.0,,36125.0,500755.0,2863.0,66494.0,63748.0
1951-04-01,71652.0,188419.0,127287.0,70341.0,152662.0,,,80830.0,324224.0,,36869.0,513444.0,1590.0,67078.0,65502.0
1951-07-01,75145.0,189009.0,130069.0,72193.0,163026.0,,,81391.25,333175.0,,37761.0,521811.0,670.0,64856.0,65424.0
1951-10-01,76092.0,189625.0,131875.0,73555.0,167238.0,,,81855.5,336538.0,,39051.0,525407.0,-37.0,63766.0,64763.0
1952-01-01,77098.5,190593.0,132161.0,73461.0,172806.0,,,82575.75,340447.0,,40141.0,529919.0,-656.0,62031.0,64052.0
1952-04-01,76206.5,191933.0,133276.0,74076.0,171599.0,,,81878.0,337227.0,,40502.0,528822.0,-235.0,60593.0,63580.0
1952-07-01,76464.0,193600.0,131131.0,72561.0,172394.0,,,83360.0,340652.0,,40421.0,533821.0,-157.0,61814.0,64864.0
1952-10-01,78049.75,194125.0,136440.0,76247.0,174261.0,,,84207.25,345593.0,,39346.0,538834.0,374.0,63588.0,66489.0
1953-01-01,79690.0,195045.0,139541.0,78088.0,176532.0,,,84019.75,348832.0,,38751.0,542884.0,1066.0,64163.0,67016.0
1953-04-01,80983.25,194957.0,140224.0,78481.0,179157.0,,,84849.75,353141.0,,37588.0,546859.0,1891.0,65595.0,67561.0
1953-07-01,82247.75,195596.0,140051.0,78413.0,180485.0,,,84326.5,354910.0,,36799.0,549269.0,2768.0,66137.0,67752.0
1953-10-01,80921.5,196985.0,138698.0,77846.0,178878.0,,,84088.5,351139.0,,35887.0,547203.0,2990.0,65342.0,67128.0
1954-01-01,79380.75,197776.0,139043.0,77633.0,175483.0,,,84494.75,348319.0,,36073.0,545366.0,2429.0,65484.0,67756.0
1954-04-01,77703.25,197960.0,140599.0,78553.0,171733.0,,,84873.5,345016.0,,35974.0,542409.0,1826.0,65665.0,68412.0
1954-07-01,76655.5,198249.0,142741.0,79465.0,168788.0,,,84675.5,342242.0,,36011.0,540053.0,1624.0,66135.0,68221.0
1954-10-01,76425.25,197690.0,145512.0,81416.0,169263.0,,,84854.0,341978.0,,36076.0,539183.0,1320.0,65468.0,68195.0
1955-01-01,77545.5,197054.0,148818.0,83623.0,170075.0,,,85776.75,346254.0,,35641.0,542690.0,1872.0,68167.0,68746.0
1955-04-01,79408.0,196265.0,150962.0,86002.0,172404.0,,,86770.25,352380.0,,35688.0,547865.0,2163.0,69862.0,70555.0
1955-07-01,80505.25,195541.0,153636.0,87205.0,175311.0,,,88441.25,357845.0,,35312.0,552587.0,2440.0,71077.0,71839.0
1955-10-01,82320.75,194973.0,154529.0,87141.0,178740.0,,,90008.25,364798.0,,34675.0,559091.0,3341.0,73252.0,73094.0
1956-01-01,84075.25,193907.0,154369.0,86794.0,183251.0,,,91039.0,371154.0,,35528.0,564577.0,3943.0,73708.0,73527.0
1956-04-01,84898.25,192647.0,155704.0,87676.0,187550.0,,,92597.5,376110.0,,36096.0,568388.0,4074.0,73832.0,73252.0
1956-07-01,84990.5,191469.0,156502.0,87966.0,190062.0,,,94763.5,380161.0,,36679.0,571346.0,3282.0,73439.0,74860.0
1956-10-01,85750.75,190267.0,159100.0,89079.0,192148.0,,,95610.25,383870.0,,37915.0,573964.0,3180.0,73551.0,75476.0
