Date,Nonfarm inventories to final sales,Nonfarm inventories to final sales of goods and structures,Private inventories to final sales
1996-10-01,2.33,4.4,2.67
1997-01-01,2.33,4.4,2.67
1997-04-01,2.36,4.45,2.7
1997-07-01,2.34,4.39,2.68
1997-10-01,2.36,4.43,2.7
1998-01-01,2.38,4.49,2.72
1998-04-01,2.36,4.44,2.69
1998-07-01,2.35,4.41,2.68
1998-10-01,2.34,4.35,2.66
1999-01-01,2.35,4.39,2.68
1999-04-01,2.33,4.34,2.65
1999-07-01,2.32,4.33,2.63
1999-10-01,2.33,4.34,2.64
2000-01-01,2.31,4.3,2.61
2000-04-01,2.32,4.33,2.62
2000-07-01,2.34,4.37,2.63
2000-10-01,2.35,4.39,2.64
2001-01-01,2.33,4.35,2.63
2001-04-01,2.33,4.34,2.62
2001-07-01,2.32,4.34,2.62
2001-10-01,2.27,4.23,2.56
2002-01-01,2.27,4.25,2.57
2002-04-01,2.28,4.3,2.57
2002-07-01,2.28,4.3,2.57
2002-10-01,2.3,4.35,2.58
2003-01-01,2.29,4.33,2.58
2003-04-01,2.26,4.25,2.54
2003-07-01,2.21,4.11,2.49
2003-10-01,2.2,4.09,2.47
2004-01-01,2.21,4.12,2.48
2004-04-01,2.22,4.14,2.5
2004-07-01,2.21,4.11,2.49
2004-10-01,2.21,4.11,2.48
2005-01-01,2.22,4.13,2.49
2005-04-01,2.2,4.07,2.47
2005-07-01,2.18,4.02,2.45
2005-10-01,2.21,4.09,2.48
2006-01-01,2.19,4.03,2.46
2006-04-01,2.21,4.09,2.48
2006-07-01,2.24,4.16,2.5
2006-10-01,2.22,4.13,2.48
2007-01-01,2.22,4.13,2.48
2007-04-01,2.22,4.13,2.48
2007-07-01,2.22,4.13,2.47
2007-10-01,2.21,4.12,2.47
2008-01-01,2.23,4.18,2.48
2008-04-01,2.2,4.13,2.45
2008-07-01,2.22,4.19,2.48
2008-10-01,2.26,4.36,2.52
2009-01-01,2.25,4.36,2.51
2009-04-01,2.2,4.25,2.46
2009-07-01,2.12,4.1,2.38
2009-10-01,2.11,4.09,2.37
2010-01-01,2.11,4.1,2.36
2010-04-01,2.1,4.07,2.35
2010-07-01,2.13,4.15,2.37
2010-10-01,2.13,4.11,2.35
2011-01-01,2.13,4.13,2.36
2011-04-01,2.13,4.13,2.36
2011-07-01,2.11,4.06,2.33
2011-10-01,2.12,4.06,2.34
2012-01-01,2.11,4.03,2.33
2012-04-01,2.13,4.04,2.34
2012-07-01,2.15,4.09,2.36
2012-10-01,2.14,4.07,2.34
2013-01-01,2.14,4.04,2.34
2013-04-01,2.15,4.06,2.35
2013-07-01,2.17,4.07,2.36
2013-10-01,2.16,4.04,2.36
2014-01-01,2.17,4.08,2.37
2014-04-01,2.16,4.03,2.36
2014-07-01,2.16,4.01,2.35
2014-10-01,2.16,4.01,2.34
2015-01-01,2.19,4.1,2.38
2015-04-01,2.21,4.11,2.39
2015-07-01,2.22,4.13,2.4
2015-10-01,2.24,4.17,2.42
2016-01-01,2.23,4.15,2.41
2016-04-01,2.23,4.13,2.4
2016-07-01,2.2,4.07,2.38
2016-10-01,2.21,4.09,2.38
2017-01-01,2.19,4.04,2.36
2017-04-01,2.18,4.02,2.35
2017-07-01,2.18,3.99,2.34
2017-10-01,2.15,3.93,2.31
2018-01-01,2.14,3.9,2.3
2018-04-01,2.12,3.86,2.28
2018-07-01,2.15,3.92,2.3
2018-10-01,2.17,3.95,2.32
2019-01-01,2.18,3.96,2.33
2019-04-01,2.18,3.95,2.32
2019-07-01,2.17,3.92,2.3
2019-10-01,2.16,3.9,2.29
2020-01-01,2.19,3.89,2.32
2020-04-01,2.37,4.0,2.51
2020-07-01,2.2,3.77,2.33
2020-10-01,2.19,3.75,2.31
2021-01-01,2.13,3.65,2.26
2021-04-01,2.04,3.52,2.16
2021-07-01,2.04,3.6,2.16
2021-10-01,2.06,3.65,2.18
2022-01-01,2.11,3.75,2.23
2022-04-01,2.12,3.78,2.23
2022-07-01,2.11,3.76,2.22
2022-10-01,2.13,3.81,2.24
2023-01-01,2.1,3.76,2.21
2023-04-01,2.08,3.72,2.19
2023-07-01,2.08,3.71,2.19
2023-10-01,2.07,3.68,2.17
2024-01-01,2.06,3.69,2.16
2024-04-01,2.06,3.7,2.16
2024-07-01,2.05,3.68,2.15
2024-10-01,2.04,3.65,2.14
