Date,Durable goods industries,Farm,Final sales of domestic business,Final sales of goods and structures of domestic business,Food and beverage stores,General merchandise stores,Manufacturing,Merchant wholesale trade,"Mining, utilities, and construction",Motor vehicle and parts dealers,Nondurable goods industries,Nonfarm industries,Nonmerchant wholesale trade,Other industries,Other retail stores,Private inventories,Residual,Retail trade,Wholesale trade
1996-10-01,334671.75,233255.0,642923.0,340481.0,43019.0,75784.0,558110.0,317005.0,51784.0,106390.0,408611.25,1498362.0,59618.0,111458.0,174597.0,1719136.0,-15067.0,396345.0,376416.0
1997-01-01,338253.25,230291.0,647689.0,343407.0,43146.0,75656.0,560620.0,323448.0,51735.0,106584.0,411660.5,1509344.0,59959.0,113788.0,176341.0,1728046.0,-16789.0,398252.0,383243.0
1997-04-01,349053.0,233172.0,652889.0,346431.0,43323.0,76695.0,573647.0,333782.0,53266.0,108408.0,418123.75,1541393.0,61003.0,116054.0,180294.0,1763147.0,-18226.0,405308.0,394669.0
1997-07-01,355207.5,236481.0,666744.0,356067.0,43868.0,76306.0,584273.0,339056.0,54685.0,109855.0,423811.0,1561531.0,61404.0,116737.0,183704.0,1786415.0,-21464.0,410348.0,400378.0
1997-10-01,362633.0,238675.0,670970.0,357818.0,43572.0,75969.0,594102.0,347605.0,54397.0,111852.0,430343.25,1584039.0,63218.0,118894.0,185770.0,1811237.0,-24166.0,414094.0,410724.0
1998-01-01,374641.5,240742.0,679046.0,360931.0,43965.0,75913.0,607638.0,356863.0,57090.0,114505.0,434811.0,1619414.0,64565.0,119130.0,191458.0,1849173.0,-21830.0,422891.0,421349.0
1998-04-01,378954.0,239869.0,692078.0,368215.0,44676.0,75861.0,613238.0,361372.0,59408.0,112835.0,437339.75,1633476.0,64634.0,120631.0,193742.0,1862998.0,-21730.0,423678.0,425985.0
1998-07-01,384683.75,240847.0,700760.0,374434.0,44623.0,76664.0,614434.0,370335.0,61152.0,111716.0,440449.0,1649714.0,65386.0,121842.0,197216.0,1880493.0,-21158.0,426437.0,435769.0
1998-10-01,389682.5,241136.0,714757.0,384183.0,45079.0,76446.0,617368.0,374739.0,64142.0,113816.0,443269.75,1669292.0,66300.0,124534.0,200797.0,1900980.0,-19911.0,432434.0,441075.0
1999-01-01,396911.5,240496.0,721152.0,386356.0,45802.0,77423.0,622953.0,381743.0,64100.0,120457.0,447632.0,1697093.0,67059.0,126442.0,203514.0,1929307.0,-16955.0,444218.0,448883.0
1999-04-01,398893.5,240855.0,732621.0,393352.0,46402.0,78117.0,624210.0,383408.0,64185.0,120610.0,449998.5,1708549.0,68334.0,129012.0,206712.0,1941423.0,-16294.0,448593.0,451745.0
1999-07-01,403322.75,236875.0,742818.0,398675.0,47208.0,78763.0,630075.0,389776.0,63252.0,121285.0,454220.0,1725811.0,69399.0,131362.0,207309.0,1956440.0,-15041.0,451207.0,459184.0
1999-10-01,411193.75,235581.0,752440.0,403815.0,47483.0,79922.0,637228.0,397924.0,61848.0,127102.0,458955.25,1754347.0,70158.0,132325.0,211528.0,1985025.0,-12033.0,463287.0,468138.0
2000-01-01,413132.75,228796.0,763202.0,409860.0,47452.0,80047.0,634429.0,402471.0,62688.0,127642.0,459979.25,1764115.0,71316.0,135918.0,213321.0,1990032.0,-9951.0,465729.0,473823.0
2000-04-01,420624.0,231088.0,771624.0,413321.0,46718.0,80874.0,638199.0,409093.0,61667.0,133877.0,463877.25,1791084.0,73124.0,140290.0,216836.0,2019528.0,-7319.0,476484.0,482222.0
2000-07-01,425210.0,230316.0,774590.0,414991.0,46867.0,80607.0,641789.0,412246.0,61327.0,138067.0,467237.0,1812141.0,74831.0,146485.0,218652.0,2040701.0,-5220.0,482923.0,487029.0
2000-10-01,431155.25,232917.0,779124.0,416671.0,46611.0,81260.0,647092.0,418562.0,58500.0,139690.0,470542.0,1829044.0,75879.0,148666.0,221197.0,2060050.0,-4547.0,487652.0,494395.0
2001-01-01,425688.25,235123.0,780503.0,417436.0,46936.0,82903.0,639995.0,417402.0,61792.0,132756.0,471583.75,1817287.0,74746.0,149914.0,220725.0,2049660.0,-7486.0,481013.0,492153.0
2001-04-01,420949.75,234031.0,781768.0,418948.0,47160.0,83134.0,636303.0,416413.0,65888.0,135192.0,475839.75,1818160.0,73445.0,150319.0,219511.0,2049694.0,-8504.0,483089.0,489932.0
2001-07-01,413121.75,234609.0,778076.0,415967.0,47165.0,83088.0,626935.0,411129.0,67884.0,137474.0,476339.25,1807156.0,70662.0,150635.0,220182.0,2038814.0,-9493.0,486324.0,481986.0
2001-10-01,402420.0,233090.0,784535.0,421286.0,47230.0,81468.0,615746.0,407065.0,70743.0,129824.0,476459.75,1781190.0,69474.0,150310.0,219231.0,2010912.0,-13799.0,475076.0,476776.0
2002-01-01,400783.75,233984.0,783144.0,418289.0,47419.0,81120.0,611040.0,405655.0,70844.0,135050.0,475527.0,1779054.0,67636.0,148698.0,219683.0,2009374.0,-13083.0,481359.0,473665.0
