Date,Durable goods industries,Farm,Food and beverage stores,General merchandise stores,Manufacturing,Merchant wholesale trade,"Mining, utilities, and construction",Motor vehicle and parts dealers,Nondurable goods industries,Nonfarm industries,Nonmerchant wholesale trade,Other industries,Other retail stores,Private inventories,Retail trade,Wholesale trade
1996-10-01,89.23025000000001,58.541,63.978,76.507,75.435,76.464,60.1,95.747,61.6215,76.625,71.65,73.683,80.974,74.727,82.944,75.744
1997-01-01,89.0165,60.116,64.146,76.496,75.103,76.223,61.614,95.367,61.43675,76.555,71.556,73.667,80.581,74.878,82.685,75.525
1997-04-01,87.71725,59.228,63.77,76.516,73.894,75.495,58.752,94.446,60.854749999999996,75.712,70.033,72.957,79.738,74.023,82.027,74.673
1997-07-01,86.7005,58.514,63.979,76.572,72.969,75.094,59.045,93.749,60.749249999999996,75.357,69.753,73.365,79.223,73.617,81.643,74.29
1997-10-01,86.001,57.356,63.876,76.679,72.623,74.607,60.646,93.147,60.56,75.188,68.986,73.259,78.726,73.315,81.266,73.76
1998-01-01,84.7485,55.676,63.963,77.099,71.377,73.86,57.49,93.196,59.90225,74.345,67.124,73.434,78.164,72.356,81.112,72.842
1998-04-01,83.969,53.382,64.021,77.36,70.996,73.076,57.857,93.369,59.41475,73.991,66.152,73.367,77.887,71.748,81.085,72.029
1998-07-01,83.173,50.581,64.346,77.547,70.642,72.028,56.989,93.602,58.605000000000004,73.513,64.979,73.675,77.136,70.969,80.869,70.963
1998-10-01,82.4545,49.976,64.838,77.707,69.964,71.9,56.761,93.811,58.681,73.193,64.456,73.372,76.95,70.612,80.918,70.775
1999-01-01,81.985,51.177,64.651,77.634,69.607,71.542,56.441,93.065,58.550250000000005,72.889,64.233,73.383,76.856,70.496,80.643,70.437
1999-04-01,81.962,50.83,64.88,77.737,69.941,71.552,58.537,93.539,58.97075,73.251,65.067,73.967,77.166,70.771,80.956,70.57
1999-07-01,82.16575,51.28,65.383,78.01,70.737,71.903,60.879,94.279,59.94925,73.942,66.23,74.557,77.696,71.434,81.498,71.044
1999-10-01,82.64475,52.765,65.129,78.117,71.75,72.268,61.918,94.369,60.794000000000004,74.622,67.385,75.699,78.15,72.213,81.723,71.527
2000-01-01,83.12675,55.367,65.362,78.278,73.137,72.861,61.92,94.211,62.2045,75.436,68.651,76.513,78.677,73.238,81.971,72.222
2000-04-01,83.0265,54.195,65.848,78.334,73.382,72.826,64.378,94.632,62.474250000000005,75.674,68.825,76.813,78.652,73.315,82.133,72.218
2000-07-01,82.87725,52.931,65.891,78.338,73.723,72.662,67.299,94.616,62.706,75.874,69.082,77.046,78.551,73.35,82.086,72.119
2000-10-01,82.319,56.723,66.506,78.428,73.559,72.91,71.922,95.357,63.81425,76.143,69.222,77.557,78.521,74.018,82.358,72.351
2001-01-01,82.08149999999999,57.923,67.579,78.83,74.035,72.587,75.946,95.384,64.051,76.317,68.101,77.461,78.124,74.309,82.355,71.905
2001-04-01,81.5545,57.413,67.661,78.951,73.167,72.369,69.877,94.837,63.586749999999995,75.657,67.57,77.2,77.985,73.666,82.168,71.639
