Date,Aircraft,Amusement and recreation,Commercial,Conservation and development,Educational,Electronics,Equipment,Federal,Government enterprise gross fixed investment,Gross government fixed investment,Health care,Highways and streets,Industrial,Intellectual property products,Military facilities,Missiles,National defense,Net purchases of used structures,New,Nondefense,Office,Other,Other equipment,Power,Public safety,Research and development,Residential,Sewer systems,Ships,Software,State and local,Structures,Transportation,Vehicles,Water systems
1929-01-01,,3.8215,3.151,4.109999999999999,2.7895,,31.634666666666664,13.8886,4.811,10.183,4.308,4.3134999999999994,3.266,20.905,2.356,,11.92725,3.647,3.3030000000000004,18.40075,3.0,3.822,,4.076,3.2095000000000002,9.832666666666666,4.2059999999999995,2.974,,,10.7676,3.7383333333333333,3.8525,,3.35
1930-01-01,,3.5625,2.92,4.002,2.6835,,29.584333333333333,13.2644,4.65,9.591,3.6805,4.0265,2.956,19.1835,2.159,,11.045,3.501,3.1010000000000004,17.83925,2.762,3.6914999999999996,,3.882,2.9545000000000003,9.312666666666667,4.002,2.936,,,10.4944,3.5943333333333336,3.6395,,3.306
1931-01-01,,3.2744999999999997,2.529,3.703,2.0785,,26.212999999999997,12.498999999999999,4.393,8.639,3.1225,3.5695,2.499,16.9285,1.968,,10.23225,3.095,2.8063333333333333,17.641750000000002,2.4074999999999998,3.4850000000000003,,3.729,2.575,9.100333333333333,3.7005,2.706,,,9.864,3.324333333333333,3.348,,3.047
1932-01-01,,2.8015,2.101,3.1390000000000002,1.7965,,26.012666666666664,11.694199999999999,3.797,7.123,2.6365,2.73,2.225,15.4735,1.655,,9.8915,2.594,2.3063333333333333,16.990250000000003,2.0060000000000002,3.032,,3.342,2.146,8.772333333333334,3.5205,2.287,,,9.2038,2.785666666666667,2.7830000000000004,,2.574
1933-01-01,,3.51,2.062,3.6455,1.819,,25.678,11.770599999999998,4.09,7.978,2.671,3.4375,2.068,15.345500000000001,1.767,,9.404,2.503,2.6013333333333333,16.64875,1.963,3.4045,,3.733,2.0999999999999996,8.241666666666667,3.5445,2.362,,,9.1184,3.1176666666666666,3.3040000000000003,,2.659
1934-01-01,,3.6674999999999995,2.375,4.138999999999999,2.008,,27.664666666666665,12.7284,4.922,9.119,3.013,3.9255,2.386,16.942999999999998,1.974,,10.24625,2.825,2.983333333333333,17.24225,2.2365000000000004,4.386,,5.481,2.3935,8.465,3.705,2.857,,,9.609399999999999,3.6526666666666667,4.2855,,3.217
1935-01-01,,4.0024999999999995,2.337,4.09,1.99,,28.901,13.1958,4.659,8.945,2.9905,3.7995,2.585,17.598,1.957,,10.48375,2.827,2.918333333333333,18.719,2.2270000000000003,3.9215,,4.51,2.3825000000000003,8.211666666666666,3.8449999999999998,2.781,,,9.3884,3.512333333333333,3.7984999999999998,,3.132
1936-01-01,,3.1310000000000002,2.452,4.337,2.044,,28.182333333333332,13.3376,5.234,9.52,3.2560000000000002,4.1175,2.585,17.863,2.096,,10.5405,2.964,3.1340000000000003,18.02725,2.3525,4.313000000000001,,4.976,2.516,8.498333333333333,3.8455,3.125,,,9.6096,3.8783333333333334,4.1295,,3.52
1937-01-01,,3.6289999999999996,2.843,4.59,2.468,,29.480999999999998,13.5712,5.475,9.774,3.849,3.7945,3.102,18.919,2.216,,11.561499999999999,3.333,3.253666666666667,17.18275,2.7190000000000003,4.588,,5.402,2.9085,8.762333333333332,3.989,3.317,,,10.2036,4.028,4.1585,,3.734
1938-01-01,,4.029,2.92,4.6235,2.5045,,27.38566666666667,13.4074,5.598,9.711,4.0205,3.5985,2.82,17.6475,2.215,,11.62125,3.377,3.2183333333333337,16.438000000000002,2.767,4.624,,5.402,2.96,8.713333333333333,3.8585000000000003,3.468,,,10.175,4.079666666666667,4.0375,,3.904
1939-01-01,,4.448,2.881,4.5715,2.486,,26.669666666666668,13.243799999999998,5.41,9.508,3.795,3.5220000000000002,2.702,17.311,2.212,,11.49275,3.344,3.157666666666666,16.37525,2.7565,4.441,,5.209,2.9485,8.548666666666668,3.6595000000000004,3.355,,,10.019200000000001,3.9683333333333337,3.928,,3.775
1940-01-01,,4.382,2.997,4.5385,2.6235,,26.995666666666665,13.434199999999999,5.347,9.559,3.6384999999999996,3.431,3.035,17.462,2.278,,11.4015,3.492,3.186,17.46225,2.835,4.4355,,5.09,3.033,8.416666666666666,3.7225,3.393,,,10.1278,3.9443333333333332,3.8404999999999996,,3.819
1941-01-01,,4.36,3.271,4.624499999999999,2.7475,,32.71366666666667,14.6672,5.787,10.49,4.343999999999999,3.99,3.367,18.896,2.45,,12.50475,3.832,3.437,19.28425,3.108,4.67,,5.441,3.3255,8.505333333333333,3.942,3.581,,,10.746599999999999,4.185666666666667,4.2815,,4.033
1942-01-01,,3.6550000000000002,3.426,4.67,2.818,,22.896,13.0688,4.682,10.654,4.196999999999999,5.359500000000001,3.877,21.3785,2.928,,12.075500000000002,4.258,3.8640000000000003,21.6855,3.3265000000000002,4.8175,,5.793,3.5575,9.469666666666667,4.4625,3.694,,,11.7102,4.451,5.153499999999999,,4.163
