Date,Aircraft,Amusement and recreation,Commercial,Conservation and development,Educational,Electronics,Equipment,Federal,Government enterprise gross fixed investment,Gross government fixed investment,Health care,Highways and streets,Industrial,Intellectual property products,Military facilities,Missiles,National defense,Net purchases of used structures,New,Nondefense,Office,Other,Other equipment,Power,Public safety,Research and development,Residential,Sewer systems,Ships,Software,State and local,Structures,Transportation,Vehicles,Water systems
1929-01-01,,20.5,8.0,43.5,196.5,,99.66666666666667,94.6,531.0,2903.0,51.5,654.0,0.0,31.0,24.0,,27.5,27.333333333333332,831.0,88.5,26.5,1.5,,106.0,12.0,20.666666666666668,0.0,131.0,,,1173.2,1024.6666666666667,36.0,,126.0
1930-01-01,,20.5,7.0,73.5,183.5,,89.33333333333333,129.6,634.0,3255.0,59.5,762.0,0.0,40.0,37.0,,43.5,22.0,955.6666666666666,114.5,25.0,1.5,,108.0,11.5,26.666666666666668,0.0,147.0,,,1298.8,1180.0,35.5,,201.0
1931-01-01,,25.5,9.0,88.0,144.0,,98.33333333333333,167.4,620.0,3087.0,55.0,682.5,0.0,47.0,51.0,,55.0,19.666666666666668,890.3333333333334,148.0,29.5,1.5,,143.0,13.0,31.333333333333332,0.0,118.0,,,1191.0,1105.6666666666667,44.0,,156.0
1932-01-01,,16.0,5.0,106.5,65.0,,84.0,195.8,420.0,2262.0,39.5,489.5,0.0,57.5,43.0,,51.0,17.0,624.0,181.5,16.0,1.5,,94.0,7.0,38.333333333333336,0.0,71.0,,,793.0,771.6666666666666,27.0,,87.0
1933-01-01,,9.5,3.0,172.5,27.5,,82.0,278.2,271.0,2030.0,24.0,435.0,2.0,52.5,45.0,,60.0,14.666666666666666,553.0,278.0,10.5,1.0,,51.0,4.0,35.0,0.0,46.0,,,588.0,650.0,18.0,,50.0
1934-01-01,,15.0,4.0,226.5,77.0,,112.66666666666667,354.2,385.0,2671.0,26.5,509.0,11.0,46.0,60.0,,69.5,13.0,741.0,366.5,22.0,1.5,,67.0,9.5,30.666666666666668,0.5,105.0,,,791.6,875.3333333333334,31.0,,71.0
1935-01-01,,16.0,5.0,289.0,80.5,,164.0,494.2,408.0,2852.0,21.0,444.0,2.0,45.5,46.0,,63.0,16.0,747.0,545.0,19.0,1.5,,86.0,7.5,30.333333333333332,4.5,104.0,,,728.2,892.0,32.5,,74.0
1936-01-01,,37.0,13.0,280.0,187.0,,143.0,526.6,837.0,4230.0,38.0,703.5,4.0,51.5,35.0,,145.0,64.66666666666667,1174.6666666666667,501.5,37.5,3.0,,235.0,16.5,34.333333333333336,32.0,237.0,,,1332.8,1511.6666666666667,67.5,,112.0
1937-01-01,,27.0,9.0,264.0,130.0,,163.33333333333334,528.6,717.0,3899.0,37.5,637.0,2.0,53.5,46.0,,176.5,72.66666666666667,1037.0,472.5,30.0,2.5,,174.0,13.0,35.666666666666664,49.0,216.0,,,1174.2,1339.3333333333333,53.0,,102.0
1938-01-01,,33.0,11.0,238.5,159.0,,185.33333333333334,521.6,818.0,4290.0,49.5,734.5,12.0,59.0,78.0,,173.0,69.66666666666667,1146.0,468.5,36.0,5.0,,204.0,16.0,39.333333333333336,18.5,243.0,,,1358.4,1478.3333333333333,59.0,,120.0
