Date,Aircraft,Amusement and recreation,Commercial,Conservation and development,Educational,Electronics,Equipment,Federal,Government enterprise gross fixed investment,Gross government fixed investment,Health care,Highways and streets,Industrial,Intellectual property products,Military facilities,Missiles,National defense,Net purchases of used structures,New,Nondefense,Office,Other,Other equipment,Power,Public safety,Research and development,Residential,Residual,Sewer systems,Ships,Software,State and local,Structures,Transportation,Vehicles,Water systems
2007-01-01,12482.0,5106.5,985.5,4345.5,50298.5,9682.0,49501.333333333336,111661.2,109746.0,688950.0,3907.0,50861.5,433.0,62781.666666666664,10042.0,4640.0,82919.25,2706.0,121769.66666666667,54752.75,14550.5,1780.0,29888.0,5512.0,3471.0,51903.333333333336,4226.5,-19307.0,22300.0,12206.0,10641.0,187330.8,155536.66666666666,12843.0,7837.0,17944.0
2008-01-01,12619.0,5268.5,864.5,4170.5,50698.5,12191.0,54881.333333333336,118748.4,118031.0,708459.0,4020.5,47788.5,706.0,63925.0,13397.0,4496.0,89616.5,2870.6666666666665,122106.66666666667,56662.5,14296.0,1082.0,34586.0,6379.5,3514.0,52129.333333333336,4913.0,-15894.0,22996.0,12569.0,11363.666666666666,189192.4,157708.33333333334,13180.0,10614.0,17875.0
2009-01-01,12801.0,5414.5,794.5,4342.5,46122.0,12929.0,55834.666666666664,123351.8,123795.0,716443.0,4550.5,48511.5,940.0,64953.0,18166.0,5220.0,92863.75,2305.0,123576.0,59289.75,14255.0,732.5,36185.0,6998.5,3529.5,53016.333333333336,4988.0,-15742.0,24664.0,12418.0,11502.333333333334,188809.2,160319.66666666666,14441.0,10871.0,18576.0
2010-01-01,15312.0,5233.5,704.0,5104.0,42849.5,12083.0,55601.0,128443.0,122242.0,713337.0,4797.0,48094.0,857.0,66111.0,17365.0,5649.0,93433.25,2511.3333333333335,120856.33333333333,64517.25,14011.0,974.5,35616.0,6466.5,3432.5,53281.0,5398.5,-13544.0,25064.0,12841.0,12219.666666666666,181811.2,157631.33333333334,14316.0,10924.0,17532.0
2011-01-01,18046.0,4629.0,1057.0,5018.5,39790.0,10292.0,53579.666666666664,124781.4,113171.0,687483.0,5238.5,46286.5,906.0,66520.33333333333,13085.0,4973.0,88973.0,1374.3333333333333,114440.0,64779.25,14213.0,1339.0,34304.0,5974.5,3642.0,52613.0,4708.5,-8893.0,23459.0,12128.0,13098.0,173085.6,147234.33333333334,13302.5,8225.0,16412.0
2012-01-01,18512.0,4074.5,949.0,4072.5,36497.5,9142.0,53058.666666666664,119927.6,106043.0,656751.0,5226.5,44439.0,719.0,66551.33333333333,7348.0,6599.0,83840.25,1094.6666666666667,104623.66666666667,64071.0,13292.0,1255.0,32261.0,5550.5,3257.0,51797.0,3667.0,-3887.0,20278.0,12282.0,13783.333333333334,163914.4,134619.33333333334,12831.5,6465.0,15925.0
2013-01-01,20387.0,3651.5,603.5,3501.5,34674.0,7199.0,49850.0,112449.6,104160.0,628446.0,5255.0,42375.5,657.0,65707.0,6607.0,6197.0,78496.0,1050.3333333333333,98968.66666666667,60150.5,11978.5,1063.0,27613.0,5444.0,2592.0,49886.0,3116.0,-1132.0,18906.0,12846.0,14685.0,159689.8,128561.33333333333,13141.0,4284.0,16192.0
2014-01-01,18099.0,3629.0,566.0,3685.0,34589.5,6254.0,48256.666666666664,109572.0,107385.0,622085.0,4509.0,42943.0,561.0,65218.0,6190.0,6368.0,74029.5,988.6666666666666,98919.33333333333,60682.5,11690.5,954.5,26854.0,5368.0,2445.5,48049.666666666664,2929.0,-586.0,18381.0,13371.0,15859.333333333334,160704.4,129673.66666666667,14627.0,3192.0,15851.0
2015-01-01,17362.0,3915.0,609.5,4494.5,37055.5,6028.0,48800.333333333336,111385.8,109511.0,642741.0,4130.5,45836.0,747.0,67749.33333333333,6145.0,6371.0,73478.25,912.0,103324.66666666667,63440.25,11362.5,988.0,26566.0,5461.0,2241.0,49570.666666666664,2887.5,-387.0,18725.0,13633.0,16822.0,167618.4,134240.33333333334,15204.5,2469.0,15897.0
2016-01-01,16188.0,4219.0,678.0,4566.0,39868.0,6443.0,49761.0,112840.8,109694.0,660824.0,4095.0,47627.5,1076.0,70525.0,5965.0,4742.0,72063.5,824.3333333333334,106120.0,66925.5,11188.0,927.0,27892.0,5215.5,2174.5,49917.0,2893.0,-253.0,18837.0,14506.0,19037.666666666668,173445.8,136587.0,14872.5,2506.0,15777.0
