Date,Abandoned electric plants,Brokers' commissions on sale of nonresidential used structures and dealers' margins on used equipment,Change in private inventories,Electric plants put in place less electric plants put in use,Equipment,Fixed assets,General government,Government,Government enterprises,Government fixed assets,Gross fixed investment,Intellectual property products,Intersectoral auto valuation adjustment,Less: Consumption of fixed capital,Less: Other changes in volume of assets,"Less: Sale of equipment scrap, excluding autos",Less: Stock reconciliation adjustments,Neutral holding gains or losses (-),Nominal holding gains or losses (-),Nonresidential,Nonresidential fixed assets,Other,Private,Private fixed assets,Private inventories,Produced assets,Real holding gains or losses (-),Residential,Residential fixed assets,Structures
1951-01-01,0.0,359.0,9911.0,43.0,11663.75,469963.5,63.0,72428.28571428571,0.0,63.0,72430.0,1993.5,19.0,37726.0,63.0,102.0,-118.0,56969.0,53656.0,110938.85714285714,,-143.0,211842.0,,60971.0,1035040.5,-3313.0,100902.85714285714,,7797.25
1952-01-01,0.0,315.0,3514.0,21.0,12810.25,497029.75,105.0,77769.85714285714,0.0,105.0,78380.0,2293.5,-18.0,40606.0,105.0,78.0,-155.0,19825.0,6000.0,117062.85714285714,,-137.0,223222.85714285713,,58406.25,1107871.5,-13825.0,106160.0,,8408.25
1953-01-01,0.0,290.0,1948.0,95.5,13988.75,515253.5,83.0,80110.28571428571,0.0,83.0,85132.0,2650.75,59.0,43488.0,83.0,103.0,38.0,11404.0,-7060.0,122473.0,,-134.0,232699.85714285713,,57854.5,1149745.0,-18464.0,110227.0,,8994.75
1954-01-01,0.0,248.0,-1937.0,12.5,13674.75,540194.0,83.0,85093.0,0.0,83.0,85403.0,2909.5,301.0,45981.0,83.0,41.0,204.0,10001.0,9562.0,126133.57142857143,,-114.5,242387.14285714287,,57862.25,1191330.5,-439.0,116253.71428571429,,9228.25
1955-01-01,0.0,410.0,4987.0,-126.5,14393.5,587529.75,0.0,91983.42857142857,0.0,0.0,93125.0,3303.5,359.0,48893.0,0.0,124.0,163.0,26103.0,49026.0,138666.0,,-99.0,264059.28571428574,,56602.75,1263751.0,22923.0,125393.42857142857,,9665.5
1956-01-01,0.0,449.0,3950.0,-48.0,15645.0,639114.25,0.0,102354.71428571429,0.0,0.0,100881.0,4061.5,431.0,54127.0,0.0,158.0,215.0,49717.0,62680.0,153423.0,,-186.5,285028.28571428574,,61244.0,1369376.0,12963.0,131605.14285714287,,11120.75
1957-01-01,0.0,450.0,777.0,7.5,16927.5,673028.25,0.0,107775.57142857143,0.0,0.0,105957.0,4668.75,269.0,58919.0,0.0,116.0,274.0,45203.0,23540.0,164315.14285714287,,-166.5,300405.0,,63607.25,1461500.5,-21663.0,136089.7142857143,,11950.0
1958-01-01,0.0,435.0,-366.0,14.0,16516.5,697091.5,0.0,113885.85714285714,0.0,0.0,103935.0,5170.5,-467.0,62454.0,0.0,63.0,-204.0,25870.0,7944.0,167906.57142857142,,-67.5,308193.14285714284,,65730.75,1521672.5,-17925.0,140286.7142857143,,12115.0
1959-01-01,0.0,441.0,3917.0,-4.5,18229.0,722619.75,0.0,117620.28571428571,0.0,0.0,117615.0,5727.25,394.0,65445.0,0.0,119.0,404.0,23329.0,2116.0,174973.85714285713,,-152.0,321514.28571428574,,65511.0,1575203.0,-21212.0,146540.57142857142,,12455.25
1960-01-01,0.0,446.0,3232.0,12.5,18596.25,747510.25,0.0,122625.28571428571,0.0,0.0,119248.0,6318.25,451.0,67901.0,0.0,139.0,494.0,22917.0,-1372.0,178937.42857142858,,-144.0,331329.71428571426,,67376.25,1630459.5,-24289.0,152392.0,,12841.5
1961-01-01,0.0,448.0,2974.0,48.5,18983.5,776931.25,0.0,129534.14285714286,0.0,0.0,123507.0,7036.0,439.0,70604.0,0.0,205.0,438.0,13235.0,7520.0,184223.2857142857,,-169.0,342219.28571428574,,69096.0,1688294.5,-5715.0,157996.0,,13337.25
