Date,By government,By government (8-35),By persons,By persons (18-44),By private business,By private business (2-25),By the rest of the world,By the rest of the world (21-47),Capital grants paid by federal government,Capital grants to state and local governments,Capital transfers paid by U.S. government,Capital transfers paid by private business,Capital transfers paid to the rest of the world (net),"Capital transfers paid, by sector","Capital transfers received, by sector",Corporate business (3+6-26-29),Disaster-related insurance benefits,Estate and gift taxes paid by persons,"Estate and gift taxes, federal","Estate and gift taxes, state and local",Federal,Federal (9-36),Financial corporations,Financial stabilization payments,Noncorporate business,Noncorporate business (7-32),Nonfinancial corporations,Other,Other capital transfers paid to business,Other capital transfers paid to persons,State and local,State and local (16-39)
1929-01-01,225.0,-225.0,225.0,225.0,,,,,,,,,,225.0,225.0,,,112.5,60.0,165.0,60.0,-60.0,,,,,,,,,165.0,-165.0
1930-01-01,242.0,-242.0,242.0,242.0,,,,,,,,,,242.0,242.0,,,121.0,60.0,182.0,60.0,-60.0,,,,,,,,,182.0,-182.0
1931-01-01,223.0,-223.0,223.0,223.0,,,,,,,,,,223.0,223.0,,,111.5,55.0,168.0,55.0,-55.0,,,,,,,,,168.0,-168.0
1932-01-01,167.0,-167.0,167.0,167.0,,,,,,,,,,167.0,167.0,,,83.5,30.0,137.0,30.0,-30.0,,,,,,,,,137.0,-137.0
1933-01-01,178.0,-178.0,178.0,178.0,,,,,,,,,,178.0,178.0,,,89.0,68.0,110.0,68.0,-68.0,,,,,,,,,110.0,-110.0
1934-01-01,224.0,-224.0,224.0,224.0,,,,,,,,,,224.0,224.0,,,112.0,127.0,97.0,127.0,-127.0,,,,,,,,,97.0,-97.0
1935-01-01,354.0,-354.0,354.0,354.0,,,,,,,,,,354.0,354.0,,,177.0,245.0,109.0,245.0,-245.0,,,,,,,,,109.0,-109.0
1936-01-01,497.0,-497.0,497.0,497.0,,,,,,,,,,497.0,497.0,,,248.5,381.0,116.0,381.0,-381.0,,,,,,,,,116.0,-116.0
1937-01-01,326.0,-526.0,526.0,526.0,,,,,63.0,63.0,,,,589.0,589.0,,,263.0,397.0,129.0,230.0,-334.0,,,,,,,,,192.0,-192.0
1938-01-01,386.0,-522.0,522.0,522.0,,,,,125.0,125.0,,,,647.0,647.0,,,261.0,385.0,137.0,255.0,-260.0,,,,,,,,,262.0,-262.0
