Date,"Agriculture, forestry, and fishing",Communications,Construction,Domestic industries,Durable goods,"Electric, gas, and sanitary services","Finance, insurance, and real estate",Government,Manufacturing,Mining,National income without capital consumption adjustment,Nondurable goods,Private industries,Rest of the world,Retail trade,Services,Transportation,Transportation and public utilities,Wholesale trade
1948-01-01,19546.0,3680.0,10249.0,238689.0,36738.0,3502.0,22040.0,21291.0,73586.0,5537.0,240080.0,36848.0,217398.0,1391.0,28046.0,20920.0,13560.0,20742.0,16732.0
1948-04-01,23177.0,3805.0,10968.0,246862.0,36551.0,3630.0,22688.0,21695.0,74450.0,5560.0,248342.0,37900.0,225168.0,1480.0,28743.0,21391.0,13652.0,21087.0,17103.0
1948-07-01,22784.0,3802.0,11558.0,251573.0,37757.0,3678.0,23255.0,22887.0,75834.0,6112.0,253056.0,38078.0,228686.0,1483.0,28856.0,21531.0,14099.0,21579.0,17177.0
1948-10-01,21292.0,3880.0,11600.0,253475.0,39049.0,3884.0,23665.0,23682.0,77042.0,6047.0,254946.0,37994.0,229794.0,1471.0,29649.0,21611.0,13878.0,21642.0,17246.0
1949-01-01,17876.0,3928.0,11315.0,246019.0,37779.0,4061.0,24123.0,24180.0,73849.0,5660.0,247404.0,36071.0,221839.0,1385.0,29261.0,21626.0,13160.0,21149.0,16978.0
1949-04-01,17294.0,4099.0,10911.0,242376.0,35474.0,4211.0,24497.0,24692.0,70482.0,5252.0,243705.0,35009.0,217685.0,1329.0,29045.0,21606.0,13666.0,21976.0,16620.0
1949-07-01,16557.0,4141.0,10844.0,242474.0,36625.0,4340.0,24908.0,25031.0,72097.0,4651.0,243746.0,35473.0,217443.0,1272.0,28558.0,21841.0,12993.0,21475.0,16512.0
1949-10-01,16202.0,4203.0,10920.0,238619.0,33678.0,4247.0,25425.0,25190.0,68790.0,4429.0,239752.0,35113.0,213429.0,1133.0,28119.0,22438.0,12494.0,20944.0,16161.0
1950-01-01,16953.0,4277.0,11367.0,248819.0,37464.0,4374.0,26173.0,25207.0,73349.0,4795.0,250047.0,35886.0,223612.0,1228.0,29412.0,22685.0,13278.0,21929.0,16949.0
1950-04-01,17146.0,4487.0,12127.0,260881.0,42294.0,4578.0,26831.0,25407.0,79841.0,5810.0,262198.0,37548.0,235474.0,1317.0,30003.0,23034.0,14073.0,23137.0,17543.0
1950-07-01,18393.0,4820.0,12999.0,277757.0,48144.0,4674.0,27719.0,26537.0,87877.0,6313.0,279364.0,39734.0,251220.0,1607.0,30316.0,23473.0,15600.0,25094.0,19035.0
