Date,"Agriculture, forestry, and fishing",Communications,Construction,Domestic industries,Durable goods,"Electric, gas, and sanitary services","Finance, insurance, and real estate",Government,Manufacturing,Mining,National income without capital consumption adjustment,Nondurable goods,Private industries,Rest of the world,Retail trade,Services,Transportation,Transportation and public utilities,Wholesale trade
1987-01-01,64481.0,93317.0,195161.0,3870630.0,452029.0,90747.0,622669.0,521298.0,746686.0,37651.0,3884988.0,294657.0,3349332.0,14358.0,390946.0,705235.0,123654.0,307718.0,278783.0
1987-04-01,65043.0,95943.0,199843.0,3966565.0,452489.0,96113.0,650058.0,529545.0,765465.0,41842.0,3984697.0,312976.0,3437020.0,18132.0,395711.0,720569.0,126567.0,318623.0,279866.0
1987-07-01,66770.0,98600.0,202291.0,4060586.0,462231.0,93355.0,665046.0,536356.0,796143.0,43284.0,4078350.0,333912.0,3524230.0,17764.0,404620.0,741302.0,126412.0,318368.0,286406.0
1987-10-01,69703.0,98959.0,206725.0,4152751.0,464219.0,95122.0,670878.0,547120.0,812505.0,47349.0,4172435.0,348286.0,3605631.0,19684.0,408406.0,774854.0,131902.0,325983.0,289229.0
1988-01-01,74008.0,99746.0,211758.0,4238034.0,485800.0,98093.0,664162.0,557477.0,844766.0,48891.0,4263030.0,358967.0,3680557.0,24996.0,414937.0,787674.0,131255.0,329094.0,305268.0
1988-04-01,68561.0,101862.0,218087.0,4333723.0,505621.0,100081.0,667003.0,570775.0,862831.0,50236.0,4356536.0,357209.0,3762947.0,22813.0,423833.0,817690.0,138464.0,340407.0,314301.0
1988-07-01,71165.0,105884.0,220836.0,4430261.0,509926.0,102519.0,695374.0,580335.0,876975.0,50533.0,4450421.0,367049.0,3849926.0,20159.0,429132.0,839161.0,142968.0,351371.0,315379.0
1988-10-01,60373.0,108720.0,222471.0,4536271.0,519370.0,107689.0,730442.0,593702.0,899544.0,51451.0,4558933.0,380175.0,3942569.0,22662.0,438663.0,851496.0,143755.0,360165.0,327965.0
1989-01-01,79555.0,105656.0,221305.0,4612664.0,514641.0,109927.0,779383.0,603305.0,888304.0,50582.0,4635069.0,373663.0,4009359.0,22404.0,443007.0,867425.0,138199.0,353782.0,326017.0
1989-04-01,76454.0,105290.0,219859.0,4650808.0,503667.0,111847.0,799441.0,614543.0,876794.0,51259.0,4672472.0,373127.0,4036265.0,21665.0,445079.0,883568.0,136867.0,354004.0,329807.0
1989-07-01,75654.0,103444.0,221315.0,4705769.0,498400.0,113221.0,806825.0,626638.0,874325.0,53368.0,4730064.0,375926.0,4079131.0,24295.0,454930.0,902216.0,138064.0,354728.0,335768.0
1989-10-01,79379.0,110341.0,227088.0,4744960.0,498375.0,111817.0,791584.0,638042.0,870978.0,53953.0,4775757.0,372603.0,4106918.0,30797.0,460676.0,926440.0,139031.0,361189.0,335631.0
1990-01-01,84350.0,112399.0,232298.0,4857554.0,506816.0,115955.0,789594.0,649931.0,896434.0,57010.0,4887072.0,389617.0,4207623.0,29518.0,470451.0,964574.0,140630.0,368983.0,343929.0
1990-04-01,83687.0,115063.0,233290.0,4949130.0,514603.0,117987.0,789481.0,666524.0,921572.0,59711.0,4980756.0,406969.0,4282607.0,31625.0,472875.0,990006.0,151256.0,384305.0,347680.0
1990-07-01,83438.0,117226.0,231895.0,4987977.0,513747.0,121592.0,797941.0,674435.0,914397.0,59664.0,5015117.0,400650.0,4313543.0,27140.0,470761.0,1018499.0,148792.0,387610.0,349338.0
1990-10-01,81414.0,117225.0,226771.0,4996802.0,496938.0,119271.0,796929.0,683173.0,910292.0,58278.0,5047293.0,413355.0,4313630.0,50490.0,477034.0,1027240.0,145611.0,382108.0,353564.0
1991-01-01,77542.0,117842.0,218559.0,5032804.0,488898.0,121443.0,814810.0,698232.0,903489.0,57178.0,5072268.0,414591.0,4334571.0,39464.0,481679.0,1027507.0,155537.0,394822.0,358986.0
1991-04-01,78520.0,120151.0,216411.0,5086178.0,502366.0,123710.0,825059.0,710577.0,904325.0,56747.0,5114736.0,401960.0,4375601.0,28558.0,487181.0,1044259.0,156538.0,400399.0,362698.0
1991-07-01,75109.0,121665.0,218930.0,5142055.0,507056.0,124735.0,845453.0,721285.0,913389.0,54789.0,5167162.0,406333.0,4420770.0,25107.0,485900.0,1059601.0,154491.0,400891.0,366707.0
1991-10-01,79558.0,120318.0,217742.0,5193844.0,504952.0,127112.0,856662.0,734693.0,907915.0,52375.0,5227064.0,402963.0,4459150.0,33221.0,491421.0,1084755.0,153744.0,401174.0,367549.0
1992-01-01,84261.0,123476.0,217161.0,5317535.0,507207.0,124506.0,906029.0,747004.0,909604.0,54163.0,5350268.0,402397.0,4570531.0,32733.0,497952.0,1117323.0,163901.0,411883.0,372155.0
1992-04-01,87094.0,123724.0,220171.0,5400367.0,513278.0,128603.0,925934.0,758305.0,920491.0,54379.0,5432420.0,407213.0,4642061.0,32053.0,501090.0,1142458.0,160043.0,412370.0,378075.0
1992-07-01,87509.0,124653.0,218986.0,5443022.0,513685.0,127909.0,943854.0,767843.0,924110.0,54160.0,5472235.0,410426.0,4675178.0,29214.0,499947.0,1148726.0,162684.0,415246.0,382640.0
1992-10-01,83126.0,131008.0,224045.0,5536525.0,526239.0,130930.0,995523.0,771588.0,941922.0,56021.0,5566824.0,415683.0,4764937.0,30299.0,503417.0,1146861.0,160744.0,422683.0,391339.0
1993-01-01,76346.0,128124.0,225385.0,5537559.0,505245.0,129287.0,955507.0,774665.0,905461.0,54367.0,5574769.0,400216.0,4762894.0,37210.0,517071.0,1226736.0,172372.0,429782.0,372239.0
1993-04-01,81843.0,135609.0,230413.0,5643135.0,535558.0,129466.0,993232.0,780918.0,952775.0,53893.0,5673787.0,417217.0,4862217.0,30652.0,529415.0,1193696.0,171824.0,436899.0,390051.0
1993-07-01,72349.0,136458.0,235443.0,5683066.0,539788.0,131166.0,1003443.0,787207.0,951611.0,54588.0,5719214.0,411823.0,4895859.0,36148.0,541845.0,1203877.0,173125.0,440749.0,391954.0
1993-10-01,86674.0,139504.0,243326.0,5835907.0,567652.0,134108.0,1058305.0,792481.0,998315.0,56255.0,5856533.0,430663.0,5043427.0,20626.0,550370.0,1193134.0,175631.0,449243.0,407805.0
1994-01-01,94406.0,139592.0,249625.0,5892593.0,567586.0,134955.0,1015103.0,801587.0,989050.0,57230.0,5919954.0,421464.0,5091006.0,27360.0,559953.0,1264056.0,180182.0,454730.0,406853.0
1994-04-01,91462.0,144193.0,257920.0,6018904.0,578916.0,139890.0,1050252.0,809295.0,1012991.0,57569.0,6041749.0,434075.0,5209608.0,22846.0,573461.0,1264472.0,186529.0,470611.0,430871.0
1994-07-01,88321.0,144062.0,263612.0,6109966.0,589166.0,142630.0,1072000.0,815851.0,1036048.0,58784.0,6131269.0,446881.0,5294114.0,21303.0,582322.0,1283550.0,190072.0,476764.0,432711.0
1994-10-01,84831.0,148572.0,269870.0,6217616.0,608767.0,143384.0,1087415.0,820552.0,1065040.0,57653.0,6237975.0,456273.0,5397064.0,20359.0,595321.0,1310239.0,194177.0,486133.0,440562.0
1995-01-01,77627.0,145311.0,271813.0,6268854.0,607073.0,142571.0,1104986.0,829260.0,1063952.0,54561.0,6298672.0,456879.0,5439594.0,29818.0,598261.0,1346414.0,195196.0,483078.0,438901.0
1995-04-01,76292.0,143864.0,275788.0,6330501.0,606301.0,144507.0,1124826.0,834224.0,1075450.0,57138.0,6363133.0,469149.0,5496277.0,32632.0,604256.0,1360285.0,195964.0,484335.0,437908.0
1995-07-01,80031.0,149027.0,283131.0,6443270.0,615713.0,148154.0,1150322.0,838124.0,1095984.0,59122.0,6462123.0,480271.0,5605147.0,18853.0,612319.0,1382388.0,194908.0,492088.0,449761.0
1995-10-01,87973.0,148326.0,286560.0,6513957.0,619018.0,148853.0,1163638.0,843270.0,1100190.0,59542.0,6544450.0,481172.0,5670687.0,30492.0,618591.0,1408310.0,195282.0,492461.0,453423.0
1996-01-01,96720.0,151003.0,295126.0,6621812.0,613944.0,150833.0,1187515.0,848972.0,1091427.0,64706.0,6659077.0,477483.0,5772840.0,37265.0,632991.0,1439396.0,197290.0,499126.0,465834.0
1996-04-01,105297.0,153516.0,303004.0,6752535.0,631016.0,150895.0,1221953.0,856032.0,1110732.0,67042.0,6781541.0,479716.0,5896503.0,29006.0,644563.0,1468033.0,203406.0,507817.0,468061.0
1996-07-01,95541.0,152880.0,310147.0,6832918.0,636032.0,145193.0,1240656.0,863590.0,1119116.0,70990.0,6858724.0,483084.0,5969328.0,25807.0,652579.0,1494723.0,209276.0,507349.0,478228.0
1996-10-01,98517.0,154484.0,315623.0,6956562.0,643288.0,150682.0,1261800.0,871510.0,1134682.0,73371.0,6987946.0,491394.0,6085052.0,31384.0,662951.0,1529259.0,206941.0,512108.0,496742.0
1997-01-01,102326.0,138439.0,323007.0,7073398.0,647382.0,147793.0,1297830.0,880470.0,1141686.0,78186.0,7096512.0,494304.0,6192928.0,23115.0,689511.0,1562534.0,212806.0,499038.0,498809.0
1997-04-01,93620.0,141318.0,328503.0,7175640.0,664946.0,148765.0,1322225.0,889360.0,1163474.0,79136.0,7206306.0,498529.0,6286280.0,30666.0,688014.0,1592166.0,217364.0,507447.0,511695.0
1997-07-01,98420.0,141829.0,333580.0,7329625.0,693797.0,146529.0,1354360.0,897341.0,1200113.0,79539.0,7352713.0,506317.0,6432284.0,23088.0,702360.0,1622365.0,228978.0,517337.0,524209.0
1997-10-01,96526.0,143810.0,341633.0,7456623.0,701854.0,147921.0,1394939.0,908521.0,1216642.0,77005.0,7472956.0,514788.0,6548102.0,16333.0,709500.0,1656065.0,236244.0,527975.0,527815.0
1998-01-01,92338.0,146740.0,351200.0,7537877.0,684204.0,142050.0,1424065.0,917459.0,1186609.0,70184.0,7563235.0,502406.0,6620418.0,25358.0,728142.0,1700196.0,235215.0,524005.0,543680.0
1998-04-01,91284.0,150531.0,362836.0,7668339.0,691303.0,143346.0,1463327.0,927564.0,1192937.0,67283.0,7690826.0,501634.0,6740775.0,22487.0,743288.0,1728219.0,239791.0,533668.0,557933.0
1998-07-01,90359.0,154626.0,375871.0,7809250.0,701233.0,146202.0,1491319.0,939416.0,1209724.0,64224.0,7818792.0,508491.0,6869834.0,9543.0,758977.0,1766632.0,246535.0,547362.0,565364.0
1998-10-01,95689.0,148124.0,388313.0,7897215.0,719002.0,146907.0,1504482.0,950278.0,1215507.0,65026.0,7909458.0,496505.0,6946937.0,12243.0,775020.0,1804009.0,245680.0,540711.0,558180.0
1999-01-01,95870.0,147945.0,405548.0,8030241.0,702887.0,151102.0,1526381.0,963136.0,1234914.0,60415.0,8056173.0,532027.0,7067105.0,25932.0,784928.0,1837034.0,249498.0,548545.0,573469.0
1999-04-01,90376.0,144203.0,413025.0,8083290.0,706427.0,148310.0,1515380.0,977261.0,1242289.0,62358.0,8114210.0,535861.0,7106029.0,30920.0,796493.0,1871282.0,251679.0,544192.0,570634.0
1999-07-01,87617.0,147426.0,418090.0,8183290.0,717892.0,155602.0,1557849.0,993199.0,1250006.0,64112.0,8211911.0,532114.0,7190091.0,28621.0,793178.0,1892109.0,253787.0,556816.0,570313.0
1999-10-01,87942.0,157188.0,432521.0,8350142.0,733101.0,158991.0,1580077.0,1008617.0,1263870.0,67270.0,8388284.0,530769.0,7341525.0,38141.0,807056.0,1940509.0,261765.0,577944.0,584337.0
2000-01-01,90276.0,152628.0,446841.0,8584967.0,769030.0,157266.0,1626420.0,1024684.0,1322562.0,75984.0,8618051.0,553532.0,7560283.0,33084.0,834571.0,1995553.0,263020.0,572914.0,595161.0
2000-04-01,97038.0,155809.0,460425.0,8692029.0,752170.0,151973.0,1655892.0,1040335.0,1315532.0,81322.0,8727700.0,563362.0,7651694.0,35671.0,833308.0,2013782.0,272742.0,580524.0,613870.0
2000-07-01,97229.0,164933.0,457732.0,8827351.0,759886.0,154703.0,1702846.0,1048242.0,1324545.0,87009.0,8857831.0,564659.0,7779109.0,30480.0,843037.0,2055914.0,268725.0,588360.0,622438.0
2000-10-01,98381.0,173115.0,462991.0,8871592.0,732305.0,152639.0,1740774.0,1059673.0,1290301.0,90461.0,8926279.0,557996.0,7811920.0,54686.0,840020.0,2077421.0,269093.0,594847.0,616723.0
