Date,"Agricultural services, forestry, and fisheries","Agriculture, forestry, and fisheries",Amusement and recreation services,Anthracite mining,Apparel and other textile products,Banking,Bituminous and other soft coal mining,Business services,Chemicals and allied products,Commercial and trade schools and employment agencies,Communication,Compensation of employees,Contract construction,Credit agencies (other than banks) and holding and other investment companies,Crude petroleum and natural gas,Domestic industries,Durable goods,"Educational services, n.e.c.",Electric and electronic equipment,"Electric, gas, and sanitary services",Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Furniture and finished lumber products,General government,Government,Government enterprises,Health services,Hotels and other lodging places,Households and institutions,"Insurance agents, brokers, and service",Insurance carriers,"Iron and steel and their products, including ordnance",Leather and leather products,Legal services,Local and interurban passenger transit,"Local utilities and public services, n.e.c.",Lumber and basic timber products,"Machinery, except electrical",Manufacturing,Membership organizations,Metal mining,Mining,"Miscellaneous manufacturing, including instruments and miscellaneous plastic products",Miscellaneous professional services,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,Nonfarm business,Nonferrous metals and their products,Nonmetallic mining and quarrying,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Printing and publishing,Private households,Private industries,Radio and television broadcasting,Railroad transportation,Real estate,Rest of the world,Retail trade and automobile services,Rubber products,"Security and commodity brokers, and services",Services,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Utilities: electric and gas,Water transportation,Wholesale trade
1929-01-01,115.0,1419.0,323.0,265.0,1055.0,782.0,618.0,359.0,671.0,34.0,766.0,51408.0,2540.0,256.0,326.0,51407.0,8620.0,296.0,868.0,783.0,1304.0,1696.0,2983.0,1586.0,617.0,2292.0,5411.0,413.5,398.0,427.0,2863.0,239.0,821.0,2147.0,494.0,124.0,661.0,32.0,713.0,1408.0,16242.0,605.0,204.0,1539.0,450.0,81.0,108.0,310.0,982.0,7622.0,42656.0,544.0,126.0,264.0,434.0,755.0,248.0,48.0,1243.0,1718.0,45996.0,10.0,3303.0,478.0,1.0,5977.0,283.0,407.0,5538.0,3715.0,627.0,756.0,1465.0,143.0,4813.0,6362.0,5.0,248.0,333.0,751.0,215.0,3396.0
1930-01-01,110.0,1291.0,299.0,256.0,916.0,737.0,515.0,371.0,629.0,33.0,769.0,47167.0,2142.0,246.0,298.0,47166.0,7011.0,307.0,720.0,803.0,1181.0,1742.0,2802.0,1540.0,491.0,2403.5,5646.0,419.5,406.0,409.0,2652.0,231.0,828.0,1820.0,420.0,131.0,621.0,32.0,547.0,1185.0,13990.0,612.0,169.0,1349.0,402.0,75.0,106.0,313.0,636.0,6979.0,38526.0,421.0,111.0,256.0,416.0,730.0,248.0,42.0,1248.0,1485.0,41520.0,15.0,2926.0,440.0,1.0,5546.0,224.0,320.0,5277.0,3904.0,533.0,754.0,1207.0,131.0,4332.0,5904.0,9.0,217.0,322.0,771.0,195.0,3219.0
1931-01-01,104.0,1022.0,256.0,208.0,784.0,668.0,387.0,311.0,536.0,27.0,695.0,40071.0,1529.0,222.0,228.0,40070.0,4925.0,311.0,491.0,742.0,918.0,1743.0,2522.0,1346.0,389.0,2459.5,5753.0,417.0,386.0,343.0,2278.0,209.0,777.0,1230.0,366.0,132.0,541.0,30.0,309.0,783.0,10932.0,589.0,104.0,1011.0,324.0,55.0,98.0,307.0,515.0,6007.0,31955.0,326.0,84.0,168.0,354.0,646.0,200.0,38.0,1071.0,1148.0,34317.0,21.0,2407.0,379.0,1.0,4877.0,169.0,267.0,4609.0,4010.0,390.0,674.0,1072.0,109.0,3622.0,5059.0,13.0,160.0,295.0,712.0,168.0,2756.0
1932-01-01,84.0,757.0,191.0,153.0,561.0,581.0,266.0,262.0,420.0,19.0,589.0,31339.0,863.0,198.0,172.0,31338.0,3116.0,303.0,290.0,628.0,673.0,1641.0,2141.0,1115.0,255.0,2333.0,5431.0,382.5,346.0,258.0,1871.0,186.0,647.0,736.0,293.0,126.0,435.0,26.0,179.0,497.0,7782.0,531.0,54.0,698.0,221.0,36.0,83.0,241.0,370.0,4666.0,24128.0,207.0,53.0,118.0,276.0,526.0,166.0,29.0,843.0,836.0,25907.0,24.0,1752.0,294.0,1.0,3804.0,133.0,235.0,3758.0,3790.0,243.0,565.0,774.0,85.0,2736.0,3953.0,14.0,106.0,263.0,602.0,137.0,2151.0
1933-01-01,75.0,695.0,161.0,134.0,572.0,498.0,284.0,243.0,428.0,16.0,520.0,29787.0,639.0,178.0,182.0,29786.0,3187.0,281.0,306.0,570.0,620.0,1861.0,1935.0,1149.0,255.0,2438.5,5572.0,347.5,317.0,219.0,1677.0,165.0,578.0,821.0,305.0,118.0,373.0,23.0,201.0,500.0,7920.0,487.0,53.0,700.0,220.0,34.0,73.0,227.0,352.0,4733.0,22612.0,207.0,47.0,94.0,282.0,459.0,156.0,29.0,722.0,733.0,24214.0,21.0,1628.0,271.0,1.0,3436.0,142.0,245.0,3368.0,3711.0,231.0,499.0,903.0,74.0,2537.0,3627.0,14.0,91.0,258.0,547.0,144.0,1894.0
1934-01-01,73.0,755.0,176.0,162.0,693.0,515.0,394.0,294.0,502.0,18.0,554.0,34553.0,788.0,184.0,245.0,34552.0,4248.0,279.0,413.0,616.0,682.0,2466.0,2027.0,1344.0,278.0,2879.0,6528.0,385.0,324.0,272.0,1802.0,179.0,603.0,1089.0,354.0,116.0,389.0,25.0,255.0,685.0,9745.0,492.0,69.0,927.0,266.0,37.0,76.0,253.0,571.0,5497.0,26310.0,267.0,57.0,134.0,336.0,500.0,181.0,34.0,813.0,851.0,28024.0,25.0,1782.0,312.0,1.0,3967.0,178.0,234.0,3688.0,4062.0,290.0,529.0,1012.0,84.0,2766.0,3936.0,14.0,107.0,286.0,591.0,154.0,2191.0
1935-01-01,86.0,864.0,180.0,143.0,783.0,522.0,430.0,326.0,532.0,22.0,569.0,37667.0,920.0,200.0,262.0,37666.0,5043.0,284.0,466.0,662.0,778.0,2654.0,2106.0,1411.0,329.0,3093.0,7053.0,433.5,349.0,289.0,1882.0,189.0,645.0,1314.0,369.0,121.0,405.0,26.0,303.0,832.0,10960.0,489.0,89.0,985.0,304.0,40.0,81.0,282.0,694.0,5917.0,28820.0,321.0,61.0,146.0,361.0,529.0,204.0,36.0,872.0,912.0,30613.0,27.0,1894.0,344.0,1.0,4301.0,184.0,206.0,3904.0,4399.0,334.0,542.0,1117.0,84.0,2961.0,4192.0,17.0,120.0,327.0,636.0,162.0,2381.0
1936-01-01,83.0,954.0,205.0,142.0,850.0,540.0,515.0,392.0,584.0,26.0,621.0,43289.0,1350.0,232.0,296.0,43288.0,6264.0,295.0,582.0,725.0,871.0,4528.0,2307.0,1532.0,399.0,3777.0,8491.0,468.0,388.0,318.0,2044.0,205.0,689.0,1703.0,381.0,126.0,435.0,28.0,384.0,1050.0,12671.0,507.0,130.0,1162.0,346.0,51.0,84.0,317.0,798.0,6407.0,32819.0,383.0,79.0,209.0,402.0,584.0,219.0,40.0,958.0,1017.0,34797.0,34.0,2154.0,390.0,1.0,4744.0,213.0,251.0,4310.0,3962.0,410.0,587.0,1178.0,90.0,3357.0,4703.0,22.0,142.0,366.0,697.0,198.0,2596.0
1937-01-01,113.0,1105.0,239.0,141.0,895.0,572.0,573.0,414.0,701.0,31.0,713.0,48310.0,1463.0,255.0,351.0,48309.0,7972.0,312.0,778.0,812.0,992.0,3968.0,2517.0,1731.0,464.0,3593.0,8157.0,485.0,433.0,363.0,2272.0,223.0,757.0,2196.0,423.0,135.0,471.0,27.0,459.0,1391.0,15185.0,509.0,206.0,1368.0,401.0,57.0,91.0,360.0,1007.0,7213.0,37859.0,484.0,97.0,286.0,475.0,652.0,265.0,49.0,1076.0,1190.0,40152.0,45.0,2377.0,451.0,1.0,5458.0,243.0,259.0,4786.0,4189.0,506.0,668.0,1303.0,101.0,3762.0,5287.0,28.0,173.0,426.0,785.0,238.0,2983.0
1938-01-01,102.0,1085.0,216.0,123.0,843.0,584.0,462.0,412.0,653.0,29.0,733.0,45412.0,1348.0,233.0,356.0,45411.0,5893.0,330.0,569.0,816.0,983.0,4481.0,2453.0,1644.0,395.0,3975.5,8949.0,499.0,468.0,368.0,2152.0,227.0,768.0,1494.0,377.0,138.0,450.0,26.0,393.0,1009.0,12492.0,519.0,148.0,1170.0,362.0,65.0,95.0,346.0,631.0,6599.0,34325.0,377.0,81.0,235.0,431.0,634.0,272.0,46.0,1026.0,1026.0,36462.0,49.0,2100.0,445.0,1.0,5340.0,194.0,196.0,4646.0,4468.0,428.0,684.0,1061.0,98.0,3380.0,4929.0,31.0,157.0,416.0,790.0,180.0,2999.0
1939-01-01,105.0,1097.0,230.0,130.0,967.0,598.0,480.0,433.0,702.0,28.0,750.0,48553.0,1650.0,231.0,335.0,48551.0,7193.0,337.0,673.0,826.0,992.0,4441.0,2515.0,1707.0,458.0,3974.0,8977.0,514.5,478.0,376.0,2276.0,231.0,796.0,1907.0,405.0,142.0,455.0,28.0,432.0,1167.0,14320.0,521.0,168.0,1204.0,421.0,75.0,97.0,353.0,864.0,7127.0,37335.0,453.0,91.0,324.0,467.0,638.0,280.0,44.0,1037.0,1132.0,39574.0,55.0,2240.0,480.0,2.0,5588.0,236.0,179.0,4840.0,4536.0,494.0,695.0,1224.0,102.0,3644.0,5220.0,36.0,180.0,465.0,798.0,224.0,3140.0
1940-01-01,106.0,1139.0,246.0,124.0,980.0,620.0,570.0,443.0,849.0,28.0,782.0,52749.0,1820.0,244.0,357.0,52746.0,8865.0,348.0,808.0,875.0,1033.0,4710.0,2592.0,1790.0,492.0,4145.0,9394.0,552.5,513.0,402.0,2435.0,230.0,819.0,2334.0,401.0,144.0,441.0,30.0,489.0,1505.0,16396.0,565.0,203.0,1360.0,495.0,80.0,94.0,353.0,1098.0,7531.0,40988.0,547.0,106.0,555.0,514.0,712.0,326.0,46.0,1044.0,1221.0,43352.0,62.0,2373.0,510.0,3.0,6016.0,258.0,169.0,5149.0,4684.0,542.0,720.0,1261.0,108.0,3866.0,5523.0,45.0,197.0,524.0,845.0,240.0,3357.0
1941-01-01,118.0,1370.0,270.0,143.0,1261.0,651.0,712.0,491.0,1150.0,46.0,878.0,66187.0,3073.0,270.0,383.0,66181.0,13514.0,362.0,1224.0,928.0,1252.0,7084.0,2744.0,2018.0,630.0,5344.5,11914.0,612.5,558.0,430.0,2533.0,244.0,870.0,3347.0,530.0,151.0,472.0,31.0,654.0,2435.0,22774.0,606.0,246.0,1621.0,678.0,123.0,125.0,386.0,1538.0,9260.0,51706.0,780.0,137.0,1518.0,651.0,799.0,388.0,51.0,1119.0,1240.0,54267.0,71.0,2803.0,552.0,6.0,6838.0,351.0,157.0,5587.0,4829.0,710.0,807.0,1673.0,119.0,4520.0,6326.0,57.0,220.0,643.0,897.0,274.0,3934.0
