Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Banking,Business services,Chemicals and allied products,Civilian,Coal mining,Communication,Compensation of employees,Construction,Credit agencies other than banks,Domestic industries,Durable goods,Education,Educational services,Electric and electronic equipment,"Electric, gas, and sanitary services",Fabricated metal products,Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,General government,Government,Government enterprises,Health services,Holding and other investment offices,Hotels and other lodging places,Households and institutions,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Less:  Payments to the rest of the world,Local and interurban passenger transit,Lumber and wood products,"Machinery, except electrical",Manufacturing,Membership organizations,Metal mining,Military,Mining,Miscellaneous manufacturing industries,Miscellaneous professional services,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,Nonfarm business,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Private households,Private industries,Radio and television,Railroad transportation,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,Social services,Social services and membership organizations,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1948-01-01,319.0,3318.0,611.0,3053.0,573.0,1331.0,1097.0,2291.0,5181.0,1952.0,2305.0,144313.0,7658.0,335.0,144227.0,27593.0,,826.0,3279.0,1815.0,3699.0,3000.0,13085.0,5156.0,5354.0,963.0,10081.0,22698.0,1268.0,1517.0,69.0,948.0,5604.0,906.0,354.0,1668.0,1018.0,228.0,24.0,1255.0,2024.0,4978.0,49435.0,,354.0,6059.0,3596.0,1215.0,598.0,369.0,683.0,2662.0,21842.0,115462.0,292.0,998.0,,1788.0,1575.0,1821.0,1082.0,132.0,4372.0,2608.0,2364.0,121529.0,208.0,5815.0,1147.0,110.0,86.0,15163.0,1085.0,253.0,13148.0,,1514.0,9613.0,1707.0,2097.0,3562.0,215.0,10372.0,14492.0,342.0,233.0,1676.0,919.0,9563.0
1949-01-01,326.0,3142.0,618.0,2947.0,543.0,1415.0,1139.0,2296.0,5574.0,1519.0,2424.0,144334.0,7485.0,374.0,144276.0,25510.0,,877.0,2939.0,1961.0,3466.0,2817.0,14461.0,5415.0,5455.0,917.0,11159.0,25107.0,1394.5,1651.0,70.0,952.0,5933.0,872.0,386.0,1805.0,979.0,244.0,55.0,1237.0,1806.0,4349.0,47038.0,,343.0,6862.0,3181.0,1134.0,608.0,332.0,688.0,2766.0,21528.0,113208.0,301.0,1018.0,,1737.0,1546.0,1835.0,1121.0,130.0,3889.0,2752.0,2357.0,119169.0,229.0,5380.0,1117.0,113.0,58.0,15588.0,1026.0,249.0,13567.0,,1724.0,10645.0,1636.0,2195.0,3177.0,229.0,9942.0,14327.0,358.0,247.0,1756.0,834.0,9426.0
1950-01-01,363.0,3183.0,627.0,3179.0,537.0,1531.0,1267.0,2541.0,5954.0,1722.0,2510.0,158269.0,8619.0,418.0,158191.0,30068.0,,922.0,3509.0,2115.0,4138.0,2821.0,15499.0,5995.0,5790.0,1130.0,11968.5,26873.0,1467.5,1868.0,66.0,968.0,6454.0,1032.0,430.0,1985.0,1057.0,276.0,40.0,1224.0,2150.0,4852.0,53606.0,,374.0,7430.0,3502.0,1269.0,653.0,317.0,688.0,3510.0,23538.0,124979.0,338.0,1068.0,,1795.0,1786.0,1895.0,1149.0,126.0,4796.0,2931.0,2573.0,131317.0,260.0,5585.0,1244.0,118.0,78.0,16743.0,1229.0,322.0,14453.0,,1863.0,11373.0,1888.0,2250.0,3635.0,241.0,10510.0,15135.0,384.0,237.0,2084.0,870.0,10081.0
1951-01-01,408.0,3339.0,652.0,3319.0,566.0,1711.0,1459.0,3104.0,7945.0,1881.0,2784.0,185705.0,10658.0,482.0,185691.0,37666.0,,964.0,4401.0,2340.0,5055.0,2932.0,22516.0,6600.0,6397.0,1195.0,15843.0,34965.0,1639.0,2117.0,72.0,1036.0,6923.0,1349.0,486.0,2179.0,1074.0,307.0,109.0,1288.0,2466.0,6663.0,63659.0,,456.0,12216.0,3987.0,1368.0,844.0,396.0,712.0,3935.0,25993.0,144150.0,399.0,1252.0,,3123.0,2056.0,2024.0,1379.0,143.0,5863.0,3171.0,2662.0,150726.0,302.0,6408.0,1319.0,123.0,14.0,18165.0,1439.0,351.0,15793.0,,2055.0,12449.0,2246.0,2482.0,3777.0,278.0,12053.0,17177.0,460.0,284.0,2395.0,1077.0,11348.0
1952-01-01,446.0,3313.0,685.0,3461.0,601.0,1890.0,1642.0,3377.0,8947.0,1683.0,3089.0,201088.0,11589.0,556.0,201086.0,41549.0,5755.0,996.0,5064.0,2544.0,5489.0,2868.0,26098.0,7160.0,6742.0,1275.0,18028.0,39885.0,1914.5,2354.0,87.0,1111.0,7245.0,1584.0,529.0,2397.0,1160.0,342.0,128.0,1326.0,2474.0,7436.0,68840.0,,507.0,14459.0,4056.0,1412.0,1069.0,437.0,723.0,4029.0,27291.0,154917.0,435.0,1431.0,6895.0,4685.0,2142.0,2124.0,1514.0,156.0,5865.0,3394.0,2615.0,161201.0,338.0,6449.0,1350.0,130.0,2.0,19165.0,1546.0,351.0,16897.0,,2199.0,13787.0,2235.0,2751.0,3660.0,295.0,12619.0,18252.0,556.0,314.0,2668.0,1150.0,11929.0
1953-01-01,464.0,3209.0,739.0,3675.0,633.0,2078.0,1846.0,3779.0,8996.0,1617.0,3403.0,215245.0,12186.0,625.0,215252.0,47181.0,6293.0,1057.0,5883.0,2753.0,6284.0,2746.0,25910.0,7815.0,7160.0,1355.0,18509.0,40887.0,1934.0,2618.0,89.0,1173.0,7802.0,1816.0,585.0,2659.0,1200.0,382.0,135.0,1349.0,2481.0,7949.0,76391.0,,568.0,14259.0,4180.0,1589.0,1195.0,440.0,713.0,5011.0,29210.0,167686.0,471.0,1524.0,7471.0,5690.0,2373.0,2231.0,1611.0,159.0,6671.0,3689.0,2691.0,174365.0,382.0,6455.0,1418.0,128.0,-7.0,20421.0,1709.0,361.0,18151.0,,2434.0,14977.0,2452.0,3021.0,3697.0,314.0,13199.0,19355.0,619.0,329.0,3031.0,1257.0,12657.0
1954-01-01,491.0,3096.0,783.0,3540.0,637.0,2229.0,1982.0,3908.0,8606.0,1245.0,3580.0,214139.0,12444.0,701.0,214196.0,43575.0,6985.0,1133.0,5415.0,2908.0,5825.0,2606.0,25162.0,8508.0,7414.0,1287.0,18783.5,41525.0,1979.0,2869.0,97.0,1199.0,8116.0,1778.0,639.0,2855.0,1164.0,412.0,190.0,1303.0,2360.0,7259.0,72882.0,,514.0,13858.0,3840.0,1541.0,1220.0,406.0,752.0,4410.0,29307.0,165907.0,483.0,1598.0,8118.0,5339.0,2455.0,2296.0,1681.0,158.0,5929.0,3876.0,2571.0,172672.0,435.0,5905.0,1528.0,133.0,-57.0,20916.0,1616.0,460.0,18889.0,,2630.0,16363.0,2432.0,3145.0,3327.0,326.0,12588.0,19076.0,655.0,331.0,3084.0,1153.0,13021.0
1955-01-01,489.0,3086.0,844.0,3750.0,681.0,2395.0,2225.0,4180.0,9175.0,1322.0,3832.0,230571.0,13399.0,801.0,230641.0,48711.0,7621.0,1226.0,5924.0,3051.0,6445.0,2598.0,25776.0,9241.0,7764.0,1458.0,19621.0,43424.0,2090.0,3153.0,106.0,1254.0,9116.0,1904.0,682.0,3008.0,1261.0,450.0,205.0,1298.0,2643.0,7777.0,80008.0,,580.0,13763.0,4158.0,1628.0,1391.0,441.0,806.0,5542.0,31297.0,179685.0,530.0,1727.0,8684.0,5444.0,2681.0,2397.0,1735.0,158.0,7206.0,4142.0,3053.0,187218.0,471.0,6089.0,1688.0,135.0,-70.0,22379.0,1912.0,561.0,20760.0,,2840.0,17647.0,2739.0,3361.0,3533.0,339.0,13394.0,20277.0,737.0,345.0,3506.0,1263.0,13910.0
1956-01-01,518.0,3128.0,901.0,3982.0,755.0,2628.0,2614.0,4647.0,9798.0,1500.0,4195.0,249275.0,14909.0,916.0,249357.0,53056.0,8557.0,1356.0,6657.0,3290.0,6957.0,2611.0,26436.0,10102.0,8266.0,1548.0,20795.0,45942.0,2176.5,3398.0,119.0,1323.0,9862.0,2152.0,759.0,3273.0,1315.0,495.0,220.0,1319.0,2747.0,9016.0,86457.0,,661.0,13668.0,4671.0,1741.0,1776.0,507.0,819.0,5188.0,33401.0,195295.0,597.0,1913.0,9566.0,6207.0,2916.0,2559.0,1827.0,167.0,7876.0,4462.0,3268.0,203415.0,520.0,6564.0,1831.0,138.0,-82.0,23893.0,2022.0,577.0,22833.0,,3063.0,19506.0,2966.0,3676.0,3601.0,362.0,14499.0,21984.0,874.0,377.0,3848.0,1349.0,15438.0
1957-01-01,522.0,3234.0,967.0,4040.0,829.0,2853.0,2929.0,5030.0,10433.0,1528.0,4466.0,262576.0,15334.0,1002.0,262654.0,55560.0,9627.0,1510.0,7099.0,3491.0,7377.0,2713.0,27464.0,10815.0,8542.0,1591.0,22177.0,48992.0,2319.0,3778.0,130.0,1426.0,10578.0,2345.0,823.0,3596.0,1339.0,532.0,219.0,1370.0,2527.0,9335.0,90235.0,,688.0,13834.0,4828.0,1755.0,1969.0,554.0,815.0,5276.0,34675.0,205008.0,612.0,2001.0,10460.0,6928.0,3034.0,2681.0,1949.0,174.0,8281.0,4717.0,3323.0,213662.0,553.0,6625.0,1824.0,141.0,-78.0,25118.0,2158.0,587.0,24642.0,,3330.0,21528.0,3044.0,3913.0,3493.0,374.0,15181.0,23138.0,1022.0,397.0,4085.0,1509.0,16318.0
