Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Business services,Chemicals and allied products,Civilian,Coal mining,Communications,Compensation of employees,Construction,Depository institutions,Domestic industries,Durable goods,Education,Educational services,"Electric, gas, and sanitary services",Electronic and other electric equipment,Fabricated metal products,Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,General government,Government,Government enterprises,Health services,Holding and other investment offices,Hotels and other lodging places,Households and institutions,Industrial machinery and equipment,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Less:  Payments to the rest of the world,Local and interurban passenger transit,Lumber and wood products,Manufacturing,Membership organizations,Metal mining,Military,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondepository institutions,Nondurable goods,Nonfarm business,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Private households,Private industries,Radio and television,Railroad transportation,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,Social services,Social services and membership organizations,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco products,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1987-01-01,10839.0,20259.0,15960.0,18166.0,16556.0,90031.0,43967.0,79671.0,7693.0,50169.0,2722405.0,143828.0,56891.0,2723761.0,385049.0,170584.0,29099.0,39635.0,60695.0,43444.0,9412.0,184833.0,204781.0,45032.0,11625.0,240438.5,537594.0,28359.5,175705.0,9728.0,22280.0,171035.0,74367.0,34703.0,18482.0,44770.0,2632.0,32677.0,2350.0,5324.0,17692.0,611962.0,25590.0,1846.0,73404.0,29956.0,9210.0,7792.0,8591.0,38614.0,13271.0,226913.0,2062438.0,3685.0,16730.0,157217.0,75337.0,48413.0,24278.0,15559.0,9052.0,857.0,28517.0,42566.0,7729.0,2186167.0,10313.0,16977.0,30290.0,994.0,-1356.0,259555.0,23142.0,31350.0,542564.0,19659.0,45248.0,352761.0,17769.0,39857.0,15523.0,2558.0,103264.0,193068.0,22904.0,7531.0,43005.0,6665.0,180195.0
1988-01-01,12379.0,22955.0,17656.0,18938.0,18078.0,98816.0,48159.0,85868.0,6849.0,52104.0,2947987.0,156871.0,62293.0,2948854.0,413136.0,184533.0,30395.0,40760.0,61466.0,46663.0,10576.0,196356.0,223133.0,46863.0,12348.0,258152.5,577683.0,30689.0,193648.0,12384.0,24883.0,193107.0,79992.0,40107.0,21133.0,48143.0,2754.0,38925.0,1862.0,5988.0,19204.0,654175.0,28268.0,2263.0,76065.0,30457.0,10461.0,8903.0,9069.0,43244.0,12741.0,241039.0,2228867.0,4007.0,17338.0,169839.0,89008.0,49527.0,25549.0,16734.0,8623.0,904.0,31450.0,46765.0,8344.0,2371171.0,10999.0,15435.0,33786.0,995.0,-867.0,279087.0,24631.0,32654.0,604178.0,21449.0,49717.0,381326.0,18673.0,41105.0,16116.0,2641.0,109486.0,202350.0,30275.0,8330.0,42158.0,6397.0,197965.0
1989-01-01,13419.0,24828.0,19588.0,19562.0,19493.0,110840.0,51280.0,90638.0,6862.0,52787.0,3139601.0,165090.0,65296.0,3140886.0,427443.0,202227.0,33037.0,42949.0,63697.0,48543.0,11409.0,204432.0,231656.0,48850.0,12818.0,278416.5,622084.0,32625.5,214535.0,13201.0,27022.0,211746.0,83673.0,41347.0,22467.0,51760.0,2814.0,42027.0,2302.0,6334.0,19271.0,680398.0,30706.0,2609.0,77823.0,30749.0,10962.0,9836.0,10001.0,42663.0,13172.0,252955.0,2360898.0,4119.0,17160.0,186145.0,99693.0,52469.0,26897.0,17758.0,9139.0,896.0,32741.0,48766.0,8963.0,2518803.0,11401.0,15173.0,35293.0,1017.0,-1285.0,294005.0,26195.0,30468.0,667804.0,24305.0,55011.0,417652.0,19257.0,41385.0,16671.0,2780.0,116018.0,211753.0,33325.0,9135.0,44457.0,6698.0,212519.0
1990-01-01,14827.0,28262.0,22540.0,19677.0,21274.0,123535.0,54633.0,96054.0,7280.0,55867.0,3340373.0,171066.0,68103.0,3342680.0,432313.0,221928.0,35521.0,45814.0,64056.0,49562.0,13435.0,215788.0,245711.0,51788.0,12957.0,301278.5,674125.0,35784.0,240986.0,14521.0,29300.0,233654.0,85417.0,41796.0,23999.0,56782.0,2879.0,46286.0,3479.0,6808.0,19099.0,696680.0,32989.0,2863.0,79957.0,32755.0,11323.0,10637.0,11708.0,41576.0,14137.0,264368.0,2493034.0,4199.0,18413.0,204618.0,110375.0,54703.0,27945.0,19229.0,9403.0,975.0,32461.0,51341.0,9428.0,2668555.0,12645.0,14858.0,36282.0,1172.0,-2307.0,306503.0,27361.0,31886.0,741310.0,27503.0,60492.0,458337.0,19364.0,43222.0,16609.0,2732.0,122989.0,224670.0,36589.0,10105.0,46527.0,7125.0,221597.0
1991-01-01,15284.0,28533.0,23929.0,19951.0,20946.0,126284.0,57580.0,102627.0,6941.0,57347.0,3450516.0,160207.0,68226.0,3453267.0,431388.0,238247.0,38496.0,48320.0,64793.0,49310.0,13236.0,227340.0,255456.0,54110.0,12446.0,321828.5,718442.0,37392.5,264141.0,15327.0,29875.0,252425.0,85867.0,43076.0,25015.0,61082.0,2815.0,47882.0,4041.0,7246.0,18299.0,704384.0,35198.0,2856.0,83863.0,33226.0,11470.0,9611.0,11823.0,41798.0,15146.0,272997.0,2543948.0,3973.0,19456.0,218920.0,112294.0,54098.0,28715.0,19841.0,9983.0,1056.0,31601.0,52238.0,9191.0,2734823.0,12783.0,15047.0,36244.0,1290.0,-2751.0,314224.0,27921.0,34417.0,780211.0,30699.0,65897.0,491102.0,18629.0,44564.0,16923.0,2761.0,126758.0,232424.0,38082.0,10528.0,47222.0,7575.0,226157.0
1992-01-01,15982.0,29016.0,26938.0,20860.0,21839.0,141210.0,61615.0,107163.0,6749.0,59963.0,3668246.0,161327.0,72811.0,3671211.0,449003.0,255316.0,41752.0,51774.0,67099.0,51474.0,13008.0,233258.0,284111.0,56518.0,13361.0,341103.0,762120.0,39957.0,288454.0,17319.0,31382.0,273018.0,87589.0,44118.0,25984.0,65528.0,2909.0,50879.0,4761.0,7760.0,19593.0,737784.0,36487.0,2876.0,82409.0,32767.0,12224.0,10273.0,12199.0,46266.0,18246.0,288780.0,2702979.0,4106.0,19036.0,237318.0,122986.0,53219.0,30559.0,20552.0,10439.0,1160.0,34561.0,54657.0,10222.0,2909092.0,13701.0,15725.0,37864.0,1796.0,-2965.0,328483.0,30193.0,46358.0,849372.0,34200.0,70687.0,528862.0,19500.0,46262.0,18193.0,2837.0,134732.0,246469.0,40548.0,11258.0,50498.0,7783.0,239763.0
1993-01-01,16541.0,30732.0,29403.0,21163.0,23274.0,154041.0,62756.0,111446.0,6276.0,62496.0,3817290.0,167355.0,74615.0,3820610.0,460232.0,268278.0,44366.0,53086.0,70137.0,53003.0,14191.0,230623.0,299050.0,58238.0,14200.0,352057.0,784973.0,40429.5,308633.0,17921.0,32490.0,291410.0,91355.0,43670.0,26764.0,68226.0,3028.0,52298.0,5140.0,8239.0,21040.0,756569.0,39625.0,2838.0,76603.0,32496.0,13006.0,10939.0,13491.0,48805.0,21626.0,296337.0,2810895.0,4214.0,19168.0,247787.0,128585.0,50240.0,31226.0,21514.0,10595.0,1129.0,34432.0,55907.0,10848.0,3035636.0,14383.0,15321.0,39086.0,1820.0,-3320.0,344034.0,31995.0,50811.0,906414.0,36906.0,76531.0,554350.0,20344.0,48113.0,18807.0,2622.0,139204.0,254786.0,41920.0,11972.0,52819.0,7802.0,244200.0
1994-01-01,17619.0,32053.0,30855.0,21518.0,24909.0,170473.0,63682.0,112883.0,6512.0,66480.0,4006192.0,182564.0,76612.0,4010207.0,481815.0,280963.0,47366.0,53764.0,74291.0,56334.0,14435.0,230559.0,306925.0,59765.0,14956.0,363968.0,812570.0,42316.5,324756.0,17508.0,33598.0,307628.0,97138.0,43577.0,28402.0,71369.0,3016.0,52778.0,5958.0,8854.0,22692.0,786766.0,42912.0,2923.0,73189.0,32951.0,13773.0,10663.0,14621.0,53416.0,22068.0,304952.0,2960208.0,4563.0,18953.0,260901.0,135991.0,47796.0,31806.0,22414.0,10907.0,1155.0,36526.0,57925.0,11241.0,3197637.0,15383.0,15176.0,41070.0,1943.0,-4015.0,367791.0,34225.0,49895.0,962083.0,39507.0,82419.0,582011.0,21316.0,51097.0,19189.0,2920.0,147236.0,267480.0,43895.0,12631.0,57547.0,7979.0,259023.0
1995-01-01,18103.0,33587.0,33965.0,20962.0,26583.0,196409.0,64625.0,112344.0,6322.0,70188.0,4198088.0,192626.0,79578.0,4202178.0,497119.0,294645.0,50385.0,53385.0,78156.0,58506.0,15484.0,228555.0,321721.0,60813.0,15396.0,374368.0,835564.0,43414.5,338250.0,18158.0,35004.0,324187.0,99837.0,45539.0,29605.0,74005.0,2856.0,54250.0,6269.0,9275.0,23290.0,807087.0,46250.0,3166.0,70998.0,32758.0,14192.0,11627.0,16613.0,55428.0,22424.0,309969.0,3113772.0,4853.0,18416.0,270749.0,150817.0,48992.0,32602.0,23741.0,10788.0,1129.0,35762.0,59529.0,12033.0,3366613.0,16937.0,15071.0,41836.0,2179.0,-4090.0,388177.0,35798.0,56115.0,1038231.0,42306.0,88556.0,607009.0,22020.0,53251.0,19061.0,2934.0,152168.0,275742.0,45031.0,13340.0,60495.0,7828.0,276683.0
1996-01-01,19244.0,35272.0,37102.0,20391.0,28664.0,226145.0,67649.0,112941.0,6328.0,73980.0,4416942.0,207936.0,83870.0,4421067.0,513387.0,307902.0,53587.0,54138.0,82035.0,60334.0,16028.0,228602.0,348490.0,62403.0,15962.0,384365.0,858321.0,44795.5,352994.0,19288.0,36823.0,339663.0,104129.0,47337.0,31359.0,77558.0,2770.0,56683.0,6306.0,9901.0,24213.0,828734.0,49324.0,3508.0,69227.0,33952.0,15390.0,12437.0,18997.0,54855.0,25623.0,315348.0,3296646.0,5175.0,18942.0,278660.0,165891.0,49893.0,33004.0,25089.0,10270.0,1143.0,36311.0,61089.0,12156.0,3562746.0,18677.0,15290.0,44416.0,2181.0,-4125.0,407019.0,35977.0,66375.0,1120350.0,44459.0,93783.0,629719.0,22928.0,55303.0,18869.0,2925.0,160724.0,288841.0,47177.0,13644.0,65602.0,7967.0,292152.0
