Date,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation",Broadcasting and telecommunications,Chemical products,Civilian,Compensation of employees,Computer and electronic products,Computer systems design and related services,Construction,Domestic industries,Durable goods,Education,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,Federal,"Federal Reserve banks, credit intermediation, and related activities",Finance and insurance,Food and beverage and tobacco products,Food and beverage stores,Food services and drinking places,"Forestry, fishing, and related activities","Funds, trusts, and other financial vehicles",Furniture and related products,General government,General merchandise stores,Government,Government enterprises,Health care and social assistance,Hospitals,Information,Information and data processing services,Insurance carriers and related activities,Legal services,Less: Payments to the rest of the world,Machinery,Management of companies and enterprises,Manufacturing,Military,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,Motor vehicle and parts dealers,"Motor vehicles, bodies and trailers, and parts",Nondurable goods,Nonmetallic mineral products,Nursing and residential care facilities,Oil and gas extraction,Other,Other retail,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,Private industries,"Professional, scientific, and technical services",Publishing industries (includes software),Rail transportation,Real estate,Real estate and rental and leasing,Receipts from the rest of the world,Rental and leasing services and lessors of intangible assets,Rest of the world,Retail trade,"Securities, commodity contracts, and investments",Social assistance,State and local,Support activities for mining,Textile mills and textile product mills,Transit and ground passenger transportation,Transportation and warehousing,Truck transportation,Utilities,Warehousing and storage,Waste management and remediation services,Water transportation,Wholesale trade,Wood products
1998-01-01,41837.0,149813.0,164513.0,177755.0,27848.0,33336.0,197234.0,24284.0,17793.0,45832.0,85379.0,67012.0,116328.0,5071138.0,118402.0,78353.0,253007.0,5075701.0,364630.5,343596.0,64357.0,28107.0,74259.0,18139.0,234412.0,123372.0,350353.0,66630.0,61884.0,107976.0,9709.0,944.0,21261.0,416073.5,49405.0,928781.0,48317.0,436213.0,148214.0,189515.0,25067.0,121899.0,65575.0,7000.0,74947.0,118526.0,834443.0,69519.0,35866.0,14066.0,34094.0,223182.0,19214.0,69610.0,71421.0,197116.0,23369.0,56163.0,12344.0,302703.0,181816.0,153018.0,43544.0,49954.0,31893.0,21548.0,10656.0,3562.0,36774.0,33266.0,33419.0,4146921.0,367110.0,59855.0,16414.0,46816.0,67702.0,2437.0,20885.0,-4563.0,362715.0,104139.0,34602.0,694369.0,9456.0,20730.0,9209.0,180705.0,53236.0,43093.0,18363.0,13242.0,3040.0,289049.0,20456.0
1999-01-01,46379.0,164220.0,178210.0,192170.0,29474.0,36976.0,206125.0,26034.0,16587.0,49773.0,98764.0,70098.0,120357.0,5402682.0,128596.0,93498.0,278246.0,5409932.0,383087.5,366706.0,69479.0,29501.0,76190.0,18808.0,241612.0,130432.0,375539.0,69389.0,63387.0,117840.0,10666.0,1006.0,22711.0,439886.5,51250.0,980828.0,50527.5,460800.0,156041.0,219617.0,32496.0,127383.0,68814.0,11496.0,76056.0,126275.0,870204.0,71326.0,34789.0,13638.0,35571.0,241911.0,19437.0,73962.0,77205.0,203148.0,24557.0,59818.0,12338.0,321385.0,191971.0,159508.0,44857.0,50967.0,32706.0,23739.0,11065.0,3844.0,38777.0,33678.0,34283.0,4429104.0,404222.0,68919.0,17029.0,50650.0,73093.0,4246.0,22443.0,-7250.0,380569.0,116718.0,38816.0,739216.0,8813.0,20552.0,10235.0,191671.0,58116.0,47188.0,17382.0,13960.0,3232.0,302267.0,21716.0
2000-01-01,49949.0,175131.0,204233.0,218762.0,30202.0,39610.0,218869.0,28815.0,15874.0,55253.0,108584.0,74173.0,128009.0,5847146.0,149631.0,114027.0,307654.0,5854629.0,410985.0,391822.0,74443.0,31274.0,80195.0,19645.0,256305.0,134484.0,411892.0,71893.0,66019.0,125181.0,10556.0,1093.0,23926.0,467463.0,55834.0,1043379.0,54226.5,488822.0,163450.0,245982.0,43475.0,133478.0,75132.0,11879.0,80170.0,147585.0,918025.0,74438.0,35992.0,13117.0,37341.0,273469.0,20404.0,77750.0,80210.0,211971.5,26049.0,64107.0,13358.0,340656.0,206125.0,171795.0,48965.0,50461.0,33240.0,26438.0,11084.0,4915.0,40306.0,34422.0,35198.0,4811250.0,462628.0,73519.0,16656.0,54648.0,78990.0,4395.0,24343.0,-7484.0,405728.0,142837.0,42397.0,787074.0,9517.0,20387.0,10486.0,204266.0,60383.0,50214.0,19984.0,14529.0,3265.0,327888.0,22190.0
2001-01-01,50641.0,183123.0,208692.0,224015.0,31309.0,41791.0,234869.0,30112.0,14393.0,57957.0,108257.0,74761.0,131205.0,6038348.0,136221.0,112046.0,325444.0,6046343.0,393597.5,420095.0,79624.0,30045.0,77112.0,20831.0,264870.0,150907.0,445265.0,73546.0,68169.0,132482.0,10477.0,1174.0,22918.0,498283.5,57799.0,1112050.0,57741.0,524878.0,177124.0,247207.0,44588.0,142816.0,81044.0,12507.0,74926.0,150293.0,881895.0,79978.0,38614.0,13239.0,37371.0,284172.0,22414.0,81629.0,73360.0,212450.5,26171.0,68743.0,14099.0,365289.0,209063.0,177329.0,49179.0,51393.0,32610.0,27845.0,12082.0,4884.0,38893.0,31665.0,34316.0,4934293.0,477262.0,71948.0,16407.0,56691.0,81322.0,4512.0,24632.0,-7994.0,416660.0,150368.0,44142.0,847180.0,11277.0,18541.0,10755.0,207991.0,61211.0,53904.0,20180.0,15323.0,3584.0,330201.0,21569.0
2002-01-01,49799.0,187975.0,211852.0,227751.0,31636.0,40779.0,251753.0,31718.0,12733.0,61333.0,103632.0,74138.0,143863.0,6135115.0,120047.0,99185.0,327111.0,6143368.0,376119.0,442942.0,88687.0,28038.0,74071.0,20789.0,290663.0,161163.0,443298.0,74836.0,69925.0,138176.0,10847.0,1187.0,22469.0,532736.5,61390.0,1185376.0,59951.5,566084.0,191861.0,228422.0,36719.0,146841.0,85176.0,12823.0,69567.0,150454.0,846528.0,92468.0,35761.0,12358.0,37073.0,284818.0,21720.0,84850.0,73815.0,211713.0,25882.0,74368.0,13251.0,386200.0,212302.0,189088.0,49127.0,50783.0,31981.0,29615.0,11235.0,3783.0,38737.0,29314.0,32715.0,4957991.0,469179.0,66351.0,16058.0,61064.0,86131.0,4570.0,25067.0,-8253.0,428467.0,134107.0,48102.0,894713.0,10152.0,17562.0,11081.0,206300.0,61183.0,54652.0,20592.0,15899.0,3697.0,329135.0,21534.0
2003-01-01,50947.0,198081.0,218865.0,235526.0,31645.0,38870.0,267448.0,32845.0,12059.0,64009.0,103328.0,76133.0,157073.0,6353606.0,115829.0,97637.0,335793.0,6362296.0,375915.5,462941.0,94309.0,27703.0,73494.0,20488.0,321905.0,176125.0,459762.0,77627.0,71963.0,147134.0,11157.0,1283.0,22359.0,566306.0,65450.0,1255684.0,61536.0,606639.0,208421.0,230520.0,36453.0,154262.0,89874.0,13361.0,68687.0,159726.0,846989.0,110635.0,37119.0,12519.0,38356.0,290518.0,22264.0,88019.0,75610.0,216140.0,25912.0,78728.0,13653.0,401964.0,219407.0,196364.0,51138.0,51066.0,31824.0,31165.0,12167.0,3722.0,38880.0,28570.0,32169.0,5106611.0,478029.0,68474.0,16363.0,62705.0,87548.0,4671.0,24843.0,-8690.0,444839.0,128092.0,52043.0,933779.0,10947.0,16795.0,11455.0,209657.0,62443.0,52935.0,21854.0,16661.0,3811.0,337122.0,21750.0
2004-01-01,54875.0,212288.0,235541.0,253148.0,34943.0,38399.0,288706.0,34428.0,11887.0,67016.0,106254.0,78089.0,166912.0,6719488.0,119634.0,104300.0,357958.0,6729301.0,393923.5,484635.0,101863.0,28558.0,77178.0,22179.0,342295.0,183960.0,497689.0,78938.0,72685.0,157413.0,12764.0,1534.0,23219.0,595909.5,68209.0,1323010.0,65596.0,650430.0,223822.0,238018.0,38876.0,164176.0,93974.0,14547.0,71844.0,175600.0,873695.0,117357.0,41512.0,13459.0,40149.0,308386.0,24157.0,90040.0,76231.0,221571.0,26696.0,82855.0,15578.0,422915.0,228418.0,206048.0,55247.0,56073.0,31316.0,32588.0,12528.0,3720.0,39274.0,30053.0,32282.0,5406291.0,506659.0,68731.0,16982.0,68750.0,95118.0,4734.0,26368.0,-9813.0,459351.0,148019.0,55048.0,980716.0,12475.0,16506.0,12226.0,222027.0,65814.0,55635.0,25451.0,17606.0,4188.0,357294.0,23240.0
2005-01-01,57112.0,222028.0,255884.0,274789.0,34647.0,36534.0,306027.0,35322.0,11311.0,68387.0,106112.0,80842.0,176649.0,7066107.0,123200.0,114528.0,387531.0,7077721.0,409653.0,505510.0,105884.0,29093.0,81071.0,22033.0,362119.0,196571.0,534590.0,79944.0,73698.0,164916.0,12614.0,1687.0,23605.0,624188.5,72252.0,1383362.0,67492.5,687536.0,236682.0,241485.0,40379.0,172819.0,98602.0,16410.0,75459.0,185333.0,895469.0,126819.0,47195.0,14379.0,41393.0,340473.0,24446.0,93165.0,75371.0,227796.5,28194.0,85377.0,17199.0,439399.0,238626.0,209404.0,58042.0,57121.0,31314.0,33064.0,13466.0,3767.0,40356.0,30701.0,32639.0,5694360.0,553603.0,70548.0,17904.0,74076.0,101562.0,4796.0,27486.0,-11614.0,477741.0,163514.0,59450.0,1021243.0,15617.0,15568.0,12719.0,231618.0,70123.0,56130.0,27863.0,18905.0,4667.0,379429.0,24823.0
2006-01-01,59310.0,233330.0,272457.0,292428.0,37996.0,36857.0,327481.0,36485.0,10962.0,73082.0,106895.0,81640.0,182635.0,7479676.0,129631.0,127443.0,421295.0,7491255.0,430081.5,531894.0,113118.0,30291.0,85389.0,21886.0,374790.0,207683.0,579181.0,81154.0,75027.0,174020.0,16110.0,1801.0,23980.0,652182.0,75049.0,1444176.0,69906.0,733177.0,253468.0,248790.0,42969.0,183069.0,103978.0,16648.0,79304.0,200744.0,923977.0,131887.0,56998.0,15757.0,42981.0,375985.0,24983.0,94781.0,75409.0,234206.5,29254.0,90138.0,20896.0,457948.0,247316.0,218850.0,59951.0,61792.0,31081.0,36597.0,15609.0,4233.0,40986.0,31978.0,32962.0,6047079.0,607406.0,73943.0,18707.0,79081.0,108049.0,5069.0,28968.0,-11579.0,492172.0,186629.0,62090.0,1069386.0,20345.0,14771.0,13557.0,241002.0,74019.0,60885.0,28588.0,19971.0,5090.0,404598.0,24803.0
2007-01-01,63212.0,247803.0,289490.0,310118.0,41802.0,39908.0,346413.0,38186.0,10652.0,77010.0,117101.0,85766.0,191619.0,7878475.0,131825.0,140560.0,439998.0,7889369.0,443586.5,560760.0,120870.0,31037.0,88907.0,25338.0,389995.0,210036.0,617429.0,84278.0,77432.0,184592.0,16465.0,667.0,23780.0,687408.5,77976.0,1519600.0,72390.5,775071.0,267770.0,260485.0,37364.0,190201.0,110025.0,16113.0,82800.0,219915.0,943645.0,137448.0,62709.0,16262.0,45019.0,404421.0,26357.0,96269.0,72483.0,242863.5,29684.0,94809.0,22581.0,484991.0,254712.0,231079.0,63845.0,65784.0,31376.0,38824.0,15770.0,4733.0,40611.0,32497.0,33339.0,6369769.0,655006.0,79664.0,19287.0,81668.0,112182.0,5219.0,30515.0,-10894.0,506389.0,216525.0,66079.0,1129605.0,23866.0,14433.0,14288.0,255917.0,76841.0,63083.0,31263.0,20628.0,5752.0,429255.0,23603.0
