Date,"Agricultural services, forestry, and fisheries","Agriculture, forestry, and fisheries",Amusement and recreation services,Anthracite mining,Apparel and other textile products,Banking,Bituminous and other soft coal mining,Business services,Chemicals and allied products,"Civilian, except work relief",Commercial and trade schools and employment agencies,Communication,Contract construction,Credit agencies (other than banks) and holding and other investment companies,Crude petroleum and natural gas,Domestic industries,Durable goods,"Educational services, n.e.c.",Electric and electronic equipment,"Electric, gas, and sanitary services",Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Furniture and finished lumber products,General government,Government,Government enterprises,Health services,Hotels and other lodging places,"Insurance agents, brokers, and service",Insurance carriers,"Iron and steel and their products, including ordnance",Leather and leather products,Legal services,Local and interurban passenger transit,"Local utilities and public services, n.e.c.",Lumber and basic timber products,"Machinery, except electrical",Manufacturing,Membership organizations,Metal mining,Military,Mining,"Miscellaneous manufacturing, including instruments and miscellaneous plastic products",Miscellaneous professional services,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,Nonferrous metals and their products,Nonmetallic mining and quarrying,"Nonschool, except work relief",Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Printing and publishing,Private households,Private industries,Public education,Radio and television broadcasting,Railroad transportation,Real estate,Rest of the world,Retail trade and automobile services,Rubber products,"Security and commodity brokers, and services",Services,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Utilities: electric and gas,Wages and salaries,Water transportation,Wholesale trade,Work relief
1929-01-01,114.0,1414.0,322.0,261.0,1051.0,758.0,609.0,357.0,664.0,516.0,33.0,750.0,2484.0,242.0,321.0,50459.0,8538.0,294.0,859.0,770.0,1300.0,1417.0,2918.0,1565.0,611.0,2108.0,4961.0,372.5,397.0,425.0,237.0,812.0,2117.0,491.0,124.0,655.0,31.0,708.0,1396.0,16092.0,601.0,200.0,332.0,1515.0,447.0,81.0,107.0,308.0,979.0,7554.0,541.0,124.0,1805.0,262.0,430.0,752.0,236.0,48.0,1236.0,1716.0,45498.0,1563.0,10.0,3226.0,463.0,1.0,5940.0,281.0,406.0,5517.0,3544.0,618.0,740.0,1458.0,142.0,4719.0,6239.0,5.0,245.0,327.0,739.0,50460.0,213.0,3379.0,
1930-01-01,109.0,1286.0,298.0,252.0,913.0,716.0,506.0,369.0,621.0,548.0,32.0,754.0,2085.0,234.0,293.0,46213.0,6935.0,303.0,713.0,789.0,1177.0,1457.0,2742.0,1519.0,486.0,2211.0,5179.0,378.5,405.0,407.0,229.0,819.0,1791.0,418.0,131.0,614.0,31.0,542.0,1173.0,13850.0,608.0,166.0,337.0,1327.0,399.0,75.0,104.0,311.0,633.0,6915.0,418.0,110.0,1918.0,254.0,412.0,727.0,238.0,42.0,1241.0,1483.0,41034.0,1615.0,15.0,2849.0,425.0,1.0,5507.0,222.0,319.0,5253.0,3722.0,526.0,739.0,1200.0,131.0,4237.0,5780.0,9.0,214.0,316.0,758.0,46214.0,193.0,3204.0,4.0
1931-01-01,103.0,1017.0,255.0,205.0,781.0,649.0,380.0,309.0,529.0,561.0,26.0,680.0,1477.0,212.0,223.0,39156.0,4864.0,307.0,485.0,728.0,914.0,1462.0,2467.0,1326.0,384.0,2265.0,5284.0,377.0,385.0,341.0,208.0,768.0,1208.0,363.0,132.0,534.0,29.0,306.0,774.0,10810.0,585.0,102.0,331.0,993.0,321.0,55.0,96.0,305.0,512.0,5946.0,323.0,83.0,1953.0,167.0,351.0,643.0,190.0,38.0,1065.0,1146.0,33872.0,1639.0,21.0,2334.0,365.0,1.0,4842.0,167.0,265.0,4585.0,3822.0,384.0,659.0,1065.0,109.0,3531.0,4939.0,13.0,157.0,289.0,699.0,39157.0,166.0,2742.0,46.0
1932-01-01,83.0,752.0,190.0,151.0,558.0,565.0,259.0,260.0,413.0,529.0,18.0,574.0,823.0,186.0,168.0,30513.0,3069.0,298.0,286.0,617.0,669.0,1380.0,2092.0,1096.0,251.0,2150.5,4992.0,345.5,345.0,256.0,185.0,639.0,717.0,291.0,126.0,429.0,25.0,177.0,489.0,7678.0,527.0,53.0,319.0,683.0,219.0,36.0,82.0,239.0,369.0,4609.0,206.0,52.0,1809.0,117.0,273.0,523.0,157.0,29.0,837.0,835.0,25521.0,1552.0,24.0,1688.0,283.0,1.0,3773.0,131.0,234.0,3735.0,3612.0,238.0,550.0,768.0,85.0,2656.0,3847.0,14.0,104.0,257.0,592.0,30514.0,135.0,2138.0,92.0
1933-01-01,74.0,691.0,160.0,132.0,569.0,485.0,279.0,243.0,421.0,492.0,15.0,498.0,611.0,170.0,177.0,29026.0,3145.0,277.0,302.0,561.0,617.0,1610.0,1896.0,1131.0,251.0,2273.0,5163.0,308.5,316.0,217.0,164.0,572.0,804.0,304.0,118.0,368.0,22.0,199.0,494.0,7827.0,483.0,52.0,289.0,686.0,218.0,34.0,72.0,225.0,351.0,4682.0,206.0,46.0,1659.0,93.0,279.0,456.0,149.0,29.0,718.0,732.0,23863.0,1409.0,21.0,1560.0,261.0,1.0,3407.0,141.0,244.0,3348.0,3553.0,227.0,477.0,896.0,74.0,2455.0,3514.0,14.0,89.0,252.0,539.0,29027.0,143.0,1883.0,348.5
1934-01-01,72.0,751.0,175.0,159.0,690.0,502.0,388.0,294.0,495.0,613.0,17.0,532.0,759.0,176.0,240.0,33733.0,4201.0,275.0,409.0,607.0,679.0,2195.0,1988.0,1325.0,274.0,2709.0,6097.0,339.5,323.0,270.0,178.0,597.0,1069.0,351.0,116.0,385.0,24.0,253.0,679.0,9643.0,488.0,68.0,290.0,911.0,264.0,37.0,75.0,249.0,569.0,5442.0,266.0,56.0,1701.0,133.0,332.0,497.0,174.0,34.0,809.0,850.0,27636.0,1370.0,25.0,1689.0,302.0,1.0,3939.0,176.0,233.0,3666.0,3902.0,285.0,507.0,1006.0,84.0,2660.0,3799.0,14.0,105.0,280.0,583.0,33734.0,153.0,2180.0,722.0
1935-01-01,85.0,860.0,179.0,140.0,780.0,507.0,424.0,324.0,525.0,790.0,21.0,545.0,889.0,190.0,257.0,36721.0,4982.0,279.0,461.0,648.0,775.0,2329.0,2058.0,1386.0,325.0,2883.5,6527.0,380.0,348.0,287.0,188.0,635.0,1290.0,367.0,121.0,400.0,25.0,300.0,822.0,10829.0,485.0,88.0,330.0,969.0,301.0,40.0,80.0,280.0,691.0,5847.0,318.0,60.0,1807.0,145.0,357.0,526.0,192.0,36.0,866.0,911.0,30194.0,1438.0,27.0,1831.0,333.0,1.0,4265.0,182.0,205.0,3881.0,4198.0,329.0,518.0,1108.0,84.0,2884.0,4077.0,17.0,118.0,321.0,623.0,36722.0,161.0,2366.0,701.0
1936-01-01,82.0,950.0,202.0,138.0,840.0,522.0,504.0,385.0,572.0,988.0,25.0,592.0,1300.0,215.0,287.0,41953.0,6135.0,288.0,569.0,702.0,868.0,4167.0,2236.0,1492.0,391.0,3538.5,7895.0,409.0,387.0,313.0,203.0,671.0,1659.0,375.0,126.0,427.0,27.0,378.0,1029.0,12410.0,501.0,127.0,364.0,1133.0,340.0,51.0,83.0,311.0,787.0,6275.0,377.0,77.0,1970.0,205.0,394.0,576.0,202.0,40.0,943.0,1016.0,34058.0,1507.0,34.0,2058.0,375.0,1.0,4674.0,209.0,250.0,4264.0,3728.0,400.0,558.0,1159.0,89.0,3237.0,4531.0,22.0,139.0,356.0,675.0,41954.0,195.0,2560.0,1124.0
1937-01-01,111.0,1099.0,231.0,136.0,864.0,547.0,550.0,401.0,672.0,929.0,29.0,667.0,1383.0,233.0,333.0,46138.0,7650.0,304.0,745.0,771.0,988.0,3599.0,2406.0,1652.0,447.0,3343.0,7524.0,419.0,430.0,351.0,217.0,728.0,2095.0,407.0,133.0,453.0,26.0,442.0,1339.0,14571.0,497.0,194.0,386.0,1305.0,386.0,55.0,88.0,349.0,970.0,6921.0,467.0,92.0,2092.0,276.0,456.0,633.0,242.0,47.0,1040.0,1187.0,38614.0,1593.0,42.0,2219.0,428.0,1.0,5287.0,235.0,253.0,4688.0,3925.0,483.0,625.0,1255.0,98.0,3549.0,4987.0,26.0,165.0,407.0,745.0,46139.0,232.0,2888.0,843.0
1938-01-01,100.0,1079.0,207.0,117.0,806.0,555.0,437.0,395.0,621.0,929.0,27.0,678.0,1259.0,208.0,333.0,43012.0,5575.0,318.0,539.0,765.0,979.0,4102.0,2323.0,1552.0,377.0,3699.0,8258.0,430.0,464.0,353.0,220.0,731.0,1394.0,359.0,135.0,428.0,25.0,374.0,960.0,11837.0,506.0,138.0,400.0,1101.0,344.0,63.0,90.0,332.0,600.0,6262.0,359.0,76.0,2270.0,224.0,409.0,611.0,244.0,45.0,981.0,1023.0,34754.0,1681.0,46.0,1962.0,418.0,1.0,5131.0,185.0,191.0,4524.0,4156.0,404.0,632.0,1011.0,94.0,3179.0,4622.0,29.0,148.0,393.0,740.0,43013.0,174.0,2878.0,1059.0
