Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Banking,Business services,Chemicals and allied products,Civilian,Coal mining,Communication,Construction,Credit agencies other than banks,Domestic industries,Durable goods,Education,Educational services,Electric and electronic equipment,"Electric, gas, and sanitary services",Fabricated metal products,Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,General government,Government,Government enterprises,Health services,Holding and other investment offices,Hotels and other lodging places,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Less:  Payments to the rest of the world,Local and interurban passenger transit,Lumber and wood products,"Machinery, except electrical",Manufacturing,Membership organizations,Metal mining,Military,Mining,Miscellaneous manufacturing industries,Miscellaneous professional services,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Private households,Private industries,Radio and television,Railroad transportation,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,Social services,Social services and membership organizations,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Wages and salaries,Water transportation,Wholesale trade
1948-01-01,314.0,3304.0,594.0,2924.0,562.0,1228.0,1051.0,2142.0,4487.0,1806.0,2120.0,7252.0,320.0,135464.0,26385.0,3599.0,809.0,3083.0,1684.0,3557.0,2990.0,10230.0,4921.0,5118.0,926.0,8387.5,19020.0,1122.5,1505.0,66.0,918.0,856.0,344.0,1620.0,981.0,224.0,24.0,1203.0,1945.0,4770.0,47145.0,,334.0,4131.0,3372.0,1168.0,587.0,356.0,655.0,2560.0,20760.0,283.0,949.0,4558.0,1700.0,1501.0,1778.0,912.0,123.0,4190.0,2519.0,2361.0,116444.0,199.0,5422.0,1095.0,110.0,86.0,14682.0,1035.0,248.0,12878.0,,1478.0,8790.0,1630.0,1921.0,3426.0,202.0,9783.0,13587.0,319.0,219.0,1617.0,135550.0,880.0,9303.0
1949-01-01,321.0,3127.0,601.0,2809.0,531.0,1298.0,1083.0,2126.0,4863.0,1388.0,2222.0,7085.0,351.0,134675.0,24281.0,3983.0,858.0,2744.0,1814.0,3311.0,2806.0,11110.0,5147.0,5207.0,881.0,9172.0,20827.0,1241.5,1637.0,67.0,922.0,819.0,373.0,1755.0,940.0,240.0,55.0,1180.0,1733.0,4146.0,44638.0,,323.0,4462.0,2967.0,1088.0,597.0,318.0,660.0,2656.0,20357.0,292.0,964.0,5036.0,1652.0,1465.0,1787.0,919.0,121.0,3692.0,2653.0,2353.0,113848.0,219.0,4995.0,1059.0,113.0,58.0,15069.0,976.0,244.0,13275.0,,1688.0,9717.0,1559.0,2003.0,3048.0,214.0,9349.0,13385.0,331.0,233.0,1689.0,134733.0,800.0,9155.0
1950-01-01,354.0,3165.0,607.0,3006.0,521.0,1399.0,1201.0,2343.0,5147.0,1522.0,2280.0,8143.0,401.0,147175.0,28163.0,4292.0,899.0,3271.0,1938.0,3911.0,2811.0,12250.0,5683.0,5499.0,1082.0,10017.0,22633.0,1299.5,1851.0,64.0,932.0,965.0,411.0,1914.0,1008.0,270.0,40.0,1164.0,2056.0,4589.0,50316.0,,348.0,5253.0,3202.0,1208.0,639.0,302.0,658.0,3221.0,22153.0,325.0,1007.0,5342.0,1696.0,1686.0,1837.0,961.0,117.0,4378.0,2814.0,2569.0,124542.0,249.0,5187.0,1180.0,118.0,78.0,16111.0,1152.0,314.0,14102.0,,1816.0,10383.0,1786.0,2031.0,3460.0,224.0,9863.0,14081.0,350.0,219.0,1994.0,147253.0,832.0,9739.0
1951-01-01,400.0,3310.0,631.0,3126.0,547.0,1556.0,1385.0,2838.0,6878.0,1659.0,2532.0,10069.0,456.0,171593.0,35104.0,4740.0,934.0,4063.0,2124.0,4741.0,2910.0,17864.0,6241.0,6052.0,1139.0,13165.0,29229.0,1449.5,2086.0,69.0,996.0,1257.0,469.0,2102.0,1021.0,301.0,109.0,1221.0,2358.0,6261.0,59357.0,,421.0,8932.0,3644.0,1296.0,823.0,379.0,680.0,3563.0,24253.0,383.0,1181.0,5780.0,2964.0,1923.0,1959.0,1088.0,132.0,5354.0,3033.0,2648.0,142364.0,291.0,5962.0,1247.0,123.0,14.0,17479.0,1332.0,342.0,15350.0,,1981.0,11365.0,2108.0,2241.0,3581.0,259.0,11321.0,15977.0,419.0,268.0,2295.0,171607.0,1024.0,10937.0
1952-01-01,435.0,3281.0,665.0,3253.0,582.0,1716.0,1571.0,3094.0,7744.0,1476.0,2815.0,10962.0,522.0,185634.0,38746.0,5244.0,965.0,4671.0,2313.0,5182.0,2846.0,20823.0,6756.0,6376.0,1213.0,14995.5,33378.0,1693.5,2318.0,83.0,1065.0,1458.0,511.0,2310.0,1102.0,336.0,128.0,1254.0,2363.0,6964.0,64182.0,,473.0,10730.0,3717.0,1331.0,1037.0,415.0,697.0,3642.0,25436.0,418.0,1350.0,6273.0,4457.0,2004.0,2059.0,1176.0,147.0,5369.0,3251.0,2601.0,152256.0,325.0,5995.0,1272.0,130.0,2.0,18454.0,1442.0,342.0,16434.0,,2123.0,12555.0,2096.0,2490.0,3461.0,277.0,11833.0,16961.0,512.0,297.0,2534.0,185636.0,1094.0,11509.0
1953-01-01,452.0,3176.0,716.0,3449.0,614.0,1873.0,1766.0,3475.0,7765.0,1389.0,3109.0,11507.0,587.0,198996.0,44031.0,5739.0,1021.0,5447.0,2517.0,5930.0,2724.0,20698.0,7365.0,6769.0,1286.0,15460.5,34338.0,1708.5,2573.0,85.0,1125.0,1674.0,565.0,2568.0,1141.0,376.0,135.0,1276.0,2370.0,7445.0,71253.0,,530.0,10624.0,3814.0,1495.0,1163.0,415.0,689.0,4526.0,27222.0,453.0,1442.0,6793.0,5422.0,2224.0,2159.0,1257.0,148.0,6143.0,3530.0,2677.0,164658.0,367.0,6004.0,1334.0,128.0,-7.0,19673.0,1595.0,353.0,17640.0,,2346.0,13640.0,2293.0,2742.0,3490.0,292.0,12378.0,18004.0,568.0,310.0,2878.0,198989.0,1194.0,12226.0
1954-01-01,477.0,3056.0,757.0,3326.0,615.0,1999.0,1897.0,3556.0,7407.0,1057.0,3270.0,11707.0,656.0,197320.0,40462.0,6361.0,1090.0,5034.0,2637.0,5474.0,2579.0,20020.0,7980.0,6936.0,1218.0,15707.0,34905.0,1745.5,2810.0,93.0,1145.0,1626.0,615.0,2740.0,1098.0,404.0,190.0,1229.0,2246.0,6764.0,67574.0,,475.0,10272.0,3495.0,1445.0,1187.0,380.0,723.0,3958.0,27112.0,461.0,1502.0,7374.0,5048.0,2292.0,2217.0,1271.0,147.0,5391.0,3703.0,2551.0,162415.0,417.0,5476.0,1430.0,133.0,-57.0,20083.0,1498.0,447.0,18309.0,,2533.0,14885.0,2258.0,2853.0,3129.0,303.0,11772.0,17679.0,600.0,310.0,2919.0,197263.0,1091.0,12532.0
1955-01-01,472.0,3029.0,815.0,3517.0,657.0,2140.0,2128.0,3815.0,7932.0,1113.0,3519.0,12596.0,747.0,212221.0,44941.0,6909.0,1180.0,5499.0,2760.0,6035.0,2557.0,20582.0,8662.0,7249.0,1377.0,16450.5,36596.0,1847.5,3087.0,102.0,1196.0,1730.0,655.0,2892.0,1185.0,440.0,205.0,1222.0,2514.0,7217.0,73889.0,,531.0,10181.0,3767.0,1512.0,1350.0,413.0,775.0,4870.0,28948.0,503.0,1620.0,7879.0,5100.0,2499.0,2315.0,1329.0,148.0,6554.0,3942.0,3028.0,175625.0,450.0,5622.0,1579.0,135.0,-70.0,21462.0,1771.0,547.0,20119.0,,2735.0,16014.0,2533.0,3069.0,3327.0,314.0,12478.0,18757.0,677.0,326.0,3299.0,212151.0,1184.0,13344.0
1956-01-01,501.0,3067.0,869.0,3733.0,727.0,2341.0,2496.0,4232.0,8431.0,1268.0,3857.0,14019.0,848.0,229108.0,48637.0,7734.0,1307.0,6151.0,2957.0,6506.0,2566.0,21162.0,9454.0,7709.0,1464.0,17489.5,38802.0,1911.5,3322.0,115.0,1263.0,1951.0,728.0,3150.0,1239.0,485.0,220.0,1240.0,2613.0,8316.0,79489.0,,602.0,10170.0,4213.0,1618.0,1722.0,475.0,789.0,4383.0,30852.0,569.0,1774.0,8644.0,5791.0,2712.0,2466.0,1409.0,158.0,7109.0,4246.0,3242.0,190306.0,496.0,6015.0,1710.0,138.0,-82.0,22880.0,1852.0,562.0,22109.0,,2946.0,17640.0,2735.0,3361.0,3391.0,329.0,13460.0,20274.0,799.0,356.0,3620.0,229026.0,1272.0,14801.0
1957-01-01,506.0,3164.0,930.0,3770.0,793.0,2526.0,2793.0,4540.0,8713.0,1297.0,4095.0,14341.0,930.0,240029.0,50672.0,8692.0,1450.0,6552.0,3126.0,6871.0,2658.0,21594.0,10091.0,7921.0,1496.0,18510.5,41013.0,1996.0,3689.0,125.0,1353.0,2116.0,786.0,3458.0,1259.0,519.0,219.0,1277.0,2397.0,8584.0,82515.0,,620.0,10203.0,4361.0,1615.0,1900.0,517.0,783.0,4427.0,31843.0,579.0,1865.0,9413.0,6417.0,2812.0,2574.0,1491.0,166.0,7409.0,4471.0,3297.0,199016.0,527.0,6050.0,1695.0,141.0,-78.0,23934.0,1960.0,571.0,23796.0,,3198.0,19419.0,2788.0,3568.0,3282.0,337.0,14027.0,21248.0,930.0,374.0,3820.0,239951.0,1410.0,15566.0
1958-01-01,531.0,3301.0,1025.0,3670.0,839.0,2704.0,3010.0,4573.0,9431.0,1034.0,4073.0,14349.0,986.0,241389.0,47047.0,9719.0,1577.0,6403.0,3337.0,6282.0,2770.0,22732.0,10750.0,7986.0,1448.0,19867.5,44122.0,2193.5,4095.0,141.0,1367.0,2097.0,851.0,3692.0,1219.0,561.0,218.0,1248.0,2342.0,7580.0,78719.0,,504.0,10340.0,3897.0,1587.0,1898.0,500.0,746.0,3780.0,31672.0,582.0,1777.0,10245.0,6309.0,2868.0,2611.0,1462.0,162.0,6459.0,4565.0,3477.0,197267.0,557.0,5556.0,1716.0,146.0,-72.0,24285.0,1869.0,660.0,25173.0,,3467.0,21390.0,2760.0,3516.0,3118.0,342.0,13410.0,20820.0,983.0,370.0,3868.0,241317.0,1223.0,15973.0
