Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Business services,Chemicals and allied products,Civilian,Coal mining,Communications,Construction,Depository institutions,Domestic industries,Durable goods,Education,Educational services,"Electric, gas, and sanitary services",Electronic and other electric equipment,Fabricated metal products,Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,General government,Government,Government enterprises,Health services,Holding and other investment offices,Hotels and other lodging places,Industrial machinery and equipment,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Less:  Payments to the rest of the world,Local and interurban passenger transit,Lumber and wood products,Manufacturing,Membership organizations,Metal mining,Military,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondepository institutions,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Private households,Private industries,Radio and television,Railroad transportation,Real estate,Receipts from the rest of the world,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,Social services,Social services and membership organizations,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco products,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Wages and salaries,Water transportation,Wholesale trade
1987-01-01,9210.0,17599.0,13831.0,14989.0,14336.0,74890.0,35913.0,61476.0,5784.0,41877.0,117800.0,49669.0,2257623.0,311111.0,137431.0,24674.0,32045.0,48189.0,35055.0,8389.0,138372.0,176899.0,36525.0,9529.0,189076.5,423117.0,22482.0,149863.0,8651.0,19103.0,60374.0,30609.0,16034.0,37996.0,2156.0,28071.0,2350.0,4420.0,14505.0,497183.0,22822.0,1486.0,52118.0,24144.0,7645.0,6825.0,7292.0,29798.0,10229.0,186072.0,3099.0,13775.0,127128.0,68942.0,39194.0,20188.0,13625.0,6412.0,723.0,21982.0,35640.0,7572.0,1834506.0,9140.0,11584.0,26400.0,994.0,-1356.0,223171.0,19231.0,27919.0,468540.0,16692.0,39514.0,284745.0,14232.0,32737.0,13100.0,1917.0,80203.0,154125.0,18616.0,6246.0,33559.0,2256267.0,5054.0,155045.0
1988-01-01,10384.0,19848.0,15236.0,15670.0,15574.0,84901.0,39392.0,65766.0,5586.0,43293.0,128027.0,52948.0,2440649.0,331995.0,147755.0,27106.0,33501.0,50064.0,37395.0,9464.0,146174.0,191283.0,38334.0,10126.0,201875.5,452037.0,24143.0,165259.0,10318.0,21535.0,65603.0,33617.0,18076.0,41020.0,2261.0,32264.0,1862.0,5010.0,15561.0,530231.0,26050.0,1827.0,53781.0,25147.0,8347.0,7749.0,7769.0,31700.0,10821.0,198235.0,3309.0,14425.0,136449.0,76294.0,40406.0,21301.0,14751.0,6413.0,774.0,24080.0,39057.0,8170.0,1988612.0,9431.0,11211.0,29123.0,995.0,-867.0,240017.0,20271.0,28976.0,521445.0,18788.0,44838.0,305863.0,15097.0,33862.0,13482.0,2054.0,85854.0,162648.0,24715.0,6962.0,31969.0,2439782.0,5213.0,169968.0
1989-01-01,11116.0,21117.0,16614.0,16129.0,16784.0,95150.0,41445.0,68403.0,5546.0,43759.0,133738.0,55293.0,2584336.0,342350.0,159481.0,29349.0,35276.0,51465.0,38611.0,10000.0,151149.0,197251.0,39554.0,10433.0,215271.5,481106.0,25281.5,181466.0,10959.0,23354.0,68031.0,34544.0,18976.0,43643.0,2295.0,34816.0,2302.0,5339.0,15559.0,548249.0,28186.0,2093.0,55367.0,25198.0,8573.0,8561.0,8515.0,32184.0,11128.0,205899.0,3351.0,14208.0,147292.0,84929.0,42356.0,22181.0,15586.0,6543.0,769.0,25136.0,40430.0,8778.0,2103230.0,9768.0,11089.0,30423.0,1017.0,-1285.0,253072.0,21312.0,26830.0,573283.0,21195.0,49381.0,329957.0,15460.0,33991.0,13911.0,2099.0,90554.0,169589.0,26908.0,7635.0,33382.0,2583051.0,5431.0,181732.0
1990-01-01,12089.0,23755.0,19062.0,16146.0,18199.0,105887.0,44105.0,72409.0,5915.0,47224.0,137785.0,57376.0,2743506.0,347210.0,173286.0,31417.0,37168.0,51762.0,39567.0,11666.0,160396.0,208002.0,41316.0,10575.0,232205.5,519049.0,27319.0,203277.0,12057.0,25161.0,69906.0,35051.0,20340.0,47504.0,2344.0,38052.0,3479.0,5685.0,15547.0,562003.0,30166.0,2228.0,58276.0,26878.0,8802.0,9196.0,9923.0,31221.0,11907.0,214793.0,3444.0,15290.0,160440.0,93932.0,43838.0,23138.0,16605.0,6984.0,832.0,25305.0,42618.0,9223.0,2224457.0,10796.0,10743.0,31046.0,1172.0,-2307.0,263211.0,22298.0,27772.0,633897.0,23797.0,53964.0,358653.0,15636.0,36428.0,13797.0,2047.0,95828.0,180219.0,29603.0,8431.0,34727.0,2741199.0,5807.0,188706.0
1991-01-01,12538.0,23839.0,20149.0,16339.0,17851.0,107380.0,46005.0,76619.0,5620.0,48067.0,128882.0,57159.0,2817229.0,343060.0,183922.0,33899.0,39053.0,51728.0,39066.0,11301.0,168808.0,215155.0,43161.0,10115.0,245836.0,548765.0,28546.5,222330.0,12597.0,25584.0,69675.0,35890.0,21080.0,51051.0,2293.0,39051.0,4041.0,6014.0,14739.0,563432.0,32037.0,2243.0,61406.0,27241.0,8933.0,8298.0,9991.0,30908.0,12611.0,220372.0,3265.0,16113.0,169725.0,95411.0,42544.0,23554.0,17045.0,7380.0,894.0,24449.0,43132.0,8971.0,2268464.0,10814.0,10898.0,30739.0,1290.0,-2751.0,268282.0,22495.0,29919.0,664364.0,26367.0,58404.0,379957.0,15014.0,37253.0,13964.0,2050.0,98672.0,185792.0,30776.0,8743.0,35202.0,2814478.0,6147.0,191476.0
1992-01-01,12995.0,24056.0,22488.0,16983.0,18555.0,119423.0,49066.0,79759.0,5430.0,50159.0,127826.0,60455.0,2968506.0,352222.0,191946.0,36687.0,41321.0,52997.0,40302.0,11061.0,173527.0,238393.0,45192.0,10776.0,255920.0,572001.0,30080.5,240815.0,14101.0,26650.0,70633.0,36435.0,21834.0,54366.0,2338.0,41638.0,4761.0,6391.0,15651.0,584704.0,32981.0,2265.0,60970.0,26741.0,9471.0,8826.0,10270.0,33579.0,15315.0,232481.0,3341.0,15705.0,179165.0,103953.0,41999.0,24892.0,17866.0,7765.0,980.0,24865.0,44874.0,9956.0,2396505.0,11481.0,11536.0,31924.0,1796.0,-2965.0,278376.0,24314.0,40396.0,719289.0,29180.0,62161.0,398474.0,15513.0,38678.0,14927.0,2130.0,103568.0,195049.0,32124.0,9273.0,37140.0,2965541.0,6125.0,202072.0
1993-01-01,13643.0,25576.0,24477.0,17007.0,19798.0,130641.0,49560.0,83676.0,4862.0,52043.0,132906.0,61267.0,3082660.0,356831.0,200536.0,38827.0,42053.0,54590.0,41238.0,11933.0,173712.0,249813.0,46210.0,11371.0,264023.5,589010.0,30481.5,257927.0,14421.0,27484.0,72143.0,35720.0,22566.0,56234.0,2374.0,42416.0,5140.0,6805.0,16744.0,593892.0,35606.0,2213.0,57840.0,26191.0,9840.0,9391.0,11484.0,35794.0,18084.0,237062.0,3425.0,15691.0,185995.0,108712.0,38361.0,25353.0,18593.0,7632.0,947.0,25118.0,45878.0,10533.0,2493650.0,11970.0,11175.0,33132.0,1820.0,-3320.0,292002.0,25698.0,44108.0,767417.0,31528.0,67134.0,415298.0,15912.0,40074.0,15348.0,2003.0,107323.0,201420.0,33186.0,9851.0,39202.0,3079340.0,6157.0,204433.0
1994-01-01,14873.0,27087.0,26030.0,17404.0,21150.0,143294.0,50429.0,84840.0,5056.0,55236.0,145991.0,62667.0,3240604.0,377381.0,209732.0,41105.0,43111.0,58202.0,44329.0,12213.0,174024.0,255814.0,47653.0,12063.0,272856.5,609496.0,31891.5,273224.0,14336.0,28597.0,76367.0,35663.0,24067.0,58916.0,2371.0,43325.0,5958.0,7432.0,18309.0,622467.0,37876.0,2214.0,55548.0,26559.0,10420.0,9043.0,12418.0,41713.0,18236.0,245086.0,3600.0,15689.0,195593.0,112823.0,36690.0,26155.0,19274.0,7854.0,922.0,26697.0,47808.0,10915.0,2631108.0,12832.0,11207.0,34920.0,1943.0,-4015.0,310842.0,27558.0,42673.0,813256.0,34183.0,72059.0,435472.0,16928.0,42404.0,15856.0,1998.0,114184.0,212531.0,34770.0,10840.0,42632.0,3236589.0,6381.0,216561.0
1995-01-01,15741.0,28820.0,28993.0,17208.0,22742.0,166260.0,52071.0,84792.0,4864.0,58617.0,156084.0,65338.0,3422112.0,397520.0,220496.0,43598.0,43204.0,62218.0,46953.0,13079.0,173700.0,269421.0,49334.0,12561.0,281663.0,629026.0,32850.0,284345.0,15116.0,30156.0,81903.0,36698.0,25369.0,61049.0,2308.0,44481.0,6269.0,7938.0,19191.0,649783.0,40419.0,2437.0,54552.0,26652.0,10719.0,9993.0,14173.0,45565.0,18525.0,252262.0,3808.0,15542.0,203486.0,124389.0,36132.0,26994.0,20402.0,7746.0,854.0,27902.0,49758.0,11693.0,2793086.0,14400.0,11242.0,35839.0,2179.0,-4090.0,328552.0,28901.0,48185.0,878860.0,37214.0,77634.0,455326.0,17679.0,44217.0,15790.0,2151.0,119624.0,221445.0,36257.0,11860.0,45051.0,3418022.0,6421.0,233470.0
1996-01-01,17123.0,30875.0,31592.0,16793.0,24787.0,191925.0,54493.0,85524.0,4769.0,62559.0,170342.0,69552.0,3620594.0,416881.0,230952.0,46283.0,44125.0,66350.0,48704.0,13752.0,174648.0,295473.0,50790.0,13038.0,290046.0,648094.0,34001.0,297398.0,16602.0,31994.0,86692.0,39471.0,27032.0,64659.0,2189.0,46367.0,6306.0,8623.0,20228.0,675860.0,42645.0,2734.0,53712.0,27764.0,11169.0,10815.0,16157.0,46423.0,21593.0,258980.0,3957.0,16305.0,209904.0,135465.0,37261.0,27790.0,21579.0,7715.0,828.0,28935.0,51332.0,11814.0,2972500.0,16019.0,11539.0,38290.0,2181.0,-4125.0,344612.0,29954.0,57744.0,948363.0,39543.0,82188.0,473446.0,18608.0,46541.0,15616.0,2308.0,125966.0,232650.0,38667.0,12432.0,47311.0,3616469.0,6566.0,246560.0
