Date,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation",Broadcasting and telecommunications,Chemical products,Civilian,Computer and electronic products,Computer systems design and related services,Construction,Domestic industries,Durable goods,Education,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,Federal,"Federal Reserve banks, credit intermediation, and related activities",Finance and insurance,Food and beverage and tobacco products,Food and beverage stores,Food services and drinking places,"Forestry, fishing, and related activities","Funds, trusts, and other financial vehicles",Furniture and related products,General government,General merchandise stores,Government,Government enterprises,Health care and social assistance,Hospitals,Information,Information and data processing services,Insurance carriers and related activities,Legal services,Less: Payments to the rest of the world,Machinery,Management of companies and enterprises,Manufacturing,Military,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,Motor vehicle and parts dealers,"Motor vehicles, bodies and trailers, and parts",Nondurable goods,Nonmetallic mineral products,Nursing and residential care facilities,Oil and gas extraction,Other,Other retail,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,Private industries,"Professional, scientific, and technical services",Publishing industries (includes software),Rail transportation,Real estate,Real estate and rental and leasing,Receipts from the rest of the world,Rental and leasing services and lessors of intangible assets,Rest of the world,Retail trade,"Securities, commodity contracts, and investments",Social assistance,State and local,Support activities for mining,Textile mills and textile product mills,Transit and ground passenger transportation,Transportation and warehousing,Truck transportation,Utilities,Wages and salaries,Warehousing and storage,Waste management and remediation services,Water transportation,Wholesale trade,Wood products
1998-01-01,36877.0,132524.0,143937.0,155397.0,24227.0,25926.0,166311.0,20855.0,14756.0,39587.0,72298.0,53792.0,87876.0,98855.0,67607.0,211377.0,4186179.0,299365.5,257914.0,54627.0,21334.0,61338.0,15883.0,178872.0,103858.0,293841.0,54149.0,50613.0,95647.0,8344.0,794.0,17768.0,314003.5,40816.0,701313.0,36653.0,368406.0,124499.0,160904.0,21468.0,101598.0,55552.0,7000.0,62939.0,104709.0,681032.0,54048.0,29527.0,11180.0,25522.0,191699.0,16491.0,58491.0,57149.0,162268.0,19301.0,48116.0,10294.0,228169.0,151986.0,130827.0,35000.0,39773.0,26487.0,18732.0,7363.0,3097.0,30617.0,27304.0,28351.0,3484866.0,314858.0,50647.0,12683.0,40193.0,58357.0,2437.0,18164.0,-4563.0,301906.0,87591.0,29480.0,522441.0,8053.0,17305.0,7997.0,145689.0,44326.0,34837.0,4181616.0,14268.0,11460.0,2391.0,242234.0,16928.0
1999-01-01,39869.0,141716.0,157855.0,170121.0,24817.0,28084.0,171723.0,22537.0,13605.0,43394.0,83824.0,55872.0,90276.0,107001.0,82161.0,233316.0,4465176.0,315020.5,272334.0,58719.0,22256.0,62470.0,16169.0,183516.0,110448.0,317099.0,56244.0,52641.0,101846.0,8648.0,855.0,18864.0,328887.5,42908.0,733766.0,37995.5,384755.0,129517.0,187310.0,28137.0,106618.0,58960.0,11496.0,63288.0,112013.0,705792.0,55524.0,28626.0,10973.0,26442.0,210593.0,16619.0,63416.0,61534.0,167684.5,20175.0,50668.0,10159.0,239641.0,163422.0,136940.0,37600.0,39994.0,26966.0,20857.0,7609.0,3223.0,32173.0,27463.0,28892.0,3731410.0,351714.0,58731.0,12702.0,43233.0,62553.0,4246.0,19321.0,-7250.0,322387.0,99179.0,32847.0,550250.0,7494.0,17083.0,8588.0,154664.0,46894.0,35856.0,4457926.0,15106.0,12267.0,2466.0,259617.0,17861.0
2000-01-01,43199.0,151785.0,176899.0,189367.0,25901.0,30584.0,183352.0,24850.0,13054.0,47998.0,93702.0,59277.0,96288.0,125314.0,100587.0,256698.0,4832430.0,338272.5,290446.0,63722.0,23477.0,65539.0,16970.0,194988.0,113885.0,348924.0,58663.0,55265.0,108586.0,8931.0,937.0,19829.0,349118.5,46486.0,779787.0,40775.0,410173.0,136248.0,213360.0,38583.0,111720.0,64470.0,11879.0,66516.0,120709.0,744988.0,57960.0,29679.0,10588.0,27704.0,238610.0,17668.0,67271.0,63437.0,175483.0,21431.0,54567.0,10922.0,253543.0,176469.0,146812.0,40151.0,39420.0,27400.0,23148.0,7533.0,4245.0,33426.0,27989.0,29637.0,4052643.0,403668.0,63407.0,12524.0,46854.0,67865.0,4395.0,21011.0,-7484.0,345491.0,122383.0,36006.0,584799.0,8169.0,17071.0,8878.0,164605.0,49339.0,38377.0,4824946.0,16375.0,12468.0,2510.0,282522.0,18271.0
2001-01-01,43368.0,157181.0,180018.0,193055.0,26342.0,32912.0,195145.0,26170.0,11737.0,50672.0,92158.0,58593.0,97152.0,114382.0,97981.0,272371.0,4961629.0,324840.5,307928.0,68724.0,22642.0,63469.0,17919.0,199584.0,127241.0,374725.0,59857.0,56928.0,113813.0,8423.0,998.0,19136.0,368212.5,48251.0,821998.0,42786.5,438524.0,147934.0,212271.0,39658.0,118840.0,68935.0,12507.0,62434.0,119901.0,713374.0,62364.0,32281.0,10817.0,27790.0,245644.0,19184.0,70336.0,58504.0,174442.5,21204.0,58384.0,11639.0,268981.0,178642.0,150579.0,40302.0,40375.0,26595.0,24502.0,7765.0,4240.0,31769.0,25804.0,28423.0,4139631.0,412561.0,61270.0,12215.0,48953.0,70384.0,4512.0,21431.0,-7994.0,354158.0,127647.0,37061.0,622414.0,9825.0,15459.0,8982.0,167572.0,49366.0,39764.0,4953635.0,16767.0,13037.0,2787.0,285192.0,17436.0
2002-01-01,43050.0,161903.0,182469.0,196041.0,26506.0,31141.0,208217.0,26989.0,10467.0,52589.0,85646.0,57692.0,106032.0,98883.0,86103.0,274015.0,5004096.0,307428.0,323742.0,74974.0,20852.0,60395.0,17911.0,217368.0,135071.0,370684.0,60647.0,57613.0,118853.0,8595.0,973.0,18561.0,392100.0,50318.0,872866.0,44333.0,470010.0,159536.0,192375.0,32262.0,122061.0,72018.0,12823.0,57349.0,120658.0,679480.0,70824.0,30672.0,10435.0,27596.0,244140.0,18336.0,72398.0,58156.0,173556.5,20922.0,62193.0,11219.0,283602.0,178856.0,159861.0,40339.0,39898.0,25987.0,25599.0,7809.0,3279.0,31601.0,23521.0,27045.0,4131230.0,402261.0,56131.0,11973.0,51305.0,72423.0,4570.0,21118.0,-8253.0,359186.0,112579.0,40064.0,655498.0,9018.0,14702.0,9191.0,165221.0,48803.0,39882.0,4995843.0,17572.0,13572.0,2923.0,282489.0,17397.0
2003-01-01,43392.0,168359.0,186488.0,200590.0,26442.0,29013.0,219415.0,27920.0,9771.0,54855.0,82709.0,59121.0,116049.0,95137.0,84712.0,278567.0,5146959.0,305908.5,335434.0,79532.0,20407.0,59472.0,17574.0,235689.0,150324.0,390160.0,61861.0,58363.0,124968.0,8867.0,1063.0,18318.0,411967.0,53097.0,913952.0,45009.0,499561.0,172150.0,188288.0,30998.0,130008.0,76079.0,13361.0,56117.0,126092.0,673544.0,79776.0,31205.0,10292.0,28251.0,249374.0,18318.0,73791.0,59254.0,175816.0,20775.0,65061.0,11411.0,292675.0,181764.0,166983.0,41677.0,39533.0,25613.0,26935.0,7964.0,3192.0,31409.0,22999.0,26377.0,4233007.0,410165.0,56263.0,12267.0,54082.0,75512.0,4671.0,21430.0,-8690.0,367015.0,108765.0,42935.0,678263.0,9501.0,13779.0,9383.0,166842.0,49604.0,39390.0,5138269.0,18701.0,14101.0,3004.0,289905.0,17387.0
2004-01-01,46470.0,179163.0,202434.0,217493.0,28117.0,28909.0,235379.0,29131.0,9614.0,57213.0,85258.0,60827.0,123112.0,97789.0,90820.0,296640.0,5430827.0,319420.5,346261.0,84341.0,20862.0,62501.0,18954.0,249928.0,156887.0,422462.0,62568.0,58987.0,132692.0,9164.0,1274.0,18943.0,428819.5,55150.0,952339.0,47350.0,532052.0,183590.0,194369.0,33289.0,138131.0,79927.0,14547.0,58597.0,140846.0,692896.0,84648.0,34676.0,11011.0,29339.0,266360.0,19848.0,75782.0,59708.0,180734.0,21549.0,67964.0,12934.0,303618.0,190020.0,174576.0,44548.0,41792.0,25343.0,28082.0,8395.0,3178.0,32080.0,24091.0,26681.0,4478488.0,437107.0,55975.0,12958.0,58922.0,81474.0,4734.0,22553.0,-9813.0,379939.0,126170.0,45119.0,702411.0,10731.0,13484.0,10065.0,176699.0,53085.0,41010.0,5421014.0,20667.0,15059.0,3289.0,307412.0,18730.0
2005-01-01,48635.0,188306.0,216993.0,232975.0,28715.0,27140.0,249650.0,30095.0,9143.0,58798.0,85005.0,62970.0,130164.0,101708.0,97989.0,321548.0,5702993.0,332003.5,359468.0,88276.0,20919.0,65464.0,19022.0,263352.0,165838.0,448884.0,63536.0,59329.0,139671.0,9694.0,1388.0,19221.0,447219.5,58019.0,991320.0,48440.5,560686.0,193888.0,197610.0,34694.0,143782.0,83377.0,16410.0,61257.0,153601.0,709671.0,90852.0,40273.0,11987.0,29683.0,292355.0,20195.0,78091.0,58449.0,185220.0,22598.0,70026.0,14552.0,313955.0,197344.0,178109.0,46809.0,44229.0,25215.0,28703.0,9076.0,3189.0,32448.0,24491.0,26756.0,4711673.0,473722.0,57716.0,13724.0,63697.0,87310.0,4796.0,23612.0,-11614.0,392783.0,137876.0,47122.0,727968.0,13734.0,12753.0,10426.0,183725.0,56465.0,41906.0,5691379.0,22348.0,15982.0,3622.0,324776.0,19755.0
2006-01-01,51139.0,200901.0,231538.0,248462.0,30911.0,27276.0,266460.0,31025.0,8924.0,62865.0,87068.0,63580.0,134002.0,108017.0,109368.0,354612.0,6068318.0,351954.5,378219.0,94296.0,21910.0,69761.0,18764.0,271690.0,176361.0,490232.0,64670.0,60953.0,149763.0,12147.0,1500.0,19709.0,467123.5,60651.0,1034524.0,50138.5,598865.0,207456.0,206774.0,37433.0,153266.0,87796.0,16648.0,64898.0,164687.0,737077.0,94332.0,47921.0,12924.0,31001.0,322547.0,20824.0,79874.0,58990.0,191165.0,23704.0,73976.0,17391.0,327694.0,205734.0,187905.0,49661.0,48623.0,25245.0,31840.0,9700.0,3600.0,33222.0,25732.0,27276.0,5033793.0,519710.0,61449.0,14410.0,69303.0,94652.0,5069.0,25349.0,-11579.0,407212.0,159104.0,50973.0,762834.0,17606.0,12171.0,11188.0,193950.0,59910.0,43599.0,6056739.0,23963.0,16925.0,3942.0,349162.0,19944.0
2007-01-01,54180.0,212357.0,248672.0,266271.0,34004.0,29708.0,284182.0,32536.0,8548.0,66381.0,95271.0,66756.0,140900.0,109759.0,122117.0,369738.0,6407285.0,362825.5,398912.0,101163.0,22505.0,72874.0,21258.0,283064.0,178385.0,526363.0,66981.0,63046.0,158177.0,12746.0,545.0,19447.0,492446.5,63378.0,1088544.0,51825.5,638214.0,220744.0,214385.0,31693.0,159725.0,92799.0,16113.0,67756.0,182461.0,751037.0,98448.0,53828.0,13479.0,32351.0,350035.0,21592.0,81028.0,56468.0,198500.5,23819.0,78465.0,19039.0,346633.0,212299.0,197492.0,52302.0,51081.0,25345.0,33845.0,10703.0,4062.0,32707.0,25997.0,27493.0,5318741.0,564951.0,65829.0,14895.0,70944.0,97515.0,5219.0,26571.0,-10894.0,419751.0,187708.0,54824.0,805480.0,21310.0,11660.0,11836.0,205074.0,61870.0,46139.0,6396392.0,25864.0,17599.0,4539.0,371615.0,18785.0
2008-01-01,56666.0,217568.0,248328.0,266691.0,34240.0,29207.0,301420.0,34014.0,8262.0,69765.0,93838.0,66773.0,148174.0,105999.0,130078.0,364308.0,6545949.0,358667.5,418718.0,108598.0,23037.0,74425.0,21132.0,296494.0,168068.0,517209.0,69028.0,65040.0,160902.0,13108.0,541.0,18079.0,519019.0,64677.0,1143851.0,52906.5,678733.0,236108.0,214079.0,32120.0,161852.0,95573.0,17218.0,68961.0,184676.0,739942.0,105432.0,62731.0,14389.0,32698.0,371901.0,22441.0,75812.0,49174.0,199513.5,22240.0,82780.0,23222.0,365714.0,208896.0,204328.0,53302.0,53255.0,25044.0,35751.0,10857.0,4067.0,32117.0,26192.0,26360.0,5402098.0,597551.0,65679.0,15883.0,69538.0,95686.0,5364.0,26148.0,-11854.0,414425.0,186748.0,58426.0,847357.0,25120.0,10775.0,12343.0,207075.0,60816.0,48071.0,6534095.0,26637.0,18363.0,4819.0,376421.0,16664.0
