Date,"Agricultural services, forestry, and fisheries","Agriculture, forestry, and fisheries",Amusement and recreation services,Anthracite mining,Apparel and other textile products,Banking,Bituminous and other soft coal mining,Business services,Chemicals and allied products,"Civilian, except work relief",Commercial and trade schools and employment agencies,Communication,Contract construction,Credit agencies (other than banks) and holding and other investment companies,Crude petroleum and natural gas,Domestic industries,Durable goods,"Educational services, n.e.c.",Electric and electronic equipment,"Electric, gas, and sanitary services",Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Full-time and part-time employees,Furniture and finished lumber products,General government,Government,Government enterprises,Health services,Hotels and other lodging places,"Insurance agents, brokers, and service",Insurance carriers,"Iron and steel and their products, including ordnance",Leather and leather products,Legal services,Local and interurban passenger transit,"Local utilities and public services, n.e.c.",Lumber and basic timber products,"Machinery, except electrical",Manufacturing,Membership organizations,Metal mining,Military,Mining,"Miscellaneous manufacturing, including instruments and miscellaneous plastic products",Miscellaneous professional services,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,Nonferrous metals and their products,Nonmetallic mining and quarrying,"Nonschool, except work relief",Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Printing and publishing,Private households,Private industries,Public education,Radio and television broadcasting,Railroad transportation,Real estate,Rest of the world,Retail trade and automobile services,Rubber products,"Security and commodity brokers, and services",Services,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Utilities: electric and gas,Water transportation,Wholesale trade,Work relief
1929-01-01,153.0,3556.0,313.0,151.0,772.0,387.0,471.0,189.0,397.0,267.0,24.0,538.0,1484.0,153.0,159.0,37699.0,5238.0,224.0,519.0,493.0,3403.0,981.0,1520.0,1041.0,37699.0,437.0,1576.5,3611.0,229.0,429.0,398.0,145.0,367.0,1217.0,370.0,98.0,413.0,28.0,604.0,764.0,10428.0,453.0,124.0,377.0,993.0,285.0,35.0,76.0,158.0,540.0,5190.0,325.0,88.0,1442.0,150.0,284.0,661.0,128.0,25.0,615.0,2619.0,34088.0,1067.0,4.0,1845.0,312.0,0.0,4684.0,176.0,156.0,5677.0,2630.0,397.0,534.0,1262.0,145.0,2958.0,3989.0,2.0,194.0,303.0,465.0,176.0,1757.0,
1930-01-01,147.0,3337.0,290.0,144.0,722.0,377.0,452.0,185.0,377.0,310.0,22.0,530.0,1366.0,151.0,148.0,35590.0,4457.0,228.0,430.0,501.0,3190.0,1034.0,1491.0,1020.0,35590.0,371.0,1656.5,3779.0,233.0,434.0,384.0,148.0,376.0,1092.0,344.0,103.0,389.0,28.0,469.0,671.0,9309.0,460.0,107.0,385.0,932.0,260.0,37.0,74.0,160.0,403.0,4852.0,269.0,81.0,1503.0,147.0,277.0,649.0,125.0,24.0,617.0,2446.0,31811.0,1095.0,6.0,1659.0,313.0,0.0,4469.0,142.0,126.0,5472.0,2745.0,345.0,524.0,1095.0,133.0,2711.0,3742.0,4.0,169.0,299.0,473.0,167.0,1693.0,20.0
1931-01-01,149.0,3252.0,261.0,128.0,672.0,347.0,418.0,164.0,329.0,296.0,18.0,467.0,1198.0,143.0,118.0,32723.0,3497.0,232.0,332.0,463.0,3103.0,1019.0,1423.0,914.0,32724.0,321.0,1833.5,4133.0,233.0,419.0,344.0,144.0,369.0,857.0,315.0,108.0,359.0,26.0,303.0,509.0,7895.0,450.0,79.0,387.0,813.0,219.0,29.0,73.0,156.0,352.0,4398.0,222.0,70.0,1580.0,105.0,250.0,607.0,105.0,21.0,548.0,2188.0,28590.0,1105.0,8.0,1405.0,313.0,1.0,4148.0,120.0,107.0,5049.0,3114.0,277.0,459.0,1025.0,120.0,2352.0,3282.0,5.0,128.0,282.0,437.0,152.0,1530.0,299.0
1932-01-01,134.0,3028.0,205.0,104.0,593.0,313.0,358.0,169.0,291.0,290.0,15.0,421.0,907.0,135.0,105.0,29444.0,2724.0,233.0,242.0,407.0,2894.0,1006.0,1358.0,841.0,29445.0,261.0,1961.0,4373.0,225.5,399.0,296.0,142.0,363.0,687.0,300.0,109.0,326.0,23.0,225.0,373.0,6678.0,442.0,50.0,383.0,672.0,178.0,21.0,72.0,135.0,299.0,3954.0,175.0,55.0,1564.0,80.0,226.0,564.0,97.0,17.0,481.0,1874.0,25071.0,1093.0,9.0,1155.0,308.0,1.0,3688.0,110.0,97.0,4534.0,3367.0,204.0,412.0,907.0,108.0,1998.0,2826.0,6.0,94.0,263.0,384.0,137.0,1380.0,592.0
1933-01-01,130.0,2995.0,183.0,92.0,632.0,281.0,373.0,176.0,321.0,294.0,14.0,392.0,703.0,128.0,124.0,30939.0,2893.0,233.0,251.0,393.0,2865.0,1470.0,1309.0,939.0,30940.0,279.0,2726.0,5901.0,224.5,390.0,281.0,136.0,348.0,749.0,320.0,110.0,303.0,22.0,270.0,392.0,7204.0,432.0,50.0,370.0,693.0,187.0,21.0,72.0,133.0,300.0,4311.0,182.0,54.0,1524.0,71.0,244.0,553.0,99.0,20.0,449.0,1776.0,25038.0,1069.0,9.0,1084.0,307.0,1.0,3699.0,124.0,109.0,4374.0,4431.0,212.0,383.0,1081.0,102.0,1899.0,2684.0,6.0,87.0,258.0,371.0,141.0,1377.0,1097.5
1934-01-01,124.0,2986.0,193.0,106.0,699.0,286.0,431.0,207.0,369.0,357.0,15.0,391.0,806.0,126.0,163.0,34237.0,3587.0,234.0,319.0,409.0,2862.0,2227.0,1332.0,1085.0,34238.0,289.0,3170.5,6820.0,239.5,403.0,331.0,137.0,355.0,917.0,345.0,109.0,295.0,23.0,320.0,505.0,8364.0,438.0,60.0,371.0,822.0,221.0,23.0,72.0,147.0,433.0,4777.0,220.0,62.0,1570.0,101.0,280.0,590.0,115.0,22.0,492.0,2004.0,27417.0,1069.0,12.0,1122.0,327.0,1.0,4075.0,141.0,101.0,4766.0,4593.0,262.0,379.0,1139.0,112.0,1974.0,2774.0,6.0,99.0,278.0,386.0,152.0,1492.0,1487.0
1935-01-01,135.0,3013.0,190.0,99.0,768.0,279.0,443.0,207.0,379.0,449.0,17.0,390.0,866.0,129.0,165.0,35576.0,3941.0,240.0,338.0,414.0,2878.0,2209.0,1352.0,1106.0,35577.0,329.0,3325.0,7150.0,250.0,420.0,346.0,136.0,372.0,996.0,352.0,113.0,296.0,22.0,360.0,577.0,8904.0,434.0,71.0,396.0,840.0,242.0,25.0,72.0,159.0,464.0,4963.0,249.0,62.0,1621.0,105.0,289.0,618.0,121.0,23.0,510.0,2095.0,28426.0,1097.0,14.0,1113.0,347.0,1.0,4200.0,134.0,89.0,4936.0,4941.0,281.0,376.0,1196.0,108.0,2004.0,2808.0,8.0,104.0,305.0,392.0,155.0,1507.0,1543.5
1936-01-01,125.0,3106.0,205.0,98.0,829.0,278.0,457.0,241.0,393.0,521.0,20.0,410.0,1104.0,135.0,180.0,38598.0,4460.0,244.0,385.0,442.0,2981.0,4993.0,1401.0,1157.0,38599.0,364.0,3767.0,8050.0,258.0,455.0,370.0,138.0,376.0,1147.0,359.0,114.0,300.0,24.0,415.0,664.0,9645.0,441.0,92.0,438.0,897.0,262.0,29.0,72.0,178.0,492.0,5185.0,277.0,70.0,1713.0,137.0,300.0,658.0,124.0,25.0,554.0,2240.0,30548.0,1118.0,17.0,1194.0,371.0,1.0,4543.0,142.0,103.0,5267.0,3057.0,317.0,393.0,1218.0,109.0,2121.0,2973.0,10.0,121.0,322.0,418.0,149.0,1612.0,1872.0
1937-01-01,159.0,3083.0,224.0,98.0,843.0,287.0,470.0,246.0,431.0,517.0,22.0,442.0,1082.0,138.0,192.0,39700.0,5130.0,251.0,461.0,458.0,2924.0,4085.0,1445.0,1223.0,39701.0,398.0,3332.5,7192.0,263.5,491.0,397.0,139.0,392.0,1317.0,375.0,118.0,303.0,21.0,459.0,791.0,10591.0,424.0,119.0,474.0,955.0,284.0,31.0,73.0,193.0,580.0,5461.0,313.0,76.0,1762.0,171.0,325.0,694.0,132.0,26.0,604.0,2374.0,32508.0,1149.0,20.0,1251.0,388.0,1.0,4904.0,154.0,101.0,5538.0,3107.0,356.0,422.0,1263.0,111.0,2240.0,3140.0,12.0,144.0,346.0,437.0,158.0,1770.0,1381.5
1938-01-01,142.0,2949.0,201.0,89.0,807.0,288.0,416.0,249.0,383.0,507.0,21.0,420.0,1055.0,122.0,192.0,38321.0,4085.0,259.0,353.0,444.0,2807.0,4987.0,1436.0,1166.0,38322.0,342.0,3826.5,8197.0,272.0,516.0,398.0,142.0,405.0,1026.0,353.0,122.0,281.0,21.0,398.0,626.0,9131.0,424.0,95.0,504.0,859.0,270.0,33.0,73.0,187.0,363.0,5046.0,256.0,67.0,1871.0,141.0,301.0,661.0,131.0,23.0,578.0,2166.0,30124.0,1180.0,20.0,1061.0,397.0,1.0,4780.0,127.0,82.0,5310.0,3210.0,310.0,400.0,1092.0,108.0,1973.0,2837.0,13.0,130.0,324.0,423.0,141.0,1767.0,1795.5
