Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Business services,Chemicals and allied products,Civilian,Coal mining,Communications,Construction,Depository institutions,Domestic industries,Durable goods,Education,Educational services,"Electric, gas, and sanitary services",Electronic and other electric equipment,Fabricated metal products,Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Full-time and part-time employees,Furniture and fixtures,General government,Government,Government enterprises,Health services,Holding and other investment offices,Hotels and other lodging places,Industrial machinery and equipment,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Local and interurban passenger transit,Lumber and wood products,Manufacturing,Membership organizations,Metal mining,Military,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondepository institutions,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Private households,Private industries,Radio and television,Railroad transportation,Real estate,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,Social services,Social services and membership organizations,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco products,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1987-01-01,707.0,1671.0,1005.0,1099.0,862.0,4414.0,1031.0,2190.0,164.0,1295.0,5069.0,2271.0,109820.0,11194.0,6992.0,1620.0,922.0,1781.0,1408.0,964.0,6475.0,6719.0,1621.0,109754.0,516.0,9375.5,20550.0,899.5,6919.0,227.0,1492.0,2044.0,975.0,623.0,1435.0,144.0,814.0,308.0,759.0,19092.0,1660.0,46.0,3303.0,728.0,384.0,341.0,354.0,854.0,372.0,7898.0,113.0,405.0,6266.0,2212.0,1171.0,680.0,1171.0,161.0,18.0,744.0,1522.0,1544.0,89270.0,332.0,287.0,1343.0,-66.0,18767.0,856.0,448.0,25874.0,1466.0,3126.0,14075.0,558.0,963.0,729.0,55.0,3196.0,5413.0,605.0,304.0,1495.0,179.0,5937.0
1988-01-01,763.0,1765.0,1029.0,1094.0,897.0,4747.0,1067.0,2192.0,153.0,1294.0,5212.0,2263.0,112939.0,11438.0,7257.0,1676.0,929.0,1773.0,1435.0,1002.0,6470.0,6805.0,1633.0,112864.0,528.0,9536.5,20906.0,916.5,7207.0,238.0,1565.0,2112.0,1031.0,654.0,1457.0,143.0,868.0,323.0,780.0,19451.0,1782.0,52.0,3273.0,729.0,394.0,370.0,371.0,851.0,371.0,8013.0,115.0,409.0,6351.0,2375.0,1188.0,689.0,1151.0,158.0,18.0,774.0,1577.0,1483.0,92034.0,347.0,278.0,1377.0,-75.0,19345.0,867.0,445.0,27088.0,1567.0,3349.0,14436.0,572.0,947.0,730.0,55.0,3331.0,5554.0,847.0,317.0,1370.0,178.0,6085.0
1989-01-01,795.0,1723.0,1099.0,1086.0,942.0,5069.0,1079.0,2207.0,147.0,1276.0,5269.0,2271.0,115584.0,11437.0,7458.0,1724.0,936.0,1754.0,1445.0,928.0,6483.0,6845.0,1639.0,115501.0,526.0,9713.0,21284.0,929.0,7579.0,246.0,1628.0,2128.0,1023.0,663.0,1479.0,138.0,909.0,338.0,766.0,19484.0,1884.0,58.0,3264.0,703.0,396.0,390.0,401.0,850.0,368.0,8047.0,114.0,384.0,6497.0,2554.0,1199.0,696.0,1173.0,155.0,18.0,778.0,1589.0,1426.0,94302.0,356.0,273.0,1387.0,-83.0,19843.0,890.0,431.0,28457.0,1679.0,3563.0,14801.0,572.0,920.0,723.0,52.0,3447.0,5659.0,900.0,336.0,1403.0,179.0,6319.0
1990-01-01,820.0,1739.0,1148.0,1041.0,979.0,5321.0,1093.0,2315.0,148.0,1325.0,5226.0,2251.0,117046.0,11153.0,7670.0,1754.0,950.0,1687.0,1424.0,919.0,6532.0,6876.0,1662.0,116964.0,510.0,9961.0,21813.0,945.5,7932.0,250.0,1665.0,2093.0,991.0,671.0,1515.0,134.0,931.0,346.0,743.0,19173.0,1973.0,60.0,3205.0,720.0,383.0,407.0,421.0,824.0,374.0,8020.0,113.0,399.0,6732.0,2677.0,1180.0,699.0,1197.0,156.0,18.0,758.0,1594.0,1332.0,95231.0,371.0,260.0,1389.0,-82.0,19912.0,892.0,426.0,29522.0,1785.0,3758.0,15281.0,560.0,954.0,698.0,51.0,3537.0,5812.0,966.0,352.0,1411.0,184.0,6251.0
1991-01-01,826.0,1735.0,1162.0,1011.0,935.0,5185.0,1086.0,2211.0,138.0,1304.0,4794.0,2167.0,115607.0,10617.0,7787.0,1802.0,956.0,1602.0,1358.0,909.0,6349.0,6835.0,1668.0,115525.0,475.0,9979.5,21844.0,942.5,8300.0,261.0,1614.0,2012.0,965.0,680.0,1541.0,125.0,931.0,354.0,687.0,18506.0,1988.0,57.0,3145.0,699.0,377.0,360.0,419.0,786.0,378.0,7889.0,106.0,398.0,6816.0,2609.0,1103.0,690.0,1195.0,158.0,19.0,726.0,1563.0,1312.0,93759.0,364.0,251.0,1387.0,-82.0,19604.0,866.0,421.0,29705.0,1893.0,3881.0,15495.0,526.0,940.0,672.0,50.0,3524.0,5784.0,959.0,350.0,1401.0,190.0,6097.0
1992-01-01,829.0,1694.0,1214.0,1006.0,937.0,5444.0,1085.0,2231.0,128.0,1276.0,4635.0,2105.0,116046.0,10311.0,7887.0,1889.0,952.0,1535.0,1333.0,865.0,6177.0,6761.0,1653.0,115968.0,476.0,10032.0,21895.0,915.5,8643.0,252.0,1594.0,1929.0,923.0,663.0,1526.0,119.0,933.0,361.0,691.0,18149.0,1967.0,55.0,2980.0,643.0,376.0,367.0,418.0,820.0,409.0,7838.0,104.0,356.0,6966.0,2670.0,1017.0,691.0,1208.0,155.0,19.0,696.0,1528.0,1434.0,94150.0,365.0,243.0,1367.0,-78.0,19710.0,879.0,439.0,30720.0,2002.0,3969.0,15718.0,515.0,911.0,674.0,48.0,3520.0,5748.0,958.0,354.0,1405.0,180.0,6090.0
1993-01-01,866.0,1723.0,1280.0,991.0,987.0,5920.0,1076.0,2176.0,114.0,1275.0,4790.0,2079.0,118030.0,10267.0,8070.0,1946.0,946.0,1536.0,1345.0,857.0,5929.0,6850.0,1675.0,117604.0,488.0,10042.5,21924.0,919.5,8937.0,254.0,1612.0,1937.0,891.0,672.0,1518.0,118.0,942.0,381.0,719.0,18141.0,2030.0,52.0,2800.0,617.0,389.0,383.0,430.0,837.0,461.0,7874.0,104.0,347.0,7039.0,2751.0,921.0,693.0,1232.0,150.0,19.0,683.0,1534.0,1423.0,96102.0,369.0,233.0,1395.0,-426.0,20110.0,912.0,471.0,31993.0,2120.0,4150.0,15995.0,521.0,906.0,679.0,46.0,3639.0,5860.0,986.0,370.0,1472.0,178.0,6018.0
1994-01-01,922.0,1761.0,1362.0,977.0,1020.0,6379.0,1058.0,2101.0,114.0,1300.0,5121.0,2068.0,120858.0,10485.0,8227.0,2004.0,932.0,1581.0,1396.0,839.0,5719.0,6992.0,1680.0,120379.0,504.0,10047.5,22005.0,955.0,9149.0,257.0,1642.0,1997.0,860.0,693.0,1528.0,113.0,942.0,406.0,762.0,18388.0,2056.0,50.0,2648.0,609.0,400.0,363.0,467.0,899.0,490.0,7903.0,105.0,340.0,7119.0,2785.0,853.0,694.0,1235.0,147.0,17.0,699.0,1557.0,1285.0,98852.0,381.0,228.0,1439.0,-479.0,20811.0,955.0,517.0,32924.0,2235.0,4291.0,16286.0,534.0,919.0,679.0,43.0,3817.0,6049.0,1025.0,398.0,1560.0,183.0,6197.0
1995-01-01,951.0,1818.0,1442.0,940.0,1069.0,6951.0,1040.0,2027.0,106.0,1314.0,5304.0,2023.0,123713.0,10698.0,8392.0,2053.0,906.0,1624.0,1444.0,867.0,5556.0,6898.0,1684.0,123236.0,510.0,10061.0,22077.0,977.5,9369.0,248.0,1681.0,2067.0,842.0,701.0,1509.0,106.0,939.0,422.0,775.0,18548.0,2125.0,53.0,2544.0,590.0,401.0,386.0,510.0,969.0,466.0,7850.0,108.0,323.0,7159.0,2949.0,818.0,694.0,1257.0,143.0,15.0,708.0,1560.0,1281.0,101634.0,396.0,234.0,1424.0,-477.0,21498.0,979.0,527.0,34365.0,2353.0,4478.0,16521.0,540.0,918.0,663.0,41.0,3956.0,6176.0,1068.0,418.0,1617.0,182.0,6437.0
1996-01-01,1009.0,1840.0,1504.0,869.0,1133.0,7489.0,1034.0,1952.0,98.0,1353.0,5579.0,2017.0,125901.0,10813.0,8526.0,2092.0,881.0,1659.0,1453.0,831.0,5386.0,7009.0,1693.0,125461.0,505.0,10054.5,22069.0,980.0,9580.0,249.0,1711.0,2114.0,854.0,713.0,1514.0,96.0,947.0,445.0,785.0,18527.0,2171.0,55.0,2446.0,583.0,399.0,401.0,539.0,967.0,515.0,7714.0,109.0,321.0,7185.0,3094.0,822.0,684.0,1270.0,140.0,15.0,709.0,1547.0,1246.0,103827.0,415.0,220.0,1448.0,-440.0,21869.0,981.0,553.0,35601.0,2424.0,4595.0,16683.0,546.0,938.0,629.0,41.0,4063.0,6297.0,1120.0,426.0,1657.0,180.0,6522.0
