Date,"Agricultural services, forestry, and fisheries","Agriculture, forestry, and fisheries",Amusement and recreation services,Anthracite mining,Apparel and other textile products,Banking,Bituminous and other soft coal mining,Business services,Chemicals and allied products,"Civilian, except work relief",Commercial and trade schools and employment agencies,Communication,Contract construction,Credit agencies (other than banks) and holding and other investment companies,Crude petroleum and natural gas,Domestic industries,Durable goods,"Educational services, n.e.c.",Electric and electronic equipment,"Electric, gas, and sanitary services",Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Full-time equivalent employees,Furniture and finished lumber products,General government,Government,Government enterprises,Health services,Hotels and other lodging places,"Insurance agents, brokers, and service",Insurance carriers,"Iron and steel and their products, including ordnance",Leather and leather products,Legal services,Local and interurban passenger transit,"Local utilities and public services, n.e.c.",Lumber and basic timber products,"Machinery, except electrical",Manufacturing,Membership organizations,Metal mining,Military,Mining,"Miscellaneous manufacturing, including instruments and miscellaneous plastic products",Miscellaneous professional services,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,Nonferrous metals and their products,Nonmetallic mining and quarrying,"Nonschool, except work relief",Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Printing and publishing,Private households,Private industries,Public education,Radio and television broadcasting,Railroad transportation,Real estate,Rest of the world,Retail trade and automobile services,Rubber products,"Security and commodity brokers, and services",Services,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Utilities: electric and gas,Water transportation,Wholesale trade,Work relief
1929-01-01,127.0,2952.0,253.0,151.0,772.0,385.0,471.0,157.0,397.0,267.0,20.0,538.0,1484.0,130.0,159.0,35286.0,5238.0,224.0,519.0,493.0,2825.0,847.0,1415.0,1041.0,35286.0,437.0,1371.5,3152.0,204.5,429.0,387.0,120.0,358.0,1217.0,370.0,90.0,410.0,28.0,604.0,764.0,10428.0,351.0,124.0,281.0,993.0,285.0,35.0,59.0,142.0,540.0,5190.0,325.0,88.0,1165.0,150.0,284.0,617.0,128.0,25.0,615.0,2348.0,32134.0,1030.0,4.0,1845.0,294.0,0.0,4215.0,176.0,128.0,5112.0,2305.0,397.0,534.0,1262.0,145.0,2873.0,3904.0,2.0,172.0,252.0,465.0,167.0,1631.0,
1930-01-01,122.0,2770.0,235.0,144.0,722.0,375.0,452.0,153.0,377.0,310.0,18.0,530.0,1366.0,128.0,148.0,33196.0,4457.0,228.0,430.0,501.0,2648.0,893.0,1390.0,1020.0,33196.0,371.0,1435.5,3287.0,208.0,434.0,371.0,122.0,368.0,1092.0,344.0,94.0,387.0,28.0,469.0,671.0,9309.0,358.0,107.0,283.0,932.0,260.0,37.0,58.0,143.0,403.0,4852.0,269.0,81.0,1217.0,147.0,277.0,606.0,125.0,24.0,617.0,2193.0,29909.0,1057.0,6.0,1659.0,294.0,0.0,3980.0,142.0,103.0,4928.0,2394.0,345.0,524.0,1095.0,133.0,2632.0,3663.0,4.0,150.0,249.0,473.0,159.0,1571.0,4.0
1931-01-01,122.0,2698.0,205.0,128.0,672.0,345.0,418.0,137.0,329.0,296.0,16.0,467.0,1198.0,120.0,118.0,30132.0,3497.0,232.0,332.0,463.0,2576.0,874.0,1328.0,914.0,30133.0,321.0,1477.0,3369.0,207.5,419.0,331.0,119.0,361.0,857.0,315.0,99.0,356.0,26.0,303.0,509.0,7895.0,354.0,79.0,280.0,813.0,219.0,29.0,57.0,140.0,352.0,4398.0,222.0,70.0,1267.0,105.0,250.0,566.0,105.0,21.0,548.0,1962.0,26763.0,1067.0,8.0,1405.0,295.0,1.0,3656.0,120.0,88.0,4547.0,2495.0,277.0,459.0,1025.0,120.0,2280.0,3210.0,5.0,114.0,235.0,437.0,144.0,1418.0,44.0
1932-01-01,110.0,2512.0,156.0,104.0,593.0,311.0,358.0,141.0,291.0,290.0,12.0,421.0,907.0,114.0,105.0,26692.0,2724.0,233.0,242.0,407.0,2402.0,861.0,1266.0,841.0,26693.0,261.0,1465.0,3331.0,200.5,399.0,282.0,117.0,355.0,687.0,300.0,100.0,323.0,23.0,225.0,373.0,6678.0,341.0,50.0,274.0,672.0,178.0,21.0,56.0,122.0,299.0,3954.0,175.0,55.0,1223.0,80.0,226.0,525.0,97.0,17.0,481.0,1680.0,23361.0,1056.0,9.0,1155.0,289.0,1.0,3217.0,110.0,80.0,4068.0,2470.0,204.0,412.0,907.0,108.0,1934.0,2762.0,6.0,85.0,218.0,384.0,130.0,1279.0,87.0
1933-01-01,108.0,2486.0,135.0,92.0,632.0,281.0,373.0,147.0,321.0,294.0,11.0,391.0,703.0,108.0,124.0,27162.0,2893.0,233.0,251.0,393.0,2378.0,1237.0,1219.0,939.0,27163.0,279.0,1721.0,3841.0,199.5,390.0,266.0,112.0,341.0,749.0,320.0,101.0,302.0,22.0,270.0,392.0,7204.0,335.0,50.0,270.0,693.0,187.0,21.0,56.0,119.0,300.0,4311.0,182.0,54.0,1174.0,71.0,244.0,513.0,99.0,20.0,449.0,1592.0,23321.0,1032.0,8.0,1084.0,288.0,1.0,3197.0,124.0,89.0,3919.0,2604.0,212.0,383.0,1081.0,102.0,1841.0,2625.0,6.0,79.0,215.0,371.0,135.0,1275.0,336.0
1934-01-01,106.0,2482.0,147.0,106.0,699.0,284.0,431.0,172.0,369.0,357.0,12.0,390.0,806.0,106.0,163.0,30387.0,3587.0,234.0,319.0,409.0,2376.0,1738.0,1242.0,1085.0,30388.0,289.0,2136.0,4700.0,214.0,403.0,313.0,113.0,348.0,917.0,345.0,100.0,294.0,23.0,320.0,505.0,8364.0,339.0,60.0,271.0,822.0,221.0,23.0,56.0,135.0,433.0,4777.0,220.0,62.0,1223.0,101.0,280.0,549.0,115.0,22.0,492.0,1797.0,25687.0,1031.0,11.0,1122.0,308.0,1.0,3576.0,141.0,83.0,4280.0,2962.0,262.0,379.0,1139.0,112.0,1910.0,2709.0,6.0,89.0,232.0,386.0,145.0,1406.0,695.0
1935-01-01,112.0,2501.0,150.0,99.0,768.0,277.0,443.0,172.0,379.0,449.0,15.0,389.0,866.0,108.0,165.0,31743.0,3941.0,240.0,338.0,414.0,2389.0,1799.0,1261.0,1106.0,31744.0,329.0,2277.5,5001.0,223.0,420.0,327.0,112.0,364.0,996.0,352.0,104.0,294.0,22.0,360.0,577.0,8904.0,338.0,71.0,286.0,840.0,242.0,25.0,56.0,148.0,464.0,4963.0,249.0,62.0,1268.0,105.0,289.0,575.0,121.0,23.0,510.0,1878.0,26742.0,1059.0,13.0,1113.0,326.0,1.0,3743.0,134.0,74.0,4448.0,3202.0,281.0,376.0,1196.0,108.0,1933.0,2736.0,8.0,93.0,254.0,392.0,148.0,1443.0,746.5
1936-01-01,104.0,2579.0,164.0,98.0,829.0,276.0,457.0,201.0,393.0,521.0,17.0,408.0,1104.0,114.0,180.0,34878.0,4460.0,244.0,385.0,442.0,2475.0,3514.0,1305.0,1157.0,34879.0,364.0,2829.0,6120.0,231.0,455.0,349.0,114.0,368.0,1147.0,359.0,105.0,298.0,24.0,415.0,664.0,9645.0,342.0,92.0,316.0,897.0,262.0,29.0,57.0,164.0,492.0,5185.0,277.0,70.0,1352.0,137.0,300.0,613.0,124.0,25.0,554.0,2008.0,28758.0,1080.0,15.0,1194.0,348.0,1.0,4034.0,142.0,85.0,4748.0,2606.0,317.0,393.0,1218.0,109.0,2046.0,2896.0,10.0,109.0,268.0,418.0,142.0,1550.0,1194.5
1937-01-01,130.0,2557.0,182.0,98.0,843.0,285.0,470.0,204.0,431.0,517.0,19.0,440.0,1082.0,116.0,192.0,36137.0,5130.0,251.0,461.0,458.0,2427.0,2834.0,1346.0,1223.0,36138.0,398.0,2514.5,5503.0,237.0,491.0,373.0,115.0,383.0,1317.0,375.0,108.0,301.0,21.0,459.0,791.0,10591.0,332.0,119.0,341.0,955.0,284.0,31.0,57.0,177.0,580.0,5461.0,313.0,76.0,1401.0,171.0,325.0,647.0,132.0,26.0,604.0,2128.0,30634.0,1110.0,18.0,1251.0,364.0,1.0,4340.0,154.0,83.0,5000.0,2669.0,356.0,422.0,1263.0,111.0,2159.0,3057.0,12.0,129.0,289.0,437.0,151.0,1706.0,830.0
1938-01-01,115.0,2445.0,163.0,89.0,807.0,286.0,416.0,208.0,383.0,507.0,18.0,418.0,1055.0,102.0,192.0,34441.0,4085.0,259.0,353.0,444.0,2330.0,3360.0,1342.0,1166.0,34442.0,342.0,2817.5,6127.0,246.0,516.0,373.0,117.0,396.0,1026.0,353.0,112.0,280.0,21.0,398.0,626.0,9131.0,331.0,95.0,357.0,859.0,270.0,33.0,58.0,171.0,363.0,5046.0,256.0,67.0,1496.0,141.0,301.0,616.0,131.0,23.0,578.0,1942.0,28314.0,1139.0,18.0,1061.0,373.0,1.0,4216.0,127.0,68.0,4800.0,2767.0,310.0,400.0,1092.0,108.0,1897.0,2759.0,13.0,116.0,270.0,423.0,134.0,1707.0,1068.0
