Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Banking,Business services,Chemicals and allied products,Civilian,Coal mining,Communication,Construction,Credit agencies other than banks,Domestic industries,Durable goods,Education,Educational services,Electric and electronic equipment,"Electric, gas, and sanitary services",Fabricated metal products,Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Full-time equivalent employees,Furniture and fixtures,General government,Government,Government enterprises,Health services,Holding and other investment offices,Hotels and other lodging places,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Local and interurban passenger transit,Lumber and wood products,"Machinery, except electrical",Manufacturing,Membership organizations,Metal mining,Military,Mining,Miscellaneous manufacturing industries,Miscellaneous professional services,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Private households,Private industries,Radio and television,Railroad transportation,Real estate,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,Social services,Social services and membership organizations,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1948-01-01,132.0,2072.0,240.0,1196.0,223.0,406.0,306.0,633.0,1378.0,533.0,739.0,2321.0,100.0,48022.0,8343.0,1350.0,409.0,975.0,528.0,1085.0,1940.0,3460.0,1635.0,1783.0,48029.0,334.0,2997.5,6744.0,374.5,825.0,12.0,451.0,271.0,106.0,495.0,406.0,102.0,388.0,862.0,1384.0,15521.0,,100.0,1544.0,993.0,416.0,176.0,126.0,221.0,757.0,7178.0,97.0,263.0,1723.0,472.0,470.0,855.0,220.0,30.0,1231.0,720.0,1574.0,41278.0,47.0,1503.0,463.0,7.0,5852.0,322.0,53.0,6177.0,,669.0,3284.0,556.0,692.0,1329.0,99.0,2854.0,4121.0,89.0,75.0,515.0,254.0,2586.0
1949-01-01,131.0,2000.0,235.0,1167.0,208.0,410.0,307.0,599.0,1397.0,475.0,736.0,2194.0,107.0,46784.0,7494.0,1420.0,416.0,839.0,541.0,983.0,1869.0,3684.0,1663.0,1753.0,46769.0,310.0,3208.0,7207.0,395.5,846.0,12.0,434.0,248.0,115.0,519.0,389.0,104.0,373.0,752.0,1189.0,14368.0,,94.0,1717.0,923.0,381.0,170.0,114.0,218.0,733.0,6874.0,97.0,257.0,1882.0,458.0,451.0,826.0,214.0,29.0,1084.0,717.0,1571.0,39577.0,50.0,1349.0,449.0,-15.0,5805.0,297.0,51.0,6157.0,,708.0,3523.0,517.0,686.0,1186.0,101.0,2662.0,3939.0,87.0,71.0,518.0,235.0,2528.0
1950-01-01,134.0,2067.0,233.0,1183.0,196.0,418.0,322.0,617.0,1417.0,469.0,717.0,2411.0,121.0,48531.0,8087.0,1463.0,421.0,961.0,545.0,1083.0,1933.0,3783.0,1742.0,1751.0,48527.0,357.0,3322.5,7432.0,393.5,905.0,11.0,428.0,271.0,123.0,546.0,392.0,112.0,354.0,817.0,1215.0,15110.0,,96.0,1813.0,924.0,400.0,175.0,111.0,213.0,797.0,7023.0,99.0,260.0,1952.0,452.0,482.0,818.0,216.0,27.0,1185.0,723.0,1710.0,41099.0,53.0,1373.0,467.0,-4.0,5942.0,320.0,56.0,6372.0,,728.0,3649.0,549.0,664.0,1243.0,96.0,2710.0,3972.0,86.0,70.0,575.0,225.0,2559.0
1951-01-01,143.0,1999.0,230.0,1182.0,191.0,447.0,350.0,687.0,1753.0,441.0,747.0,2668.0,131.0,52592.0,9090.0,1506.0,417.0,1085.0,555.0,1191.0,1856.0,5535.0,1826.0,1781.0,52537.0,348.0,4221.5,9267.0,412.0,958.0,12.0,438.0,320.0,135.0,572.0,375.0,117.0,350.0,866.0,1468.0,16252.0,,102.0,3204.0,937.0,400.0,203.0,122.0,208.0,835.0,7162.0,107.0,287.0,1980.0,696.0,504.0,825.0,227.0,28.0,1295.0,737.0,1667.0,43325.0,58.0,1432.0,469.0,-55.0,6275.0,345.0,60.0,6483.0,,757.0,3732.0,586.0,689.0,1220.0,104.0,2868.0,4170.0,95.0,77.0,635.0,251.0,2715.0
1952-01-01,147.0,1933.0,225.0,1187.0,194.0,472.0,379.0,708.0,1843.0,397.0,773.0,2683.0,143.0,53741.0,9391.0,1576.0,416.0,1169.0,560.0,1215.0,1786.0,6175.0,1902.0,1765.0,53673.0,349.0,4569.5,10043.0,452.0,989.0,14.0,444.0,349.0,143.0,603.0,376.0,118.0,344.0,807.0,1545.0,16482.0,,103.0,3712.0,914.0,391.0,231.0,126.0,200.0,778.0,7091.0,109.0,305.0,2008.0,998.0,497.0,815.0,231.0,29.0,1225.0,739.0,1524.0,43698.0,60.0,1382.0,464.0,-68.0,6384.0,346.0,63.0,6434.0,,773.0,3868.0,565.0,713.0,1139.0,103.0,2849.0,4182.0,108.0,80.0,661.0,245.0,2784.0
1953-01-01,140.0,1882.0,229.0,1205.0,193.0,496.0,411.0,746.0,1760.0,342.0,801.0,2643.0,155.0,54690.0,10047.0,1650.0,422.0,1300.0,571.0,1321.0,1742.0,5989.0,1986.0,1756.0,54612.0,356.0,4561.0,10013.0,445.5,1035.0,14.0,451.0,381.0,150.0,645.0,376.0,124.0,335.0,778.0,1567.0,17241.0,,107.0,3630.0,872.0,420.0,245.0,120.0,190.0,899.0,7194.0,111.0,312.0,2082.0,1143.0,523.0,805.0,235.0,28.0,1306.0,754.0,1483.0,44677.0,64.0,1359.0,462.0,-78.0,6482.0,366.0,64.0,6513.0,,805.0,4024.0,576.0,737.0,1130.0,103.0,2856.0,4228.0,114.0,81.0,701.0,238.0,2830.0
1954-01-01,140.0,1902.0,228.0,1138.0,189.0,511.0,426.0,729.0,1643.0,267.0,799.0,2611.0,166.0,52909.0,9088.0,1726.0,430.0,1169.0,572.0,1199.0,1762.0,5669.0,2060.0,1720.0,52782.0,329.0,4481.5,9855.0,446.0,1084.0,16.0,440.0,360.0,157.0,675.0,357.0,126.0,314.0,710.0,1413.0,15999.0,,101.0,3427.0,794.0,397.0,243.0,110.0,184.0,765.0,6911.0,110.0,316.0,2167.0,1034.0,522.0,787.0,232.0,27.0,1164.0,758.0,1361.0,43054.0,70.0,1205.0,468.0,-127.0,6405.0,337.0,67.0,6437.0,,829.0,4186.0,548.0,729.0,1017.0,101.0,2654.0,4025.0,116.0,76.0,695.0,221.0,2821.0
1955-01-01,140.0,1847.0,233.0,1162.0,198.0,529.0,464.0,745.0,1651.0,249.0,811.0,2734.0,184.0,54126.0,9487.0,1824.0,446.0,1214.0,577.0,1261.0,1707.0,5393.0,2163.0,1707.0,53988.0,354.0,4424.0,9745.0,448.5,1132.0,17.0,442.0,365.0,163.0,702.0,367.0,128.0,295.0,750.0,1439.0,16490.0,,105.0,3145.0,798.0,399.0,259.0,114.0,179.0,874.0,7003.0,115.0,329.0,2228.0,987.0,537.0,783.0,231.0,26.0,1266.0,768.0,1548.0,44381.0,72.0,1196.0,490.0,-138.0,6570.0,365.0,78.0,6801.0,,875.0,4352.0,578.0,739.0,1022.0,99.0,2699.0,4087.0,125.0,78.0,748.0,231.0,2891.0
1956-01-01,143.0,1769.0,238.0,1157.0,211.0,554.0,521.0,773.0,1678.0,261.0,857.0,2853.0,205.0,55445.0,9741.0,1925.0,456.0,1286.0,583.0,1283.0,1626.0,5270.0,2268.0,1711.0,55303.0,362.0,4467.5,9840.0,452.5,1191.0,18.0,449.0,388.0,173.0,734.0,362.0,128.0,288.0,742.0,1550.0,16774.0,,112.0,2989.0,837.0,403.0,301.0,119.0,172.0,784.0,7033.0,122.0,342.0,2343.0,1051.0,554.0,788.0,229.0,26.0,1300.0,782.0,1607.0,45605.0,75.0,1183.0,499.0,-142.0,6781.0,373.0,85.0,7097.0,,916.0,4570.0,592.0,782.0,997.0,95.0,2755.0,4195.0,144.0,78.0,796.0,240.0,3031.0
1957-01-01,143.0,1747.0,240.0,1145.0,219.0,586.0,572.0,793.0,1674.0,255.0,876.0,2801.0,212.0,55857.0,9731.0,2027.0,490.0,1309.0,589.0,1298.0,1604.0,5263.0,2339.0,1704.0,55724.0,361.0,4554.0,10035.0,463.5,1264.0,20.0,459.0,401.0,180.0,778.0,359.0,131.0,287.0,669.0,1555.0,16745.0,,113.0,2967.0,833.0,385.0,323.0,125.0,165.0,755.0,7014.0,121.0,344.0,2440.0,1122.0,555.0,792.0,232.0,26.0,1294.0,803.0,1589.0,45822.0,78.0,1117.0,478.0,-133.0,6811.0,377.0,85.0,7323.0,,954.0,4772.0,582.0,798.0,954.0,92.0,2717.0,4182.0,160.0,76.0,802.0,249.0,3041.0
