Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Business services,Chemicals and allied products,Civilian,Coal mining,Communications,Construction,Depository institutions,Domestic industries,Durable goods,Education,Educational services,"Electric, gas, and sanitary services",Electronic and other electric equipment,Fabricated metal products,Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Full-time equivalent employees,Furniture and fixtures,General government,Government,Government enterprises,Health services,Holding and other investment offices,Hotels and other lodging places,Industrial machinery and equipment,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Local and interurban passenger transit,Lumber and wood products,Manufacturing,Membership organizations,Metal mining,Military,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondepository institutions,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Private households,Private industries,Radio and television,Railroad transportation,Real estate,Rest of the world,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,Social services,Social services and membership organizations,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco products,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Water transportation,Wholesale trade
1987-01-01,629.0,1455.0,801.0,1055.0,810.0,3956.0,1014.0,2121.0,159.0,1191.0,4755.0,2159.0,97369.0,10982.0,5648.0,1421.0,904.0,1756.0,1376.0,826.0,5314.0,6314.0,1550.0,97303.0,501.0,7809.0,17237.0,809.5,6255.0,216.0,1295.0,2010.0,957.0,589.0,1380.0,139.0,754.0,286.0,733.0,18571.0,1377.0,45.0,2368.0,707.0,364.0,313.0,276.0,844.0,356.0,7589.0,109.0,394.0,5481.0,2042.0,1161.0,671.0,999.0,159.0,18.0,735.0,1393.0,731.0,80132.0,312.0,276.0,1186.0,-66.0,15233.0,844.0,428.0,22308.0,1278.0,2655.0,11923.0,545.0,879.0,710.0,54.0,3024.0,5119.0,572.0,283.0,1420.0,169.0,5670.0
1988-01-01,691.0,1550.0,816.0,1048.0,844.0,4291.0,1052.0,2156.0,150.0,1191.0,4919.0,2148.0,100210.0,11219.0,5918.0,1445.0,912.0,1748.0,1405.0,859.0,5336.0,6390.0,1566.0,100135.0,511.0,7993.0,17642.0,828.0,6365.0,227.0,1361.0,2074.0,1012.0,621.0,1398.0,138.0,800.0,300.0,749.0,18912.0,1482.0,52.0,2331.0,716.0,375.0,340.0,290.0,843.0,354.0,7693.0,112.0,402.0,5581.0,2196.0,1178.0,678.0,990.0,156.0,18.0,765.0,1441.0,712.0,82568.0,319.0,268.0,1217.0,-75.0,15723.0,849.0,425.0,23301.0,1369.0,2851.0,12306.0,559.0,872.0,711.0,54.0,3155.0,5258.0,802.0,296.0,1302.0,169.0,5799.0
1989-01-01,711.0,1506.0,881.0,1038.0,886.0,4571.0,1062.0,2176.0,144.0,1172.0,4986.0,2157.0,102837.0,11220.0,6112.0,1488.0,916.0,1729.0,1415.0,795.0,5354.0,6426.0,1572.0,102754.0,510.0,8180.0,18045.0,842.5,6680.0,235.0,1414.0,2089.0,1004.0,627.0,1420.0,134.0,835.0,313.0,735.0,18955.0,1571.0,58.0,2322.0,690.0,376.0,358.0,313.0,844.0,352.0,7735.0,111.0,377.0,5750.0,2357.0,1189.0,686.0,1006.0,153.0,18.0,767.0,1467.0,825.0,84792.0,327.0,262.0,1223.0,-83.0,16209.0,869.0,412.0,24649.0,1464.0,3035.0,12691.0,562.0,845.0,703.0,51.0,3257.0,5345.0,851.0,314.0,1330.0,169.0,6026.0
1990-01-01,706.0,1494.0,928.0,996.0,915.0,4811.0,1075.0,2221.0,145.0,1217.0,4933.0,2153.0,103976.0,10939.0,6252.0,1510.0,937.0,1663.0,1398.0,788.0,5345.0,6501.0,1591.0,103894.0,492.0,8328.5,18372.0,857.5,6988.0,240.0,1437.0,2051.0,975.0,639.0,1465.0,129.0,821.0,316.0,713.0,18649.0,1641.0,60.0,2265.0,706.0,359.0,372.0,327.0,815.0,360.0,7710.0,110.0,391.0,5919.0,2456.0,1172.0,689.0,1030.0,155.0,18.0,751.0,1472.0,811.0,85604.0,340.0,246.0,1234.0,-82.0,16312.0,872.0,410.0,25594.0,1547.0,3188.0,13027.0,550.0,877.0,680.0,51.0,3289.0,5443.0,899.0,322.0,1317.0,171.0,5972.0
1991-01-01,706.0,1485.0,937.0,962.0,872.0,4675.0,1069.0,2198.0,135.0,1195.0,4501.0,2067.0,102483.0,10400.0,6310.0,1554.0,943.0,1580.0,1327.0,779.0,5260.0,6444.0,1600.0,102401.0,456.0,8353.0,18422.0,858.0,7292.0,250.0,1389.0,1975.0,947.0,646.0,1487.0,119.0,819.0,322.0,661.0,17979.0,1827.0,57.0,2213.0,685.0,356.0,328.0,324.0,775.0,363.0,7579.0,103.0,390.0,5985.0,2388.0,1090.0,682.0,1020.0,156.0,19.0,718.0,1439.0,803.0,84061.0,333.0,237.0,1228.0,-82.0,15882.0,852.0,403.0,25865.0,1637.0,3464.0,13162.0,515.0,862.0,651.0,49.0,3269.0,5407.0,890.0,320.0,1304.0,177.0,5813.0
1992-01-01,709.0,1451.0,972.0,956.0,871.0,4964.0,1065.0,2181.0,125.0,1164.0,4341.0,2003.0,102590.0,10112.0,6381.0,1638.0,941.0,1517.0,1308.0,742.0,5060.0,6360.0,1588.0,102512.0,458.0,8341.0,18338.0,828.0,7657.0,241.0,1369.0,1894.0,905.0,628.0,1469.0,115.0,826.0,328.0,667.0,17641.0,1636.0,55.0,2059.0,630.0,356.0,333.0,323.0,812.0,392.0,7529.0,101.0,349.0,6061.0,2437.0,1010.0,680.0,1035.0,154.0,19.0,683.0,1401.0,858.0,84252.0,332.0,229.0,1207.0,-78.0,16002.0,867.0,420.0,26646.0,1727.0,3363.0,13278.0,502.0,832.0,656.0,47.0,3259.0,5364.0,887.0,323.0,1305.0,168.0,5817.0
1993-01-01,748.0,1483.0,1019.0,948.0,917.0,5366.0,1059.0,2135.0,111.0,1169.0,4502.0,1989.0,104387.0,10059.0,6484.0,1682.0,931.0,1511.0,1318.0,735.0,4829.0,6477.0,1606.0,104022.0,471.0,8322.5,18281.0,818.0,7918.0,245.0,1383.0,1903.0,872.0,640.0,1469.0,114.0,835.0,349.0,696.0,17631.0,1688.0,52.0,1912.0,604.0,365.0,348.0,331.0,827.0,444.0,7572.0,101.0,340.0,6114.0,2509.0,910.0,684.0,1061.0,149.0,19.0,675.0,1407.0,850.0,86106.0,338.0,221.0,1239.0,-365.0,16428.0,897.0,451.0,27734.0,1827.0,3515.0,13452.0,511.0,831.0,663.0,45.0,3396.0,5496.0,921.0,340.0,1379.0,167.0,5751.0
1994-01-01,802.0,1521.0,1096.0,955.0,954.0,5820.0,1038.0,2051.0,111.0,1187.0,4811.0,1973.0,107196.0,10318.0,6601.0,1730.0,917.0,1563.0,1371.0,719.0,4659.0,6595.0,1630.0,106785.0,493.0,8300.5,18290.0,844.5,8137.0,247.0,1418.0,1962.0,846.0,659.0,1475.0,111.0,836.0,371.0,745.0,17977.0,1710.0,50.0,1815.0,596.0,381.0,332.0,362.0,891.0,470.0,7659.0,102.0,333.0,6134.0,2557.0,845.0,686.0,1082.0,145.0,17.0,694.0,1441.0,821.0,88906.0,347.0,216.0,1274.0,-411.0,17023.0,942.0,497.0,28794.0,1939.0,3649.0,13631.0,527.0,840.0,668.0,43.0,3550.0,5654.0,954.0,365.0,1456.0,171.0,5935.0
1995-01-01,846.0,1589.0,1168.0,914.0,1002.0,6387.0,1028.0,1986.0,104.0,1201.0,5102.0,1935.0,110163.0,10539.0,6774.0,1782.0,896.0,1605.0,1421.0,743.0,4527.0,6522.0,1638.0,109754.0,501.0,8335.0,18396.0,863.0,8315.0,238.0,1456.0,2049.0,827.0,668.0,1461.0,104.0,833.0,386.0,757.0,18148.0,1767.0,52.0,1738.0,578.0,381.0,353.0,397.0,960.0,448.0,7609.0,105.0,317.0,6172.0,2715.0,810.0,686.0,1101.0,142.0,15.0,699.0,1440.0,835.0,91767.0,362.0,222.0,1265.0,-409.0,17725.0,963.0,507.0,30158.0,2047.0,3814.0,13869.0,529.0,839.0,653.0,41.0,3685.0,5782.0,996.0,383.0,1512.0,171.0,6163.0
1996-01-01,893.0,1605.0,1224.0,841.0,1067.0,6879.0,1022.0,1913.0,96.0,1234.0,5355.0,1920.0,112270.0,10641.0,6892.0,1825.0,871.0,1644.0,1426.0,712.0,4376.0,6597.0,1651.0,111893.0,496.0,8339.5,18408.0,864.5,8569.0,239.0,1489.0,2072.0,842.0,676.0,1458.0,92.0,841.0,407.0,767.0,18119.0,1805.0,54.0,1662.0,571.0,384.0,370.0,421.0,958.0,494.0,7478.0,106.0,315.0,6212.0,2863.0,816.0,677.0,1121.0,139.0,15.0,704.0,1428.0,828.0,93862.0,378.0,208.0,1280.0,-377.0,18064.0,965.0,530.0,31421.0,2119.0,3924.0,14032.0,532.0,856.0,623.0,40.0,3782.0,5887.0,1044.0,391.0,1549.0,168.0,6243.0
