Date,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation",Broadcasting and telecommunications,Chemical products,Civilian,Computer and electronic products,Computer systems design and related services,Construction,Domestic industries,Durable goods,Education,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,Federal,"Federal Reserve banks, credit intermediation, and related activities",Finance and insurance,Food and beverage and tobacco products,Food and beverage stores,Food services and drinking places,"Forestry, fishing, and related activities",Full-time equivalent employees,"Funds, trusts, and other financial vehicles",Furniture and related products,General government,General merchandise stores,Government,Government enterprises,Health care and social assistance,Hospitals,Information,Information and data processing services,Insurance carriers and related activities,Legal services,Machinery,Management of companies and enterprises,Manufacturing,Military,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,Motor vehicle and parts dealers,"Motor vehicles, bodies and trailers, and parts",Nondurable goods,Nonmetallic mineral products,Nursing and residential care facilities,Oil and gas extraction,Other,Other retail,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,Private industries,"Professional, scientific, and technical services",Publishing industries (includes software),Rail transportation,Real estate,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets,Rest of the world,Retail trade,"Securities, commodity contracts, and investments",Social assistance,State and local,Support activities for mining,Textile mills and textile product mills,Transit and ground passenger transportation,Transportation and warehousing,Truck transportation,Utilities,Warehousing and storage,Waste management and remediation services,Water transportation,Wholesale trade,Wood products
1998-01-01,1566.0,7946.0,6524.0,6815.0,1173.0,530.0,3803.0,952.0,697.0,1327.0,1391.0,974.0,1846.0,1807.0,982.0,6017.0,118162.0,6972.0,7234.0,2025.0,587.0,1724.0,734.0,4205.0,2413.0,5318.0,1721.0,2481.0,6379.0,439.0,117761.0,14.0,641.0,8482.5,2223.0,18701.0,868.0,11146.0,3440.0,3035.0,429.0,2137.0,985.0,1478.0,1581.0,17246.0,1571.0,558.0,241.0,722.0,3809.0,309.0,1478.0,1258.0,4316.5,532.0,2289.0,138.0,6314.0,6097.0,5471.0,1073.0,801.0,623.0,375.0,121.0,48.0,913.0,636.0,773.0,99461.0,5776.0,906.0,212.0,1181.0,1765.0,585.0,-401.0,12280.0,754.0,1614.0,14496.0,180.0,642.0,366.0,4051.0,1316.0,598.0,456.0,291.0,49.0,5331.0,596.0
1999-01-01,1612.0,8207.0,6922.0,7216.0,1198.0,552.0,3831.0,1001.0,613.0,1388.0,1462.0,971.0,1821.0,1732.0,1100.0,6375.0,120764.0,6966.0,7372.0,2100.0,577.0,1718.0,774.0,4162.0,2452.0,5408.0,1736.0,2524.0,6594.0,424.0,120323.0,14.0,662.0,8548.0,2274.0,18844.0,874.0,11376.0,3499.0,3187.0,478.0,2156.0,1008.0,1437.0,1614.0,17051.0,1549.0,520.0,231.0,718.0,3991.0,319.0,1525.0,1300.0,4284.5,538.0,2326.0,127.0,6354.0,6310.0,5571.0,1090.0,776.0,609.0,387.0,123.0,45.0,934.0,617.0,767.0,101920.0,6099.0,929.0,207.0,1209.0,1806.0,597.0,-441.0,12633.0,785.0,1719.0,14682.0,163.0,609.0,377.0,4133.0,1345.0,594.0,468.0,295.0,49.0,5450.0,614.0
2000-01-01,1654.0,8412.0,7267.0,7564.0,1170.0,575.0,3929.0,1064.0,539.0,1478.0,1566.0,967.0,1844.0,1779.0,1219.0,6659.0,123384.0,7014.0,7572.0,2179.0,583.0,1735.0,752.0,4171.0,2412.0,5403.0,1728.0,2545.0,6757.0,418.0,122988.0,14.0,671.0,8676.0,2360.0,19101.0,874.5,11636.0,3527.0,3410.0,573.0,2136.0,1022.0,1427.0,1626.0,16948.0,1547.0,511.0,218.0,715.0,4221.0,308.0,1577.0,1301.0,4235.5,549.0,2374.0,123.0,6389.0,6511.0,5649.0,1121.0,740.0,598.0,413.0,120.0,44.0,938.0,611.0,757.0,104283.0,6462.0,962.0,198.0,1219.0,1827.0,608.0,-396.0,12994.0,841.0,1806.0,14930.0,169.0,588.0,373.0,4215.0,1369.0,592.0,487.0,297.0,49.0,5551.0,602.0
2001-01-01,1674.0,8309.0,6783.0,7093.0,1095.0,586.0,4054.0,1097.0,472.0,1526.0,1603.0,944.0,1808.0,1733.0,1235.0,6827.0,123725.0,6732.5,7742.0,2264.0,548.0,1648.0,748.0,4134.0,2533.0,5591.0,1710.0,2617.0,6635.0,347.0,123184.0,15.0,631.0,8817.5,2457.0,19431.0,898.0,11955.0,3758.0,3410.0,536.0,2201.0,1053.0,1346.0,1635.0,16126.0,1548.0,528.0,218.0,694.0,4335.0,345.0,1646.0,1202.0,4100.0,534.0,2452.0,123.0,6537.0,6696.0,5646.0,1114.0,720.0,563.0,429.0,118.0,42.0,878.0,558.0,750.0,104294.0,6623.0,926.0,191.0,1287.0,1924.0,638.0,-541.0,13416.0,842.0,1691.0,15297.0,188.0,517.0,369.0,4196.0,1352.0,592.0,491.0,311.0,50.0,5539.0,560.0
2002-01-01,1629.0,8344.0,6661.0,6972.0,1085.0,536.0,4189.0,1111.0,394.0,1538.0,1477.0,910.0,1832.0,1479.0,1095.0,6748.0,122474.0,6252.0,7925.0,2374.0,490.0,1524.0,747.0,4196.0,2590.0,5592.0,1690.0,2557.0,6715.0,338.0,121925.0,14.0,592.0,8979.5,2444.0,19816.0,928.5,12338.0,3875.0,3154.0,475.0,2195.0,1074.0,1205.0,1626.0,14973.0,1577.0,501.0,208.0,666.0,4246.0,330.0,1659.0,1139.0,3939.5,510.0,2496.0,120.0,6625.0,6591.0,5778.0,1071.0,675.0,530.0,427.0,117.0,40.0,836.0,499.0,695.0,102658.0,6415.0,873.0,184.0,1316.0,1918.0,602.0,-549.0,13251.0,793.0,1777.0,15620.0,174.0,472.0,371.0,4060.0,1308.0,580.0,500.0,311.0,51.0,5410.0,550.0
2003-01-01,1620.0,8460.0,6582.0,6892.0,1098.0,504.0,4340.0,1096.0,344.0,1514.0,1371.0,887.0,1884.0,1334.0,1061.0,6744.0,121964.0,5978.5,7959.0,2420.0,455.0,1453.0,759.0,4253.0,2692.0,5697.0,1658.0,2513.0,6840.0,339.0,121372.0,14.0,559.0,9038.0,2449.0,19921.0,922.5,12657.0,3935.0,2971.0,438.0,2228.0,1098.0,1132.0,1663.0,14214.0,1602.0,492.0,197.0,646.0,4214.0,322.0,1658.0,1101.0,3829.5,490.0,2536.0,118.0,6631.0,6524.0,5797.0,1065.0,643.0,503.0,418.0,115.0,38.0,804.0,468.0,659.0,102043.0,6373.0,840.0,180.0,1335.0,1931.0,596.0,-592.0,13145.0,763.0,1847.0,15668.0,176.0,434.0,371.0,4016.0,1295.0,559.0,511.0,311.0,52.0,5402.0,529.0
2004-01-01,1448.0,8484.0,6865.0,7180.0,1043.0,490.0,4472.0,1127.0,319.0,1550.0,1323.0,869.0,1882.0,1300.0,1089.0,7011.0,123101.0,5977.5,7954.0,2490.0,438.0,1466.0,707.0,4210.0,2735.0,5733.0,1637.0,2483.0,7037.0,337.0,122473.0,14.0,559.0,9062.0,2475.0,19957.0,916.5,12914.0,3983.0,2883.0,423.0,2210.0,1111.0,1121.0,1672.0,14021.0,1592.0,510.0,202.0,633.0,4304.0,323.0,1674.0,1101.0,3775.5,493.0,2558.0,119.0,6696.0,6588.0,5851.0,1075.0,650.0,485.0,423.0,110.0,36.0,789.0,460.0,646.0,103144.0,6504.0,814.0,180.0,1359.0,1961.0,602.0,-628.0,13220.0,774.0,1901.0,15747.0,189.0,403.0,377.0,4079.0,1324.0,553.0,545.0,316.0,53.0,5484.0,542.0
2005-01-01,1672.0,8934.0,7098.0,7425.0,1016.0,478.0,4647.0,1165.0,288.0,1597.0,1289.0,864.0,1889.0,1293.0,1142.0,7315.0,125359.0,6043.5,8038.0,2542.0,428.0,1499.0,669.0,4165.0,2793.0,5819.0,1617.0,2483.0,7262.0,347.0,124694.0,15.0,553.0,9085.0,2559.0,19998.0,914.0,13257.0,4061.0,2857.0,430.0,2208.0,1122.0,1142.0,1745.0,13946.0,1550.0,550.0,210.0,636.0,4519.0,320.0,1690.0,1088.0,3732.5,494.0,2589.0,124.0,6693.0,6706.0,5812.0,1101.0,671.0,469.0,433.0,110.0,36.0,788.0,460.0,626.0,105361.0,6782.0,818.0,188.0,1392.0,1996.0,604.0,-665.0,13438.0,803.0,1960.0,15833.0,217.0,372.0,384.0,4181.0,1361.0,541.0,575.0,327.0,58.0,5606.0,549.0
2006-01-01,1687.0,9197.0,7274.0,7607.0,1099.0,460.0,4835.0,1172.0,267.0,1615.0,1270.0,854.0,1890.0,1287.0,1213.0,7606.0,127578.0,6095.5,8049.0,2611.0,427.0,1523.0,644.0,4155.0,2842.0,5952.0,1615.0,2490.0,7511.0,454.0,126892.0,15.0,546.0,9103.5,2581.0,20031.0,912.0,13687.0,4150.0,2859.0,445.0,2264.0,1126.0,1158.0,1771.0,13884.0,1547.0,606.0,217.0,633.0,4753.0,312.0,1686.0,1052.0,3711.5,505.0,2636.0,132.0,6721.0,6800.0,5841.0,1125.0,689.0,458.0,443.0,110.0,37.0,786.0,458.0,622.0,107547.0,7092.0,832.0,192.0,1416.0,2028.0,612.0,-686.0,13556.0,831.0,2066.0,15876.0,256.0,344.0,391.0,4263.0,1391.0,543.0,608.0,333.0,59.0,5731.0,550.0
2007-01-01,1717.0,9365.0,7417.0,7760.0,1102.0,467.0,4959.0,1210.0,241.0,1672.0,1331.0,845.0,1902.0,1254.0,1301.0,7570.0,128922.0,6031.0,8138.0,2682.0,421.0,1527.0,644.0,4207.0,2789.0,5929.0,1621.0,2516.0,7649.0,459.0,128197.0,7.0,518.0,9190.5,2638.0,20259.0,939.0,14017.0,4245.0,2853.0,368.0,2265.0,1130.0,1168.0,1811.0,13596.0,1542.0,647.0,217.0,625.0,4905.0,316.0,1685.0,978.0,3677.0,496.0,2671.0,143.0,6799.0,6836.0,5945.0,1141.0,709.0,447.0,462.0,113.0,38.0,746.0,446.0,612.0,108663.0,7336.0,839.0,190.0,1407.0,2011.0,604.0,-725.0,13675.0,868.0,2143.0,16052.0,287.0,321.0,399.0,4325.0,1396.0,544.0,631.0,343.0,62.0,5820.0,507.0
