Date,"Agricultural services, forestry, and fisheries","Agriculture, forestry, and fisheries",Amusement and recreation services,Anthracite mining,Apparel and other textile products,Banking,Bituminous and other soft coal mining,Business services,Chemicals and allied products,"Civilian, except work relief",Commercial and trade schools and employment agencies,Communication,Contract construction,Credit agencies (other than banks) and holding and other investment companies,Crude petroleum and natural gas,Domestic industries,Durable goods,"Educational services, n.e.c.",Electric and electronic equipment,"Electric, gas, and sanitary services",Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Furniture and finished lumber products,General government,Government,Government enterprises,Health services,Hotels and other lodging places,"Insurance agents, brokers, and service",Insurance carriers,"Iron and steel and their products, including ordnance",Leather and leather products,Legal services,Local and interurban passenger transit,"Local utilities and public services, n.e.c.",Lumber and basic timber products,"Machinery, except electrical",Manufacturing,Membership organizations,Metal mining,Military,Mining,"Miscellaneous manufacturing, including instruments and miscellaneous plastic products",Miscellaneous professional services,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,Nonferrous metals and their products,Nonmetallic mining and quarrying,"Nonschool, except work relief",Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Printing and publishing,Private households,Private industries,Public education,Radio and television broadcasting,Railroad transportation,Real estate,Retail trade and automobile services,Rubber products,"Security and commodity brokers, and services",Services,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Utilities: electric and gas,Wages and salaries per full-time equivalent employee,Water transportation,Wholesale trade,Work relief
1929-01-01,898.0,479.0,1273.0,1728.0,1361.0,1969.0,1293.0,2274.0,1673.0,1933.0,1650.0,1394.0,1674.0,1862.0,2019.0,1430.0,1630.0,1312.0,1655.0,1562.0,460.0,1673.0,2062.0,1503.0,1398.0,1540.5,1574.0,1751.5,925.0,1098.0,1975.0,2268.0,1740.0,1327.0,1378.0,1598.0,1107.0,1172.0,1827.0,1543.0,1712.0,1613.0,1181.0,1526.0,1568.0,2314.0,1814.0,2169.0,1813.0,1455.0,1665.0,1409.0,1549.0,1747.0,1514.0,1219.0,1844.0,1920.0,2010.0,731.0,1416.0,1517.0,2500.0,1749.0,1575.0,1409.0,1597.0,3172.0,1079.0,1538.0,1557.0,1386.0,1155.0,979.0,1643.0,1598.0,2500.0,1424.0,1298.0,1589.0,1430.0,1275.0,2072.0,
1930-01-01,893.0,464.0,1268.0,1750.0,1265.0,1909.0,1119.0,2412.0,1647.0,1768.0,1778.0,1423.0,1526.0,1828.0,1980.0,1392.0,1556.0,1329.0,1658.0,1575.0,444.0,1632.0,1973.0,1489.0,1310.0,1522.5,1576.0,1751.0,933.0,1097.0,1877.0,2226.0,1640.0,1215.0,1394.0,1587.0,1107.0,1156.0,1748.0,1488.0,1698.0,1551.0,1191.0,1424.0,1535.0,2027.0,1793.0,2175.0,1571.0,1425.0,1554.0,1358.0,1576.0,1728.0,1487.0,1200.0,1904.0,1750.0,2011.0,676.0,1372.0,1528.0,2500.0,1717.0,1446.0,1384.0,1563.0,3097.0,1066.0,1555.0,1525.0,1410.0,1096.0,985.0,1610.0,1578.0,2250.0,1427.0,1269.0,1603.0,1392.0,1214.0,2039.0,1000.0
1931-01-01,844.0,377.0,1244.0,1602.0,1162.0,1881.0,909.0,2255.0,1608.0,1895.0,1625.0,1456.0,1233.0,1767.0,1890.0,1299.0,1391.0,1323.0,1461.0,1572.0,355.0,1673.0,1858.0,1451.0,1196.0,1539.5,1568.0,1743.0,919.0,1030.0,1748.0,2127.0,1410.0,1152.0,1333.0,1500.0,1115.0,1010.0,1521.0,1369.0,1653.0,1291.0,1182.0,1221.0,1466.0,1897.0,1684.0,2179.0,1455.0,1352.0,1455.0,1186.0,1541.0,1590.0,1404.0,1136.0,1810.0,1810.0,1943.0,584.0,1266.0,1536.0,2625.0,1661.0,1237.0,1324.0,1392.0,3011.0,1008.0,1532.0,1386.0,1436.0,1039.0,908.0,1549.0,1539.0,2600.0,1377.0,1230.0,1600.0,1299.0,1153.0,1934.0,1045.0
1932-01-01,755.0,299.0,1218.0,1452.0,941.0,1817.0,723.0,1844.0,1419.0,1824.0,1500.0,1363.0,907.0,1632.0,1600.0,1143.0,1127.0,1279.0,1182.0,1516.0,279.0,1603.0,1652.0,1303.0,962.0,1481.5,1499.0,1660.0,865.0,908.0,1581.0,1800.0,1044.0,970.0,1260.0,1328.0,1087.0,787.0,1311.0,1150.0,1545.0,1060.0,1164.0,1016.0,1230.0,1714.0,1464.0,1959.0,1234.0,1166.0,1177.0,945.0,1479.0,1463.0,1208.0,996.0,1619.0,1706.0,1740.0,497.0,1092.0,1470.0,2667.0,1461.0,979.0,1173.0,1191.0,2925.0,918.0,1462.0,1167.0,1335.0,847.0,787.0,1373.0,1393.0,2333.0,1224.0,1179.0,1542.0,1143.0,1038.0,1672.0,1057.0
1933-01-01,685.0,278.0,1185.0,1435.0,900.0,1726.0,748.0,1653.0,1312.0,1673.0,1364.0,1274.0,869.0,1574.0,1427.0,1069.0,1087.0,1189.0,1203.0,1427.0,259.0,1302.0,1555.0,1204.0,900.0,1287.0,1344.0,1516.0,810.0,816.0,1464.0,1677.0,1073.0,950.0,1168.0,1219.0,1000.0,737.0,1260.0,1086.0,1442.0,1040.0,1070.0,990.0,1166.0,1619.0,1286.0,1891.0,1170.0,1086.0,1132.0,852.0,1413.0,1310.0,1143.0,889.0,1505.0,1450.0,1599.0,460.0,1023.0,1365.0,2625.0,1439.0,906.0,1066.0,1137.0,2742.0,854.0,1364.0,1071.0,1245.0,829.0,725.0,1334.0,1339.0,2333.0,1127.0,1172.0,1453.0,1069.0,1059.0,1477.0,1047.0
1934-01-01,679.0,303.0,1190.0,1500.0,987.0,1768.0,900.0,1709.0,1341.0,1717.0,1417.0,1364.0,942.0,1660.0,1472.0,1110.0,1171.0,1175.0,1282.0,1484.0,286.0,1263.0,1601.0,1221.0,948.0,1245.5,1297.0,1536.5,801.0,863.0,1575.0,1716.0,1166.0,1017.0,1160.0,1310.0,1043.0,791.0,1345.0,1153.0,1440.0,1133.0,1070.0,1108.0,1195.0,1609.0,1339.0,1844.0,1314.0,1139.0,1209.0,903.0,1391.0,1317.0,1186.0,905.0,1513.0,1545.0,1644.0,473.0,1076.0,1329.0,2273.0,1505.0,981.0,1102.0,1248.0,2807.0,857.0,1317.0,1088.0,1338.0,883.0,750.0,1393.0,1402.0,2333.0,1180.0,1207.0,1510.0,1110.0,1055.0,1550.0,1049.5
1935-01-01,759.0,344.0,1193.0,1414.0,1016.0,1830.0,957.0,1884.0,1385.0,1759.0,1400.0,1401.0,1027.0,1759.0,1558.0,1157.0,1264.0,1163.0,1364.0,1565.0,324.0,1295.0,1632.0,1253.0,988.0,1244.0,1305.0,1626.5,829.0,878.0,1679.0,1745.0,1295.0,1043.0,1163.0,1361.0,1136.0,833.0,1425.0,1216.0,1435.0,1239.0,1154.0,1154.0,1244.0,1600.0,1429.0,1892.0,1489.0,1178.0,1277.0,968.0,1425.0,1381.0,1235.0,915.0,1587.0,1565.0,1698.0,485.0,1129.0,1358.0,2077.0,1645.0,1021.0,1139.0,1358.0,2770.0,873.0,1311.0,1171.0,1378.0,926.0,778.0,1492.0,1490.0,2125.0,1269.0,1264.0,1589.0,1157.0,1088.0,1640.0,936.5
1936-01-01,788.0,368.0,1232.0,1408.0,1013.0,1891.0,1103.0,1915.0,1455.0,1896.0,1471.0,1451.0,1178.0,1886.0,1594.0,1203.0,1376.0,1180.0,1478.0,1588.0,351.0,1186.0,1713.0,1290.0,1074.0,1270.0,1290.0,1678.0,851.0,897.0,1781.0,1823.0,1446.0,1045.0,1200.0,1433.0,1125.0,911.0,1550.0,1287.0,1465.0,1380.0,1152.0,1263.0,1298.0,1759.0,1456.0,1896.0,1600.0,1210.0,1361.0,1100.0,1457.0,1496.0,1313.0,940.0,1629.0,1600.0,1702.0,506.0,1184.0,1395.0,2267.0,1724.0,1078.0,1159.0,1472.0,2941.0,898.0,1431.0,1262.0,1420.0,952.0,817.0,1582.0,1565.0,2200.0,1275.0,1328.0,1615.0,1203.0,1373.0,1652.0,1138.0
1937-01-01,854.0,430.0,1269.0,1388.0,1025.0,1919.0,1170.0,1966.0,1559.0,1797.0,1526.0,1516.0,1278.0,2009.0,1734.0,1277.0,1491.0,1211.0,1616.0,1683.0,407.0,1270.0,1788.0,1351.0,1123.0,1327.5,1367.0,1693.5,876.0,941.0,1887.0,1901.0,1591.0,1085.0,1231.0,1505.0,1238.0,963.0,1693.0,1376.0,1497.0,1630.0,1132.0,1366.0,1359.0,1774.0,1544.0,1972.0,1672.0,1267.0,1492.0,1211.0,1493.0,1614.0,1403.0,978.0,1833.0,1808.0,1722.0,558.0,1260.0,1435.0,2333.0,1774.0,1176.0,1218.0,1526.0,3048.0,938.0,1471.0,1357.0,1481.0,994.0,883.0,1644.0,1631.0,2167.0,1279.0,1408.0,1705.0,1277.0,1536.0,1693.0,1231.0
1938-01-01,870.0,441.0,1270.0,1315.0,999.0,1941.0,1050.0,1899.0,1621.0,1832.0,1500.0,1622.0,1193.0,2039.0,1734.0,1249.0,1365.0,1228.0,1527.0,1723.0,420.0,1221.0,1731.0,1331.0,1102.0,1324.0,1348.0,1687.0,899.0,946.0,1880.0,1846.0,1359.0,1017.0,1205.0,1529.0,1190.0,940.0,1534.0,1296.0,1529.0,1453.0,1120.0,1282.0,1274.0,1909.0,1552.0,1942.0,1653.0,1241.0,1402.0,1134.0,1517.0,1589.0,1359.0,992.0,1863.0,1957.0,1697.0,527.0,1227.0,1476.0,2556.0,1849.0,1121.0,1217.0,1457.0,2809.0,943.0,1502.0,1303.0,1580.0,926.0,870.0,1676.0,1675.0,2231.0,1276.0,1456.0,1749.0,1249.0,1299.0,1686.0,1162.0
1939-01-01,981.0,460.0,1277.0,1409.0,1025.0,1969.0,1197.0,1886.0,1611.0,1843.0,1529.0,1643.0,1268.0,2102.0,1684.0,1282.0,1479.0,1234.0,1601.0,1739.0,436.0,1214.0,1729.0,1372.0,1138.0,1320.0,1348.0,1698.5,908.0,958.0,1882.0,1826.0,1549.0,1038.0,1198.0,1569.0,1227.0,956.0,1681.0,1363.0,1546.0,1515.0,1134.0,1367.0,1337.0,1973.0,1603.0,1971.0,1762.0,1263.0,1521.0,1178.0,1530.0,1667.0,1414.0,1034.0,1852.0,1955.0,1718.0,544.0,1269.0,1473.0,2476.0,1877.0,1144.0,1224.0,1548.0,2806.0,952.0,1506.0,1359.0,1600.0,960.0,916.0,1723.0,1714.0,2267.0,1271.0,1521.0,1766.0,1282.0,1557.0,1698.0,924.0
1940-01-01,1010.0,487.0,1280.0,1297.0,1022.0,1963.0,1235.0,1889.0,1723.0,1894.0,1625.0,1661.0,1330.0,2114.0,1714.0,1317.0,1568.0,1240.0,1688.0,1772.0,463.0,1205.0,1725.0,1385.0,1158.0,1327.5,1354.0,1715.0,927.0,997.0,1890.0,1838.0,1643.0,1041.0,1224.0,1559.0,1318.0,934.0,1813.0,1432.0,1408.0,1610.0,1025.0,1388.0,1380.0,1902.0,1579.0,1948.0,1934.0,1299.0,1595.0,1217.0,1552.0,1764.0,1458.0,1042.0,1954.0,1957.0,1764.0,554.0,1309.0,1507.0,2565.0,1906.0,1145.0,1236.0,1583.0,2845.0,953.0,1534.0,1393.0,1610.0,986.0,1000.0,1756.0,1745.0,2263.0,1365.0,1551.0,1795.0,1317.0,1648.0,1754.0,896.0
1941-01-01,1162.0,593.0,1292.0,1467.0,1159.0,1977.0,1500.0,1967.0,1893.0,1970.0,1833.0,1685.0,1635.0,2177.0,1779.0,1460.0,1840.0,1264.0,1919.0,1847.0,567.0,1292.0,1777.0,1472.0,1304.0,1397.0,1399.0,1755.5,955.0,1025.0,1975.0,1910.0,1923.0,1237.0,1265.0,1664.0,1364.0,1026.0,2144.0,1653.0,1379.0,1771.0,1113.0,1579.0,1540.0,2245.0,1891.0,2016.0,2243.0,1440.0,1824.0,1375.0,1574.0,2160.0,1646.0,1075.0,2113.0,2083.0,1852.0,601.0,1473.0,1534.0,2577.0,2030.0,1198.0,1299.0,1778.0,3040.0,1020.0,1565.0,1554.0,1633.0,1159.0,1117.0,1885.0,1850.0,2292.0,1579.0,1630.0,1870.0,1460.0,1854.0,1943.0,944.5
1942-01-01,1410.0,799.0,1328.0,1753.0,1331.0,2069.0,1715.0,2072.0,2131.0,2226.0,2175.0,1766.0,2191.0,2352.0,1940.0,1729.0,2292.0,1344.0,2287.0,2016.0,769.0,1652.0,1885.0,1650.0,1514.0,1620.5,1645.0,1928.5,1036.0,1097.0,2140.0,2044.0,2283.0,1447.0,1324.0,1990.0,1524.0,1205.0,2630.0,2023.0,1482.0,2045.0,1485.0,1796.0,1882.0,2654.0,2152.0,2124.0,2880.0,1654.0,2230.0,1634.0,1628.0,2695.0,1850.0,1196.0,2410.0,2280.0,1971.0,706.0,1751.0,1588.0,2667.0,2303.0,1285.0,1395.0,2116.0,3073.0,1132.0,1626.0,1771.0,1715.0,1385.0,1240.0,2183.0,2099.0,2265.0,1782.0,1859.0,2040.0,1729.0,2729.0,2177.0,982.5
1943-01-01,1616.0,1031.0,1461.0,2119.0,1595.0,2134.0,2115.0,2332.0,2386.0,2628.0,2520.0,1934.0,2503.0,2605.0,2299.0,1972.0,2619.0,1469.0,2466.0,2261.0,1002.0,1808.0,2041.0,1878.0,1743.0,1758.5,1797.0,2155.0,1127.0,1269.0,2331.0,2224.0,2637.0,1659.0,1423.0,2280.0,1778.0,1446.0,2857.0,2349.0,1679.0,2333.0,1565.0,2162.0,2176.0,3063.0,2641.0,2250.0,2978.0,1895.0,2581.0,1911.0,1756.0,2982.0,2076.0,1384.0,2806.0,2720.0,2156.0,919.0,2039.0,1688.0,2929.0,2585.0,1412.0,1555.0,2478.0,3947.0,1347.0,1749.0,2024.0,1878.0,1556.0,1431.0,2493.0,2386.0,2457.0,2100.0,2147.0,2284.0,1973.0,3388.0,2416.0,1064.0
1944-01-01,1743.0,1220.0,1663.0,2525.0,1788.0,2256.0,2535.0,2584.0,2608.0,2677.0,2714.0,2110.0,2602.0,2808.0,2601.0,2124.0,2774.0,1562.0,2578.0,2439.0,1189.0,1943.0,2191.0,2044.0,1892.0,1883.5,1930.0,2313.5,1262.0,1455.0,2513.0,2380.0,2781.0,1831.0,1653.0,2458.0,1889.0,1564.0,2975.0,2517.0,1795.0,2458.0,1763.0,2499.0,2320.0,3237.0,2901.0,2379.0,3103.0,2081.0,2724.0,2089.0,1855.0,3188.0,2254.0,1570.0,3046.0,3038.0,2376.0,1140.0,2212.0,1817.0,3333.0,2714.0,1550.0,1709.0,2699.0,4179.0,1538.0,1861.0,2174.0,2035.0,1681.0,1580.0,2679.0,2576.0,2766.0,2314.0,2374.0,2467.0,2126.0,3624.0,2600.0,
