Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Banking,Business services,Chemicals and allied products,Civilian,Coal mining,Communication,Construction,Credit agencies other than banks,Domestic industries,Durable goods,Education,Educational services,Electric and electronic equipment,"Electric, gas, and sanitary services",Fabricated metal products,Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,General government,Government,Government enterprises,Health services,Holding and other investment offices,Hotels and other lodging places,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Local and interurban passenger transit,Lumber and wood products,"Machinery, except electrical",Manufacturing,Membership organizations,Metal mining,Military,Mining,Miscellaneous manufacturing industries,Miscellaneous professional services,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Private households,Private industries,Radio and television,Railroad transportation,Real estate,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,Social services,Social services and membership organizations,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco manufactures,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Wages and salaries per full-time equivalent employee,Water transportation,Wholesale trade
1948-01-01,2379.0,1595.0,2475.0,2445.0,2520.0,3025.0,3435.0,3384.0,3256.0,3388.0,2869.0,3125.0,3200.0,2821.0,3163.0,2666.0,1978.0,3162.0,3189.0,3278.0,1541.0,2957.0,3010.0,2870.0,2772.0,2801.5,2820.0,2998.0,1824.0,5500.0,2035.0,3159.0,3245.0,3273.0,2416.0,2196.0,3101.0,2256.0,3447.0,3037.0,,3340.0,2676.0,3396.0,2808.0,3335.0,2825.0,2964.0,3382.0,2892.0,2918.0,3608.0,2645.0,3602.0,3194.0,2080.0,4145.0,4100.0,3404.0,3499.0,1500.0,2821.0,4234.0,3607.0,2365.0,2509.0,3214.0,4679.0,2085.0,,2209.0,2677.0,2932.0,2776.0,2578.0,2040.0,3428.0,3297.0,3584.0,2920.0,3140.0,2822.0,3465.0,3597.0
1949-01-01,2450.0,1564.0,2557.0,2407.0,2553.0,3166.0,3528.0,3549.0,3481.0,2922.0,3019.0,3229.0,3280.0,2879.0,3240.0,2805.0,2063.0,3271.0,3353.0,3368.0,1501.0,3016.0,3095.0,2970.0,2842.0,2863.0,2890.0,3145.0,1935.0,5583.0,2124.0,3302.0,3243.0,3382.0,2416.0,2308.0,3164.0,2305.0,3487.0,3107.0,,3436.0,2599.0,3215.0,2856.0,3512.0,2789.0,3028.0,3623.0,2961.0,3010.0,3751.0,2676.0,3607.0,3248.0,2163.0,4294.0,4172.0,3406.0,3700.0,1498.0,2877.0,4380.0,3703.0,2359.0,2596.0,3286.0,4784.0,2156.0,,2384.0,2758.0,3015.0,2920.0,2570.0,2119.0,3512.0,3398.0,3805.0,3282.0,3261.0,2881.0,3404.0,3621.0
1950-01-01,2642.0,1531.0,2605.0,2541.0,2658.0,3347.0,3730.0,3797.0,3632.0,3245.0,3180.0,3377.0,3314.0,3033.0,3483.0,2934.0,2135.0,3404.0,3556.0,3611.0,1454.0,3238.0,3262.0,3140.0,3031.0,3020.5,3045.0,3273.0,2045.0,5818.0,2178.0,3561.0,3341.0,3505.0,2571.0,2411.0,3288.0,2517.0,3777.0,3330.0,,3625.0,2897.0,3465.0,3020.0,3651.0,2721.0,3089.0,4041.0,3154.0,3283.0,3873.0,2737.0,3752.0,3498.0,2246.0,4449.0,4333.0,3695.0,3892.0,1502.0,3030.0,4698.0,3778.0,2527.0,2711.0,3600.0,5607.0,2213.0,,2495.0,2845.0,3253.0,3059.0,2784.0,2333.0,3639.0,3545.0,4070.0,3129.0,3468.0,3034.0,3698.0,3806.0
1951-01-01,2797.0,1656.0,2743.0,2645.0,2864.0,3481.0,3957.0,4131.0,3924.0,3762.0,3390.0,3774.0,3481.0,3263.0,3862.0,3147.0,2240.0,3745.0,3827.0,3981.0,1568.0,3227.0,3418.0,3398.0,3273.0,3103.5,3154.0,3494.5,2177.0,5750.0,2274.0,3928.0,3474.0,3675.0,2723.0,2573.0,3489.0,2723.0,4265.0,3652.0,,4127.0,2788.0,3889.0,3240.0,4054.0,3107.0,3269.0,4267.0,3386.0,3579.0,4115.0,2919.0,4259.0,3815.0,2375.0,4793.0,4714.0,4134.0,4115.0,1588.0,3286.0,5017.0,4163.0,2659.0,2785.0,3861.0,5700.0,2368.0,,2617.0,3045.0,3597.0,3253.0,2935.0,2490.0,3947.0,3831.0,4411.0,3481.0,3614.0,3266.0,4080.0,4028.0
1952-01-01,2959.0,1697.0,2956.0,2741.0,3000.0,3636.0,4145.0,4370.0,4202.0,3718.0,3642.0,4086.0,3650.0,3454.0,4126.0,3327.0,2320.0,3996.0,4130.0,4265.0,1594.0,3372.0,3552.0,3612.0,3476.0,3269.5,3324.0,3722.0,2344.0,5929.0,2399.0,4178.0,3573.0,3831.0,2931.0,2847.0,3645.0,2928.0,4507.0,3894.0,,4592.0,2891.0,4067.0,3404.0,4489.0,3294.0,3485.0,4681.0,3587.0,3835.0,4426.0,3124.0,4466.0,4032.0,2526.0,5091.0,5069.0,4383.0,4399.0,1707.0,3484.0,5417.0,4338.0,2741.0,2891.0,4168.0,5429.0,2554.0,,2746.0,3246.0,3710.0,3492.0,3039.0,2689.0,4153.0,4056.0,4741.0,3713.0,3834.0,3459.0,4465.0,4134.0
1953-01-01,3229.0,1688.0,3127.0,2862.0,3181.0,3776.0,4297.0,4658.0,4412.0,4061.0,3881.0,4354.0,3787.0,3639.0,4383.0,3478.0,2419.0,4190.0,4408.0,4489.0,1564.0,3456.0,3708.0,3855.0,3612.0,3385.0,3429.0,3825.0,2486.0,6071.0,2494.0,4394.0,3767.0,3981.0,3035.0,3032.0,3809.0,3046.0,4751.0,4133.0,,4953.0,2927.0,4374.0,3560.0,4747.0,3458.0,3626.0,5034.0,3784.0,4081.0,4622.0,3263.0,4744.0,4252.0,2682.0,5349.0,5286.0,4704.0,4682.0,1805.0,3686.0,5734.0,4418.0,2887.0,3035.0,4358.0,5516.0,2708.0,,2914.0,3390.0,3981.0,3720.0,3088.0,2835.0,4334.0,4258.0,4982.0,3827.0,4106.0,3644.0,5017.0,4320.0
1954-01-01,3407.0,1607.0,3320.0,2923.0,3254.0,3912.0,4453.0,4878.0,4508.0,3959.0,4093.0,4484.0,3952.0,3729.0,4452.0,3685.0,2535.0,4306.0,4610.0,4565.0,1464.0,3531.0,3874.0,4033.0,3702.0,3507.5,3542.0,3916.5,2592.0,5812.0,2602.0,4517.0,3917.0,4059.0,3076.0,3206.0,3914.0,3163.0,4787.0,4224.0,,4703.0,2997.0,4402.0,3640.0,4885.0,3455.0,3929.0,5174.0,3923.0,4191.0,4753.0,3403.0,4882.0,4391.0,2817.0,5478.0,5444.0,4631.0,4885.0,1874.0,3772.0,5957.0,4544.0,3056.0,3136.0,4445.0,6672.0,2844.0,,3055.0,3556.0,4120.0,3914.0,3077.0,3000.0,4436.0,4392.0,5172.0,4079.0,4200.0,3737.0,4937.0,4442.0
1955-01-01,3371.0,1640.0,3498.0,3027.0,3318.0,4045.0,4586.0,5121.0,4804.0,4470.0,4339.0,4607.0,4060.0,3921.0,4737.0,3788.0,2646.0,4530.0,4783.0,4786.0,1498.0,3816.0,4005.0,4247.0,3890.0,3713.5,3755.0,4111.5,2727.0,6000.0,2706.0,4740.0,4018.0,4120.0,3229.0,3437.0,4142.0,3352.0,5015.0,4481.0,,5057.0,3237.0,4721.0,3789.0,5212.0,3623.0,4330.0,5572.0,4134.0,4374.0,4924.0,3536.0,5167.0,4654.0,2957.0,5753.0,5692.0,5177.0,5133.0,1956.0,3957.0,6250.0,4701.0,3222.0,3267.0,4852.0,7013.0,2958.0,,3126.0,3680.0,4382.0,4153.0,3255.0,3172.0,4623.0,4589.0,5416.0,4179.0,4410.0,3930.0,5126.0,4616.0
1956-01-01,3503.0,1734.0,3651.0,3226.0,3445.0,4226.0,4791.0,5475.0,5024.0,4858.0,4501.0,4914.0,4137.0,4132.0,4993.0,4018.0,2866.0,4783.0,5072.0,5071.0,1578.0,4016.0,4168.0,4506.0,4044.0,3911.5,3943.0,4213.0,2789.0,6389.0,2813.0,5028.0,4208.0,4292.0,3423.0,3789.0,4306.0,3522.0,5365.0,4739.0,,5375.0,3402.0,5033.0,4015.0,5721.0,3992.0,4587.0,5591.0,4387.0,4664.0,5187.0,3689.0,5510.0,4895.0,3129.0,6153.0,6077.0,5468.0,5430.0,2017.0,4173.0,6613.0,5085.0,3427.0,3374.0,4965.0,6612.0,3115.0,,3216.0,3860.0,4620.0,4298.0,3401.0,3463.0,4886.0,4833.0,5549.0,4564.0,4548.0,4141.0,5300.0,4883.0
1957-01-01,3538.0,1811.0,3875.0,3293.0,3621.0,4311.0,4883.0,5725.0,5205.0,5086.0,4675.0,5120.0,4387.0,4297.0,5207.0,4288.0,2959.0,5005.0,5307.0,5294.0,1657.0,4103.0,4314.0,4648.0,4144.0,4064.5,4087.0,4306.5,2919.0,6250.0,2948.0,5277.0,4367.0,4445.0,3507.0,3962.0,4449.0,3583.0,5520.0,4928.0,,5487.0,3439.0,5235.0,4195.0,5882.0,4136.0,4745.0,5864.0,4540.0,4785.0,5422.0,3858.0,5719.0,5067.0,3250.0,6427.0,6385.0,5726.0,5568.0,2075.0,4343.0,6756.0,5416.0,3546.0,3514.0,5199.0,6718.0,3249.0,,3352.0,4069.0,4790.0,4471.0,3440.0,3663.0,5163.0,5081.0,5813.0,4921.0,4763.0,4306.0,5663.0,5119.0
