Date,"Agricultural services, forestry, and fishing","Agriculture, forestry, and fishing",Amusement and recreation services,Apparel and other textile products,"Auto repair, services, and parking",Business services,Chemicals and allied products,Civilian,Coal mining,Communications,Construction,Depository institutions,Domestic industries,Durable goods,Education,Educational services,"Electric, gas, and sanitary services",Electronic and other electric equipment,Fabricated metal products,Farms,Federal,"Finance, insurance, and real estate",Food and kindred products,Furniture and fixtures,General government,Government,Government enterprises,Health services,Holding and other investment offices,Hotels and other lodging places,Industrial machinery and equipment,Instruments and related products,"Insurance agents, brokers, and service",Insurance carriers,Leather and leather products,Legal services,Local and interurban passenger transit,Lumber and wood products,Manufacturing,Membership organizations,Metal mining,Military,Mining,Miscellaneous manufacturing industries,Miscellaneous repair services,Motion pictures,Motor vehicles and equipment,Nondepository institutions,Nondurable goods,"Nonmetallic minerals, except fuels",Oil and gas extraction,Other,Other services,Other transportation equipment,Paper and allied products,Personal services,Petroleum and coal products,"Pipelines, except natural gas",Primary metal industries,Printing and publishing,Private households,Private industries,Radio and television,Railroad transportation,Real estate,Retail trade,Rubber and miscellaneous plastics products,Security and commodity brokers,Services,Social services,Social services and membership organizations,State and local,"Stone, clay, and glass products",Telephone and telegraph,Textile mill products,Tobacco products,Transportation,Transportation and public utilities,Transportation by air,Transportation services,Trucking and warehousing,Wages and salaries per full-time equivalent employee,Water transportation,Wholesale trade
1987-01-01,14643.0,12096.0,17267.0,14208.0,17699.0,18931.0,35417.0,28984.0,36376.0,35161.0,24774.0,23005.0,23186.0,28329.0,24333.0,17364.0,35448.0,27442.0,25476.0,10156.0,26039.0,28017.0,23564.0,19021.0,24538.5,24547.0,27728.5,23959.0,40051.0,14752.0,30037.0,31984.0,27222.0,27533.0,15512.0,37230.0,15455.0,19789.0,26772.0,16573.0,33020.0,22009.0,34149.0,21002.0,21806.0,26421.0,35305.0,28733.0,24519.0,28430.0,34962.0,23194.0,33762.0,33759.0,30087.0,13638.0,40328.0,40179.0,29907.0,25585.0,10359.0,22894.0,29295.0,41972.0,22260.0,14650.0,22785.0,65232.0,21003.0,13061.0,14883.0,23882.0,26114.0,37243.0,18451.0,35508.0,26522.0,30108.0,32546.0,22071.0,23633.0,23188.0,29902.0,27345.0
1988-01-01,15028.0,12805.0,18671.0,14952.0,18453.0,19786.0,37445.0,30504.0,37237.0,36350.0,26027.0,24650.0,24355.0,29592.0,24967.0,18758.0,36734.0,28641.0,26616.0,11017.0,27394.0,29935.0,24479.0,19817.0,25679.5,25623.0,29101.0,25964.0,45456.0,15823.0,31631.0,33218.0,29107.0,29342.0,16385.0,40330.0,16699.0,20776.0,28037.0,17578.0,35141.0,23072.0,35121.0,22258.0,22790.0,26789.0,37604.0,30568.0,25768.0,29543.0,35883.0,24449.0,34742.0,34300.0,31418.0,14900.0,41107.0,43019.0,31477.0,27104.0,11475.0,24085.0,29564.0,41833.0,23931.0,15265.0,23877.0,68180.0,22379.0,13724.0,15727.0,24855.0,27007.0,38832.0,18963.0,38039.0,27212.0,30933.0,30817.0,23520.0,24554.0,24365.0,30845.0,29310.0
1989-01-01,15635.0,14022.0,18859.0,15539.0,18943.0,20816.0,39025.0,31435.0,38517.0,37337.0,26823.0,25634.0,25130.0,30512.0,26093.0,19724.0,38511.0,29765.0,27287.0,12579.0,28231.0,30696.0,25162.0,20456.0,26689.5,26661.0,29975.5,27166.0,46634.0,16516.0,32566.0,34407.0,30265.0,30735.0,17129.0,41696.0,17058.0,21168.0,28924.0,17941.0,36083.0,23845.0,36519.0,22799.0,23913.0,27204.0,38133.0,31614.0,26619.0,30187.0,37688.0,25616.0,36033.0,35623.0,32334.0,15493.0,42767.0,42747.0,32771.0,27559.0,10640.0,24805.0,29872.0,42323.0,24875.0,15613.0,24524.0,65120.0,23258.0,14477.0,16270.0,25999.0,27509.0,40226.0,19788.0,41154.0,27803.0,31729.0,31620.0,24317.0,25099.0,25138.0,32136.0,30158.0
1990-01-01,17124.0,15901.0,20541.0,16211.0,19890.0,22009.0,41028.0,32602.0,40796.0,38803.0,27931.0,26649.0,26386.0,31741.0,27717.0,20806.0,39667.0,31125.0,28303.0,14805.0,30009.0,31995.0,25968.0,21493.0,28276.0,28252.0,31854.5,29089.0,50239.0,17509.0,34084.0,35950.0,31830.0,32426.0,18173.0,46348.0,17990.0,21805.0,30136.0,18383.0,37138.0,25729.0,38071.0,24519.0,24720.0,30345.0,38308.0,33075.0,27859.0,31312.0,39105.0,27106.0,38246.0,37404.0,33583.0,16121.0,45057.0,46198.0,33696.0,28952.0,11373.0,25985.0,31752.0,43672.0,25159.0,16136.0,25571.0,67736.0,24767.0,15383.0,16927.0,27532.0,28429.0,41537.0,20289.0,40128.0,29136.0,33110.0,32929.0,26183.0,26368.0,26385.0,33961.0,31598.0
1991-01-01,17760.0,16053.0,21504.0,16985.0,20471.0,22969.0,43036.0,34859.0,41633.0,40223.0,28634.0,27653.0,27490.0,32987.0,29148.0,21814.0,41413.0,32740.0,29439.0,14507.0,32093.0,33388.0,26976.0,22181.0,30027.0,29789.0,33302.0,30490.0,50387.0,18419.0,35278.0,37899.0,32631.0,34331.0,19266.0,47681.0,18676.0,22298.0,31338.0,17535.0,39348.0,27748.0,39768.0,25094.0,25299.0,30837.0,39881.0,34742.0,29077.0,31700.0,41315.0,28358.0,39954.0,39031.0,34536.0,16710.0,47310.0,47038.0,34051.0,29973.0,11172.0,26986.0,32475.0,45981.0,25031.0,16892.0,26402.0,74241.0,25686.0,16107.0,16860.0,28868.0,29153.0,43217.0,21451.0,41827.0,30184.0,34361.0,34580.0,27321.0,26996.0,27485.0,34726.0,32939.0
1992-01-01,18329.0,16579.0,23136.0,17765.0,21303.0,24058.0,46071.0,36570.0,43440.0,43092.0,29446.0,30182.0,28936.0,34832.0,30081.0,22398.0,43912.0,34936.0,30812.0,14907.0,34294.0,37483.0,28459.0,23529.0,31509.0,31192.0,36364.5,31450.0,58510.0,19467.0,37293.0,40260.0,34768.0,37009.0,20331.0,50410.0,19484.0,23465.0,33145.0,20159.0,41174.0,29611.0,42445.0,26605.0,26504.0,31796.0,41353.0,39070.0,30878.0,33076.0,45001.0,29560.0,42656.0,41583.0,36606.0,17262.0,50423.0,51571.0,36406.0,32030.0,11603.0,28444.0,34583.0,50375.0,26449.0,17396.0,28044.0,96182.0,26994.0,16897.0,18484.0,30010.0,30903.0,46488.0,22754.0,45309.0,31779.0,36363.0,36217.0,28708.0,28460.0,28929.0,36460.0,34738.0
1993-01-01,18239.0,17246.0,24020.0,17940.0,21590.0,24346.0,46798.0,39193.0,43806.0,44520.0,29522.0,30803.0,29531.0,35474.0,30928.0,23084.0,45170.0,36129.0,31288.0,16236.0,35973.0,38569.0,28773.0,24142.0,32825.0,32220.0,37428.0,32575.0,58862.0,19873.0,37910.0,40963.0,35260.0,38281.0,20822.0,50797.0,19500.0,24057.0,33685.0,21094.0,42565.0,30251.0,43363.0,26958.0,26987.0,34696.0,43282.0,40730.0,31308.0,33907.0,46149.0,30421.0,43329.0,42155.0,37065.0,17524.0,51223.0,49842.0,37212.0,32607.0,12392.0,28960.0,35414.0,50565.0,26741.0,17775.0,28649.0,97800.0,27671.0,17257.0,19099.0,30873.0,31139.0,48223.0,23150.0,44504.0,31603.0,36648.0,36033.0,28974.0,28428.0,29603.0,36866.0,35547.0
1994-01-01,18545.0,17808.0,23750.0,18224.0,22170.0,24621.0,48583.0,41365.0,45547.0,46534.0,30345.0,31762.0,30231.0,36575.0,31773.0,23760.0,47013.0,37237.0,32334.0,16987.0,37352.0,38789.0,29235.0,24469.0,34071.0,33324.0,38031.0,33578.0,58040.0,20167.0,38923.0,42155.0,36521.0,39943.0,21364.0,51824.0,20032.0,24576.0,34626.0,22150.0,44288.0,30605.0,44563.0,27350.0,27238.0,34305.0,46816.0,38801.0,32000.0,35294.0,47115.0,31887.0,44123.0,43420.0,38127.0,17813.0,54164.0,54252.0,38469.0,33177.0,13294.0,29594.0,36979.0,51884.0,27409.0,18260.0,29255.0,85861.0,28244.0,17629.0,19748.0,31947.0,32121.0,50481.0,23737.0,46470.0,32165.0,37589.0,36446.0,29699.0,29280.0,30309.0,37317.0,36489.0
1995-01-01,18607.0,18137.0,24823.0,18828.0,22697.0,26031.0,50653.0,42695.0,46768.0,48807.0,30593.0,33767.0,31064.0,37719.0,32550.0,24466.0,48219.0,38765.0,33042.0,17603.0,38370.0,41310.0,30119.0,25071.0,35084.0,34194.0,38372.0,34197.0,63512.0,20712.0,39972.0,44375.0,37977.0,41786.0,22190.0,53399.0,20565.0,25351.0,35805.0,22875.0,46867.0,31388.0,46110.0,28133.0,28309.0,35700.0,47463.0,41352.0,33153.0,36269.0,49030.0,32969.0,45815.0,44608.0,39350.0,18530.0,54547.0,56953.0,39917.0,34554.0,14004.0,30437.0,39778.0,50638.0,28331.0,18536.0,30011.0,95039.0,29142.0,18180.0,20355.0,32830.0,33420.0,52702.0,24181.0,52468.0,32462.0,38299.0,36403.0,30967.0,29796.0,31143.0,37550.0,37883.0
1996-01-01,19175.0,19237.0,25810.0,19968.0,23230.0,27900.0,53320.0,44707.0,49673.0,50696.0,31810.0,36225.0,32249.0,39177.0,33510.0,25360.0,50660.0,40359.0,34154.0,19314.0,39910.0,44789.0,30763.0,26286.0,36295.0,35207.0,39664.5,34706.0,69465.0,21487.0,41840.0,46878.0,39988.0,44348.0,23789.0,55133.0,21187.0,26373.0,37301.0,23626.0,50622.0,32318.0,48624.0,29087.0,29231.0,38377.0,48458.0,43711.0,34632.0,37333.0,51762.0,33790.0,47316.0,45663.0,41049.0,19250.0,55501.0,55214.0,41102.0,35947.0,14268.0,31669.0,42377.0,55478.0,29914.0,19077.0,31041.0,108952.0,30182.0,18661.0,20945.0,33740.0,34978.0,54370.0,25065.0,57698.0,33307.0,39519.0,37037.0,31796.0,30543.0,32321.0,39081.0,39494.0
