Date,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation",Broadcasting and telecommunications,Chemical products,Civilian,Computer and electronic products,Computer systems design and related services,Construction,Domestic industries,Durable goods,Education,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,Federal,"Federal Reserve banks, credit intermediation, and related activities",Finance and insurance,Food and beverage and tobacco products,Food and beverage stores,Food services and drinking places,"Forestry, fishing, and related activities","Funds, trusts, and other financial vehicles",Furniture and related products,General government,General merchandise stores,Government,Government enterprises,Health care and social assistance,Hospitals,Information,Information and data processing services,Insurance carriers and related activities,Legal services,Machinery,Management of companies and enterprises,Manufacturing,Military,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,Motor vehicle and parts dealers,"Motor vehicles, bodies and trailers, and parts",Nondurable goods,Nonmetallic mineral products,Nursing and residential care facilities,Oil and gas extraction,Other,Other retail,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,Private industries,"Professional, scientific, and technical services",Publishing industries (includes software),Rail transportation,Real estate,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets,Retail trade,"Securities, commodity contracts, and investments",Social assistance,State and local,Support activities for mining,Textile mills and textile product mills,Transit and ground passenger transportation,Transportation and warehousing,Truck transportation,Utilities,Wages and salaries per full-time equivalent employee,Warehousing and storage,Waste management and remediation services,Water transportation,Wholesale trade,Wood products
1998-01-01,23543.0,16678.0,22063.0,22801.0,20653.0,48919.0,43732.0,21903.0,21163.0,29832.0,51988.0,55217.0,47603.0,54707.0,68879.0,35131.0,35427.0,44577.0,35653.0,26970.0,36375.0,35580.0,21652.0,42538.0,43044.0,55249.0,31458.0,20397.0,14993.0,18986.0,55887.0,27735.0,38707.0,18358.0,37501.0,42620.0,33054.0,36196.0,53023.0,50038.0,47544.0,56414.0,42576.0,66250.0,39489.0,34404.0,52872.0,46326.0,35351.0,50323.0,53364.0,39576.0,45423.0,39164.0,36279.0,21018.0,74797.0,36137.0,24927.0,23913.0,32605.0,49668.0,42537.0,49976.0,60723.0,64305.0,33523.0,42925.0,36681.0,35038.0,54515.0,55910.0,59766.0,34046.0,33062.0,31074.0,24586.0,116101.0,18269.0,36040.0,44863.0,26962.0,21840.0,35965.0,33686.0,58266.0,35509.0,31317.0,39322.0,48450.0,45439.0,28404.0
1999-01-01,24725.0,17268.0,22806.0,23574.0,20709.0,50879.0,44830.0,22516.0,22183.0,31262.0,57352.0,57559.0,49575.0,61785.0,74698.0,36599.0,36974.0,46946.0,36942.0,27967.0,38556.0,36367.0,20888.0,44093.0,45045.0,58634.0,32404.0,20860.0,15445.0,20383.0,59365.0,28489.0,40282.0,18869.0,38939.0,43829.0,33823.0,37010.0,58781.0,58898.0,49444.0,58508.0,44056.0,69416.0,41392.0,35845.0,55016.0,47595.0,36828.0,52766.0,52158.0,41574.0,47330.0,40695.5,37480.0,21780.0,79913.0,37715.0,25898.0,24583.0,34489.0,51512.0,44246.0,53874.0,61709.0,71789.0,34442.0,44487.0,37688.0,36611.0,57670.0,63243.0,61287.0,35748.0,34638.0,32387.0,25519.0,126264.0,19104.0,37478.0,46074.0,28056.0,22801.0,37426.0,34864.0,60361.0,37050.0,32307.0,41616.0,50407.0,47636.0,29108.0
2000-01-01,26112.0,18045.0,24342.0,25035.0,22146.0,53231.0,46662.0,23349.0,24198.0,32482.0,59823.0,61314.0,52217.0,70449.0,82530.0,38551.0,39166.0,50077.5,38358.0,29244.0,40241.0,37766.0,22568.0,46749.0,47221.0,64574.0,33956.0,21712.0,16070.0,21384.0,65435.0,29571.0,42226.0,19697.0,40824.0,47173.0,35249.0,38635.0,62571.0,67292.0,52294.0,63113.0,46612.0,74253.0,43957.0,37466.0,58134.0,48457.0,38744.0,56526.0,57351.0,42646.0,48754.0,43189.5,39021.0,22986.0,89088.0,39684.0,27103.0,25990.0,35823.0,53294.0,45834.0,55996.0,62998.0,96662.0,35624.0,45836.0,39142.0,38862.0,62472.0,65901.0,63353.0,38432.0,37150.0,34578.0,26589.0,145514.0,19932.0,39169.0,48214.0,29013.0,23827.0,39055.0,36030.0,64772.0,39231.0,33623.0,42001.0,51516.0,50896.0,30351.0
2001-01-01,25900.0,18916.0,26541.0,27216.0,24047.0,56129.0,48135.0,23864.0,24843.0,33213.0,57490.0,62042.0,53735.0,66019.0,79334.0,39899.0,40102.0,50073.0,39774.0,30357.0,41300.0,38522.0,23945.0,48279.0,50229.0,67021.0,35004.0,21750.0,17153.0,24266.0,68065.0,30319.0,43967.5,19641.0,42303.0,48100.5,36683.0,39365.0,62254.0,74017.0,53992.0,65484.0,46375.0,73353.0,44236.0,40287.0,61090.0,49711.0,40029.0,56664.0,55654.0,42741.0,48654.0,44352.0,39728.0,23815.0,94600.0,41148.0,26678.0,26670.0,36173.0,56072.0,47278.0,57107.0,65594.0,100514.0,36203.0,46230.0,37913.0,39692.0,62294.0,66150.0,64100.0,38049.0,36575.0,33601.0,26398.0,151561.0,21919.0,40689.0,52320.0,29920.0,24335.0,39941.0,36502.0,67198.0,40213.0,34156.0,41941.0,55953.0,51492.0,31113.0
2002-01-01,26426.0,19404.0,27393.0,28118.0,24431.0,58115.0,49704.0,24284.0,26592.0,34192.0,57977.0,63402.0,57878.0,66850.0,78620.0,40606.0,40859.0,50759.0,40851.0,31577.0,42579.0,39624.0,23975.0,51804.0,52145.0,66285.0,35890.0,22536.0,17701.0,25438.0,71918.0,31360.0,46810.5,20589.0,44049.0,48240.0,38096.0,41174.0,60987.0,67981.0,55610.0,67081.0,47581.0,74211.0,45380.0,44911.0,61166.0,50194.0,41457.0,57500.0,55593.0,43638.0,51065.0,45760.0,41027.0,24913.0,93607.0,42808.0,27135.0,27665.0,37672.0,59092.0,49064.0,60004.0,66718.0,82058.0,37791.0,47092.0,38925.0,40243.0,62710.0,64316.0,65120.0,38987.0,37769.0,35104.0,27107.0,141878.0,22541.0,41966.0,51916.0,31123.0,24764.0,40690.0,37315.0,68801.0,40975.0,35164.0,43657.0,56988.0,52214.0,31611.0
2003-01-01,26778.0,19900.0,28335.0,29104.0,24092.0,57596.0,50561.0,25468.0,28400.0,36229.0,60328.0,66644.0,61597.0,71296.0,79863.0,41305.0,42201.0,52509.5,42145.0,32863.0,44886.0,40929.0,23159.0,55417.0,55851.0,68491.0,37306.0,23228.0,18270.0,26183.0,77257.0,32789.0,49613.0,21678.0,45879.0,49249.5,39468.0,43751.0,63375.0,70753.0,58353.0,69307.0,49590.0,75820.0,47388.0,49798.0,63487.0,52118.0,43754.0,59174.0,56936.0,44493.0,53826.0,47488.0,42357.0,25659.0,97050.0,44137.0,27859.0,28807.0,39122.0,61437.0,50904.0,64461.0,69544.0,83970.0,39073.0,49172.0,40023.0,41482.0,64363.0,66964.0,68108.0,40505.0,39103.0,35962.0,27921.0,142495.0,23243.0,43290.0,53845.0,31766.0,25274.0,41542.0,38296.0,70527.0,42335.0,36605.0,45401.0,58202.0,53664.0,32851.0
2004-01-01,32103.0,21117.0,29490.0,30289.0,26948.0,59026.0,52632.0,25853.0,30158.0,36917.0,64432.0,69971.0,65416.0,75245.0,83368.0,42310.0,44117.0,54872.5,43533.0,33867.0,47637.0,42646.0,26823.0,59365.0,57357.0,73691.0,38217.0,23758.0,18857.0,27209.0,92036.0,33862.0,52082.0,22281.0,47720.0,52590.0,41200.0,46096.0,67420.0,78631.0,62514.0,71945.0,52270.0,84252.0,49418.0,53171.0,67980.0,54447.0,46316.0,61887.0,61472.0,45269.0,54234.0,49434.0,43737.0,26572.0,108842.0,45343.0,28845.0,29837.0,41429.0,64294.0,52227.0,66394.0,76496.0,89294.0,40658.0,52372.0,41307.0,43420.0,67203.0,68805.0,72097.0,43349.0,41541.0,37459.0,28740.0,162972.0,23731.0,44606.0,56771.0,33466.0,26725.0,43324.0,40106.0,74132.0,44263.0,37942.0,47669.0,61774.0,56052.0,34551.0
2005-01-01,29094.0,21079.0,30571.0,31379.0,28271.0,56772.0,53727.0,25842.0,31706.0,36809.0,65939.0,72917.0,68906.0,78668.0,85832.0,43955.0,45493.0,56502.5,44721.0,34721.0,48887.0,43662.0,28448.0,63230.0,59376.0,77142.0,39283.0,23895.0,19234.0,27931.0,92645.0,34771.0,54991.0,22674.0,49571.0,53905.5,42294.0,47740.0,69167.0,80678.0,65112.0,74333.0,53639.0,88015.0,50885.0,58614.0,73210.0,57130.0,46704.0,64696.0,63082.0,46205.0,53706.0,51124.5,45746.0,27048.0,117624.0,46908.0,29426.0,30644.0,42518.0,65941.0,53819.0,66324.0,82193.0,88952.0,41191.0,53274.0,42728.0,44719.0,69847.0,70585.0,72903.0,45752.0,43746.0,39121.0,29229.0,171759.0,24042.0,45978.0,63417.0,34284.0,27123.0,43939.0,41481.0,77427.0,45643.0,38861.0,48921.0,62903.0,57931.0,35982.0
2006-01-01,30322.0,21843.0,31830.0,32663.0,28138.0,59290.0,55115.0,26480.0,33421.0,38933.0,68533.0,74491.0,70901.0,83914.0,90168.0,46620.0,47565.0,59348.5,46990.0,36108.0,51315.0,45818.0,29117.0,65389.0,62051.0,82364.0,40052.0,24477.0,19939.0,26748.0,99857.0,36071.0,57114.0,23503.0,51646.0,55925.0,43754.0,49992.0,72331.0,84189.0,67711.0,77963.0,56024.0,93003.0,53088.0,60977.0,79118.0,59483.0,48940.0,67860.0,66764.0,47385.0,56066.0,53251.0,46944.0,28059.0,131492.0,48757.0,30257.0,32171.0,44126.0,70539.0,55098.0,71865.0,88163.0,97746.0,42258.0,56197.0,43871.0,46805.0,73279.0,73879.0,75207.0,48940.0,46674.0,41429.0,30039.0,191402.0,24672.0,48050.0,68730.0,35407.0,28600.0,45491.0,43069.0,80331.0,47731.0,39410.0,50880.0,66463.0,60930.0,36282.0
2007-01-01,31562.0,22675.0,33527.0,34313.0,30847.0,63554.0,57308.0,26891.0,35425.0,39697.0,71588.0,78997.0,74080.0,87499.0,93843.0,48841.0,49699.0,61891.0,49018.0,37720.0,53472.0,47726.0,33034.0,67284.0,63949.0,88771.0,41328.0,25055.0,20681.0,27778.0,74935.0,37539.0,59705.0,24025.0,53731.0,55524.0,45530.0,52006.0,75144.0,86226.0,70528.0,82114.0,58021.0,100725.0,55239.0,63844.0,83169.0,62013.0,51788.0,71367.0,68331.0,48096.0,57728.0,55775.0,47975.0,29373.0,133142.0,50983.0,31057.0,33222.0,45851.0,72000.0,56640.0,73211.0,94522.0,106101.0,43827.0,58312.0,44959.0,48947.0,77009.0,78497.0,78338.0,50417.0,48497.0,44019.0,30695.0,216264.0,25586.0,50179.0,74286.0,36355.0,29640.0,47413.0,44305.0,84755.0,49895.0,41012.0,51313.0,72871.0,63848.0,37045.0
