Date,"Agriculture, forestry, and fishing",Communication,Construction,Domestic industries,Durable goods,"Electric, gas, and sanitary services",Employer contributions for social insurance,"Finance, insurance, and real estate",Government,Manufacturing,Mining,Nondurable goods,Private industries,Retail trade,Services,Transportation,Transportation and public utilities,Wholesale trade
1948-01-01,5.0,41.0,212.0,3004.0,583.0,25.0,3004.0,72.0,540.0,1020.0,72.0,437.0,2464.0,292.0,157.0,413.0,479.0,155.0
1949-01-01,5.0,47.0,210.0,3349.0,549.0,30.0,3349.0,83.0,864.0,992.0,64.0,443.0,2485.0,319.0,172.0,402.0,479.0,161.0
1950-01-01,8.0,60.0,282.0,3373.0,728.0,40.0,3373.0,120.0,148.0,1347.0,82.0,619.0,3225.0,411.0,218.0,443.0,543.0,214.0
1951-01-01,19.0,67.0,351.0,4095.0,963.0,48.0,4095.0,142.0,228.0,1676.0,97.0,713.0,3867.0,447.0,277.0,487.0,602.0,256.0
1952-01-01,21.0,70.0,358.0,4143.0,983.0,48.0,4143.0,143.0,237.0,1678.0,97.0,695.0,3906.0,450.0,284.0,499.0,617.0,258.0
1953-01-01,22.0,67.0,373.0,4209.0,1024.0,47.0,4209.0,146.0,210.0,1735.0,93.0,711.0,3999.0,464.0,305.0,498.0,612.0,249.0
1954-01-01,28.0,77.0,419.0,4612.0,1056.0,52.0,4612.0,178.0,281.0,1815.0,97.0,759.0,4331.0,520.0,364.0,487.0,616.0,294.0
1955-01-01,42.0,82.0,448.0,5174.0,1211.0,54.0,5174.0,195.0,382.0,2039.0,110.0,828.0,4792.0,568.0,395.0,540.0,676.0,319.0
1956-01-01,45.0,93.0,503.0,5668.0,1331.0,58.0,5668.0,220.0,362.0,2205.0,123.0,874.0,5306.0,635.0,447.0,617.0,768.0,360.0
1957-01-01,50.0,105.0,542.0,6368.0,1455.0,66.0,6368.0,253.0,533.0,2405.0,129.0,950.0,5835.0,706.0,515.0,655.0,826.0,409.0
1958-01-01,63.0,101.0,496.0,6349.0,1353.0,71.0,6349.0,256.0,700.0,2289.0,113.0,936.0,5649.0,723.0,537.0,587.0,759.0,413.0
