Date,"Agriculture, forestry, and fishing",Communications,Construction,Domestic industries,Durable goods,"Electric, gas, and sanitary services",Employer contributions for social insurance,"Finance, insurance, and real estate",Government,Manufacturing,Mining,Nondurable goods,Private industries,Retail trade,Services,Transportation,Transportation and public utilities,Wholesale trade
1987-01-01,1409.0,2929.0,10701.0,166261.0,25418.0,2239.0,166261.0,12312.0,22777.0,40311.0,1983.0,14894.0,143484.0,18035.0,33234.0,8358.0,13526.0,11972.0
1988-01-01,1604.0,3080.0,11762.0,184633.0,27549.0,2399.0,184633.0,13575.0,26696.0,43674.0,2163.0,16125.0,157937.0,19692.0,37550.0,9108.0,14587.0,13331.0
1989-01-01,1820.0,3105.0,12131.0,193673.0,27932.0,2532.0,193673.0,13854.0,28921.0,44430.0,2120.0,16498.0,164752.0,20316.0,40994.0,9380.0,15017.0,14070.0
1990-01-01,2100.0,3412.0,12514.0,206451.0,28268.0,2687.0,206451.0,14722.0,31940.0,45512.0,2226.0,17244.0,174511.0,21139.0,45675.0,9905.0,16004.0,14619.0
1991-01-01,2157.0,3523.0,11866.0,215132.0,28415.0,2874.0,215132.0,15465.0,34862.0,46341.0,2241.0,17926.0,180270.0,21973.0,48533.0,10206.0,16604.0,15090.0
1992-01-01,2304.0,3635.0,11809.0,228398.0,29217.0,3018.0,228398.0,17097.0,37727.0,47988.0,2161.0,18771.0,190671.0,23293.0,53055.0,10457.0,17110.0,15854.0
1993-01-01,2285.0,3916.0,11975.0,239679.0,31386.0,3135.0,239679.0,18058.0,39220.0,51595.0,2331.0,20209.0,200459.0,24791.0,55205.0,10811.0,17861.0,16357.0
1994-01-01,2303.0,4115.0,13385.0,254139.0,32611.0,3224.0,254139.0,18503.0,40519.0,52975.0,2330.0,20364.0,213620.0,26662.0,62318.0,11070.0,18409.0,16735.0
1995-01-01,2332.0,4251.0,14473.0,264120.0,33149.0,3266.0,264120.0,18668.0,41131.0,53284.0,2282.0,20136.0,222989.0,27967.0,68438.0,11208.0,18725.0,16820.0
1996-01-01,2269.0,4404.0,15566.0,274805.0,33637.0,3341.0,274805.0,18951.0,41767.0,53627.0,2242.0,19990.0,233038.0,29323.0,74836.0,11516.0,19261.0,16964.0
1997-01-01,2258.0,4632.0,16851.0,289593.0,34693.0,3454.0,289593.0,19536.0,43221.0,54753.0,2223.0,20061.0,246372.0,31062.0,82375.0,11855.0,19942.0,17373.0
1998-01-01,2265.0,4925.0,18369.0,307237.0,36070.0,3612.0,307237.0,20322.0,44600.0,56382.0,2222.0,20312.0,262637.0,33171.0,90952.0,12451.0,20988.0,17967.0
1999-01-01,2277.0,5594.0,20419.0,323339.0,36882.0,3757.0,323339.0,21426.0,46765.0,57382.0,2108.0,20500.0,276574.0,34745.0,97087.0,12960.0,22311.0,18819.0
2000-01-01,2448.0,6115.0,22111.0,345220.0,38876.0,3985.0,345220.0,22997.0,49291.0,60172.0,2212.0,21296.0,295929.0,36805.0,105622.0,13460.0,23560.0,20003.0
