Date,Domestic industries,Employer contributions for employee pension and insurance funds,Federal,Government,Government employee pension plans,Private industries,State and local
1929-01-01,940.0,940.0,256.0,442.0,410.0,498.0,154.0
1930-01-01,946.0,946.0,261.0,460.0,426.0,486.0,165.0
1931-01-01,909.0,909.0,257.0,464.0,428.0,445.0,171.0
1932-01-01,817.0,817.0,241.0,431.0,401.0,386.0,160.0
1933-01-01,756.0,756.0,229.0,405.0,370.0,351.0,141.0
1934-01-01,812.0,812.0,255.0,427.0,398.0,385.0,143.0
1935-01-01,933.0,933.0,302.0,521.0,486.0,412.0,184.0
1936-01-01,1093.0,1093.0,341.0,594.0,558.0,499.0,217.0
1937-01-01,1141.0,1141.0,347.0,630.0,593.0,511.0,246.0
1938-01-01,1200.0,1200.0,356.0,689.0,650.0,511.0,294.0
1939-01-01,1264.0,1264.0,392.0,734.0,690.0,530.0,298.0
1940-01-01,1513.0,1513.0,575.0,928.0,887.0,585.0,312.0
1941-01-01,2386.0,2386.0,1351.0,1722.0,1680.0,664.0,329.0
1942-01-01,3930.0,3930.0,2723.0,3116.0,3073.0,814.0,350.0
1943-01-01,4584.0,4584.0,3130.0,3563.0,3511.0,1021.0,381.0
1944-01-01,5035.0,5035.0,3107.0,3622.0,3523.0,1413.0,416.0
1945-01-01,5348.0,5348.0,3106.0,3719.0,3572.0,1629.0,466.0
1946-01-01,5414.0,5414.0,2926.0,3572.0,3475.0,1842.0,549.0
1947-01-01,5333.0,5333.0,2301.0,3030.0,2979.0,2303.0,678.0
