Date,"Agriculture, forestry, and fishing",Benefits paid by pension and insurance funds,Communications,Construction,Defined benefit,Defined contribution,Domestic industries,Durable goods,"Electric, gas, and sanitary services",Employer contributions for employee pension and insurance funds,Federal,"Finance, insurance, and real estate",Government,Government employee pension plans,Group health insurance,Group insurance,Group life insurance,Manufacturing,Mining,Nondurable goods,Pension plans,Private industries,Private insurance funds,Private pension plans,Retail trade,Services,State and local,Supplemental unemployment,Transportation,Transportation and public utilities,Wholesale trade,Workers' compensation
1987-01-01,1251.0,372622.0,5363.0,15326.0,,,299878.0,48520.0,5350.0,299878.0,33718.0,15570.0,91700.0,63655.0,131832.5,140172.5,8340.0,74467.0,3829.0,25948.0,169498.5,208178.0,166751.5,74287.0,18349.0,40791.0,29937.0,2716.0,14703.0,25416.0,13178.0,23863.5
1988-01-01,1504.0,393948.0,5731.0,17082.0,36012.0,38377.0,323572.0,53592.0,4860.0,323572.0,34821.0,18274.0,98950.0,67058.0,148216.0,156874.0,8658.0,80270.0,3148.0,26679.0,172652.5,224621.0,186107.5,74389.0,19378.0,45183.0,32238.0,2238.0,14525.0,25116.0,14666.0,26995.5
1989-01-01,1892.0,433319.0,5923.0,19221.0,42867.0,42872.0,362877.0,57162.0,5141.0,362877.0,35501.0,20551.0,112057.0,76065.0,164756.5,173664.5,8908.0,87719.0,3430.0,30558.0,192464.0,250820.0,205634.0,85739.0,20616.0,53527.0,40564.0,2303.5,16084.0,27147.0,16717.0,29666.0
1990-01-01,2407.0,463044.0,5231.0,20766.0,44183.0,43420.0,392723.0,56835.0,5959.0,392723.0,35284.0,22988.0,123136.0,81086.0,184023.5,193779.0,9755.5,89165.0,3650.0,32331.0,198218.0,269587.0,229666.0,87603.0,22153.0,61739.0,45802.0,2776.0,17257.0,28447.0,18273.0,33111.0
1991-01-01,2537.0,502096.0,5757.0,19459.0,45281.0,44856.0,420906.0,59912.0,6393.0,420906.0,36811.0,24836.0,134815.0,87758.0,203132.5,212673.0,9540.5,94611.0,3743.0,34699.0,209736.5,286090.0,251764.5,90137.0,23970.0,67315.0,50946.0,2963.5,17879.0,30029.0,19591.0,36128.5
1992-01-01,2656.0,557606.0,6169.0,21691.0,55616.0,45780.0,474307.0,67564.0,7435.0,474307.0,36028.0,28622.0,152392.0,99215.0,228957.0,239473.0,10516.0,105092.0,3865.0,37528.0,232898.0,321916.0,283058.5,101396.0,26814.0,77028.0,63187.0,2949.5,20706.0,34310.0,21837.0,40636.0
1993-01-01,2871.0,592540.0,6537.0,22474.0,57097.0,49591.0,498270.0,72015.0,7898.0,498270.0,32163.0,31179.0,156743.0,98397.0,249458.0,260496.5,11038.5,111081.0,3974.0,39066.0,241486.0,341527.0,303919.0,106688.0,27241.0,83792.0,66234.0,2554.0,21070.0,35505.0,23411.0,40868.5
1994-01-01,2664.0,619776.0,7129.0,23188.0,58524.0,50671.0,515464.0,71823.0,7430.0,515464.0,31840.0,32607.0,162555.0,101539.0,260609.0,272827.0,12218.0,111324.0,4062.0,39502.0,252408.5,352909.0,315211.5,109195.0,30287.0,86510.0,69699.0,1972.5,21981.0,36540.0,25727.0,40412.0
1995-01-01,2435.0,648272.0,7320.0,22069.0,57944.0,53015.0,515946.0,66450.0,6916.0,515946.0,30916.0,33632.0,165407.0,104803.0,258525.5,271275.0,12749.5,104020.0,3825.0,37571.0,269983.0,350537.0,312126.0,110959.0,31658.0,90933.0,73887.0,2028.0,21337.0,35572.0,26393.0,38823.0
1996-01-01,2128.0,690098.0,7016.0,22028.0,60693.0,56909.0,525668.0,62869.0,6672.0,525668.0,30094.0,34066.0,168460.0,107747.0,260556.5,274056.5,13500.0,99246.0,3946.0,36377.0,294490.0,357208.0,313393.0,117602.0,33083.0,97151.0,77653.0,2588.5,23242.0,36930.0,28628.0,36748.0
1997-01-01,1961.0,724205.0,7250.0,22578.0,63400.0,63093.0,542381.0,61453.0,6160.0,542381.0,30242.0,36489.0,174619.0,112853.0,262720.0,276659.0,13939.0,97227.0,4188.0,35774.0,317574.5,367763.0,315718.5,126493.0,35660.0,103499.0,82611.0,2237.0,22540.0,35950.0,30210.0,36822.5
1998-01-01,1822.0,813948.0,8460.0,23208.0,68495.0,69664.0,582285.0,61907.0,5948.0,582285.0,30575.0,42405.0,182868.0,118655.0,290707.0,305562.0,14855.0,97583.0,4139.0,35676.0,351953.5,399418.0,346163.0,138159.0,40881.0,116240.0,88080.0,1967.0,24093.0,38501.0,34638.0,38634.0
1999-01-01,2875.0,899695.0,9661.0,24426.0,71545.0,72230.0,621418.0,68619.0,9695.0,621418.0,31486.0,44003.0,200297.0,125134.0,317428.5,333282.0,15853.5,107148.0,4080.0,38529.0,385099.5,421120.0,375457.0,143775.0,40342.0,124103.0,93648.0,1733.5,25020.0,44376.0,29766.0,40441.5
2000-01-01,2337.0,978997.0,9138.0,28767.0,72459.0,78451.0,676980.0,74130.0,9895.0,676980.0,32665.0,47168.0,214301.0,133675.0,354582.0,369272.5,14690.5,112551.0,4131.0,38421.0,413739.0,462679.0,414249.0,150910.0,40981.0,148651.0,101010.0,1515.0,27448.0,46481.0,31610.0,43462.0
