Date,"Agriculture, forestry, fishing, and hunting","Arts, entertainment, recreation, accommodation, and food services",Benefits paid by pension and insurance funds,Construction,Defined benefit,Defined contribution,Domestic industries,Durable goods,"Educational services, health care, and social assistance",Employer contributions for employee pension and insurance funds,Federal,"Finance, insurance, real estate, rental, and leasing",Government,Government employee pension plans,Group health insurance,Group insurance,Group life insurance,Information,Manufacturing,Mining,Nondurable goods,"Other services, except government",Pension plans,Private industries,Private insurance funds,Private pension plans,Professional and business services,Publicly administered government employee insurance funds,Retail trade,State and local,Supplemental unemployment,Transportation and warehousing,Utilities,Wholesale trade,Workers' compensation
1998-01-01,1525.0,9839.0,813948.0,23250.0,68495.0,69664.0,582285.0,65638.0,45415.0,582285.0,30575.0,44568.0,182868.0,118655.0,290707.0,305562.0,14855.0,17257.0,99680.0,4140.0,34041.0,13259.0,351953.5,399418.0,346163.0,138159.0,48095.0,,35925.0,88080.0,1967.0,21389.0,5932.0,29144.0,38634.0
1999-01-01,2541.0,14463.0,899695.0,24507.0,71545.0,72230.0,621418.0,72912.0,53515.0,621418.0,31486.0,46472.0,200297.0,125134.0,317428.5,333282.0,15853.5,19709.0,109807.0,4078.0,36895.0,13188.0,385099.5,421120.0,375457.0,143775.0,44908.0,,32117.0,93648.0,1733.5,22781.0,8919.0,24115.0,40441.5
2000-01-01,2023.0,15277.0,978997.0,28839.0,72459.0,78451.0,676980.0,78452.0,54251.0,676980.0,32665.0,49894.0,214301.0,133675.0,354582.0,369272.5,14690.5,18757.0,115812.0,4127.0,37360.0,14990.0,413739.0,462679.0,414249.0,150910.0,66279.0,,32632.0,101010.0,1515.0,24854.0,9284.0,25660.0,43462.0
2001-01-01,2664.0,16923.0,1019368.0,29566.0,76256.0,80440.0,726727.0,72384.0,58836.0,726727.0,34376.0,55405.0,237717.0,144894.0,397938.5,412893.0,14954.5,21271.0,112585.0,3972.0,40201.0,15939.0,413327.0,489009.0,459720.0,156696.0,76070.0,,33693.0,110518.0,880.5,25233.0,11412.0,25440.0,45946.5
2002-01-01,2704.0,17594.0,1070933.0,28813.0,78153.0,83113.0,773229.0,75323.0,66785.0,773229.0,37232.0,59445.0,256800.0,154806.0,427439.0,442486.0,15047.0,23348.0,115695.0,3045.0,40373.0,17799.0,428833.0,516428.0,491806.5,161266.0,76512.0,1441.5,39771.0,117574.0,722.5,25813.0,12044.0,27058.0,48598.0
2003-01-01,2662.0,20536.0,1136195.0,31961.0,80354.0,84685.0,832793.0,77653.0,75575.0,832793.0,40078.0,53230.0,283087.0,161866.0,474961.0,489901.5,14940.0,29554.0,121469.0,3838.0,43815.0,17370.0,434415.5,549706.0,543488.5,165039.0,82121.0,6590.0,46794.0,121788.0,831.5,27045.0,10822.0,26730.0,52755.5
2004-01-01,4043.0,22989.0,1229290.0,33884.0,82700.0,89870.0,889722.0,82819.0,86085.0,889722.0,41952.0,58409.0,309337.0,176148.0,512985.5,528178.0,15193.0,30506.0,126140.0,4578.0,43320.0,18702.0,469734.5,580385.0,582670.0,172570.0,80490.0,7101.5,46136.0,134197.0,795.5,28561.0,11820.0,28043.0,53696.5
2005-01-01,3214.0,22361.0,1312891.0,36338.0,83483.0,97890.0,946666.0,85282.0,91886.0,946666.0,43786.0,67670.0,328323.0,181837.0,551228.0,567621.0,16392.5,30536.0,130329.0,4393.0,45046.0,18196.0,495884.0,618343.0,625164.0,181373.0,89112.0,8730.5,50625.0,138051.0,665.0,30516.0,11408.0,31761.0,56878.5
2006-01-01,4266.0,20615.0,1411111.0,35028.0,86218.0,106700.0,975632.0,84956.0,97791.0,975632.0,44398.0,68375.0,341701.0,190252.0,566514.0,584524.0,18010.0,28215.0,130980.0,6217.0,46024.0,17382.0,545020.5,633931.0,639332.5,192918.0,99715.0,9018.0,50110.0,145855.0,723.5,29305.0,14424.0,31507.0,54085.0
2007-01-01,4416.0,23167.0,1518198.0,38512.0,90395.0,115896.0,1020414.0,89675.0,98515.0,1020414.0,46840.0,70638.0,360551.0,201218.0,595506.5,614372.5,18866.0,31950.0,137495.0,5807.0,47820.0,19366.0,590276.5,659863.0,669414.5,206291.0,99309.0,9615.0,51204.0,154379.0,628.5,32611.0,14020.0,32852.0,54413.5
