Date,"Agricultural services, forestry, and fisheries",Communication,Contract construction,Durable goods,"Electric, gas, and sanitary services","Finance, insurance, and real estate",Health services,Legal services,Manufacturing,Mining,Nondurable goods,Nonfarm proprietors' income,Other,Retail trade and automobile services,Services,Transportation,Transportation and public utilities,Wholesale trade
1929-01-01,66.0,3.0,1128.0,203.0,6.0,793.0,1149.0,572.0,606.0,66.0,402.0,9009.0,1391.0,2590.0,3112.0,219.0,228.0,420.0
1930-01-01,65.0,3.0,866.0,102.0,6.0,488.0,1079.0,558.0,328.0,35.0,226.0,7007.0,1284.0,1782.0,2921.0,210.0,219.0,303.0
1931-01-01,60.0,2.0,606.0,39.0,5.0,330.0,929.0,575.0,160.0,-15.0,121.0,5323.0,1049.0,1222.0,2553.0,183.0,190.0,217.0
1932-01-01,48.0,1.0,234.0,8.0,2.0,263.0,699.0,471.0,59.0,10.0,51.0,3450.0,782.0,603.0,1952.0,159.0,162.0,119.0
1933-01-01,44.0,0.0,193.0,50.0,1.0,347.0,637.0,448.0,234.0,5.0,184.0,4012.0,663.0,1093.0,1748.0,154.0,155.0,192.0
1934-01-01,44.0,1.0,310.0,76.0,2.0,274.0,717.0,489.0,277.0,32.0,202.0,4927.0,776.0,1564.0,1982.0,171.0,174.0,269.0
1935-01-01,52.0,1.0,379.0,102.0,2.0,333.0,769.0,507.0,333.0,40.0,231.0,5679.0,876.0,1865.0,2153.0,194.0,197.0,327.0
1936-01-01,51.0,2.0,617.0,146.0,2.0,386.0,869.0,526.0,435.0,62.0,289.0,6929.0,1011.0,2322.0,2406.0,215.0,219.0,431.0
1937-01-01,66.0,3.0,584.0,165.0,4.0,392.0,895.0,550.0,394.0,86.0,229.0,7362.0,1143.0,2560.0,2588.0,231.0,238.0,453.0
1938-01-01,60.0,3.0,607.0,101.0,4.0,356.0,866.0,532.0,296.0,59.0,195.0,6816.0,1053.0,2304.0,2452.0,228.0,235.0,448.0
1939-01-01,61.0,3.0,642.0,153.0,4.0,389.0,906.0,554.0,429.0,70.0,276.0,7700.0,1097.0,2791.0,2557.0,248.0,255.0,506.0
1940-01-01,66.0,3.0,688.0,242.0,4.0,411.0,952.0,579.0,538.0,69.0,296.0,8650.0,1138.0,3316.0,2669.0,283.0,290.0,602.0
1941-01-01,75.0,4.0,951.0,458.0,6.0,461.0,1020.0,615.0,1014.0,98.0,556.0,11701.0,1384.0,4821.0,3019.0,357.0,367.0,895.0
1942-01-01,98.0,5.0,1242.0,631.0,7.0,505.0,1168.0,647.0,1471.0,127.0,840.0,14507.0,1648.0,5983.0,3463.0,416.0,428.0,1190.0
1943-01-01,110.0,6.0,1118.0,793.0,9.0,607.0,1248.0,669.0,1907.0,167.0,1114.0,17191.0,2073.0,7327.0,3990.0,477.0,492.0,1473.0
1944-01-01,132.0,7.0,990.0,937.0,12.0,691.0,1499.0,719.0,2230.0,164.0,1293.0,18332.0,2188.0,7594.0,4405.0,465.0,484.0,1642.0
1945-01-01,149.0,8.0,1090.0,937.0,15.0,885.0,1531.0,763.0,2394.0,130.0,1457.0,19430.0,2328.0,7958.0,4622.0,432.0,455.0,1747.0
1946-01-01,172.0,7.0,1725.0,913.0,17.0,1016.0,1893.0,773.0,2337.0,165.0,1424.0,23495.0,2792.0,9777.0,5458.0,487.0,511.0,2334.0
1947-01-01,194.0,8.0,2123.0,786.0,18.0,951.0,2135.0,828.0,1707.0,271.0,921.0,21992.0,2681.0,8694.0,5644.0,556.0,583.0,1825.0
1948-01-01,328.0,8.0,2695.0,857.0,18.0,1110.0,2410.0,949.0,1873.0,402.0,1016.0,23322.0,2908.0,8130.0,6267.0,601.0,628.0,1888.0
