Date,"Agricultural services, forestry, and fishing",Amusement and recreation services,"Auto repair, services, and parking",Business services,Communication,Construction,Durable goods,"Electric, gas, and sanitary services","Finance, insurance, and real estate",Health services,Hotels and other lodging places,Legal services,Manufacturing,Mining,Miscellaneous repair services,Motion pictures,Nondurable goods,Nonfarm proprietors' income,Other,Personal services,Retail trade,Services,Transportation,Transportation and public utilities,Wholesale trade
1948-01-01,328.0,142.0,277.0,285.0,8.0,2695.0,857.0,18.0,1110.0,2410.0,252.0,949.0,1873.0,402.0,307.0,126.0,1016.0,23322.0,514.0,1005.0,8130.0,6267.0,601.0,628.0,1888.0
1949-01-01,347.0,137.0,279.0,285.0,10.0,2681.0,730.0,17.0,1286.0,2392.0,253.0,1014.0,1623.0,289.0,310.0,157.0,893.0,22340.0,512.0,1012.0,7454.0,6352.0,599.0,626.0,1682.0
1950-01-01,377.0,144.0,332.0,378.0,18.0,3203.0,1094.0,32.0,1799.0,2592.0,271.0,1096.0,2110.0,296.0,356.0,131.0,1016.0,25810.0,586.0,1108.0,7924.0,6995.0,694.0,745.0,2361.0
1951-01-01,419.0,141.0,399.0,458.0,26.0,3344.0,1213.0,50.0,1893.0,2802.0,277.0,1194.0,2250.0,309.0,373.0,60.0,1038.0,27828.0,656.0,1155.0,8658.0,7514.0,781.0,858.0,2582.0
1952-01-01,454.0,156.0,407.0,569.0,37.0,3533.0,1142.0,56.0,2070.0,3044.0,282.0,1236.0,2183.0,279.0,407.0,60.0,1041.0,28630.0,719.0,1193.0,8680.0,8073.0,834.0,928.0,2429.0
1953-01-01,477.0,224.0,458.0,674.0,44.0,3565.0,1174.0,75.0,2269.0,3354.0,277.0,1307.0,2240.0,301.0,444.0,77.0,1066.0,30029.0,786.0,1259.0,8693.0,8860.0,895.0,1014.0,2609.0
1954-01-01,524.0,249.0,509.0,763.0,52.0,3364.0,1040.0,94.0,2579.0,3219.0,278.0,1444.0,2050.0,294.0,488.0,81.0,1010.0,30523.0,888.0,1298.0,9065.0,9218.0,940.0,1086.0,2343.0
1955-01-01,538.0,279.0,607.0,856.0,57.0,3674.0,1186.0,103.0,3145.0,4174.0,307.0,1581.0,2193.0,342.0,495.0,99.0,1007.0,33799.0,1022.0,1355.0,9127.0,10775.0,949.0,1109.0,2896.0
1956-01-01,557.0,300.0,723.0,943.0,62.0,3878.0,1273.0,116.0,3273.0,4399.0,310.0,1606.0,2267.0,407.0,533.0,30.0,994.0,35633.0,1216.0,1460.0,9299.0,11520.0,990.0,1169.0,3262.0
1957-01-01,565.0,265.0,683.0,987.0,60.0,4171.0,1210.0,152.0,3519.0,4793.0,298.0,1732.0,2193.0,416.0,563.0,33.0,983.0,37498.0,1457.0,1638.0,9543.0,12450.0,1048.0,1261.0,3381.0
1958-01-01,579.0,286.0,747.0,1003.0,87.0,3991.0,1085.0,150.0,3661.0,5166.0,287.0,1800.0,2060.0,375.0,558.0,96.0,974.0,37935.0,1601.0,1638.0,9468.0,13182.0,1069.0,1306.0,3312.0
1959-01-01,587.0,292.0,770.0,1102.0,117.0,4337.0,1212.0,129.0,3997.0,5806.0,347.0,2139.0,2110.0,283.0,497.0,125.0,897.0,40509.0,1799.0,1687.0,10164.0,14564.0,1103.0,1349.0,3118.0
1960-01-01,620.0,327.0,879.0,1071.0,113.0,4329.0,1135.0,185.0,4031.0,5877.0,297.0,2165.0,2030.0,281.0,517.0,52.0,895.0,40085.0,1872.0,1724.0,9470.0,14780.0,1143.0,1441.0,3102.0
1961-01-01,647.0,362.0,927.0,1183.0,111.0,4746.0,1093.0,230.0,4216.0,6166.0,292.0,2504.0,1937.0,281.0,566.0,206.0,844.0,42206.0,2044.0,1829.0,9429.0,16079.0,1262.0,1604.0,3266.0
1962-01-01,787.0,297.0,1038.0,1280.0,93.0,4966.0,1147.0,280.0,4359.0,6650.0,309.0,2636.0,1948.0,203.0,574.0,173.0,801.0,44163.0,2165.0,1911.0,9776.0,17033.0,1405.0,1778.0,3312.0
1963-01-01,745.0,322.0,1103.0,1402.0,112.0,5298.0,1145.0,316.0,4651.0,6832.0,321.0,2851.0,1865.0,256.0,640.0,166.0,720.0,45478.0,2174.0,1992.0,9524.0,17803.0,1501.0,1929.0,3407.0
1964-01-01,882.0,337.0,1190.0,1566.0,125.0,5741.0,1204.0,362.0,5008.0,7609.0,290.0,3124.0,1977.0,278.0,649.0,136.0,773.0,49399.0,2477.0,2140.0,10582.0,19518.0,1579.0,2066.0,3347.0
1965-01-01,925.0,344.0,1145.0,1593.0,102.0,6220.0,1312.0,379.0,5385.0,8083.0,369.0,3410.0,2042.0,276.0,678.0,153.0,731.0,52074.0,2681.0,2171.0,11104.0,20627.0,1749.0,2231.0,3264.0
1966-01-01,983.0,409.0,1231.0,1708.0,108.0,6532.0,1479.0,429.0,5532.0,8863.0,424.0,3818.0,2259.0,191.0,769.0,96.0,780.0,55590.0,2974.0,2442.0,11541.0,22735.0,1830.0,2367.0,3451.0
