Date,"Agricultural services, forestry, and fishing",Amusement and recreation services,"Auto repair, services, and parking",Business services,Communications,Construction,Durable goods,"Electric, gas, and sanitary services","Finance, insurance, and real estate",Health services,Hotels and other lodging places,Legal services,Manufacturing,Mining,Miscellaneous repair services,Motion pictures,Nondurable goods,Nonfarm proprietors' income,Other,Personal services,Retail trade,Services,Transportation,Transportation and public utilities,Wholesale trade
1987-01-01,5666.0,3555.0,8643.0,30046.0,291.0,42723.0,6100.0,362.0,-13013.0,32011.0,-4156.0,23520.0,11259.0,-1572.0,3469.0,3503.0,5159.0,228075.0,21093.0,11976.0,28859.0,133660.0,9394.0,10046.0,10446.0
1988-01-01,6350.0,4008.0,9928.0,34571.0,1341.0,45502.0,6313.0,1187.0,-7717.0,36129.0,-4384.0,27933.0,12162.0,2107.0,3658.0,4076.0,5850.0,270406.0,24923.0,13404.0,33835.0,154246.0,9818.0,12346.0,11575.0
1989-01-01,5941.0,4626.0,9290.0,37090.0,1628.0,46400.0,6742.0,1014.0,-11264.0,39039.0,-4529.0,28930.0,13125.0,4467.0,3951.0,3985.0,6383.0,280222.0,26955.0,12568.0,34740.0,161906.0,10687.0,13329.0,11577.0
1990-01-01,6611.0,4689.0,8988.0,42649.0,1087.0,46457.0,4880.0,1546.0,-5325.0,44925.0,-4023.0,31273.0,11459.0,4821.0,4266.0,3859.0,6579.0,303745.0,28288.0,12999.0,34524.0,177912.0,11391.0,14024.0,13264.0
1991-01-01,6861.0,7792.0,9030.0,41129.0,695.0,45453.0,5148.0,1052.0,363.0,48853.0,-3368.0,33003.0,11225.0,1338.0,4490.0,3586.0,6078.0,313018.0,29159.0,13216.0,34398.0,186889.0,11452.0,13199.0,13291.0
1992-01-01,6952.0,9117.0,8628.0,44208.0,1567.0,49527.0,6308.0,2132.0,15118.0,50657.0,-1642.0,36098.0,12637.0,2389.0,4558.0,3463.0,6328.0,349741.0,29710.0,13634.0,34877.0,198431.0,12411.0,16110.0,13701.0
1993-01-01,7263.0,7426.0,9455.0,42913.0,3408.0,54484.0,7319.0,2813.0,27288.0,50002.0,-520.0,35415.0,14275.0,3390.0,5491.0,3692.0,6956.0,381324.0,31528.0,15576.0,39125.0,200978.0,14453.0,20673.0,13848.0
1994-01-01,7857.0,6423.0,10569.0,47383.0,5104.0,61734.0,8689.0,2762.0,28819.0,51724.0,-11.0,35013.0,17229.0,3612.0,6362.0,3504.0,8539.0,411705.0,33286.0,16406.0,42630.0,210661.0,15488.0,23354.0,15810.0
1995-01-01,7989.0,8430.0,10427.0,49911.0,5129.0,65970.0,9036.0,3643.0,44530.0,51479.0,1084.0,35455.0,19396.0,3626.0,7220.0,3573.0,10360.0,449546.0,35610.0,16995.0,45596.0,220185.0,16855.0,25627.0,16627.0
1996-01-01,8240.0,8540.0,11493.0,56389.0,3948.0,71017.0,8971.0,4393.0,56673.0,51749.0,1892.0,38636.0,18436.0,6790.0,7719.0,3494.0,9465.0,490460.0,38441.0,17510.0,48874.0,235863.0,18054.0,26395.0,18172.0
1997-01-01,9122.0,9465.0,10792.0,61964.0,-4762.0,72833.0,9713.0,4027.0,71436.0,53226.0,2640.0,39965.0,19217.0,9886.0,8416.0,3155.0,9504.0,525992.0,43243.0,18846.0,53249.0,251711.0,20813.0,20078.0,18460.0
1998-01-01,9579.0,11818.0,11409.0,67298.0,-2104.0,79895.0,10044.0,2177.0,83541.0,55527.0,3456.0,43133.0,20237.0,8108.0,10270.0,3156.0,10193.0,579474.0,48894.0,21494.0,57519.0,276454.0,22840.0,22913.0,21228.0
1999-01-01,10156.0,12988.0,9708.0,71554.0,-3955.0,93897.0,9568.0,2197.0,103813.0,56125.0,2596.0,43858.0,21028.0,6161.0,10872.0,3886.0,11460.0,627671.0,51159.0,21862.0,62171.0,284607.0,25206.0,23448.0,22390.0
2000-01-01,10528.0,13066.0,9836.0,78633.0,-1577.0,103451.0,10392.0,2912.0,107564.0,59203.0,2392.0,46200.0,22924.0,9736.0,13299.0,3777.0,12532.0,674045.0,56024.0,21900.0,62376.0,304329.0,27937.0,29272.0,23866.0
