Date,Accommodation and food services,"Arts, entertainment, and recreation","Arts, entertainment, recreation, accommodation, and food services",Computer systems design and related services,Construction,Durable goods,Educational services,"Educational services, health care, and social assistance",Finance and insurance,"Finance, insurance, real estate, rental, and leasing","Forestry, fishing, and related activities",Health care and social assistance,Information,Legal services,Management of companies and enterprises; administrative and waste management services,Manufacturing,Mining,"Miscellaneous professional, scientific, and technical services",Nondurable goods,Nonfarm proprietors' income,"Other services, except government",Professional and business services,"Professional, scientific, and technical services",Real estate and rental and leasing,Retail trade,Transportation and warehousing,Utilities,Wholesale trade
1998-01-01,14808.0,12562.0,27370.0,7363.0,85148.0,9392.0,2352.0,64333.0,27827.0,69433.0,7036.0,61981.0,7264.0,38180.0,15262.0,17173.0,8489.0,61807.0,7781.0,579474.0,74994.0,122613.0,107351.0,41607.0,46650.0,26240.0,824.0,21905.0
1999-01-01,15471.0,13449.0,28920.0,7440.0,100852.0,9432.0,2878.0,66783.0,37802.0,83187.0,6692.0,63905.0,6315.0,40155.0,18003.0,17041.0,6835.0,64457.0,7609.0,627671.0,83080.0,130054.0,112052.0,45385.0,50893.0,23335.0,583.0,23100.0
2000-01-01,14799.0,14143.0,28941.0,8577.0,111822.0,11387.0,3228.0,69818.0,49662.0,93269.0,8055.0,66589.0,4706.0,39984.0,18755.0,18449.0,10310.0,68091.0,7063.0,674045.0,90484.0,135407.0,116652.0,43608.0,51025.0,25723.0,1233.0,24802.0
2001-01-01,14577.0,14591.0,29169.0,10297.0,122968.0,9276.0,3425.0,81997.0,58355.0,105322.0,8203.0,78571.0,3564.0,44796.0,30422.0,16999.0,14337.0,73923.0,7724.0,728238.0,70817.0,159439.0,129016.0,46967.0,53362.0,34014.0,2363.0,25683.0
2002-01-01,14998.0,15795.0,30793.0,14126.0,131007.0,11788.0,3471.0,88585.0,54139.0,101005.0,7614.0,85114.0,5602.0,45390.0,32609.0,17824.0,14636.0,74508.0,6036.0,761940.0,84519.0,166633.0,134024.0,46865.0,55975.0,29861.0,18.0,27868.0
2003-01-01,15321.0,16832.0,32153.0,10592.0,139091.0,9492.0,3846.0,85300.0,50032.0,95566.0,7194.0,81454.0,6150.0,45909.0,33494.0,16250.0,20248.0,76602.0,6758.0,767702.0,79344.0,166597.0,133103.0,45534.0,59187.0,31608.0,415.0,28599.0
2004-01-01,16492.0,18737.0,35229.0,11779.0,151248.0,11323.0,4614.0,91463.0,47281.0,86996.0,7295.0,86850.0,6903.0,50184.0,32878.0,22677.0,23759.0,82646.0,11354.0,814869.0,83191.0,177487.0,144609.0,39715.0,61117.0,34365.0,1273.0,31866.0
2005-01-01,17747.0,18902.0,36649.0,16586.0,157729.0,11740.0,4344.0,90354.0,47609.0,93601.0,7718.0,86010.0,11825.0,49689.0,31006.0,23537.0,37655.0,83073.0,11797.0,870539.0,97330.0,180354.0,149348.0,45992.0,64121.0,35892.0,657.0,33117.0
2006-01-01,20338.0,19972.0,40310.0,19082.0,173523.0,13316.0,5216.0,97168.0,49990.0,86369.0,8436.0,91952.0,9559.0,50723.0,38086.0,27553.0,42054.0,94892.0,14238.0,948631.0,109576.0,202784.0,164698.0,36379.0,71478.0,40208.0,3012.0,36602.0
2007-01-01,12514.0,28269.0,40783.0,9488.0,147382.0,10633.0,8000.0,103708.0,40646.0,52548.0,5285.0,95708.0,20145.0,64908.0,42539.0,25161.0,22944.0,107295.0,14528.0,881248.0,97905.0,224229.0,181690.0,11902.0,57476.0,50334.0,1058.0,32291.0
2008-01-01,5512.0,21262.0,26774.0,7367.0,110031.0,-439.0,7028.0,108864.0,22307.0,19005.0,3903.0,101836.0,23117.0,85839.0,34786.0,16907.0,59078.0,115680.0,17346.0,785625.0,75420.0,243672.0,208886.0,-3302.0,35902.0,36546.0,-728.0,27134.0
2009-01-01,4814.0,21770.0,26584.0,8607.0,110011.0,581.0,7174.0,110249.0,74208.0,66207.0,3609.0,103074.0,20141.0,73750.0,47420.0,9664.0,11353.0,103516.0,9083.0,774785.0,80465.0,233294.0,185873.0,-8002.0,48364.0,37170.0,-5449.0,23123.0
2010-01-01,10170.0,29446.0,39616.0,9843.0,140140.0,5578.0,9221.0,123718.0,87150.0,92730.0,7412.0,114497.0,17052.0,70635.0,47540.0,15748.0,18709.0,111622.0,10170.0,930451.0,105297.0,239640.0,192101.0,5581.0,63947.0,45121.0,-5218.0,26538.0
2011-01-01,13991.0,30770.0,44761.0,11594.0,145545.0,4616.0,9708.0,130821.0,56738.0,73697.0,6363.0,121113.0,10697.0,77893.0,54449.0,22293.0,38630.0,117398.0,17677.0,977678.0,109088.0,261333.0,206884.0,16959.0,66662.0,48952.0,-10450.0,29287.0
2012-01-01,16567.0,33093.0,49660.0,11257.0,157598.0,8217.0,10030.0,129546.0,69767.0,117018.0,7400.0,119516.0,30361.0,76153.0,52592.0,24785.0,40406.0,120884.0,16567.0,1077861.0,114110.0,260886.0,208294.0,47252.0,70809.0,53634.0,-9325.0,30972.0
2013-01-01,17482.0,35711.0,53193.0,10831.0,159183.0,11235.0,9515.0,129612.0,50861.0,111049.0,6768.0,120097.0,39491.0,74059.0,52299.0,26837.0,41613.0,116098.0,15602.0,1071909.0,112048.0,253287.0,200988.0,60188.0,69796.0,51235.0,-12556.0,30353.0
2014-01-01,19698.0,40686.0,60384.0,10841.0,168042.0,8241.0,9999.0,133285.0,18898.0,81331.0,6305.0,123286.0,35421.0,78507.0,54187.0,26437.0,47138.0,127158.0,18196.0,1097335.0,118197.0,270693.0,216506.0,62433.0,72930.0,56076.0,-10675.0,31770.0
2015-01-01,22359.0,36733.0,59092.0,10086.0,172911.0,8972.0,10262.0,137561.0,9629.0,80728.0,7370.0,127300.0,39226.0,82872.0,47040.0,29991.0,-9699.0,131217.0,21019.0,1059283.0,118393.0,271215.0,224175.0,71099.0,71903.0,59743.0,-11674.0,32522.0
2016-01-01,22943.0,38271.0,61213.0,10909.0,174767.0,10269.0,10407.0,138068.0,42208.0,122115.0,7535.0,127661.0,37482.0,87900.0,53151.0,18638.0,-25519.0,123951.0,8368.0,1066239.0,117417.0,275911.0,222760.0,79906.0,69469.0,57119.0,-18213.0,30237.0
2017-01-01,18451.0,36673.0,55123.0,10178.0,185791.0,13499.0,10784.0,132580.0,52209.0,109334.0,7294.0,121797.0,29159.0,86656.0,56243.0,19823.0,5105.0,133064.0,6324.0,1088100.0,117682.0,286142.0,229899.0,57126.0,68766.0,59401.0,-16606.0,28506.0
2018-01-01,18655.0,39734.0,58389.0,11622.0,185275.0,12566.0,9505.0,130896.0,30286.0,81656.0,7128.0,121391.0,33581.0,89664.0,56823.0,24065.0,19811.0,135590.0,11499.0,1109779.0,121918.0,293699.0,236876.0,51370.0,73461.0,56272.0,-4550.0,28180.0
2019-01-01,19328.0,42579.0,61906.0,10874.0,199066.0,14173.0,10047.0,131255.0,32442.0,91940.0,6473.0,121208.0,29043.0,95242.0,64144.0,26377.0,16395.0,141133.0,12204.0,1147967.0,122509.0,311392.0,247248.0,59499.0,73605.0,57657.0,-9606.0,29954.0
2020-01-01,20773.0,30924.0,51697.0,14208.0,196440.0,23373.0,10960.0,141311.0,60562.0,97014.0,8034.0,130352.0,20835.0,88635.0,65107.0,33626.0,-5387.0,148316.0,10254.0,1142683.0,110388.0,316267.0,251159.0,36452.0,84667.0,57916.0,-9810.0,39684.0
2021-01-01,62038.0,42483.0,104520.0,16289.0,202964.0,30361.0,13000.0,155082.0,63867.0,116821.0,7723.0,142082.0,19810.0,97921.0,59593.0,55866.0,23635.0,165025.0,25505.0,1360093.0,125265.0,338829.0,279236.0,52954.0,93693.0,74817.0,-4408.0,45478.0
2022-01-01,18435.0,42805.0,61240.0,13710.0,207868.0,23064.0,12757.0,140548.0,60690.0,92995.0,6266.0,127791.0,24194.0,110885.0,62704.0,53943.0,63529.0,163111.0,30879.0,1345640.0,125202.0,350410.0,287706.0,32305.0,87110.0,83564.0,-741.0,49511.0
2023-01-01,25681.0,52479.0,78160.0,14765.0,222990.0,22905.0,13628.0,156253.0,55572.0,87824.0,7077.0,142624.0,30348.0,114544.0,65236.0,53705.0,51784.0,175993.0,30800.0,1433131.0,133814.0,370538.0,305302.0,32252.0,90963.0,98677.0,1584.0,49413.0
